Symbol: Ti
Atomic Number: 22
Atomic Mass: 47.880000
Start Spectral Index: 22
1 789
2 373
3 819
4 86
5 252
6 71
7 92
8 85
9 85
10 162
11 129
12 460
13 102
14 91
15 76
16 86
17 118
18 62
19 74
20 139
21 117
22 21
End Spectral Index:
Order of Magnitude: 0.000001
Start Spectral Lines:
22 0.000195
22 0.000200
21 0.000201
21 0.000201
21 0.000203
21 0.000203
21 0.000202
21 0.000202
21 0.000206
21 0.000206
22 0.000210
20 0.000211
22 0.000211
21 0.000211
21 0.000211
21 0.000211
20 0.000215
21 0.000222
21 0.000222
21 0.000223
20 0.000224
20 0.000224
20 0.000224
20 0.000226
21 0.000249
22 0.000249
21 0.000249
22 0.000250
21 0.000250
21 0.000250
21 0.000251
21 0.000251
21 0.000251
21 0.000251
21 0.000251
21 0.000251
21 0.000251
21 0.000251
21 0.000251
21 0.000251
21 0.000251
21 0.000251
21 0.000252
21 0.000252
21 0.000252
21 0.000253
21 0.000253
21 0.000254
21 0.000261
20 0.000262
21 0.000262
20 0.000262
20 0.000262
20 0.000262
21 0.000262
20 0.000263
20 0.000263
20 0.000263
20 0.000263
20 0.000263
20 0.000263
20 0.000263
20 0.000264
20 0.000264
21 0.000264
20 0.000264
20 0.000265
20 0.000265
20 0.000265
20 0.000265
20 0.000265
20 0.000265
20 0.000268
20 0.000268
22 0.000888
22 0.000895
20 0.000913
20 0.000913
20 0.000925
20 0.000925
20 0.000922
20 0.000922
21 0.000949
21 0.000950
20 0.000953
20 0.000959
20 0.000959
21 0.000968
21 0.000969
20 0.000973
20 0.000973
20 0.000973
21 0.000975
20 0.000979
20 0.000979
21 0.000986
22 0.000994
22 0.001002
20 0.001005
20 0.001011
20 0.001011
20 0.001028
20 0.001028
21 0.001060
21 0.001061
20 0.001062
20 0.001066
20 0.001069
20 0.001069
20 0.001073
21 0.001080
21 0.001082
21 0.001082
21 0.001082
21 0.001087
21 0.001088
21 0.001088
21 0.001093
21 0.001103
21 0.001106
20 0.001145
20 0.001145
20 0.001187
20 0.001196
19 0.001196
20 0.001196
20 0.001196
19 0.001201
20 0.001205
19 0.001238
19 0.001241
19 0.001248
19 0.001259
19 0.001265
19 0.001266
19 0.001273
22 0.001339
22 0.001352
21 0.001416
21 0.001420
21 0.001450
21 0.001452
21 0.001452
21 0.001452
21 0.001462
21 0.001464
21 0.001474
21 0.001486
21 0.001490
21 0.001502
20 0.001521
20 0.001525
19 0.001567
19 0.001574
19 0.001574
19 0.001574
19 0.001574
19 0.001585
19 0.001587
20 0.001591
20 0.001605
20 0.001607
19 0.001618
20 0.001628
19 0.001641
19 0.001644
20 0.001645
19 0.001646
19 0.001648
19 0.001651
19 0.001655
18 0.001656
19 0.001656
19 0.001658
18 0.001662
19 0.001664
19 0.001664
19 0.001671
19 0.001672
19 0.001672
19 0.001672
19 0.001674
19 0.001679
19 0.001679
19 0.001680
19 0.001681
19 0.001686
19 0.001688
18 0.001690
19 0.001693
18 0.001692
19 0.001696
19 0.001703
19 0.001708
19 0.001708
18 0.001715
19 0.001718
19 0.001720
18 0.001722
18 0.001728
18 0.001730
19 0.001736
18 0.001736
18 0.001739
18 0.001759
18 0.001763
18 0.001771
13 0.001773
13 0.001787
18 0.001791
17 0.001812
17 0.001812
17 0.001812
17 0.001815
17 0.001819
17 0.001821
17 0.001828
17 0.001838
17 0.001839
17 0.001861
17 0.001868
17 0.001878
17 0.001892
16 0.001909
16 0.001911
16 0.001911
13 0.001920
