Symbol: V
Atomic Number: 23
Atomic Mass: 50.941500
Start Spectral Index: 23
1 757
2 197
3 94
4 423
5 164
6 175
7 39
8 69
9 72
10 69
11 140
12 131
13 206
14 66
15 40
16 54
17 69
18 84
19 45
20 72
21 92
22 109
23 21
End Spectral Index:
Order of Magnitude: 0.000001
Start Spectral Lines:
23 0.000178
23 0.000182
22 0.000188
22 0.000188
23 0.000192
23 0.000193
22 0.000193
22 0.000193
22 0.000203
22 0.000203
22 0.000227
23 0.000228
22 0.000228
23 0.000228
22 0.000228
22 0.000229
22 0.000229
22 0.000229
22 0.000229
22 0.000229
22 0.000229
22 0.000230
22 0.000230
22 0.000230
22 0.000230
22 0.000230
22 0.000230
22 0.000230
22 0.000230
22 0.000231
22 0.000231
22 0.000231
22 0.000231
22 0.000232
22 0.000238
21 0.000239
21 0.000239
22 0.000239
21 0.000239
21 0.000239
22 0.000239
22 0.000239
21 0.000239
21 0.000240
21 0.000240
21 0.000240
21 0.000240
21 0.000240
21 0.000240
21 0.000240
21 0.000241
22 0.000241
21 0.000241
21 0.000241
21 0.000241
21 0.000241
21 0.000242
21 0.000242
21 0.000242
21 0.000244
21 0.000245
23 0.000812
23 0.000819
21 0.000859
21 0.000859
21 0.000865
22 0.000865
22 0.000866
21 0.000870
21 0.000870
22 0.000882
21 0.000882
22 0.000883
21 0.000884
21 0.000884
21 0.000888
21 0.000888
22 0.000888
22 0.000898
23 0.000909
21 0.000911
23 0.000917
21 0.000918
21 0.000918
21 0.000935
21 0.000935
21 0.000963
22 0.000966
21 0.000966
22 0.000967
21 0.000970
21 0.000970
21 0.000974
22 0.000984
22 0.000985
22 0.000985
22 0.000986
22 0.000990
22 0.000991
22 0.000992
22 0.000996
22 0.001005
22 0.001007
21 0.001041
21 0.001041
21 0.001077
20 0.001084
21 0.001084
21 0.001085
21 0.001086
21 0.001093
20 0.001092
20 0.001122
20 0.001124
20 0.001131
20 0.001138
20 0.001143
20 0.001143
20 0.001143
20 0.001148
20 0.001152
20 0.001152
20 0.001161
23 0.001223
23 0.001237
22 0.001294
22 0.001320
22 0.001322
22 0.001322
22 0.001322
22 0.001333
22 0.001334
22 0.001342
22 0.001354
22 0.001357
22 0.001368
21 0.001383
21 0.001387
20 0.001412
20 0.001423
20 0.001428
20 0.001428
20 0.001436
20 0.001439
20 0.001440
21 0.001443
21 0.001458
21 0.001459
19 0.001464
20 0.001465
20 0.001476
21 0.001476
20 0.001483
20 0.001487
20 0.001487
21 0.001493
20 0.001498
20 0.001499
20 0.001499
19 0.001504
20 0.001504
20 0.001511
20 0.001511
20 0.001511
20 0.001514
20 0.001518
20 0.001519
20 0.001520
20 0.001522
20 0.001523
20 0.001527
20 0.001530
20 0.001533
19 0.001532
20 0.001534
20 0.001543
19 0.001550
20 0.001553
19 0.001556
14 0.001561
19 0.001563
19 0.001563
20 0.001564
19 0.001570
19 0.001573
14 0.001572
19 0.001592
19 0.001601
18 0.001624
18 0.001632
18 0.001638
18 0.001647
18 0.001656
18 0.001679
18 0.001691
14 0.001694
18 0.001701
14 0.001710
17 0.001716
17 0.001716
17 0.001716
17 0.001726
17 0.001737
18 0.001740
18 0.001722
18 0.001749
17 0.001749
17 0.001754
18 0.001755
14 0.001759
17 0.001764
18 0.001767
18 0.001772
14 0.001776
16 0.001800
16 0.001811
16 0.001811
16 0.001812
16 0.001828
16 0.001828
16 0.001828
16 0.001850
16 0.001851
16 0.001861
16 0.001868
16 0.001869
16 0.001872
14 0.001879
14 0.001889
16 0.001889
15 0.001899
15 0.001903
15 0.001920
15 0.001930
15 0.001937
15 0.001937
15 0.001944
15 0.001952
15 0.001959
15 0.001964
15 0.001967
15 0.001968
15 0.001973
16 0.001971
15 0.001976
15 0.001978
15 0.001980
15 0.001982
15 0.001984
15 0.001989
15 0.001990
16 0.001992
16 0.001995
15 0.001999
16 0.002001
16 0.002003
15 0.002004
15 0.002009
16 0.002004
16 0.002015
16 0.002021
16 0.002027
16 0.002014
16 0.002029
16 0.002042
16 0.002042
16 0.002051
16 0.002068
16 0.002068
14 0.002072
14 0.002102
15 0.002102
15 0.002129
14 0.002130
15 0.002157
15 0.002180
15 0.002183
15 0.002191
21 0.002200
21 0.002200
15 0.002208
15 0.002208
15 0.002219
15 0.002219
15 0.002221
15 0.002223
15 0.002239
21 0.002240
21 0.002251
21 0.002251
14 0.002349
