Symbol: Zn
Atomic Number: 30
Atomic Mass: 65.390000
Start Spectral Index: 4
1 77
2 88
3 39
4 119
End Spectral Index:
Order of Magnitude: 0.000001
Start Spectral Lines:
4 0.041267
4 0.042342
4 0.042354
4 0.042590
4 0.042854
4 0.042879
4 0.042930
4 0.043059
4 0.043154
4 0.043162
4 0.043441
4 0.043502
4 0.043576
4 0.043625
4 0.043638
4 0.043682
4 0.044115
4 0.044152
4 0.044156
4 0.044170
4 0.044239
4 0.044439
4 0.044446
4 0.044658
4 0.044785
4 0.044913
4 0.044998
4 0.045099
4 0.045162
4 0.045280
4 0.045667
4 0.045732
4 0.046693
4 0.046843
4 0.047209
4 0.047266
4 0.047302
4 0.047351
4 0.047456
4 0.047578
4 0.047642
4 0.047865
4 0.047890
4 0.048210
4 0.048268
4 0.048548
4 0.048919
4 0.049096
4 0.049337
4 0.049672
4 0.049770
3 0.067763
3 0.067796
3 0.071390
1 0.074829
1 0.076560
1 0.079205
1 0.079385
1 0.080992
1 0.110910
2 0.119323
4 0.119329
4 0.120344
4 0.121271
4 0.121414
4 0.122435
4 0.122762
4 0.122865
4 0.123146
4 0.123726
4 0.123912
4 0.124626
4 0.124701
4 0.124969
4 0.125367
4 0.125731
4 0.125968
4 0.126574
4 0.126915
4 0.127221
4 0.127298
4 0.127578
2 0.127731
4 0.127851
4 0.128047
4 0.129183
4 0.129249
4 0.129432
4 0.129662
4 0.129673
4 0.130188
4 0.130666
4 0.131800
4 0.132074
4 0.132122
4 0.132233
4 0.132243
4 0.132674
4 0.132911
4 0.133332
4 0.134408
4 0.134798
4 0.134990
4 0.135227
4 0.135620
4 0.135782
4 0.136343
4 0.136395
2 0.136668
4 0.136817
4 0.136953
4 0.137042
4 0.137533
4 0.137598
4 0.137765
4 0.139124
4 0.139307
4 0.139454
4 0.140014
4 0.140398
1 0.140412
4 0.140940
4 0.141033
2 0.141044
4 0.141960
4 0.142779
3 0.143215
4 0.143858
2 0.143909
2 0.144504
4 0.145565
3 0.145672
2 0.145691
1 0.145757
4 0.145998
3 0.146420
3 0.146575
3 0.147341
4 0.147643
2 0.147702
4 0.148125
3 0.148926
3 0.149096
3 0.149879
3 0.149942
3 0.150042
3 0.150592
2 0.151476
3 0.151585
4 0.152984
3 0.153309
4 0.153368
3 0.155230
3 0.155294
3 0.155311
3 0.156079
3 0.156255
2 0.157299
3 0.158153
3 0.158206
1 0.158957
3 0.159852
3 0.160087
2 0.161768
3 0.161961
3 0.162251
3 0.162919
3 0.163933
3 0.164482
3 0.165174
2 0.165825
3 0.167305
3 0.168859
3 0.169540
3 0.170665
2 0.171325
2 0.171576
2 0.173561
2 0.173689
2 0.173790
2 0.174712
3 0.174963
3 0.175384
2 0.176219
3 0.176769
2 0.177404
2 0.179076
2 0.179764
2 0.181105
2 0.181648
2 0.183138
2 0.183357
2 0.183601
2 0.183665
3 0.183932
2 0.184756
2 0.186412
2 0.186608
2 0.187213
2 0.189426
2 0.190152
2 0.191481
2 0.191896
2 0.192027
2 0.192967
2 0.194558
2 0.195191
2 0.195300
2 0.195487
2 0.196454
2 0.196940
2 0.198211
2 0.198561
2 0.198699
2 0.199337
2 0.199692
2 0.201259
2 0.202613
2 0.203997
2 0.206266
2 0.206489
1 0.207974
2 0.208059
1 0.208799
1 0.209760
2 0.210061
2 0.210285
1 0.210509
2 0.212341
1 0.213923
2 0.214810
2 0.221087
2 0.227385
2 0.250274
1 0.251657
2 0.252872
2 0.255872
2 0.256857
2 0.256875
1 0.257064
1 0.258321
1 0.258326
1 0.260934
1 0.260942
1 0.267132
1 0.268496
1 0.271329
1 0.275726
1 0.277168
1 0.277180
1 0.280170
1 0.280189
1 0.280200
2 0.280279
2 0.290315
1 0.301924
1 0.303666
1 0.307295
1 0.307679
2 0.317237
2 0.317315
2 0.319723
2 0.319802
1 0.328328
2 0.330037
1 0.330353
1 0.330389
2 0.330696
1 0.334598
1 0.334653
1 0.334690
1 0.380008
2 0.380742
2 0.384138
1 0.388444
1 0.396655
1 0.411437
1 0.429409
1 0.429954
1 0.463111
1 0.468145
1 0.472347
1 0.481187
2 0.491299
2 0.492540
1 0.507007
1 0.507099
1 0.518342
1 0.531013
1 0.531172
1 0.531250
1 0.577370
1 0.577710
1 0.577871
2 0.589596
2 0.602285
2 0.610418
2 0.611322
2 0.621633
1 0.623963
1 0.624090
1 0.636410
1 0.648097
1 0.693023
1 0.694038
1 0.694512
2 0.748090
2 0.759060
2 0.761500
2 0.773460
2 0.776000
1 0.780151
1 1.105728
1 1.305720
1 1.315419
1 1.320022
1 1.404254
1 1.568457
1 1.648795
1 1.649649
1 1.650974
1 2.405072
1 2.438167
End Spectral Lines:
