Symbol: Kr
Atomic Number: 36
Atomic Mass: 83.800000
Start Spectral Index: 36
1 860
2 1178
3 877
4 485
5 174
6 142
7 73
8 177
9 26
10 46
18 12
19 2
20 4
21 6
22 7
23 24
24 14
25 50
26 71
27 62
28 69
29 16
30 10
31 12
32 10
33 12
34 60
35 110
36 21
End Spectral Index:
Order of Magnitude: 0.000001
Start Spectral Lines:
36 0.000072
36 0.000074
35 0.000075
35 0.000075
35 0.000076
35 0.000076
36 0.000078
36 0.000078
35 0.000080
35 0.000080
35 0.000091
35 0.000092
36 0.000092
35 0.000092
35 0.000092
35 0.000092
35 0.000092
35 0.000092
35 0.000092
35 0.000092
35 0.000092
35 0.000092
36 0.000092
35 0.000093
35 0.000093
35 0.000093
35 0.000093
35 0.000093
35 0.000093
35 0.000093
35 0.000093
35 0.000093
35 0.000093
35 0.000094
34 0.000094
34 0.000095
35 0.000095
35 0.000095
34 0.000095
34 0.000095
34 0.000095
34 0.000095
34 0.000095
34 0.000095
34 0.000095
34 0.000095
35 0.000095
34 0.000095
34 0.000095
34 0.000095
34 0.000095
35 0.000096
34 0.000096
34 0.000096
34 0.000096
34 0.000096
34 0.000096
34 0.000096
34 0.000096
34 0.000097
36 0.000327
36 0.000333
35 0.000340
35 0.000340
35 0.000344
35 0.000345
35 0.000351
35 0.000354
34 0.000357
34 0.000357
34 0.000364
36 0.000365
34 0.000365
34 0.000371
34 0.000371
34 0.000372
36 0.000373
35 0.000379
35 0.000380
35 0.000384
35 0.000385
35 0.000385
35 0.000385
35 0.000387
35 0.000392
35 0.000393
35 0.000395
35 0.000395
35 0.000397
34 0.000398
34 0.000399
34 0.000407
34 0.000409
34 0.000415
34 0.000415
34 0.000418
27 0.000434
28 0.000436
27 0.000439
27 0.000442
27 0.000446
27 0.000448
29 0.000449
27 0.000452
27 0.000452
27 0.000455
27 0.000459
28 0.000459
28 0.000459
28 0.000461
27 0.000468
28 0.000470
28 0.000470
26 0.000478
27 0.000481
36 0.000489
26 0.000490
26 0.000490
27 0.000491
27 0.000496
29 0.000496
27 0.000497
27 0.000497
25 0.000498
26 0.000500
29 0.000500
26 0.000500
29 0.000503
26 0.000503
36 0.000503
35 0.000506
28 0.000508
35 0.000510
29 0.000513
35 0.000514
35 0.000515
28 0.000515
35 0.000515
35 0.000515
28 0.000516
28 0.000516
28 0.000517
28 0.000517
28 0.000518
28 0.000518
28 0.000519
28 0.000519
35 0.000523
35 0.000528
27 0.000528
34 0.000529
35 0.000529
28 0.000530
26 0.000532
35 0.000533
34 0.000533
26 0.000535
26 0.000536
26 0.000536
26 0.000536
26 0.000536
26 0.000537
35 0.000538
26 0.000538
27 0.000540
35 0.000540
27 0.000541
27 0.000542
34 0.000544
25 0.000544
26 0.000545
26 0.000548
26 0.000548
26 0.000548
26 0.000549
26 0.000549
26 0.000550
26 0.000552
27 0.000554
34 0.000555
25 0.000557
25 0.000557
34 0.000558
34 0.000560
34 0.000571
28 0.000596
28 0.000596
28 0.000596
28 0.000601
28 0.000601
27 0.000610
28 0.000613
28 0.000614
28 0.000614
28 0.000617
28 0.000617
28 0.000617
28 0.000619
28 0.000621
28 0.000622
28 0.000626
27 0.000634
27 0.000639
26 0.000640
26 0.000642
28 0.000643
28 0.000645
28 0.000647
28 0.000647
28 0.000648
28 0.000648
28 0.000650
28 0.000652
28 0.000653
28 0.000659
28 0.000661
28 0.000662
28 0.000663
28 0.000664
28 0.000666
28 0.000668
27 0.000670
28 0.000670
26 0.000671
28 0.000672
28 0.000673
28 0.000673
26 0.000673
26 0.000677
26 0.000678
25 0.000679
26 0.000685
27 0.000688
28 0.000688
26 0.000689
28 0.000690
26 0.000691
26 0.000692
28 0.000694
28 0.000694
28 0.000694
26 0.000695
27 0.000696
28 0.000697
26 0.000698
25 0.000698
28 0.000699
27 0.000700
28 0.000701
28 0.000712
28 0.000716
28 0.000719
28 0.000720
28 0.000720
27 0.000721
28 0.000721
27 0.000727
27 0.000728
26 0.000730
26 0.000732
26 0.000735
26 0.000738
26 0.000738
26 0.000739
26 0.000740
25 0.000742
27 0.000750
27 0.000752
26 0.000753
26 0.000757
26 0.000758
26 0.000760
36 0.000965
36 0.000981
36 0.000987
35 0.001008
35 0.001012
35 0.001018
35 0.001025
35 0.001042
35 0.001045
34 0.001077
34 0.001086
34 0.001094
34 0.001095
34 0.001105
36 0.001400
36 0.001432
36 0.001442
35 0.001457
35 0.001471
35 0.001474
35 0.001475
35 0.001475
35 0.001475
35 0.001504
35 0.001505
35 0.001510
35 0.001516
26 0.001521
35 0.001526
34 0.001527
35 0.001534
35 0.001538
35 0.001540
35 0.001541
35 0.001542
35 0.001542
35 0.001542
34 0.001542
34 0.001558
34 0.001592
34 0.001597
34 0.001597
26 0.001606
26 0.001633
34 0.001638
26 0.001793
26 0.001799
26 0.002118
26 0.002137
25 0.002182
26 0.002226
26 0.002274
26 0.002476
26 0.002541
26 0.002562
26 0.002573
35 0.003193
35 0.003196
35 0.003265
35 0.003336
35 0.003336
34 0.003375
34 0.003439
34 0.003451
18 0.003519
18 0.003540
26 0.004810
26 0.004859
26 0.004992
26 0.005085
28 0.005259
29 0.005364
29 0.005397
30 0.005460
26 0.005572
26 0.005593
31 0.005699
29 0.005849
29 0.005870
26 0.005938
26 0.005947
29 0.005971
31 0.005972
30 0.006032
30 0.006073
9 0.006210
31 0.006241
31 0.006310
30 0.006369
31 0.006412
32 0.006465
32 0.006507
31 0.006538
9 0.006655
32 0.006652
28 0.006873
29 0.006942
32 0.006996
30 0.007189
33 0.007263
33 0.007276
29 0.007466
9 0.007546
33 0.007568
33 0.007568
9 0.007630
31 0.007660
9 0.007679
33 0.007710
32 0.007890
31 0.007923
31 0.004159
31 0.007958
29 0.007995
33 0.008073
32 0.008445
30 0.008625
29 0.008698
34 0.009105
18 0.009140
35 0.009170
10 0.009177
18 0.009200
18 0.009221
18 0.009271
18 0.009295
18 0.009335
18 0.009356
32 0.009373
31 0.009508
19 0.009623
10 0.009669
10 0.009701
10 0.009819
33 0.009824
10 0.009841
10 0.009851
10 0.009851
10 0.009891
10 0.009904
20 0.009916
10 0.009920
10 0.009922
10 0.009926
18 0.009933
10 0.009953
10 0.009953
10 0.009965
20 0.009966
10 0.009983
10 0.010007
10 0.010011
20 0.010025
10 0.010026
10 0.010030
10 0.010065
10 0.010066
10 0.010088
10 0.010107
10 0.010116
10 0.010118
10 0.010122
10 0.010137
10 0.010167
10 0.010169
10 0.010172
10 0.010199
18 0.010200
10 0.010215
10 0.010226
10 0.010230
10 0.010269
10 0.010275
10 0.010284
10 0.010291
20 0.010302
10 0.010325
21 0.010327
10 0.010349
10 0.010357
21 0.010368
10 0.010379
10 0.010402
21 0.010401
10 0.010437
10 0.010462
21 0.010717
23 0.010724
21 0.010770
22 0.010836
21 0.010888
22 0.010898
22 0.010965
22 0.011006
25 0.011024
30 0.011061
23 0.011105
35 0.011109
33 0.011162
22 0.011168
23 0.011259
23 0.011259
22 0.011401
23 0.011401
23 0.011437
8 0.011474
23 0.011492
9 0.011495
8 0.011524
9 0.011574
8 0.011605
23 0.011680
8 0.011735
9 0.011771
33 0.011772
8 0.011818
23 0.011847
24 0.011862
19 0.011867
23 0.011885
8 0.011945
8 0.011954
8 0.011960
8 0.011988
8 0.012091
8 0.012096
8 0.012130
8 0.012149
8 0.012158
8 0.012160
8 0.012189
8 0.012292
8 0.012308
33 0.012300
8 0.012350
8 0.012357
8 0.012378
8 0.012389
23 0.012432
8 0.012448
23 0.012452
8 0.012476
8 0.012482
8 0.012501
8 0.012530
8 0.012544
8 0.012669
8 0.012681
25 0.012689
23 0.012729
23 0.012765
8 0.012774
23 0.012849
25 0.012942
25 0.013000
25 0.012990
24 0.013070
23 0.013070
1 0.013109
1 0.013143
25 0.013179
24 0.013179
1 0.013212
24 0.013247
23 0.013279
1 0.013281
1 0.013317
25 0.013322
1 0.013390
1 0.013409
24 0.013410
1 0.013588
25 0.013602
25 0.013698
8 0.013842
8 0.013878
23 0.013942
8 0.014017
26 0.014089
35 0.014100
25 0.014166
8 0.014212
32 0.014313
8 0.014351
25 0.014397
25 0.014395
25 0.014440
23 0.014467
27 0.014538
25 0.014551
8 0.014551
27 0.014578
25 0.014608
25 0.014612
25 0.014694
27 0.014751
25 0.014865
27 0.014973
24 0.014976
25 0.014978
25 0.015046
27 0.015089
32 0.015112
24 0.015202
24 0.015211
27 0.015239
27 0.015239
8 0.015319
25 0.015504
8 0.015552
25 0.015818
27 0.015843
27 0.015903
36 0.015911
26 0.015992
8 0.015995
30 0.016090
25 0.016116
27 0.016209
8 0.016241
25 0.016332
26 0.016516
25 0.016608
25 0.016895
25 0.016961
33 0.016985
27 0.016998
27 0.017078
25 0.017114
25 0.017234
24 0.017247
27 0.017303
27 0.017360
25 0.017400
34 0.017404
