Symbol: Cs
Atomic Number: 55
Atomic Mass: 132.905000
Start Spectral Index: 4
1 94
2 209
3 97
4 14
End Spectral Index:
Order of Magnitude: 0.000001
Start Spectral Lines:
2 0.059104
3 0.061401
3 0.063817
2 0.063936
3 0.066625
2 0.066839
3 0.069160
3 0.070389
4 0.070720
2 0.071814
3 0.072179
3 0.072220
3 0.073156
3 0.074029
4 0.075957
4 0.077821
2 0.080876
2 0.081384
4 0.082480
4 0.082886
3 0.083039
4 0.086818
4 0.087484
4 0.089692
2 0.090127
3 0.092035
4 0.092302
2 0.092666
4 0.098614
4 0.099514
4 0.101913
3 0.105479
4 0.106891
4 0.128266
2 0.165615
3 0.167399
2 0.168946
2 0.169183
3 0.170525
2 0.171764
2 0.171897
2 0.172779
2 0.173677
3 0.180183
2 0.180783
2 0.181375
2 0.181516
3 0.182240
3 0.182393
3 0.182470
2 0.184050
3 0.184180
2 0.185916
2 0.186483
2 0.187672
2 0.188393
2 0.191461
3 0.191550
3 0.192329
2 0.193519
3 0.196133
3 0.199656
2 0.202562
2 0.202897
3 0.203576
3 0.205709
3 0.207709
3 0.207796
2 0.208071
2 0.208786
3 0.208934
3 0.210230
2 0.210289
3 0.214214
2 0.220621
2 0.222122
2 0.224651
2 0.226835
2 0.227454
2 0.228612
2 0.228686
2 0.231640
3 0.231759
3 0.232666
2 0.233318
3 0.234121
2 0.237659
2 0.238000
2 0.239359
2 0.242591
3 0.245655
3 0.247832
3 0.248620
3 0.249582
3 0.252643
2 0.254469
3 0.257382
3 0.259764
2 0.259777
2 0.261021
3 0.261090
2 0.262964
3 0.263129
2 0.269998
3 0.270112
3 0.270200
3 0.277726
2 0.279060
2 0.279413
3 0.281170
2 0.281775
2 0.282987
3 0.284654
3 0.286016
2 0.286720
3 0.289470
3 0.292199
2 0.293194
3 0.297773
3 0.300215
3 0.306748
3 0.315027
2 0.315210
3 0.315327
1 0.320440
1 0.320620
1 0.320840
1 0.321090
1 0.321370
1 0.321710
1 0.322100
1 0.322110
1 0.322570
1 0.322590
1 0.323140
1 0.323160
1 0.323830
1 0.323850
1 0.324680
1 0.324710
1 0.325760
1 0.325800
2 0.326685
2 0.326806
3 0.326926
1 0.327140
1 0.327190
2 0.327257
1 0.328950
1 0.329020
1 0.331410
1 0.331500
3 0.331646
3 0.334156
3 0.334498
1 0.334850
1 0.334980
3 0.335042
2 0.336954
1 0.339890
1 0.340100
3 0.346444
1 0.347780
3 0.347783
1 0.348100
2 0.351505
3 0.356084
3 0.359848
3 0.360934
1 0.361240
2 0.361604
1 0.361830
3 0.361922
3 0.364238
3 0.365212
3 0.366244
2 0.368116
3 0.370055
2 0.373362
2 0.378652
2 0.380620
3 0.383855
2 0.386259
1 0.387725
3 0.388947
1 0.388971
2 0.389809
3 0.392671
2 0.396063
2 0.396632
2 0.397537
3 0.400283
3 0.400768
3 0.400791
2 0.404099
3 0.404456
2 0.406993
2 0.415244
2 0.421433
2 0.423339
2 0.423560
2 0.426590
2 0.427833
2 0.428959
2 0.430186
2 0.436453
2 0.437427
2 0.438567
3 0.440510
2 0.440650
3 0.441146
3 0.442692
3 0.447273
2 0.450281
3 0.450798
3 0.452413
2 0.452801
2 0.454024
1 0.455656
1 0.459446
2 0.460508
2 0.461746
3 0.462190
2 0.464782
3 0.466683
2 0.467160
2 0.473431
2 0.476497
2 0.478772
2 0.483154
3 0.485295
2 0.487140
2 0.488141
2 0.495423
2 0.497399
3 0.503712
2 0.504521
2 0.506128
2 0.509802
2 0.521103
2 0.522850
2 0.525084
2 0.527552
2 0.530808
2 0.535062
2 0.537248
3 0.538229
2 0.540428
2 0.542118
1 0.546746
1 0.550441
2 0.556456
1 0.563677
1 0.566559
1 0.574731
2 0.581577
2 0.583276
1 0.584045
1 0.584676
2 0.592727
3 0.595179
3 0.598163
2 0.598605
1 0.601215
1 0.603576
3 0.604566
2 0.607840
3 0.608154
2 0.613031
3 0.615212
1 0.621482
1 0.621932
3 0.624469
1 0.635631
2 0.642129
3 0.645811
2 0.649732
2 0.653825
1 0.658833
2 0.662984
1 0.663049
2 0.664841
1 0.672514
2 0.672633
3 0.675498
1 0.682653
1 0.687235
2 0.695742
1 0.697522
2 0.698160
1 0.698542
2 0.713251
2 0.715151
2 0.716287
2 0.719035
2 0.720803
3 0.722159
1 0.723052
2 0.725088
1 0.728191
1 0.728197
2 0.737139
2 0.743983
2 0.752546
1 0.761099
2 0.765406
2 0.774911
2 0.785468
1 0.794607
2 0.799964
2 0.801518
1 0.801793
2 0.804934
2 0.808072
1 0.808116
