Symbol: Pm
Atomic Number: 61
Atomic Mass: 145.000000
Start Spectral Index: 2
1 229
2 195
End Spectral Index:
Order of Magnitude: 0.000001
Start Spectral Lines:
2 0.250287
2 0.260902
2 0.263278
2 0.263925
2 0.267184
2 0.278854
2 0.280888
2 0.282093
2 0.284166
2 0.284270
2 0.285830
2 0.300547
2 0.300973
2 0.307330
2 0.308692
2 0.309109
2 0.309276
2 0.310901
2 0.311626
2 0.311812
2 0.311966
1 0.316315
1 0.316974
2 0.317369
1 0.322297
1 0.323948
2 0.324055
1 0.329758
2 0.331271
1 0.331433
1 0.333018
1 0.333253
1 0.335541
2 0.335911
2 0.336118
2 0.336541
1 0.336700
2 0.337865
2 0.339225
2 0.340904
2 0.342838
2 0.344214
2 0.345079
2 0.346124
2 0.346390
2 0.348161
2 0.349813
2 0.351586
1 0.354782
2 0.356045
2 0.356633
2 0.358112
2 0.361179
2 0.363087
2 0.363524
2 0.366043
1 0.367026
1 0.367590
2 0.367956
1 0.368090
2 0.368870
2 0.369084
2 0.369355
2 0.369855
1 0.369868
2 0.370368
2 0.371278
2 0.371681
2 0.372278
1 0.372707
1 0.373949
1 0.374174
2 0.374358
1 0.374403
2 0.374692
2 0.374816
2 0.375116
1 0.376275
1 0.376682
1 0.377649
1 0.378184
1 0.378250
2 0.379674
2 0.380714
1 0.381028
1 0.381201
2 0.382034
2 0.382161
1 0.384061
2 0.384397
2 0.384407
2 0.384647
1 0.387513
2 0.387872
1 0.388689
1 0.389207
2 0.389325
1 0.389983
2 0.390088
2 0.391061
2 0.391137
2 0.392021
2 0.393759
2 0.394533
1 0.395588
2 0.395886
2 0.398187
2 0.399618
2 0.400009
2 0.401109
2 0.401385
2 0.401533
2 0.402048
2 0.402934
2 0.404650
2 0.405268
2 0.405635
1 0.405771
2 0.407699
1 0.408646
2 0.408725
2 0.414163
2 0.418692
2 0.419410
2 0.419588
2 0.422334
1 0.426552
1 0.428558
2 0.429899
2 0.430510
1 0.430685
1 0.432001
2 0.432714
2 0.433327
2 0.433776
2 0.433870
2 0.434334
1 0.434894
1 0.436515
1 0.437087
2 0.438311
1 0.438972
2 0.438999
1 0.441066
1 0.441371
2 0.441920
2 0.443375
1 0.443711
1 0.443780
1 0.443993
2 0.444666
2 0.444815
2 0.445520
2 0.446122
1 0.446941
2 0.447273
2 0.447449
2 0.447872
1 0.447984
1 0.448286
1 0.448631
1 0.449176
2 0.449331
2 0.450141
1 0.450159
1 0.450810
2 0.451064
2 0.451483
1 0.451858
1 0.452459
2 0.452647
1 0.452739
1 0.452803
1 0.452897
2 0.453048
1 0.454133
1 0.454269
1 0.454302
1 0.454535
1 0.454644
1 0.455106
1 0.455531
1 0.455591
1 0.455662
1 0.455734
1 0.455831
1 0.456049
2 0.456611
1 0.456942
1 0.457165
1 0.457343
1 0.457655
1 0.457956
1 0.457969
1 0.458076
1 0.458242
1 0.458677
1 0.459511
1 0.459711
1 0.459884
1 0.460154
1 0.460425
1 0.460588
1 0.460695
1 0.461114
2 0.461716
1 0.461831
1 0.461969
1 0.461978
1 0.462104
1 0.462286
1 0.462460
1 0.462498
1 0.462571
1 0.462659
1 0.462890
1 0.463223
1 0.463475
1 0.464226
1 0.464466
1 0.464506
1 0.464724
1 0.464833
1 0.465172
1 0.465182
1 0.465471
1 0.465580
1 0.465635
1 0.466068
1 0.466209
1 0.466457
1 0.466477
1 0.466650
1 0.467254
1 0.467307
1 0.467573
1 0.467877
1 0.467923
1 0.467940
1 0.468423
1 0.469811
1 0.470083
2 0.472338
1 0.472838
1 0.472968
1 0.473000
1 0.473559
1 0.473932
2 0.474041
1 0.474111
1 0.474646
1 0.475906
1 0.476033
1 0.476390
1 0.477479
1 0.478263
1 0.479593
1 0.479677
1 0.480032
1 0.480270
1 0.481088
1 0.481330
1 0.481847
1 0.482907
