Symbol: Dy
Atomic Number: 66
Atomic Mass: 162.500000
Start Spectral Index: 2
1 230
2 421
End Spectral Index:
Order of Magnitude: 0.000001
Start Spectral Lines:
2 0.235763
2 0.238809
2 0.240302
2 0.241074
2 0.242349
2 0.244058
2 0.245589
2 0.246073
2 0.247215
2 0.248168
2 0.249136
2 0.251107
2 0.251431
2 0.251837
2 0.254457
2 0.254588
2 0.255306
2 0.255871
2 0.256098
2 0.256702
1 0.258607
2 0.259234
2 0.259332
2 0.260094
2 0.260154
2 0.260947
1 0.262447
2 0.263559
1 0.264294
2 0.264614
1 0.266873
2 0.267764
2 0.267814
2 0.269011
2 0.269363
2 0.270981
2 0.272798
2 0.273031
1 0.273660
2 0.274011
2 0.274151
2 0.275656
2 0.275789
2 0.276732
2 0.277324
2 0.277343
2 0.278040
2 0.279226
2 0.280116
2 0.280136
2 0.280224
2 0.281722
2 0.282625
1 0.286354
2 0.287872
2 0.288513
1 0.288638
2 0.289159
2 0.290167
2 0.290547
2 0.290724
2 0.291480
2 0.293517
2 0.293538
2 0.294191
2 0.294542
2 0.294792
2 0.294807
2 0.294917
2 0.295119
2 0.295298
2 0.295456
1 0.296547
2 0.297829
2 0.298684
2 0.301656
2 0.302704
2 0.303069
2 0.303916
2 0.304402
2 0.304845
2 0.306153
2 0.306351
2 0.306788
2 0.307280
2 0.307443
2 0.307957
2 0.310283
2 0.310414
2 0.311066
2 0.312932
2 0.313629
2 0.314155
2 0.314205
2 0.314474
2 0.314707
1 0.314860
2 0.315743
2 0.316375
2 0.317091
2 0.317881
2 0.317929
2 0.318571
2 0.318730
2 0.318860
2 0.319422
2 0.320733
2 0.320805
2 0.320978
2 0.321612
2 0.321756
2 0.322242
2 0.322421
2 0.322601
2 0.322688
2 0.323682
2 0.323762
2 0.324606
2 0.324930
2 0.325221
2 0.325313
2 0.325720
1 0.326410
2 0.326715
2 0.327005
2 0.327367
2 0.328104
2 0.328372
2 0.328889
2 0.329483
2 0.329725
2 0.330635
2 0.330646
2 0.330714
2 0.330974
2 0.330983
2 0.331367
2 0.331727
2 0.331807
2 0.332084
2 0.332715
2 0.334196
2 0.334284
2 0.334879
2 0.335365
2 0.335454
2 0.336043
2 0.336908
2 0.338599
2 0.338754
2 0.338982
2 0.339293
2 0.339454
2 0.339713
2 0.340814
2 0.340878
2 0.340912
2 0.341476
2 0.341580
2 0.342061
2 0.342604
2 0.343042
2 0.343535
2 0.343993
2 0.344192
2 0.344244
2 0.344656
2 0.344798
2 0.345088
2 0.345531
2 0.345550
2 0.345755
2 0.346196
2 0.346942
2 0.347213
2 0.347252
2 0.347469
2 0.347807
2 0.349549
2 0.349734
2 0.349881
2 0.349971
2 0.350250
2 0.350553
2 0.350645
2 0.350781
1 0.351200
2 0.351827
2 0.352499
2 0.353271
2 0.353597
2 0.353703
2 0.353953
2 0.354038
2 0.354334
2 0.354521
2 0.354536
2 0.354784
2 0.354920
2 0.355123
2 0.355263
2 0.355925
2 0.356032
2 0.356417
2 0.356471
1 0.357240
2 0.357485
2 0.357517
2 0.357726
2 0.357789
2 0.357900
2 0.358106
2 0.358544
2 0.358608
2 0.358680
2 0.358713
2 0.359109
2 0.359243
2 0.359284
2 0.359314
2 0.359607
2 0.359709
2 0.360141
2 0.360385
2 0.360715
2 0.361954
2 0.362119
2 0.362530
2 0.363045
2 0.363127
2 0.363382
2 0.363631
2 0.363832
2 0.364129
2 0.364496
2 0.364644
2 0.364690
2 0.364982
2 0.366566
1 0.366788
2 0.367335
2 0.367375
2 0.367419
2 0.367513
2 0.367764
1 0.367956
1 0.368590
1 0.368683
2 0.369586
2 0.369836
2 0.369926
2 0.370268
2 0.370845
2 0.370862
2 0.370928
2 0.371113
2 0.371272
2 0.372551
1 0.372906
1 0.374040
2 0.374889
2 0.375458
2 0.375482
1 0.375812
2 0.375844
1 0.376870
1 0.377218
1 0.377412
1 0.377578
1 0.378254
2 0.378649
2 0.378726
2 0.378952
2 0.379295
2 0.380522
2 0.380735
1 0.381335
2 0.381475
2 0.381784
2 0.382677
2 0.383759
1 0.384198
2 0.384240
2 0.384309
1 0.384545
2 0.384743
1 0.384811
2 0.385048
2 0.385412
1 0.385949
2 0.386768
2 0.386955
1 0.386991
2 0.387052
2 0.387096
2 0.387321
2 0.387509
2 0.388021
2 0.388309
2 0.389963
2 0.391598
2 0.391670
1 0.391840
2 0.392449
1 0.392897
1 0.393125
2 0.393263
2 0.393333
2 0.393411
2 0.393532
1 0.393781
2 0.394365
2 0.394580
2 0.394805
2 0.395151
2 0.395567
2 0.395891
1 0.396371
1 0.396863
2 0.396951
2 0.397970
2 0.398305
2 0.398478
2 0.398534
2 0.399245
2 0.399782
2 0.400158
1 0.400697
1 0.400720
2 0.401242
1 0.401495
2 0.401583
1 0.402485
2 0.402892
2 0.402946
2 0.403361
2 0.403479
2 0.403746
2 0.404312
1 0.404711
2 0.405170
2 0.405629
2 0.407427
2 0.407911
1 0.408649
1 0.409726
2 0.410446
1 0.410503
2 0.411250
2 0.412579
2 0.412940
1 0.413028
2 0.413058
1 0.413152
1 0.413502
2 0.414267
2 0.414427
1 0.414723
1 0.416914
1 0.417311
1 0.418490
1 0.418800
1 0.419212
1 0.419282
1 0.419602
2 0.419637
1 0.419920
1 0.420248
1 0.420342
1 0.420624
2 0.420773
1 0.421243
1 0.421291
1 0.421437
1 0.421635
1 0.421928
1 0.422230
1 0.422340
1 0.422635
1 0.423321
1 0.424104
1 0.424711
2 0.425753
1 0.426950
1 0.427789
1 0.429320
2 0.429614
1 0.429625
2 0.430984
1 0.432708
2 0.435967
2 0.437547
2 0.437599
2 0.441062
1 0.444583
2 0.445095
2 0.445685
2 0.446939
1 0.452885
2 0.452903
2 0.454293
1 0.456637
1 0.457906
1 0.459065
1 0.461355
1 0.461512
1 0.461611
2 0.461855
2 0.462132
1 0.466403
2 0.466597
2 0.467491
2 0.468334
2 0.469106
2 0.469999
1 0.472254
2 0.472845
2 0.473316
2 0.474706
2 0.475632
2 0.476137
1 0.477327
1 0.477614
1 0.477713
2 0.478826
1 0.479263
1 0.480198
1 0.480928
1 0.481162
1 0.481415
1 0.482039
1 0.482631
1 0.483023
2 0.483103
1 0.483373
2 0.483510
1 0.484310
2 0.485760
2 0.486941
1 0.487729
1 0.488152
1 0.488591
1 0.488945
2 0.489070
2 0.489147
1 0.489505
1 0.490061
1 0.491778
2 0.492359
2 0.492453
2 0.495872
1 0.496097
1 0.497496
1 0.498691
1 0.500527
2 0.500568
1 0.501200
2 0.501938
1 0.502352
1 0.502543
1 0.502594
1 0.502927
1 0.503440
1 0.504404
1 0.504866
1 0.505162
1 0.505476
1 0.505687
1 0.507209
1 0.507909
2 0.509180
1 0.511174
1 0.512147
1 0.513645
2 0.514103
2 0.516247
2 0.516556
1 0.516678
2 0.517113
2 0.517434
1 0.518674
2 0.518989
2 0.519431
2 0.519911
2 0.524840
1 0.526134
1 0.526202
1 0.526858
2 0.527372
2 0.527676
2 0.528117
1 0.528354
2 0.528646
2 0.529929
1 0.530306
2 0.531050
1 0.532617
2 0.533891
1 0.534179
1 0.535360
2 0.536969
2 0.538713
2 0.539108
1 0.539707
2 0.540143
1 0.540569
1 0.542064
1 0.542483
1 0.542578
2 0.542821
2 0.544485
1 0.545262
2 0.545699
2 0.547062
1 0.549836
1 0.550432
1 0.550805
2 0.551694
1 0.552955
1 0.554881
2 0.560220
1 0.560709
1 0.561479
1 0.562905
1 0.564107
1 0.564756
1 0.565358
1 0.568716
2 0.570030
1 0.570449
1 0.572005
1 0.574179
1 0.574712
1 0.575207
1 0.576039
2 0.586974
2 0.591680
2 0.592620
1 0.594745
1 0.596611
1 0.597614
1 0.598652
1 0.599022
1 0.601060
1 0.601248
1 0.601893
1 0.603265
1 0.605986
1 0.608674
1 0.608995
1 0.612885
1 0.613534
1 0.615998
1 0.617014
2 0.619794
1 0.626082
1 0.626209
1 0.634507
1 0.638857
2 0.639837
1 0.642370
1 0.643833
1 0.646262
2 0.647037
1 0.647670
2 0.648538
1 0.648838
1 0.655983
1 0.658119
2 0.659596
1 0.664520
1 0.666020
1 0.666348
1 0.666970
2 0.670249
1 0.674979
1 0.675949
1 0.676776
1 0.682008
1 0.683731
1 0.685485
1 0.685835
1 0.689073
2 0.689987
2 0.690122
2 0.690844
1 0.693146
2 0.695220
1 0.695334
1 0.696000
1 0.698437
1 0.699323
1 0.700003
1 0.701936
2 0.705790
2 0.707709
2 0.711122
2 0.712277
2 0.717709
1 0.721526
1 0.723203
1 0.725201
2 0.734715
2 0.737226
1 0.737807
1 0.740963
1 0.741441
2 0.742891
2 0.745910
2 0.751868
1 0.754581
1 0.755508
1 0.756186
2 0.756504
2 0.757955
1 0.759339
1 0.761365
1 0.761980
1 0.764319
1 0.764796
1 0.764874
1 0.766447
2 0.766889
1 0.771745
2 0.773189
2 0.775375
1 0.781421
1 0.791156
1 0.797082
2 0.798505
1 0.814953
2 0.820102
2 0.820382
2 0.822088
1 0.826780
1 0.832839
2 0.839432
2 0.840816
2 0.841895
2 0.844090
1 0.863249
2 0.865832
2 0.866006
2 0.868087
2 0.869922
2 0.871834
2 0.875280
1 0.878324
2 0.879380
2 0.883551
2 0.885280
End Spectral Lines:
