Symbol: Re
Atomic Number: 75
Atomic Mass: 186.207000
Start Spectral Index: 2
1 432
2 56
End Spectral Index:
Order of Magnitude: 0.000001
Start Spectral Lines:
1 0.200418
1 0.201852
1 0.204974
1 0.207536
1 0.208458
1 0.208625
2 0.209308
1 0.209779
1 0.210989
2 0.213971
2 0.214342
1 0.214365
1 0.215735
1 0.216862
1 0.217689
2 0.221495
1 0.221527
1 0.222711
1 0.223613
1 0.225643
1 0.225689
1 0.226509
1 0.227532
2 0.227595
1 0.228232
1 0.228822
1 0.229520
2 0.229880
1 0.230048
1 0.230370
1 0.230725
1 0.231368
1 0.231405
1 0.231990
1 0.232087
1 0.232320
1 0.232937
1 0.233505
1 0.233645
1 0.233682
1 0.233867
1 0.234550
1 0.235011
1 0.235118
1 0.235279
1 0.235467
1 0.235722
1 0.236604
1 0.236662
1 0.236840
2 0.236925
1 0.236999
2 0.237148
1 0.237224
2 0.237420
1 0.237580
2 0.237926
1 0.238050
2 0.238763
1 0.238930
1 0.239438
1 0.239510
1 0.239752
1 0.239804
1 0.240145
1 0.240162
1 0.240241
2 0.240377
1 0.240579
1 0.240633
1 0.240743
1 0.241110
2 0.241893
1 0.242055
1 0.242247
1 0.242262
2 0.242458
1 0.242932
1 0.243228
1 0.243292
1 0.244221
1 0.244325
1 0.244568
1 0.244772
2 0.244977
2 0.245026
1 0.245045
2 0.245657
1 0.246194
2 0.246258
2 0.246832
2 0.246860
2 0.247011
2 0.247136
2 0.247180
2 0.247447
2 0.247592
2 0.247818
1 0.247977
1 0.248467
1 0.248656
1 0.248808
2 0.249091
1 0.249359
1 0.249679
1 0.249897
1 0.250247
2 0.250310
2 0.250535
1 0.250670
1 0.250975
1 0.252077
1 0.252226
2 0.253486
1 0.253556
1 0.254127
1 0.254550
1 0.254624
2 0.255086
1 0.255279
2 0.255436
2 0.255540
1 0.255728
1 0.255985
1 0.256496
2 0.256941
2 0.257258
1 0.258756
1 0.260064
1 0.260467
2 0.260928
1 0.261232
2 0.261750
1 0.262354
2 0.263662
1 0.263743
2 0.263780
2 0.264181
1 0.264354
2 0.264925
1 0.264984
1 0.265269
1 0.265491
1 0.266442
1 0.267513
1 0.268933
1 0.271627
2 0.273237
1 0.273302
2 0.273385
2 0.275445
1 0.275882
1 0.276461
1 0.276721
1 0.276856
1 0.276967
1 0.277014
1 0.277124
1 0.278439
1 0.279211
2 0.280411
1 0.281551
2 0.282061
1 0.282078
1 0.283491
1 0.283838
1 0.284119
1 0.284384
1 0.285182
1 0.286803
1 0.287612
1 0.288429
1 0.288853
2 0.288891
1 0.289686
1 0.290333
1 0.290643
1 0.291067
2 0.291758
1 0.292828
1 0.293147
1 0.294400
2 0.295877
1 0.296314
1 0.296598
1 0.296663
2 0.296985
1 0.297716
1 0.297902
1 0.298169
1 0.298306
1 0.298934
1 0.299323
1 0.300047
1 0.300201
1 0.300502
1 0.300730
1 0.301690
1 0.301737
1 0.303133
1 0.304814
1 0.305967
1 0.306829
1 0.307083
1 0.307205
1 0.307385
1 0.308333
1 0.308966
1 0.309454
1 0.309596
1 0.310157
2 0.310396
1 0.310971
1 0.311176
1 0.311909
1 0.312227
1 0.312985
1 0.313493
1 0.314229
1 0.315255
1 0.315470
1 0.315922
1 0.316544
1 0.316929
1 0.317553
1 0.317863
1 0.317953
1 0.318379
1 0.318568
1 0.318649
1 0.319170
1 0.319328
1 0.319542
1 0.319950
1 0.320518
1 0.323687
1 0.325979
1 0.326049
1 0.326250
1 0.326983
1 0.329578
1 0.329765
1 0.329794
1 0.330255
1 0.330318
2 0.330416
1 0.330470
1 0.331490
1 0.332344
1 0.333248
1 0.333914
1 0.334320
1 0.334528
1 0.334716
1 0.335729
1 0.335899
1 0.336371
1 0.337871
2 0.338003
1 0.338067
1 0.338673
1 0.339040
1 0.339122
1 0.340028
1 0.340570
1 0.340687
1 0.340965
1 0.341081
1 0.341875
1 0.342039
1 0.342560
1 0.342717
1 0.342859
1 0.343870
1 0.345036
1 0.345287
1 0.345449
1 0.346145
1 0.346572
1 0.346895
1 0.347744
1 0.348138
1 0.348185
1 0.348323
1 0.350406
1 0.351328
1 0.351766
1 0.351834
1 0.353583
1 0.353847
1 0.354034
1 0.355090
1 0.355230
1 0.355467
1 0.355996
1 0.356925
1 0.357128
1 0.358014
2 0.358117
1 0.358199
1 0.358404
1 0.359742
1 0.361152
1 0.361811
1 0.362249
1 0.362694
1 0.363810
1 0.363888
1 0.365301
1 0.367083
1 0.367158
1 0.369055
1 0.369253
1 0.369876
1 0.370429
1 0.370607
1 0.371099
1 0.371834
1 0.372682
1 0.373293
1 0.373334
1 0.373607
1 0.373637
1 0.374116
1 0.374147
2 0.374332
1 0.374650
1 0.376755
1 0.376933
1 0.377873
1 0.378860
1 0.379767
1 0.379867
1 0.380882
1 0.381674
1 0.383739
1 0.387104
1 0.387636
1 0.387796
1 0.390932
1 0.391503
1 0.391838
1 0.393096
1 0.393801
1 0.394584
1 0.394703
1 0.396216
1 0.396360
1 0.400606
1 0.402410
1 0.402445
1 0.403077
1 0.403445
1 0.403863
1 0.405013
1 0.408258
1 0.410558
1 0.411205
1 0.412280
1 0.413459
1 0.413762
1 0.414553
1 0.415113
1 0.417158
1 0.418408
1 0.418424
1 0.422227
1 0.422865
1 0.424258
1 0.425880
1 0.429238
1 0.430561
1 0.433347
2 0.435920
1 0.435992
1 0.436881
1 0.439257
1 0.439561
1 0.440764
1 0.441706
1 0.447634
1 0.447965
1 0.450830
1 0.451458
1 0.451791
1 0.452400
1 0.452515
1 0.453122
1 0.454644
1 0.458196
1 0.460702
1 0.462267
1 0.479276
1 0.489051
1 0.492527
1 0.505997
1 0.509792
1 0.512175
1 0.516309
1 0.518033
1 0.518318
1 0.523577
1 0.525032
1 0.527242
1 0.527703
1 0.527971
1 0.530704
1 0.531876
1 0.532276
1 0.532894
1 0.533338
1 0.533424
1 0.533533
1 0.537097
1 0.537129
1 0.537860
1 0.543341
1 0.543854
1 0.544943
1 0.546216
1 0.552158
1 0.552263
1 0.553422
1 0.556478
1 0.557502
1 0.558627
1 0.560877
1 0.561383
1 0.566945
1 0.571301
1 0.571854
1 0.575453
1 0.577843
1 0.579321
1 0.581753
1 0.583593
1 0.592150
1 0.594489
1 0.595186
1 0.597142
1 0.599165
1 0.599739
1 0.611591
1 0.614751
1 0.614852
1 0.620496
1 0.621969
1 0.623114
1 0.624497
1 0.626175
1 0.626197
1 0.627310
1 0.628050
1 0.628815
1 0.630516
1 0.630944
1 0.632365
1 0.635251
1 0.638470
1 0.641324
1 0.651327
1 0.651705
1 0.654672
1 0.657893
1 0.659434
1 0.660701
1 0.662574
1 0.663908
1 0.665423
1 0.668513
1 0.671315
1 0.675308
1 0.676306
1 0.681529
1 0.683178
1 0.697345
1 0.700856
1 0.702609
1 0.724867
1 0.729473
1 0.758082
1 0.761399
1 0.762235
1 0.764304
1 0.791512
1 0.798297
1 0.841944
1 0.853007
End Spectral Lines:
