Symbol: Os
Atomic Number: 76
Atomic Mass: 190.230000
Start Spectral Index: 2
1 534
2 38
End Spectral Index:
Order of Magnitude: 0.000001
Start Spectral Lines:
1 0.200210
1 0.200438
1 0.201080
1 0.201879
1 0.202341
1 0.202888
1 0.203509
1 0.204602
1 0.205935
1 0.205944
1 0.206235
2 0.206787
2 0.207133
1 0.207761
1 0.208063
1 0.208320
1 0.208969
1 0.208987
1 0.209827
1 0.210130
1 0.211833
1 0.211863
1 0.212451
1 0.213778
1 0.215527
1 0.215852
1 0.215921
1 0.216758
1 0.216843
1 0.217233
1 0.218536
2 0.219508
1 0.220318
1 0.222867
1 0.223530
1 0.225285
2 0.225655
1 0.226530
1 0.226898
1 0.227087
2 0.228296
1 0.228437
1 0.229003
1 0.229802
1 0.230902
2 0.231446
1 0.232089
1 0.232469
1 0.232495
1 0.232770
1 0.233528
2 0.233752
1 0.233935
1 0.234141
1 0.234446
1 0.234647
1 0.234810
2 0.235095
1 0.235371
2 0.235600
1 0.235764
1 0.235797
1 0.236313
1 0.236349
2 0.236807
1 0.236996
1 0.237142
1 0.237190
2 0.237579
1 0.237776
1 0.237834
1 0.238012
1 0.238535
1 0.238802
1 0.239502
1 0.239612
1 0.239661
1 0.239751
1 0.240186
1 0.240296
1 0.240427
1 0.240458
2 0.240581
1 0.240618
1 0.240669
1 0.240940
1 0.241171
1 0.241525
1 0.241872
1 0.241926
2 0.242076
2 0.242381
2 0.242476
1 0.242530
1 0.242571
1 0.242755
2 0.242864
1 0.243193
1 0.243235
1 0.244676
1 0.245148
1 0.245247
1 0.245464
2 0.245565
1 0.245720
1 0.246216
2 0.246965
1 0.247303
1 0.247553
1 0.247759
1 0.248318
2 0.248699
1 0.248930
1 0.249177
1 0.249244
1 0.249317
1 0.249916
1 0.250067
1 0.250304
1 0.250514
1 0.250526
2 0.250794
2 0.251047
1 0.251363
1 0.251401
1 0.251580
1 0.251868
1 0.251920
1 0.252005
1 0.252055
1 0.253320
2 0.253876
1 0.253886
1 0.254327
2 0.254960
1 0.255523
2 0.256393
1 0.256726
1 0.256765
1 0.256960
1 0.257255
2 0.257909
2 0.258080
1 0.258182
1 0.258273
1 0.259153
1 0.259276
2 0.259678
1 0.260998
1 0.261034
1 0.261156
1 0.261341
1 0.261384
1 0.262072
1 0.262140
1 0.262260
1 0.262926
2 0.263200
1 0.263792
1 0.264490
1 0.264768
1 0.264852
1 0.265013
1 0.265747
1 0.265939
1 0.266062
1 0.266197
2 0.266508
1 0.267536
1 0.267568
1 0.269062
1 0.270039
1 0.270750
1 0.271544
1 0.271616
1 0.272085
1 0.272267
1 0.273142
2 0.273217
1 0.273361
1 0.276224
1 0.276409
1 0.276586
1 0.277153
1 0.277773
1 0.278337
2 0.278470
1 0.278713
1 0.279481
1 0.279501
1 0.279755
1 0.280490
1 0.280774
1 0.280977
1 0.281467
1 0.281503
1 0.281661
1 0.283010
1 0.283825
1 0.283900
1 0.283946
1 0.284244
1 0.284524
1 0.284723
1 0.284909
1 0.285160
1 0.286180
2 0.286421
1 0.287580
1 0.287924
2 0.288023
2 0.288104
1 0.289691
1 0.290991
1 0.291318
1 0.291811
1 0.292064
1 0.292643
1 0.293037
1 0.293214
1 0.293550
1 0.294371
1 0.294909
1 0.295039
1 0.295067
1 0.296187
1 0.296302
1 0.296493
1 0.297184
1 0.297851
1 0.298377
1 0.299852
1 0.301395
1 0.301813
1 0.301892
1 0.302026
1 0.303158
1 0.304178
2 0.304363
1 0.304439
1 0.305035
1 0.305128
1 0.305955
1 0.306119
1 0.306308
1 0.307083
1 0.307497
1 0.307585
1 0.307833
1 0.307861
1 0.307900
1 0.307927
1 0.309098
1 0.309449
1 0.310243
1 0.310689
1 0.310988
1 0.311028
1 0.311199
1 0.311923
1 0.313203
1 0.315358
1 0.315452
1 0.315716
1 0.315769
1 0.316743
2 0.317485
1 0.317898
1 0.318280
1 0.318625
1 0.318790
1 0.319038
1 0.319515
2 0.321424
1 0.323299
1 0.323956
1 0.324198
1 0.324894
1 0.325585
1 0.325786
1 0.326124
1 0.326323
1 0.326369
1 0.326888
1 0.327015
1 0.327310
1 0.327614
1 0.327891
1 0.328979
1 0.329121
1 0.330251
1 0.330718
1 0.331186
1 0.331637
1 0.332529
1 0.332838
1 0.333711
1 0.335270
1 0.335894
1 0.336212
1 0.336509
1 0.337117
1 0.337156
1 0.337305
1 0.337965
1 0.338497
1 0.338691
1 0.338881
1 0.340215
1 0.340284
1 0.340349
1 0.340974
1 0.341372
1 0.342267
1 0.342865
1 0.344159
1 0.344545
1 0.344654
1 0.345019
1 0.345937
1 0.346643
1 0.347953
1 0.348311
1 0.348846
1 0.349954
1 0.350216
1 0.350566
1 0.351399
1 0.351973
1 0.352101
1 0.352465
1 0.352705
1 0.352961
1 0.353107
1 0.353381
1 0.353442
1 0.354372
1 0.356081
1 0.356188
1 0.356336
1 0.357080
1 0.357510
1 0.358834
1 0.359914
1 0.360286
2 0.360551
1 0.361760
1 0.362046
1 0.364137
1 0.365553
1 0.365794
1 0.366735
1 0.367194
