Symbol: Ir
Atomic Number: 77
Atomic Mass: 192.220000
Start Spectral Index: 2
1 382
2 23
End Spectral Index:
Order of Magnitude: 0.000001
Start Spectral Lines:
1 0.201130
1 0.202300
1 0.203422
1 0.205288
1 0.206130
1 0.208388
1 0.208640
1 0.208948
1 0.209330
1 0.211335
1 0.212021
1 0.212611
2 0.212748
1 0.212819
1 0.212861
1 0.214890
1 0.215122
2 0.215336
1 0.215649
1 0.215873
1 0.216356
2 0.217010
1 0.217592
1 0.217885
2 0.218811
2 0.219106
1 0.219233
2 0.220878
1 0.222106
2 0.222176
2 0.224338
2 0.224646
1 0.225408
1 0.225419
1 0.225580
1 0.225651
1 0.225921
1 0.225956
1 0.226531
1 0.226703
1 0.226960
1 0.228070
2 0.228172
1 0.228261
1 0.228531
1 0.229579
1 0.229876
1 0.229887
1 0.230024
1 0.230121
1 0.230493
1 0.230618
1 0.230798
1 0.230964
1 0.231609
1 0.232216
1 0.232229
1 0.232869
1 0.233402
1 0.233456
1 0.233522
1 0.234390
1 0.234433
1 0.235334
1 0.235572
2 0.235825
1 0.235888
1 0.236145
1 0.236376
2 0.236876
1 0.237349
2 0.237582
1 0.237801
1 0.237871
1 0.238011
1 0.238235
1 0.238390
2 0.238731
1 0.238762
1 0.239135
1 0.239191
1 0.240832
1 0.241010
1 0.241090
1 0.241146
1 0.241404
1 0.241659
1 0.241884
1 0.242506
1 0.242540
1 0.242563
1 0.242573
1 0.242640
2 0.242727
1 0.242835
1 0.243198
1 0.243268
1 0.243310
1 0.243332
1 0.243588
1 0.244608
1 0.244850
1 0.244897
1 0.245355
1 0.245635
1 0.245661
1 0.245777
1 0.245797
1 0.246584
1 0.246805
1 0.247587
1 0.247886
1 0.248193
1 0.248613
1 0.249383
1 0.249702
1 0.250338
1 0.250373
1 0.250512
1 0.250649
1 0.250839
1 0.251047
1 0.251270
2 0.251334
1 0.251447
1 0.251612
2 0.252564
1 0.252581
1 0.253328
1 0.253389
1 0.253522
1 0.253798
1 0.253844
1 0.254224
1 0.254278
2 0.254356
1 0.254473
1 0.254630
1 0.254679
1 0.254796
1 0.254845
1 0.255217
1 0.255517
1 0.255612
1 0.255665
1 0.256405
1 0.256495
1 0.257065
1 0.257139
1 0.257347
1 0.257803
1 0.257948
2 0.258026
1 0.259284
1 0.259982
1 0.260282
1 0.260533
1 0.260830
1 0.260903
1 0.261208
1 0.261576
1 0.261856
1 0.262066
2 0.262442
1 0.262610
1 0.262754
1 0.263496
1 0.263606
1 0.264021
1 0.264050
1 0.264498
1 0.265455
1 0.265760
1 0.266277
1 0.266342
1 0.266558
1 0.266978
1 0.267070
1 0.267263
1 0.267440
1 0.267763
1 0.268484
1 0.269314
1 0.269503
1 0.270483
1 0.271354
1 0.274481
1 0.277328
1 0.277637
1 0.278211
1 0.278604
1 0.279817
1 0.279852
1 0.279900
1 0.280165
1 0.282401
1 0.282528
2 0.283407
1 0.283649
1 0.283723
1 0.283816
1 0.283999
1 0.284106
1 0.284312
1 0.285056
1 0.285415
1 0.286468
1 0.287644
1 0.287682
1 0.287852
1 0.288025
1 0.288349
1 0.289800
1 0.290280
1 0.290565
1 0.290809
1 0.291721
1 0.291942
1 0.292565
1 0.293550
1 0.293754
1 0.293933
1 0.294013
1 0.294140
1 0.294401
1 0.294783
1 0.295062
1 0.295208
1 0.296386
1 0.297582
1 0.298152
1 0.298667
1 0.299149
1 0.299695
1 0.299828
1 0.300313
1 0.300451
1 0.301257
1 0.301731
1 0.301819
1 0.302011
1 0.302670
1 0.303024
1 0.304014
2 0.304354
1 0.304805
1 0.305033
1 0.305817
1 0.306978
1 0.306998
1 0.307060
1 0.307758
1 0.308412
1 0.308734
1 0.308894
1 0.310119
1 0.310135
1 0.312166
1 0.312269
1 0.313423
1 0.315152
1 0.315565
1 0.316006
1 0.316910
1 0.316980
1 0.317850
1 0.318127
1 0.319984
1 0.321305
1 0.322044
1 0.322171
1 0.322221
1 0.323021
1 0.323169
1 0.324246
1 0.326295
1 0.326738
1 0.327822
1 0.328854
1 0.331147
1 0.332356
1 0.333512
1 0.336945
1 0.343801
1 0.343849
1 0.344996
1 0.351464
1 0.351696
1 0.352304
1 0.355819
1 0.356001
1 0.357474
1 0.359542
1 0.361080
1 0.361824
1 0.362732
1 0.362970
1 0.363724
1 0.366275
1 0.366566
1 0.367603
1 0.368813
1 0.372644
2 0.373242
1 0.373583
1 0.373959
1 0.374827
1 0.379487
1 0.380120
1 0.381832
1 0.386674
1 0.390362
1 0.391649
1 0.393595
1 0.394739
1 0.397743
1 0.399325
1 0.402117
1 0.403490
1 0.404122
1 0.407107
1 0.407183
1 0.409377
1 0.411694
1 0.412908
1 0.415687
1 0.416721
1 0.417374
1 0.418365
1 0.418439
1 0.418684
1 0.419872
1 0.421895
1 0.422199
1 0.426031
1 0.426650
1 0.426930
1 0.428783
1 0.430281
1 0.431180
1 0.431271
1 0.435252
1 0.435378
1 0.439382
1 0.440071
1 0.440502
1 0.442751
1 0.445143
1 0.447974
1 0.449661
1 0.449729
1 0.454695
1 0.454976
1 0.455206
1 0.456937
1 0.457130
1 0.460577
1 0.461768
1 0.465748
1 0.467030
1 0.471020
1 0.473018
1 0.473318
1 0.475779
1 0.475929
1 0.477950
1 0.479701
1 0.480848
1 0.481081
1 0.484212
1 0.484673
1 0.491472
1 0.493947
1 0.494062
1 0.497187
1 0.500113
1 0.500414
1 0.501057
1 0.501638
1 0.504747
1 0.512509
1 0.517939
1 0.524038
1 0.534223
1 0.536581
1 0.545101
1 0.545602
1 0.547092
1 0.562160
1 0.562711
1 0.583017
1 0.588393
1 0.588899
1 0.589569
1 0.602777
1 0.606951
1 0.611236
1 0.629002
1 0.633619
1 0.662656
1 0.668793
1 0.683189
1 0.693179
1 0.718569
1 0.783648
End Spectral Lines:
