Symbol: Pt
Atomic Number: 78
Atomic Mass: 195.080000
Start Spectral Index: 2
1 173
2 46
End Spectral Index:
Order of Magnitude: 0.000001
Start Spectral Lines:
2 0.162166
2 0.172313
2 0.175170
2 0.177709
2 0.178186
2 0.187909
2 0.188305
2 0.188952
2 0.191170
2 0.192925
2 0.192968
2 0.193980
2 0.194990
2 0.198374
2 0.201558
1 0.203128
1 0.203306
2 0.203711
2 0.204223
1 0.205003
1 0.206816
1 0.208525
1 0.210400
2 0.211624
1 0.212928
2 0.213136
1 0.214491
2 0.214492
1 0.216585
1 0.217535
2 0.219100
1 0.220291
2 0.220327
1 0.222330
2 0.223380
2 0.224169
2 0.224622
1 0.225000
2 0.225222
2 0.225262
1 0.226954
2 0.227242
1 0.227508
2 0.228821
2 0.228891
1 0.228998
1 0.229311
1 0.230875
2 0.231167
1 0.231621
1 0.231900
1 0.232681
1 0.234090
1 0.235782
1 0.236900
2 0.237801
1 0.238437
1 0.238754
1 0.239026
1 0.239690
1 0.240260
1 0.240382
1 0.241879
2 0.242561
1 0.242878
1 0.242894
1 0.242984
1 0.243743
1 0.244080
1 0.245171
1 0.246819
1 0.247176
1 0.248792
2 0.248949
1 0.249087
1 0.249657
1 0.249925
1 0.250669
1 0.250926
1 0.251483
1 0.251579
1 0.251634
1 0.252506
1 0.253017
1 0.253725
1 0.253996
1 0.255023
1 0.255302
1 0.259678
1 0.260392
2 0.261754
1 0.262035
2 0.262612
1 0.262881
1 0.264014
1 0.264768
1 0.265165
1 0.265896
1 0.266024
1 0.267536
1 0.267795
1 0.269923
1 0.270320
1 0.270669
1 0.271393
1 0.271985
1 0.273073
1 0.273477
1 0.273929
1 0.274842
1 0.275467
1 0.275573
1 0.277066
1 0.277249
1 0.277406
1 0.277482
2 0.277559
1 0.279409
2 0.279503
2 0.280081
1 0.280407
1 0.280934
1 0.281908
2 0.282310
1 0.283113
1 0.283554
1 0.285395
2 0.286152
2 0.286589
2 0.287669
2 0.287836
1 0.288905
1 0.289407
1 0.289471
1 0.289872
1 0.290675
1 0.291311
1 0.291439
1 0.292019
1 0.292224
1 0.293065
1 0.294362
1 0.294561
1 0.295996
1 0.296161
1 0.299884
2 0.300204
1 0.300315
1 0.301876
2 0.303210
1 0.303733
1 0.304353
1 0.306560
1 0.307283
1 0.310094
1 0.314030
1 0.315747
1 0.320164
1 0.320497
1 0.323122
1 0.323435
1 0.325130
1 0.325292
1 0.325686
1 0.326936
1 0.328292
1 0.329117
1 0.330281
1 0.331600
1 0.332476
1 0.340911
1 0.342891
1 0.348443
1 0.348627
1 0.362914
1 0.363983
1 0.364421
1 0.366414
1 0.367304
1 0.367509
1 0.370096
1 0.370758
1 0.381977
1 0.390184
1 0.392407
1 0.394952
1 0.396748
1 0.399770
1 0.411985
1 0.416573
1 0.419361
1 0.432828
1 0.439306
1 0.444380
1 0.444680
1 0.450002
1 0.452217
1 0.455370
1 0.488089
1 0.504545
1 0.506089
1 0.522912
1 0.530249
1 0.537048
1 0.539229
1 0.547729
1 0.548002
1 0.576517
1 0.584174
1 0.584646
1 0.602771
1 0.632012
1 0.632833
1 0.652525
1 0.671227
1 0.676189
1 0.684449
1 0.711569
1 0.822700
End Spectral Lines:
