Symbol: Tl
Atomic Number: 81
Atomic Mass: 204.383000
Start Spectral Index: 4
1 65
2 82
3 22
4 35
End Spectral Index:
Order of Magnitude: 0.000001
Start Spectral Lines:
4 0.053126
4 0.057049
4 0.059701
2 0.065090
2 0.067087
2 0.067410
2 0.069630
2 0.070923
2 0.081718
2 0.083634
4 0.086899
4 0.091274
4 0.091731
2 0.101885
4 0.102869
4 0.103473
4 0.103661
4 0.104948
2 0.104973
2 0.105030
4 0.105756
4 0.106804
4 0.107047
2 0.107497
4 0.107968
4 0.107970
4 0.109290
4 0.109441
4 0.109960
4 0.112552
2 0.113017
4 0.113930
4 0.114407
2 0.116255
2 0.116743
2 0.118341
2 0.119484
4 0.122545
3 0.123157
2 0.123181
2 0.124600
3 0.126633
4 0.127303
4 0.130455
2 0.130750
2 0.131020
2 0.132171
4 0.132366
2 0.133040
3 0.133236
4 0.133710
4 0.135856
2 0.137352
4 0.137462
4 0.137775
4 0.140460
4 0.141293
1 0.142320
4 0.143472
4 0.144937
3 0.147714
1 0.148965
2 0.149050
2 0.149930
3 0.150637
2 0.150782
3 0.155867
2 0.156158
2 0.156857
2 0.159326
1 0.161600
1 0.165020
3 0.166005
1 0.168540
1 0.172800
2 0.179276
2 0.181485
1 0.184700
4 0.188320
2 0.189272
2 0.190864
4 0.197460
1 0.200821
1 0.210530
1 0.211960
1 0.213000
1 0.215260
1 0.216930
1 0.221044
1 0.221140
1 0.223850
1 0.228830
2 0.229875
1 0.231669
1 0.238042
2 0.245257
2 0.246978
1 0.250870
1 0.250900
2 0.253162
1 0.253900
1 0.258091
1 0.260977
1 0.261060
1 0.266636
1 0.271003
1 0.271147
1 0.276869
1 0.282699
2 0.285064
1 0.291917
1 0.292238
2 0.302989
2 0.309246
3 0.316445
2 0.318643
2 0.318748
2 0.318866
1 0.323068
2 0.329196
3 0.330175
2 0.332087
2 0.332200
2 0.332321
2 0.337012
2 0.338197
2 0.338277
3 0.345733
2 0.346147
3 0.350841
1 0.352025
1 0.353044
2 0.354109
2 0.356170
2 0.356869
1 0.377679
2 0.379503
2 0.383339
2 0.387025
2 0.388825
3 0.393416
3 0.394714
3 0.411101
3 0.415692
2 0.422424
3 0.427101
2 0.427618
2 0.430801
1 0.436110
3 0.438180
2 0.449203
2 0.473838
2 0.498274
2 0.507996
3 0.508841
2 0.515358
2 0.518339
2 0.518454
1 0.535195
3 0.536389
2 0.538635
2 0.541142
2 0.541247
3 0.550090
3 0.592940
2 0.595113
2 0.618169
2 0.624076
2 0.638008
1 0.655165
1 0.671565
2 0.696840
1 0.749570
1 0.768104
1 0.781795
3 0.800300
1 0.813220
1 0.837590
2 0.844810
1 0.847660
2 0.863530
2 0.866650
1 0.885280
1 0.897921
1 0.904090
2 0.913300
1 0.913300
1 0.918560
2 0.922800
1 0.925510
2 0.925700
1 0.951200
1 0.986610
1 0.993310
1 0.994010
1 1.001460
1 1.049167
1 1.110465
1 1.148680
1 1.151597
1 1.159610
1 1.249520
1 1.273990
1 1.301680
End Spectral Lines:
