Symbol: F
Atomic Number: 9
Atomic Mass: 18.998400
Start Spectral Index: 8
1 114
2 150
3 141
4 75
5 53
6 16
7 24
8 17
End Spectral Index:
Order of Magnitude: 0.000001
Start Spectral Lines:
8 0.001446
8 0.001681
7 0.008673
7 0.008674
8 0.009324
8 0.009324
7 0.009726
7 0.009735
8 0.009867
8 0.009870
8 0.009880
8 0.009889
8 0.010352
7 0.011294
7 0.011298
6 0.012693
7 0.012765
7 0.012780
7 0.012781
5 0.013454
7 0.013470
7 0.013488
5 0.014795
5 0.014800
5 0.015251
5 0.015854
5 0.016227
5 0.016350
5 0.016356
5 0.016598
5 0.016618
4 0.016979
4 0.016984
4 0.017107
5 0.017470
4 0.017637
5 0.017843
5 0.017859
4 0.018152
4 0.018157
5 0.018298
5 0.018672
5 0.018679
5 0.018684
5 0.018697
5 0.018701
4 0.018724
5 0.019057
5 0.019084
5 0.019197
4 0.019639
4 0.019645
4 0.019976
4 0.019980
4 0.019985
4 0.019993
4 0.020000
4 0.020009
4 0.020101
4 0.020106
4 0.020110
4 0.020116
4 0.020122
5 0.020555
4 0.020825
4 0.021385
4 0.021406
4 0.022077
4 0.022694
4 0.022710
3 0.023012
4 0.023322
4 0.023339
4 0.023986
4 0.024002
4 0.024008
4 0.024015
4 0.024028
4 0.024037
4 0.025103
3 0.025572
3 0.025577
3 0.025586
3 0.026171
3 0.026175
3 0.026381
4 0.027023
3 0.027969
3 0.031522
3 0.031554
3 0.031575
7 0.033513
7 0.033526
2 0.037530
2 0.038090
7 0.039169
7 0.039213
2 0.040704
4 0.041965
4 0.042005
4 0.042073
3 0.042951
3 0.043015
3 0.043022
4 0.043076
2 0.043091
2 0.043155
2 0.043564
2 0.045718
3 0.046429
5 0.046437
3 0.046511
5 0.046537
5 0.046598
5 0.046699
2 0.047195
2 0.047200
2 0.047271
2 0.047302
2 0.048460
4 0.049057
4 0.049100
4 0.049738
4 0.049783
4 0.049880
5 0.050616
5 0.050808
3 0.050839
2 0.051364
5 0.051397
5 0.051408
2 0.051494
5 0.052459
5 0.052529
5 0.052630
6 0.053521
2 0.054685
2 0.054787
2 0.054832
2 0.054852
3 0.056769
3 0.056775
4 0.057064
4 0.057130
4 0.057138
4 0.057139
4 0.057265
4 0.057266
2 0.060567
2 0.060629
2 0.060680
2 0.060692
2 0.060747
2 0.060806
3 0.063014
3 0.063020
6 0.064396
6 0.064500
6 0.064608
6 0.064636
6 0.064731
5 0.064767
5 0.064777
5 0.064787
5 0.064797
6 0.064850
6 0.065108
5 0.065403
3 0.065612
3 0.065687
5 0.065723
5 0.065733
3 0.065833
4 0.067612
4 0.067715
4 0.067722
4 0.067893
4 0.067900
4 0.067921
5 0.075704
1 0.078039
1 0.078052
1 0.078238
1 0.079188
1 0.079254
1 0.079442
1 0.080696
1 0.080960
7 0.088310
7 0.089076
1 0.095187
1 0.095483
1 0.095555
1 0.095852
1 0.097240
1 0.097390
1 0.097622
1 0.097651
1 0.097775
5 0.108231
5 0.108839
6 0.110798
6 0.111119
6 0.111836
2 0.112976
6 0.113950
3 0.121903
3 0.126687
3 0.126771
3 0.129754
2 0.132706
2 0.132811
2 0.133359
2 0.134360
2 0.134404
3 0.135992
8 0.139548
2 0.140061
2 0.140714
8 0.141423
8 0.141723
2 0.149309
2 0.149324
2 0.149331
3 0.149893
3 0.150201
3 0.150418
3 0.150479
3 0.150630
3 0.150677
3 0.155302
3 0.155759
3 0.156373
3 0.156554
3 0.162340
3 0.165076
3 0.167039
3 0.167740
2 0.170213
3 0.171699
2 0.174475
2 0.174555
2 0.174739
3 0.177009
3 0.177067
3 0.177293
3 0.177336
3 0.179165
3 0.180303
3 0.180470
3 0.180590
3 0.183930
3 0.183997
3 0.184014
4 0.187564
4 0.188939
3 0.190076
3 0.193944
3 0.193944
3 0.193947
3 0.193947
3 0.202809
3 0.203097
8 0.213680
4 0.217212
3 0.221786
2 0.222627
5 0.222987
2 0.224331
5 0.225342
4 0.229900
5 0.245138
4 0.245232
3 0.245281
4 0.245766
5 0.246203
3 0.246560
3 0.247104
3 0.247948
3 0.248512
3 0.254353
2 0.255688
3 0.258081
