Symbol: H
Atomic Number: 1
Atomic Mass: 1.007940
Start Spectral Index: 1
1 147
End Spectral Index:
Order of Magnitude: 0.000001
Start Spectral Lines:
1 0.092623
1 0.093075
1 0.093780
1 0.093780
1 0.094974
1 0.094974
1 0.097254
1 0.097254
1 0.102572
1 0.102572
1 0.121567
1 0.121567
1 0.383647
1 0.389015
1 0.397119
1 0.410286
1 0.410286
1 0.410287
1 0.410287
1 0.410291
1 0.410291
1 0.410292
1 0.434165
1 0.434165
1 0.434165
1 0.434166
1 0.434170
1 0.434170
1 0.434172
1 0.486264
1 0.486264
1 0.486265
1 0.486266
1 0.486270
1 0.486271
1 0.486273
1 0.656452
1 0.656453
1 0.656456
1 0.656458
1 0.656466
1 0.656468
1 0.656472
1 0.954859
1 1.005220
1 1.094098
1 1.094099
1 1.094099
1 1.094101
1 1.094110
1 1.094110
1 1.094111
1 1.094111
1 1.094112
1 1.094112
1 1.094114
1 1.094115
1 1.094115
1 1.282143
1 1.282145
1 1.282147
1 1.282149
1 1.282160
1 1.282160
1 1.282161
1 1.282161
1 1.282164
1 1.282165
1 1.282165
1 1.282166
1 1.282167
1 1.875580
1 1.875584
1 1.875595
1 1.875600
1 1.875613
1 1.875612
1 1.875618
1 1.875618
1 1.875623
1 1.875626
1 1.875631
1 1.875633
1 1.875635
1 2.166120
1 2.625834
1 2.625837
1 2.625843
1 2.625847
1 2.625863
1 2.625863
1 2.625866
1 2.625868
1 2.625871
1 2.625871
1 2.625873
1 2.625873
1 2.625874
1 2.625875
1 2.625876
1 2.625876
1 2.625876
1 2.625877
1 2.625878
1 4.052186
1 4.052194
1 4.052221
1 4.052232
1 4.052248
1 4.052248
1 4.052261
1 4.052261
1 4.052263
1 4.052267
1 4.052273
1 4.052274
1 4.052276
1 4.052280
1 4.052286
1 4.052286
1 4.052287
1 4.052296
1 4.052300
1 4.653780
1 7.459717
1 7.459730
1 7.459785
1 7.459805
1 7.459822
1 7.459827
1 7.459847
1 7.459847
1 7.459853
1 7.459853
1 7.459866
1 7.459866
1 7.459867
1 7.459875
1 7.459875
1 7.459887
1 7.459887
1 7.459887
1 7.459891
1 7.459891
1 7.459915
1 7.459922
1 12.371900
End Spectral Lines:
