Symbol: Ne
Atomic Number: 10
Atomic Mass: 20.179700
Start Spectral Index: 9
1 1595
2 1914
3 910
4 86
7 428
8 444
9 23
End Spectral Index:
Order of Magnitude: 0.000001
Start Spectral Lines:
9 0.001155
8 0.001159
8 0.001190
8 0.001190
8 0.001191
8 0.001191
8 0.001193
8 0.001193
8 0.001246
9 0.001345
8 0.001347
8 0.001347
8 0.001349
8 0.001349
8 0.001353
8 0.001353
8 0.001356
8 0.001366
8 0.001368
8 0.001368
8 0.001371
8 0.001371
8 0.001383
8 0.001383
8 0.001383
8 0.001384
8 0.001384
7 0.001384
7 0.001384
7 0.001384
7 0.001388
7 0.001388
7 0.001388
7 0.001388
7 0.001394
7 0.001394
8 0.001417
8 0.001418
8 0.005382
8 0.005431
8 0.005501
8 0.005501
8 0.005605
8 0.005605
8 0.005775
8 0.005775
8 0.005838
8 0.005841
8 0.005917
8 0.005920
8 0.005921
8 0.006035
8 0.006041
8 0.006041
8 0.006052
8 0.006055
8 0.006080
8 0.006080
8 0.006146
8 0.006146
8 0.006149
8 0.006173
8 0.006173
8 0.006175
8 0.006230
8 0.006236
8 0.006236
8 0.006255
8 0.006258
8 0.006440
8 0.006441
8 0.006443
7 0.006509
7 0.006509
7 0.006514
7 0.006517
8 0.006542
8 0.006543
8 0.006545
8 0.006582
7 0.006585
8 0.006590
8 0.006590
8 0.006626
8 0.006633
8 0.006663
8 0.006665
8 0.006667
8 0.006671
8 0.006672
8 0.006674
7 0.006708
7 0.006711
8 0.006738
8 0.006739
8 0.006777
8 0.006779
7 0.006781
8 0.006781
7 0.006802
7 0.006817
7 0.006831
7 0.006831
7 0.006894
7 0.006904
7 0.006977
7 0.007098
7 0.007099
7 0.007100
7 0.007104
7 0.007104
7 0.007322
8 0.007347
8 0.007356
8 0.007357
7 0.007399
7 0.007400
7 0.007401
7 0.007402
7 0.007403
7 0.007423
9 0.007435
9 0.007437
9 0.007438
8 0.007454
7 0.007455
7 0.007455
7 0.007455
7 0.007461
7 0.007464
8 0.007464
7 0.007467
7 0.007469
7 0.007496
7 0.007496
7 0.007549
7 0.007555
7 0.007576
7 0.007652
7 0.007725
7 0.007730
9 0.007820
9 0.007821
9 0.007822
9 0.007826
9 0.007830
9 0.007830
9 0.007831
7 0.007866
8 0.007871
7 0.007888
8 0.007901
8 0.007902
8 0.007906
8 0.007931
8 0.007932
8 0.007935
8 0.008009
8 0.008010
8 0.008014
7 0.008053
7 0.008062
7 0.008137
9 0.008158
7 0.008208
7 0.008216
7 0.008219
7 0.008220
7 0.008227
7 0.008330
7 0.008375
8 0.008375
8 0.008376
8 0.008380
7 0.008419
7 0.008421
7 0.008429
7 0.008453
7 0.008456
7 0.008458
7 0.008516
7 0.008517
7 0.008522
7 0.008528
7 0.008529
7 0.008538
7 0.008538
7 0.008542
7 0.008543
7 0.008580
7 0.008582
7 0.008585
8 0.008614
8 0.008624
7 0.008626
7 0.008628
7 0.008631
8 0.008636
7 0.008678
7 0.008682
8 0.008681
8 0.008684
8 0.008687
7 0.008754
7 0.008759
7 0.008763
7 0.008766
7 0.008771
7 0.008780
7 0.008786
7 0.008792
8 0.008809
8 0.008812
7 0.008828
7 0.008885
8 0.008889
8 0.008894
8 0.008903
7 0.008923
7 0.008937
7 0.008964
7 0.009137
7 0.009156
8 0.009212
8 0.009219
8 0.009226
