Symbol: Na
Atomic Number: 11
Atomic Mass: 22.989800
Start Spectral Index: 10
1 503
2 284
3 509
4 729
5 569
6 706
7 1392
8 473
9 138
10 585
End Spectral Index:
Order of Magnitude: 0.000001
Start Spectral Lines:
10 0.000854
10 0.000856
10 0.000859
10 0.000863
10 0.000869
10 0.000879
10 0.000898
10 0.000943
10 0.001100
10 0.003608
10 0.003608
10 0.003608
10 0.003642
10 0.003642
10 0.003642
10 0.003691
10 0.003691
10 0.003691
10 0.003726
10 0.003727
10 0.003730
10 0.003732
10 0.003762
10 0.003763
10 0.003764
10 0.003764
10 0.003764
10 0.003767
10 0.003768
10 0.003815
10 0.003816
10 0.003819
10 0.003820
10 0.003820
10 0.003858
10 0.003883
10 0.003883
10 0.003883
10 0.003894
10 0.003895
10 0.003898
10 0.003899
10 0.003912
10 0.003995
10 0.004017
10 0.004018
10 0.004018
10 0.004021
10 0.004021
10 0.004021
10 0.004024
10 0.004025
10 0.004025
10 0.004029
10 0.004099
10 0.004099
10 0.004099
10 0.004126
10 0.004130
10 0.004246
10 0.004246
10 0.004246
10 0.004251
10 0.004251
10 0.004251
10 0.004254
10 0.004260
10 0.004261
10 0.004265
10 0.004368
10 0.004374
9 0.004473
9 0.004473
10 0.004566
10 0.004567
10 0.004567
9 0.004609
9 0.004609
10 0.004743
10 0.004744
10 0.004744
10 0.004750
10 0.004750
10 0.004750
10 0.004752
9 0.004778
10 0.004779
10 0.004780
9 0.004784
9 0.004784
10 0.004785
9 0.004855
9 0.004855
10 0.004896
10 0.004911
9 0.004933
9 0.004939
9 0.004939
9 0.005212
9 0.005219
9 0.005219
9 0.005243
9 0.005250
8 0.005370
8 0.005375
9 0.005386
9 0.005387
8 0.005438
8 0.005532
8 0.005535
8 0.005535
8 0.005540
8 0.005540
8 0.005540
8 0.005705
8 0.005707
8 0.005707
8 0.005712
8 0.005712
8 0.005712
8 0.005723
8 0.005805
8 0.005807
8 0.005807
8 0.005812
8 0.005812
8 0.005812
9 0.005820
9 0.005828
9 0.005829
9 0.005895
8 0.005895
8 0.005901
9 0.005904
8 0.005910
8 0.005919
8 0.005920
8 0.005925
8 0.005976
8 0.005996
8 0.005999
8 0.006000
8 0.006004
8 0.006005
8 0.006007
10 0.006067
10 0.006069
10 0.006070
8 0.006109
8 0.006135
8 0.006228
8 0.006311
7 0.006314
7 0.006323
7 0.006323
7 0.006336
7 0.006336
7 0.006344
7 0.006344
10 0.006352
10 0.006354
10 0.006354
10 0.006357
10 0.006363
10 0.006364
10 0.006364
8 0.006369
7 0.006402
7 0.006411
7 0.006411
8 0.006421
8 0.006424
8 0.006424
8 0.006430
8 0.006430
8 0.006430
7 0.006483
7 0.006483
7 0.006486
7 0.006486
7 0.006486
7 0.006490
7 0.006490
7 0.006490
10 0.006508
10 0.006510
10 0.006520
7 0.006531
7 0.006534
7 0.006534
7 0.006538
7 0.006539
7 0.006539
7 0.006539
7 0.006547
7 0.006547
8 0.006606
10 0.006628
8 0.006632
8 0.006636
8 0.006637
8 0.006642
8 0.006643
8 0.006650
10 0.006690
8 0.006767
7 0.006779
7 0.006779
7 0.006783
7 0.006783
7 0.006783
7 0.006783
7 0.006783
7 0.006786
7 0.006786
7 0.006786
7 0.006788
7 0.006788
7 0.006791
7 0.006791
7 0.006791
8 0.006819
7 0.006842
7 0.006852
7 0.006852
7 0.006887
7 0.006891
7 0.006897
8 0.006912
7 0.006929
7 0.006931
7 0.006940
7 0.006942
7 0.006980
7 0.006983
7 0.006991
7 0.006993
8 0.007012
9 0.007062
7 0.007064
9 0.007065
7 0.007075
7 0.007075
8 0.007158
8 0.007180
7 0.007192
7 0.007202
7 0.007203
7 0.007203
7 0.007208
7 0.007208
7 0.007287
7 0.007287
7 0.007287
7 0.007412
7 0.007418
7 0.007422
7 0.007426
7 0.007426
7 0.007427
7 0.007431
7 0.007432
7 0.007486
8 0.007495
8 0.007496
7 0.007498
7 0.007498
7 0.007499
7 0.007499
7 0.007499
8 0.007500
8 0.007504
8 0.007510
7 0.007512
7 0.007520
7 0.007524
8 0.007538
8 0.007543
8 0.007552
8 0.007612
8 0.007612
8 0.007613
8 0.007617
8 0.007622
8 0.007627
7 0.007650
7 0.007656
7 0.007683
7 0.007686
7 0.007722
8 0.007727
7 0.007735
9 0.007776
9 0.007791
9 0.007792
7 0.007880
7 0.007884
7 0.007884
7 0.007891
7 0.007898
7 0.007898
7 0.007944
7 0.007945
7 0.007945
7 0.007957
7 0.007968
7 0.007968
7 0.007976
7 0.007976
7 0.007976
7 0.007979
7 0.007989
7 0.007989
7 0.007992
7 0.008001
7 0.008003
7 0.008013
7 0.008018
7 0.008025
6 0.008065
8 0.008076
9 0.008118
8 0.008121
9 0.008135
7 0.008136
7 0.008143
7 0.008149
7 0.008149
6 0.008154
7 0.008186
7 0.008264
7 0.008268
8 0.008324
8 0.008329
8 0.008329
8 0.008339
8 0.008340
8 0.008340
6 0.008364
7 0.008399
7 0.008404
8 0.008405
7 0.008408
7 0.008413
7 0.008422
7 0.008422
7 0.008422
7 0.008422
7 0.008483
7 0.008526
7 0.008530
7 0.008530
7 0.008530
7 0.008546
7 0.008560
8 0.008583
8 0.008586
8 0.008589
8 0.008593
8 0.008599
8 0.008604
8 0.008638
8 0.008643
8 0.008644
8 0.008648
8 0.008653
8 0.008655
7 0.008660
7 0.008665
7 0.008676
8 0.008676
7 0.008705
10 0.008711
10 0.008711
10 0.008711
6 0.008714
7 0.008715
8 0.008721
6 0.008721
7 0.008747
7 0.008747
7 0.008747
7 0.008747
6 0.008822
6 0.008825
6 0.008827
6 0.008828
6 0.008834
6 0.008837
6 0.008846
6 0.008846
6 0.008846
6 0.008847
6 0.008847
6 0.008847
7 0.008870
7 0.008875
7 0.008887
7 0.008891
10 0.008898
10 0.008901
10 0.008902
10 0.008908
10 0.008912
10 0.008912
10 0.008912
8 0.008976
8 0.008982
8 0.008995
10 0.009007
10 0.009007
10 0.009007
10 0.009007
10 0.009007
10 0.009009
10 0.009010
7 0.009018
8 0.009025
7 0.009028
7 0.009028
10 0.009043
6 0.009047
8 0.009054
7 0.009082
7 0.009082
7 0.009082
7 0.009106
10 0.009106
7 0.009106
7 0.009107
7 0.009108
10 0.009113
10 0.009114
10 0.009120
7 0.009200
7 0.009200
7 0.009201
10 0.009209
10 0.009209
10 0.009209
10 0.009222
10 0.009222
10 0.009222
10 0.009222
10 0.009222
10 0.009224
10 0.009224
10 0.009260
7 0.009275
7 0.009278
7 0.009281
7 0.009284
7 0.009288
7 0.009293
7 0.009298
8 0.009312
8 0.009320
8 0.009324
8 0.009327
8 0.009334
8 0.009339
7 0.009339
7 0.009343
7 0.009346
7 0.009349
7 0.009353
7 0.009355
8 0.009367
8 0.009390
7 0.009391
7 0.009403
7 0.009403
10 0.009414
10 0.009427
10 0.009429
7 0.009429
10 0.009435
7 0.009447
7 0.009448
6 0.009518
6 0.009526
6 0.009526
6 0.009531
6 0.009532
6 0.009532
10 0.009540
10 0.009541
10 0.009541
10 0.009541
10 0.009541
10 0.009541
10 0.009543
10 0.009582
6 0.009593
7 0.009596
7 0.009596
7 0.009606
7 0.009607
7 0.009617
7 0.009618
6 0.009647
10 0.009681
10 0.009681
10 0.009681
7 0.009685
7 0.009687
7 0.009692
7 0.009701
7 0.009701
7 0.009706
7 0.009779
7 0.009779
7 0.009792
7 0.009792
7 0.009801
7 0.009802
7 0.009806
7 0.009808
8 0.009808
7 0.009819
7 0.009821
6 0.009830
6 0.009830
6 0.009830
6 0.009830
6 0.009830
6 0.009830
7 0.009838
7 0.009839
7 0.009839
7 0.009876
7 0.009884
7 0.009884
10 0.009903
10 0.009927
10 0.009929
10 0.009936
7 0.009942
6 0.009950
6 0.009950
7 0.009955
7 0.009956
6 0.009956
6 0.009962
7 0.009967
7 0.009967
7 0.009968
7 0.009968
6 0.009968
10 0.010042
6 0.010047
10 0.010048
10 0.010048
10 0.010048
10 0.010048
10 0.010048
10 0.010050
6 0.010052
6 0.010059
7 0.010072
7 0.010072
7 0.010072
5 0.010088
5 0.010088
5 0.010088
5 0.010088
10 0.010093
7 0.010119
7 0.010131
7 0.010132
7 0.010178
7 0.010179
7 0.010191
7 0.010192
8 0.010204
7 0.010223
7 0.010224
7 0.010224
7 0.010224
7 0.010224
7 0.010224
7 0.010228
7 0.010229
7 0.010239
7 0.010244
7 0.010245
6 0.010300
6 0.010308
6 0.010320
7 0.010335
7 0.010336
7 0.010340
7 0.010341
7 0.010378
7 0.010384
7 0.010389
7 0.010392
7 0.010392
7 0.010400
7 0.010404
7 0.010487
7 0.010495
10 0.010510
10 0.010510
10 0.010510
7 0.010511
7 0.010519
7 0.010521
7 0.010521
7 0.010535
6 0.010604
6 0.010608
6 0.010612
5 0.010628
5 0.010630
6 0.010701
7 0.010706
6 0.010706
7 0.010708
7 0.010708
6 0.010709
7 0.010714
6 0.010716
8 0.010717
7 0.010721
6 0.010723
6 0.010729
7 0.010730
6 0.010753
6 0.010753
6 0.010754
6 0.010754
6 0.010754
6 0.010755
6 0.010755
6 0.010755
6 0.010761
10 0.010762
10 0.010763
6 0.010763
10 0.010764
10 0.010764
6 0.010768
10 0.010772
10 0.010772
10 0.010772
6 0.010774
6 0.010777
6 0.010793
5 0.010794
5 0.010794
5 0.010794
5 0.010794
6 0.010794
6 0.010794
6 0.010795
6 0.010795
6 0.010795
5 0.010802
5 0.010802
5 0.010802
7 0.010806
7 0.010807
7 0.010807
10 0.010815
10 0.010816
7 0.010819
10 0.010825
7 0.010837
6 0.010855
6 0.010855
6 0.010855
6 0.010857
6 0.010857
6 0.010857
7 0.010874
7 0.010875
7 0.010883
7 0.010884
10 0.010929
7 0.010936
7 0.010936
10 0.010944
10 0.010944
10 0.010944
10 0.010944
10 0.010944
10 0.010947
7 0.010952
7 0.010952
10 0.010976
6 0.010977
6 0.010990
10 0.010998
6 0.011075
6 0.011075
6 0.011075
7 0.011077
7 0.011078
5 0.011081
5 0.011082
5 0.011088
5 0.011092
5 0.011092
5 0.011092
7 0.011093
7 0.011121
7 0.011121
7 0.011139
5 0.011151
5 0.011152
5 0.011155
5 0.011155
6 0.011201
6 0.011201
6 0.011201
6 0.011201
6 0.011201
6 0.011201
6 0.011245
6 0.011245
6 0.011245
6 0.011245
6 0.011245
6 0.011245
6 0.011295
6 0.011312
6 0.011466
5 0.011470
5 0.011474
5 0.011474
7 0.011536
7 0.011546
7 0.011547
5 0.011558
5 0.011558
6 0.011572
6 0.011574
6 0.011576
6 0.011578
6 0.011578
6 0.011580
6 0.011581
9 0.011629
9 0.011629
6 0.011749
6 0.011760
6 0.011761
6 0.011768
6 0.011769
6 0.011770
8 0.011791
5 0.011799
5 0.011799
5 0.011799
6 0.011850
6 0.011851
6 0.011858
6 0.011860
6 0.011860
7 0.011884
7 0.011885
7 0.011891
7 0.011902
6 0.011919
7 0.011921
6 0.011968
6 0.012093
6 0.012097
6 0.012097
6 0.012100
6 0.012100
6 0.012100
9 0.012169
6 0.012177
9 0.012180
9 0.012180
7 0.012184
6 0.012191
6 0.012202
7 0.012204
7 0.012205
5 0.012207
5 0.012207
5 0.012208
5 0.012208
7 0.012225
10 0.012254
10 0.012256
10 0.012257
6 0.012313
6 0.012313
6 0.012315
6 0.012315
6 0.012315
6 0.012315
6 0.012315
6 0.012375
6 0.012387
6 0.012393
6 0.012395
6 0.012395
6 0.012395
6 0.012397
6 0.012406
6 0.012406
9 0.012409
9 0.012409
9 0.012412
6 0.012415
7 0.012453
7 0.012454
6 0.012485
5 0.012518
5 0.012522
5 0.012529
5 0.012530
6 0.012539
10 0.012575
10 0.012579
10 0.012582
10 0.012582
5 0.012590
5 0.012590
5 0.012590
10 0.012593
10 0.012593
10 0.012593
9 0.012599
9 0.012599
5 0.012609
5 0.012621
5 0.012621
5 0.012621
5 0.012626
5 0.012634
5 0.012637
5 0.012637
5 0.012637
5 0.012646
5 0.012646
5 0.012656
5 0.012656
5 0.012661
5 0.012678
7 0.012678
7 0.012680
5 0.012682
7 0.012685
7 0.012687
5 0.012692
5 0.012695
5 0.012698
5 0.012701
5 0.012704
10 0.012705
10 0.012707
10 0.012719
5 0.012744
5 0.012745
5 0.012747
5 0.012747
6 0.012784
10 0.012801
5 0.012802
5 0.012803
5 0.012805
10 0.012847
10 0.012847
10 0.012850
10 0.012850
10 0.012850
10 0.012852
10 0.012872
6 0.012904
6 0.012904
6 0.012904
6 0.012904
6 0.012904
6 0.012904
10 0.012923
5 0.012994
5 0.012994
5 0.013067
5 0.013068
5 0.013072
5 0.013073
5 0.013163
5 0.013164
5 0.013165
9 0.013227
9 0.013238
9 0.013241
5 0.013316
5 0.013325
5 0.013328
5 0.013329
5 0.013336
5 0.013337
5 0.013338
5 0.013339
5 0.013353
5 0.013356
5 0.013356
5 0.013357
5 0.013357
6 0.013382
6 0.013384
6 0.013385
6 0.013402
6 0.013403
6 0.013414
5 0.013418
5 0.013427
5 0.013427
7 0.013441
7 0.013443
7 0.013445
6 0.013453
7 0.013469
7 0.013470
9 0.013520
9 0.013520
9 0.013523
4 0.013643
4 0.013655
4 0.013655
4 0.013664
4 0.013672
4 0.013675
4 0.013676
4 0.013684
4 0.013685
4 0.013685
4 0.013685
4 0.013706
4 0.013706
4 0.013714
6 0.013745
6 0.013759
4 0.013771
5 0.013811
5 0.013812
5 0.013815
5 0.013816
5 0.013816
6 0.013869
5 0.013881
5 0.013882
5 0.013891
5 0.013892
7 0.013984
7 0.013985
4 0.013996
7 0.013997
5 0.014016
5 0.014017
5 0.014026
6 0.014084
6 0.014084
6 0.014104
6 0.014104
6 0.014104
6 0.014116
7 0.014138
7 0.014140
5 0.014221
5 0.014221
4 0.014223
4 0.014236
5 0.014241
5 0.014241
5 0.014241
5 0.014252
5 0.014252
4 0.014268
5 0.014433
5 0.014433
5 0.014433
5 0.014455
5 0.014455
5 0.014455
5 0.014466
5 0.014466
7 0.014470
7 0.014498
7 0.014500
4 0.014606
4 0.014606
5 0.014611
9 0.014627
9 0.014627
4 0.014630
4 0.014630
5 0.014636
4 0.014640
6 0.014640
5 0.014789
5 0.014790
5 0.014790
5 0.014864
5 0.014864
5 0.014886
5 0.014886
5 0.014900
5 0.014900
6 0.014944
6 0.014946
6 0.014947
6 0.014962
6 0.014963
8 0.014967
4 0.015029
4 0.015029
4 0.015030
4 0.015046
4 0.015054
4 0.015054
4 0.015064
4 0.015064
4 0.015069
4 0.015071
4 0.015071
4 0.015094
5 0.015095
5 0.015095
5 0.015095
4 0.015097
4 0.015105
4 0.015107
5 0.015112
5 0.015112
5 0.015112
5 0.015112
5 0.015113
5 0.015113
5 0.015113
5 0.015113
5 0.015119
5 0.015119
5 0.015119
4 0.015130
5 0.015131
5 0.015131
8 0.015375
9 0.015444
9 0.015461
9 0.015462
4 0.015508
4 0.015524
4 0.015535
4 0.015545
4 0.015545
4 0.015546
4 0.015551
4 0.015551
4 0.015551
4 0.015562
4 0.015569
4 0.015569
4 0.015571
4 0.015578
4 0.015583
8 0.015599
8 0.015599
8 0.015601
8 0.015620
8 0.015620
8 0.015620
4 0.015649
4 0.015651
4 0.015654
8 0.015660
8 0.015660
4 0.015676
4 0.015678
4 0.015688
5 0.015703
5 0.015703
5 0.015703
5 0.015704
5 0.015704
5 0.015704
5 0.015704
4 0.015708
9 0.015720
5 0.015721
5 0.015721
5 0.015722
5 0.015722
9 0.015738
5 0.015750
5 0.015751
5 0.015751
4 0.015759
4 0.015760
4 0.015760
4 0.015778
6 0.015824
6 0.015824
6 0.015842
6 0.015842
6 0.015842
6 0.015853
6 0.015879
9 0.015883
9 0.015883
9 0.015888
6 0.015893
5 0.016015
5 0.016016
5 0.016040
5 0.016040
5 0.016056
5 0.016057
8 0.016113
8 0.016113
8 0.016137
8 0.016137
8 0.016137
4 0.016245
4 0.016319
5 0.016361
5 0.016361
5 0.016362
5 0.016362
4 0.016384
5 0.016393
5 0.016394
5 0.016394
4 0.016484
5 0.016679
5 0.016680
5 0.016706
5 0.016708
5 0.016726
5 0.016751
5 0.016751
5 0.016752
5 0.016752
8 0.016798
8 0.016806
4 0.016809
4 0.016810
4 0.016810
4 0.016841
4 0.016841
4 0.016855
10 0.016897
10 0.016897
10 0.016897
8 0.017001
7 0.017007
7 0.017007
8 0.017051
5 0.017062
5 0.017092
5 0.017108
10 0.017172
10 0.017200
10 0.017203
10 0.017212
8 0.017232
6 0.017287
6 0.017322
10 0.017352
10 0.017354
10 0.017354
10 0.017354
10 0.017354
10 0.017354
10 0.017354
8 0.017357
7 0.017382
7 0.017382
4 0.017400
10 0.017408
4 0.017519
7 0.017546
7 0.017546
4 0.017553
10 0.017659
10 0.017668
10 0.017670
10 0.017670
10 0.017670
10 0.017670
8 0.017717
7 0.017804
7 0.017804
8 0.017913
4 0.017960
10 0.017965
4 0.017996
10 0.018010
10 0.018012
10 0.018022
8 0.018027
8 0.018047
8 0.018100
10 0.018162
10 0.018170
10 0.018170
10 0.018170
10 0.018170
10 0.018170
10 0.018170
4 0.018176
4 0.018176
4 0.018177
4 0.018177
4 0.018177
4 0.018212
4 0.018212
4 0.018213
4 0.018213
4 0.018213
10 0.018216
4 0.018228
4 0.018229
10 0.018229
10 0.018253
10 0.018258
10 0.018258
10 0.018282
10 0.018282
10 0.018282
6 0.018393
3 0.018395
8 0.018423
8 0.018432
4 0.018519
8 0.018679
8 0.018689
10 0.018694
8 0.018711
8 0.018721
8 0.018741
8 0.018747
10 0.018787
10 0.018793
4 0.018818
4 0.018818
10 0.018818
4 0.018857
4 0.018857
10 0.018870
4 0.018874
10 0.018878
10 0.018878
10 0.018878
3 0.018886
3 0.018887
10 0.018918
10 0.018919
10 0.018928
10 0.018929
10 0.018930
10 0.018931
3 0.018935
3 0.018935
4 0.019013
4 0.019013
4 0.019043
4 0.019043
4 0.019043
4 0.019043
4 0.019044
4 0.019083
4 0.019083
4 0.019084
4 0.019084
4 0.019085
10 0.019087
4 0.019100
8 0.019100
4 0.019101
7 0.019192
7 0.019192
10 0.019206
4 0.019255
4 0.019255
4 0.019256
4 0.019256
4 0.019256
10 0.019280
10 0.019282
10 0.019293
7 0.019334
7 0.019338
7 0.019338
8 0.019356
3 0.019380
3 0.019404
3 0.019417
3 0.019429
10 0.019431
10 0.019450
10 0.019450
10 0.019450
10 0.019450
10 0.019450
10 0.019450
3 0.019468
10 0.019518
3 0.019553
8 0.019683
8 0.019684
8 0.019693
8 0.019695
8 0.019700
6 0.019758
6 0.019786
6 0.019786
8 0.019859
8 0.019867
8 0.019896
4 0.019977
3 0.020215
3 0.020218
3 0.020219
4 0.020231
4 0.020231
4 0.020232
4 0.020232
4 0.020233
4 0.020233
3 0.020249
3 0.020271
3 0.020272
3 0.020276
3 0.020305
3 0.020306
3 0.020328
3 0.020332
3 0.020333
8 0.020359
8 0.020362
4 0.020396
4 0.020549
4 0.020549
4 0.020549
4 0.020596
4 0.020596
4 0.020615
4 0.020674
8 0.020715
3 0.020730
7 0.020779
9 0.020798
7 0.020811
9 0.020812
7 0.020872
7 0.020872
6 0.020900
6 0.020951
6 0.020952
10 0.020971
10 0.020971
10 0.020971
8 0.020973
6 0.020976
6 0.020976
6 0.020983
6 0.020983
7 0.021047
7 0.021047
4 0.021099
7 0.021109
7 0.021109
4 0.021149
4 0.021170
10 0.021356
3 0.021423
3 0.021459
3 0.021486
10 0.021495
10 0.021499
3 0.021505
3 0.021508
4 0.021509
10 0.021512
3 0.021522
3 0.021522
3 0.021533
3 0.021534
3 0.021534
3 0.021548
3 0.021566
3 0.021568
3 0.021586
3 0.021596
3 0.021612
10 0.021634
10 0.021679
10 0.021679
10 0.021679
10 0.021679
10 0.021679
10 0.021679
3 0.021704
3 0.021711
3 0.021720
10 0.021764
3 0.021768
3 0.021776
4 0.021805
5 0.021887
5 0.021887
5 0.021933
5 0.021933
5 0.021937
5 0.021937
4 0.021939
5 0.021963
5 0.021965
5 0.021983
5 0.021983
5 0.022009
5 0.022009
5 0.022015
5 0.022015
5 0.022041
7 0.022067
7 0.022070
5 0.022147
5 0.022149
5 0.022149
9 0.022377
9 0.022399
9 0.022415
7 0.022475
7 0.022539
6 0.022540
4 0.022568
6 0.022568
6 0.022568
7 0.022829
7 0.022845
7 0.022902
3 0.022987
3 0.023059
3 0.023059
9 0.023432
9 0.023443
9 0.023450
7 0.023461
9 0.023531
7 0.023538
7 0.023538
9 0.023573
7 0.023574
7 0.023601
7 0.023639
8 0.023650
8 0.023674
7 0.023718
7 0.023718
8 0.023771
8 0.024065
8 0.024091
8 0.024166
7 0.024254
5 0.024263
5 0.024263
5 0.024263
5 0.024263
5 0.024265
5 0.024265
5 0.024265
5 0.024265
7 0.024270
7 0.024332
7 0.024339
8 0.024354
7 0.024380
8 0.024382
4 0.024543
8 0.024635
6 0.024741
7 0.024785
7 0.024792
6 0.024822
8 0.024906
3 0.025051
3 0.025051
3 0.025052
3 0.025052
3 0.025052
3 0.025137
3 0.025138
7 0.025182
7 0.025182
8 0.025260
7 0.025262
7 0.025262
8 0.025269
8 0.025278
9 0.025282
9 0.025282
10 0.025296
10 0.025296
10 0.025296
8 0.025315
8 0.025332
8 0.025343
8 0.025428
8 0.025437
7 0.025528
7 0.025528
8 0.025533
7 0.025611
10 0.025805
10 0.025831
8 0.025835
10 0.025836
10 0.025836
10 0.025856
10 0.025856
10 0.025856
7 0.025944
7 0.025944
7 0.025944
8 0.026117
8 0.026136
10 0.026137
10 0.026142
10 0.026163
10 0.026213
9 0.026266
9 0.026288
9 0.026289
7 0.026312
7 0.026312
7 0.026312
7 0.026312
10 0.026333
10 0.026333
10 0.026333
10 0.026333
10 0.026333
10 0.026333
10 0.026333
10 0.026460
8 0.026635
6 0.026650
8 0.026655
6 0.026673
3 0.026689
3 0.026689
3 0.026690
8 0.026701
8 0.026721
5 0.026743
5 0.026743
6 0.026744
7 0.026750
7 0.026750
9 0.026764
9 0.026764
3 0.026764
3 0.026764
3 0.026765
9 0.026787
3 0.026787
8 0.026827
5 0.026829
5 0.026829
7 0.026846
3 0.026863
3 0.026863
3 0.026863
8 0.027135
3 0.027207
3 0.027207
3 0.027208
7 0.027212
7 0.027212
7 0.027212
3 0.027245
7 0.027281
7 0.027281
3 0.027309
3 0.027311
3 0.027311
7 0.027325
7 0.027325
7 0.027325
7 0.027338
3 0.027347
3 0.027347
3 0.027413
8 0.027451
7 0.027503
7 0.027503
7 0.027503
8 0.027508
8 0.027508
8 0.027523
8 0.027523
8 0.027523
8 0.027579
8 0.027579
8 0.027579
8 0.027655
7 0.027689
7 0.027689
7 0.027747
7 0.027747
7 0.027910
8 0.027980
7 0.028014
7 0.028019
4 0.028020
4 0.028023
4 0.028025
8 0.028035
8 0.028035
8 0.028035
7 0.028084
7 0.028084
8 0.028087
8 0.028087
4 0.028099
4 0.028102
8 0.028114
4 0.028143
7 0.028159
7 0.028159
6 0.028175
7 0.028205
7 0.028205
7 0.028205
5 0.028322
8 0.028329
5 0.028366
5 0.028370
7 0.028411
7 0.028411
5 0.028453
5 0.028498
5 0.028511
5 0.028511
7 0.028518
6 0.028545
7 0.028561
7 0.028568
6 0.028602
6 0.028602
7 0.028621
7 0.028628
7 0.028663
7 0.028676
6 0.028698
6 0.028698
7 0.028708
7 0.028759
7 0.028779
7 0.028810
7 0.028818
7 0.028870
7 0.029011
7 0.029011
8 0.029066
7 0.029075
4 0.029096
4 0.029096
4 0.029190
4 0.029190
4 0.029230
7 0.029248
7 0.029313
7 0.029342
7 0.029416
7 0.029456
6 0.029536
6 0.029536
7 0.029538
7 0.029578
6 0.029599
6 0.029599
6 0.029599
6 0.029600
5 0.029603
8 0.029609
8 0.029626
5 0.029660
10 0.029675
10 0.029675
10 0.029675
8 0.029691
7 0.029707
5 0.029746
2 0.030015
2 0.030020
10 0.030079
7 0.030101
7 0.030101
7 0.030111
7 0.030111
8 0.030125
2 0.030132
2 0.030144
10 0.030174
10 0.030178
10 0.030191
8 0.030192
8 0.030221
8 0.030223
8 0.030242
2 0.030245
8 0.030280
8 0.030310
7 0.030315
7 0.030359
10 0.030364
9 0.030366
9 0.030366
10 0.030385
10 0.030385
10 0.030385
10 0.030385
10 0.030385
10 0.030385
7 0.030403
4 0.030408
4 0.030422
4 0.030423
8 0.030459
10 0.030468
7 0.030489
4 0.030515
4 0.030516
7 0.030532
7 0.030543
7 0.030545
4 0.030568
4 0.030568
7 0.030662
4 0.030662
7 0.030694
7 0.030694
8 0.030708
5 0.030712
5 0.030716
5 0.030716
8 0.030740
5 0.030826
5 0.030826
5 0.030830
5 0.030830
7 0.030856
8 0.030861
7 0.030907
7 0.030913
8 0.030923
7 0.030987
7 0.030996
7 0.031024
7 0.031066
7 0.031095
7 0.031146
6 0.031193
7 0.031224
6 0.031261
6 0.031261
8 0.031265
7 0.031274
7 0.031275
7 0.031345
6 0.031374
6 0.031374
7 0.031483
7 0.031486
7 0.031522
8 0.031531
7 0.031534
7 0.031568
7 0.031591
7 0.031708
9 0.031751
6 0.031764
6 0.031764
9 0.031768
9 0.031784
8 0.031856
4 0.031937
4 0.031937
4 0.031964
4 0.031964
6 0.032019
4 0.032040
4 0.032040
5 0.032082
5 0.032082
6 0.032091
6 0.032091
4 0.032097
10 0.032144
10 0.032144
10 0.032144
5 0.032205
5 0.032205
5 0.032206
5 0.032206
6 0.032211
6 0.032211
5 0.032330
7 0.032334
8 0.032451
7 0.032481
9 0.032529
9 0.032529
9 0.032563
10 0.032600
4 0.032626
4 0.032626
4 0.032629
4 0.032629
4 0.032629
7 0.032683
7 0.032702
4 0.032733
