Symbol: Mg
Atomic Number: 12
Atomic Mass: 24.305000
Start Spectral Index: 12
1 1351
2 601
3 452
4 821
5 518
6 893
7 379
8 944
9 461
10 212
11 228
12 44
End Spectral Index:
Order of Magnitude: 0.000001
Start Spectral Lines:
12 0.000638
12 0.000638
12 0.000640
12 0.000640
12 0.000642
12 0.000642
12 0.000645
12 0.000645
12 0.000650
12 0.000650
12 0.000658
12 0.000658
12 0.000674
12 0.000674
11 0.000710
12 0.000711
12 0.000711
11 0.000712
11 0.000715
11 0.000718
11 0.000723
11 0.000731
11 0.000731
11 0.000747
11 0.000748
11 0.000785
11 0.000786
10 0.000807
10 0.000809
12 0.000842
12 0.000843
11 0.000845
11 0.000849
11 0.000852
11 0.000852
11 0.000852
11 0.000853
11 0.000853
11 0.000853
11 0.000853
11 0.000853
11 0.000853
11 0.000855
11 0.000858
11 0.000860
11 0.000867
11 0.000917
10 0.000922
10 0.000922
11 0.000923
10 0.000923
10 0.000923
11 0.000923
10 0.000927
10 0.000927
10 0.000929
10 0.000930
11 0.000932
10 0.000932
10 0.000932
9 0.000937
9 0.000938
10 0.000938
10 0.000938
10 0.000938
10 0.000939
9 0.000939
10 0.000939
10 0.000939
9 0.000939
9 0.000941
9 0.000941
9 0.000941
9 0.000941
9 0.000942
9 0.000943
9 0.000944
9 0.000944
9 0.000944
9 0.000945
9 0.000945
12 0.003005
12 0.003005
12 0.003006
12 0.003012
11 0.003088
11 0.003118
11 0.003161
11 0.003225
11 0.003330
12 0.003365
12 0.003367
12 0.003367
12 0.003373
11 0.003402
11 0.003402
11 0.003403
11 0.003513
11 0.003514
11 0.003514
11 0.003518
11 0.003519
11 0.003519
11 0.003520
11 0.003524
11 0.003525
11 0.003529
10 0.003537
10 0.003537
10 0.003583
10 0.003583
11 0.003607
11 0.003612
10 0.003652
10 0.003652
10 0.003764
10 0.003764
11 0.003792
11 0.003792
11 0.003793
10 0.003877
10 0.003882
10 0.003883
11 0.003926
11 0.003927
11 0.003927
11 0.003932
11 0.003932
11 0.003932
11 0.003933
11 0.003953
11 0.003954
11 0.003960
10 0.003967
10 0.003967
10 0.004002
10 0.004008
10 0.004008
11 0.004043
11 0.004054
9 0.004064
9 0.004180
10 0.004229
10 0.004236
10 0.004237
10 0.004252
10 0.004260
9 0.004309
9 0.004314
9 0.004314
9 0.004343
9 0.004348
9 0.004384
10 0.004405
10 0.004405
9 0.004428
9 0.004437
9 0.004442
9 0.004442
9 0.004498
12 0.004539
12 0.004539
12 0.004544
12 0.004553
9 0.004564
9 0.004598
9 0.004634
9 0.004666
9 0.004671
9 0.004671
9 0.004704
10 0.004723
10 0.004731
10 0.004732
9 0.004776
10 0.004779
9 0.004782
10 0.004788
9 0.004795
9 0.004802
9 0.004834
9 0.004865
9 0.004879
9 0.004959
9 0.005032
11 0.005044
11 0.005046
11 0.005047
9 0.005078
9 0.005099
8 0.005139
8 0.005147
8 0.005147
9 0.005156
9 0.005159
9 0.005159
9 0.005165
9 0.005166
9 0.005166
8 0.005240
11 0.005260
11 0.005262
11 0.005262
8 0.005263
8 0.005263
8 0.005263
8 0.005263
11 0.005265
8 0.005269
8 0.005269
11 0.005272
11 0.005271
11 0.005272
9 0.005284
9 0.005307
9 0.005311
9 0.005313
9 0.005317
9 0.005319
9 0.005322
9 0.005331
8 0.005344
8 0.005348
8 0.005348
8 0.005351
8 0.005353
8 0.005374
11 0.005379
11 0.005381
8 0.005381
8 0.005391
8 0.005391
11 0.005391
9 0.005396
9 0.005401
9 0.005430
9 0.005446
11 0.005472
8 0.005485
8 0.005489
8 0.005495
9 0.005506
9 0.005506
8 0.005512
8 0.005514
8 0.005520
8 0.005520
11 0.005520
8 0.005522
9 0.005533
9 0.005614
8 0.005636
8 0.005640
8 0.005640
9 0.005686
8 0.005699
8 0.005702
8 0.005709
8 0.005713
9 0.005737
8 0.005759
8 0.005759
8 0.005759
8 0.005759
8 0.005774
8 0.005774
8 0.005774
8 0.005778
10 0.005788
10 0.005792
7 0.005832
9 0.005844
8 0.005850
8 0.005854
8 0.005856
8 0.005859
8 0.005861
8 0.005861
8 0.005867
8 0.005867
8 0.005882
8 0.005904
8 0.005915
8 0.005915
7 0.005964
9 0.006011
7 0.006014
8 0.006032
8 0.006038
9 0.006045
9 0.006054
8 0.006061
8 0.006068
8 0.006068
8 0.006068
8 0.006081
8 0.006102
9 0.006104
9 0.006104
9 0.006109
9 0.006113
8 0.006114
8 0.006114
9 0.006118
9 0.006136
9 0.006140
9 0.006149
8 0.006189
9 0.006192
9 0.006192
9 0.006192
8 0.006196
8 0.006196
9 0.006196
9 0.006202
9 0.006206
7 0.006217
9 0.006220
9 0.006225
8 0.006229
8 0.006229
8 0.006229
8 0.006229
9 0.006260
7 0.006262
7 0.006270
9 0.006275
10 0.006315
10 0.006330
10 0.006331
7 0.006340
9 0.006373
7 0.006412
8 0.006424
8 0.006438
8 0.006449
8 0.006452
8 0.006463
8 0.006465
8 0.006470
