Symbol: Al
Atomic Number: 13
Atomic Mass: 26.981500
Start Spectral Index: 13
1 382
2 695
3 247
4 396
5 348
6 616
7 507
8 579
9 401
10 227
11 260
12 232
13 50
End Spectral Index:
Order of Magnitude: 0.000001
Start Spectral Lines:
13 0.000544
13 0.000544
13 0.000545
13 0.000545
13 0.000546
13 0.000546
13 0.000549
13 0.000549
13 0.000553
13 0.000553
13 0.000560
13 0.000560
13 0.000574
13 0.000574
12 0.000600
12 0.000601
12 0.000603
13 0.000605
13 0.000605
12 0.000606
12 0.000610
12 0.000618
12 0.000618
12 0.000631
12 0.000632
12 0.000663
12 0.000664
11 0.000674
11 0.000674
11 0.000678
11 0.000678
11 0.000678
11 0.000678
11 0.000678
11 0.000679
11 0.000679
11 0.000679
11 0.000679
11 0.000680
11 0.000680
11 0.000680
11 0.000682
11 0.000683
11 0.000685
11 0.000685
11 0.000685
13 0.000717
13 0.000718
12 0.000719
12 0.000723
12 0.000725
12 0.000725
12 0.000726
12 0.000726
12 0.000726
12 0.000726
12 0.000726
12 0.000726
12 0.000726
12 0.000728
12 0.000776
11 0.000777
11 0.000777
11 0.000777
11 0.000777
11 0.000777
11 0.000777
11 0.000777
11 0.000780
11 0.000780
12 0.000780
11 0.000781
12 0.000781
11 0.000781
11 0.000781
11 0.000781
11 0.000785
11 0.000785
11 0.000786
11 0.000786
11 0.000786
12 0.000787
11 0.000787
11 0.000788
11 0.000788
10 0.000791
11 0.000793
10 0.000793
10 0.000793
10 0.000793
10 0.000794
10 0.000794
10 0.000795
10 0.000795
10 0.000795
10 0.000795
10 0.000795
10 0.000796
10 0.000796
10 0.000796
10 0.000796
10 0.000796
10 0.000797
13 0.002559
13 0.002560
13 0.002560
13 0.002566
12 0.002597
12 0.002622
12 0.002658
12 0.002713
12 0.002801
13 0.002866
13 0.002866
13 0.002867
12 0.002869
12 0.002869
12 0.002869
13 0.002874
11 0.002942
11 0.002942
12 0.002955
12 0.002956
12 0.002956
12 0.002961
12 0.002961
12 0.002961
12 0.002961
12 0.002964
12 0.002965
12 0.002969
11 0.002979
11 0.002979
12 0.003029
12 0.003033
11 0.003038
11 0.003038
11 0.003131
11 0.003131
11 0.003143
11 0.003148
11 0.003148
12 0.003199
12 0.003199
12 0.003199
11 0.003207
11 0.003213
11 0.003213
11 0.003301
11 0.003301
12 0.003302
12 0.003304
12 0.003304
12 0.003309
12 0.003309
12 0.003309
12 0.003309
11 0.003311
11 0.003317
11 0.003317
12 0.003323
12 0.003325
12 0.003331
12 0.003395
12 0.003404
11 0.003500
11 0.003507
11 0.003507
11 0.003516
11 0.003524
11 0.003667
11 0.003668
10 0.003825
13 0.003865
13 0.003866
13 0.003870
13 0.003879
11 0.003909
11 0.003918
11 0.003918
11 0.003953
11 0.003962
10 0.004042
9 0.004154
10 0.004173
12 0.004259
12 0.004262
12 0.004262
9 0.004355
12 0.004426
12 0.004429
12 0.004429
12 0.004432
12 0.004438
12 0.004439
12 0.004439
9 0.004470
9 0.004474
9 0.004480
10 0.004490
12 0.004519
12 0.004522
12 0.004533
12 0.004593
12 0.004631
9 0.004775
10 0.004780
9 0.004786
9 0.004787
11 0.004830
11 0.004834
9 0.004985
9 0.004993
9 0.004992
10 0.005067
10 0.005067
10 0.005072
10 0.005076
10 0.005080
10 0.005090
10 0.005095
10 0.005104
10 0.005136
