Symbol: Si
Atomic Number: 14
Atomic Mass: 28.085500
Start Spectral Index: 13
1 334
2 591
3 1300
4 332
5 151
6 347
7 236
8 434
9 370
10 319
11 282
12 174
13 585
End Spectral Index:
Order of Magnitude: 0.000001
Start Spectral Lines:
13 0.000514
13 0.000515
13 0.000516
13 0.000519
13 0.000522
13 0.000529
13 0.000540
13 0.000568
13 0.000665
13 0.002156
13 0.002156
13 0.002156
13 0.002176
13 0.002176
13 0.002176
13 0.002205
13 0.002206
13 0.002206
13 0.002210
13 0.002211
13 0.002214
13 0.002215
13 0.002232
13 0.002233
13 0.002236
13 0.002236
13 0.002250
13 0.002250
13 0.002250
13 0.002256
13 0.002263
13 0.002264
13 0.002266
13 0.002268
13 0.002278
13 0.002310
13 0.002311
13 0.002311
13 0.002313
13 0.002315
13 0.002322
13 0.002322
13 0.002322
13 0.002359
13 0.002384
13 0.002385
13 0.002385
13 0.002387
13 0.002388
13 0.002388
13 0.002388
13 0.002389
13 0.002389
13 0.002392
13 0.002437
13 0.002439
13 0.002452
13 0.002452
13 0.002452
13 0.002520
13 0.002521
13 0.002521
13 0.002525
13 0.002525
13 0.002526
13 0.002526
13 0.002527
13 0.002528
13 0.002532
12 0.002566
12 0.002566
13 0.002579
13 0.002582
12 0.002608
12 0.002613
12 0.002613
12 0.002644
12 0.002646
12 0.002646
12 0.002649
12 0.002649
12 0.002697
12 0.002703
12 0.002703
13 0.002734
13 0.002735
13 0.002735
12 0.002785
12 0.002790
12 0.002790
12 0.002791
12 0.002791
13 0.002816
13 0.002818
13 0.002818
13 0.002822
13 0.002823
13 0.002823
13 0.002823
13 0.002833
13 0.002835
13 0.002840
13 0.002891
13 0.002898
12 0.002944
12 0.002951
12 0.002951
12 0.002957
12 0.002965
12 0.003101
12 0.003102
11 0.003193
11 0.003198
11 0.003198
12 0.003289
12 0.003297
12 0.003298
11 0.003315
11 0.003316
11 0.003322
12 0.003322
11 0.003330
12 0.003331
11 0.003352
11 0.003357
10 0.003424
11 0.003491
11 0.003535
11 0.003538
11 0.003538
11 0.003545
11 0.003545
11 0.003545
10 0.003593
11 0.003625
11 0.003631
11 0.003634
13 0.003643
13 0.003646
13 0.003647
11 0.003677
11 0.003706
11 0.003734
13 0.003776
13 0.003779
13 0.003779
13 0.003781
13 0.003788
13 0.003789
13 0.003789
13 0.003851
13 0.003853
13 0.003864
11 0.003909
13 0.003910
13 0.003942
10 0.003944
10 0.003955
10 0.003955
11 0.004018
11 0.004047
12 0.004091
12 0.004095
11 0.004211
11 0.004237
11 0.004246
10 0.004251
11 0.004273
11 0.004273
11 0.004277
11 0.004283
11 0.004283
11 0.004287
11 0.004291
11 0.004295
11 0.004305
11 0.004329
11 0.004376
11 0.004376
10 0.004385
12 0.004402
12 0.004417
12 0.004418
9 0.004422
9 0.004425
9 0.004429
10 0.004452
10 0.004466
11 0.004540
12 0.004552
11 0.004568
12 0.004569
11 0.004579
11 0.004581
11 0.004586
11 0.004592
11 0.004607
11 0.004630
11 0.004640
11 0.004641
10 0.004667
10 0.004689
11 0.004690
10 0.004705
11 0.004729
11 0.004735
11 0.004739
11 0.004746
11 0.004749
10 0.004749
10 0.004754
11 0.004761
10 0.004765
11 0.004765
11 0.004771
11 0.004790
11 0.004811
11 0.004821
11 0.004832
10 0.004839
10 0.004844
11 0.004847
11 0.004851
10 0.004855
10 0.004860
11 0.004868
11 0.004874
11 0.004900
11 0.004905
11 0.004918
11 0.004922
11 0.004926
11 0.004933
11 0.004940
10 0.004942
10 0.004942
10 0.004944
10 0.004944
11 0.004951
10 0.004970
10 0.004970
10 0.004970
11 0.004994
10 0.004997
8 0.004999
8 0.004999
8 0.005002
8 0.005002
10 0.005003
10 0.005006
10 0.005012
10 0.005015
10 0.005025
10 0.005025
10 0.005030
10 0.005032
10 0.005032
10 0.005033
10 0.005040
10 0.005041
11 0.005041
10 0.005052
11 0.005052
11 0.005062
10 0.005069
10 0.005070
10 0.005102
10 0.005102
10 0.005102
10 0.005102
9 0.005111
11 0.005130
9 0.005136
8 0.005156
8 0.005157
10 0.005164
10 0.005168
11 0.005168
8 0.005172
8 0.005172
8 0.005182
8 0.005182
8 0.005183
8 0.005183
13 0.005187
13 0.005187
13 0.005187
10 0.005207
10 0.005216
10 0.005218
10 0.005225
11 0.005230
10 0.005232
10 0.005232
10 0.005249
8 0.005255
8 0.005255
10 0.005261
10 0.005261
9 0.005267
9 0.005267
9 0.005267
9 0.005267
9 0.005267
9 0.005267
13 0.005274
13 0.005275
13 0.005276
9 0.005281
13 0.005282
9 0.005284
9 0.005292
10 0.005295
10 0.005297
10 0.005297
13 0.005307
13 0.005307
13 0.005307
11 0.005316
13 0.005328
13 0.005328
13 0.005328
13 0.005328
13 0.005328
13 0.005331
13 0.005331
13 0.005344
10 0.005346
10 0.005346
10 0.005357
10 0.005357
10 0.005360
10 0.005360
11 0.005370
8 0.005376
8 0.005377
9 0.005381
9 0.005388
13 0.005397
9 0.005399
13 0.005400
13 0.005402
13 0.005408
11 0.005430
11 0.005431
11 0.005439
11 0.005439
11 0.005439
9 0.005439
11 0.005439
7 0.005446
10 0.005446
9 0.005447
11 0.005452
11 0.005452
10 0.005452
10 0.005452
