Symbol: P
Atomic Number: 15
Atomic Mass: 30.973800
Start Spectral Index: 13
1 258
2 100
3 70
4 129
5 48
6 5
7 3
8 20
9 47
10 26
11 18
12 16
13 14
End Spectral Index:
Order of Magnitude: 0.000001
Start Spectral Lines:
13 0.003510
13 0.003514
12 0.003734
13 0.003756
13 0.003771
13 0.003772
13 0.003875
13 0.003892
11 0.004260
11 0.004276
11 0.004278
12 0.004405
11 0.004600
11 0.004620
6 0.007495
6 0.007564
6 0.007653
6 0.009065
6 0.009147
9 0.019463
8 0.019676
9 0.019703
9 0.019726
10 0.020383
10 0.020538
10 0.020734
10 0.020766
9 0.021116
9 0.021163
9 0.021399
9 0.021447
7 0.021991
8 0.022236
7 0.022349
9 0.022708
9 0.022762
9 0.022824
11 0.023140
9 0.023257
9 0.023258
11 0.023426
10 0.023526
11 0.023671
10 0.023695
11 0.023971
8 0.024456
8 0.024632
8 0.024765
11 0.024794
8 0.024805
8 0.024932
9 0.025036
9 0.025037
9 0.025073
9 0.025074
8 0.025123
11 0.025405
5 0.025559
5 0.025567
11 0.026192
11 0.026434
10 0.026563
11 0.026785
10 0.026947
12 0.027829
9 0.027840
9 0.027919
9 0.027921
9 0.028015
4 0.028230
9 0.028325
9 0.028537
9 0.028669
9 0.028951
9 0.030302
4 0.030500
9 0.030888
10 0.030920
5 0.031058
9 0.031069
5 0.031134
10 0.031277
10 0.031298
11 0.031565
9 0.031686
10 0.031810
10 0.031828
10 0.031831
11 0.032551
11 0.032562
12 0.032723
5 0.032847
5 0.032878
12 0.033509
5 0.034723
5 0.034820
4 0.035929
4 0.035990
4 0.036151
4 0.036163
4 0.037130
4 0.037150
4 0.037161
4 0.037200
4 0.037215
4 0.037226
5 0.037856
4 0.038832
5 0.038950
5 0.039070
5 0.041002
5 0.041003
5 0.041003
4 0.041460
4 0.041500
4 0.041580
4 0.042947
4 0.044380
4 0.044425
4 0.044425
4 0.044516
4 0.044517
4 0.044518
13 0.045573
3 0.047115
5 0.047558
5 0.047560
5 0.047560
13 0.048030
3 0.048428
3 0.049818
4 0.052593
12 0.053279
5 0.053463
5 0.053499
5 0.054257
5 0.054492
12 0.054835
4 0.056804
3 0.056985
12 0.057187
3 0.058183
12 0.058257
12 0.060795
4 0.062901
4 0.062991
4 0.063178
4 0.064848
4 0.067140
5 0.067388
5 0.067390
5 0.067390
4 0.075651
4 0.077635
2 0.081024
4 0.082318
4 0.082473
4 0.082473
4 0.082793
4 0.082793
4 0.082793
3 0.084465
3 0.084504
3 0.084566
4 0.084596
4 0.084702
3 0.084767
4 0.084771
3 0.084802
3 0.084846
3 0.084864
4 0.084980
4 0.085039
4 0.085109
3 0.085269
9 0.085361
9 0.085361
3 0.085562
3 0.085941
3 0.085965
4 0.085972
3 0.085973
4 0.086048
9 0.086126
9 0.086126
4 0.086153
10 0.086177
4 0.086330
4 0.086502
2 0.086544
5 0.086545
4 0.086681
5 0.087139
5 0.087145
4 0.087747
4 0.088895
10 0.090212
8 0.090264
3 0.091397
3 0.091712
4 0.091850
3 0.091867
3 0.092185
4 0.095066
8 0.095215
5 0.099754
5 0.099762
3 0.099800
5 0.100038
3 0.100360
4 0.100623
4 0.102556
4 0.102810
4 0.103052
4 0.103052
