Symbol: S
Atomic Number: 16
Atomic Mass: 32.066000
Start Spectral Index: 16
1 624
2 926
3 266
4 611
5 386
6 175
7 80
8 64
9 121
10 152
11 163
12 194
13 115
14 88
15 103
16 40
End Spectral Index:
Order of Magnitude: 0.000001
Start Spectral Lines:
16 0.000370
16 0.000370
16 0.000378
16 0.000378
15 0.000388
15 0.000389
15 0.000390
15 0.000392
15 0.000395
16 0.000399
16 0.000399
15 0.000400
15 0.000400
15 0.000409
15 0.000409
15 0.000430
15 0.000431
14 0.000436
14 0.000436
14 0.000437
14 0.000437
14 0.000437
14 0.000438
14 0.000438
14 0.000438
14 0.000438
14 0.000438
14 0.000438
14 0.000438
14 0.000439
14 0.000439
14 0.000439
14 0.000439
14 0.000439
14 0.000440
14 0.000440
14 0.000441
14 0.000441
16 0.000473
16 0.000473
15 0.000474
15 0.000476
15 0.000477
15 0.000477
15 0.000477
15 0.000477
15 0.000477
15 0.000478
15 0.000478
15 0.000478
15 0.000478
15 0.000478
15 0.000480
15 0.000481
15 0.000484
15 0.000504
14 0.000505
14 0.000505
14 0.000505
14 0.000505
14 0.000505
14 0.000505
14 0.000506
14 0.000506
15 0.000506
14 0.000507
15 0.000507
14 0.000507
14 0.000509
14 0.000509
14 0.000509
14 0.000509
14 0.000510
15 0.000510
14 0.000510
14 0.000513
14 0.000513
14 0.000513
14 0.000513
16 0.001687
16 0.001687
16 0.001687
16 0.001694
16 0.001888
16 0.001889
16 0.001890
16 0.001897
15 0.002063
15 0.002064
15 0.002064
15 0.002118
15 0.002119
15 0.002122
15 0.002125
14 0.002166
15 0.002169
14 0.002173
14 0.002173
14 0.002175
14 0.002182
14 0.002299
14 0.002300
13 0.002324
12 0.002373
14 0.002420
14 0.002428
14 0.002429
14 0.002442
12 0.002442
13 0.002442
14 0.002451
13 0.002459
16 0.002546
16 0.002546
16 0.002551
12 0.002557
16 0.002560
12 0.002566
12 0.002565
13 0.002576
13 0.002582
13 0.002583
13 0.002614
13 0.002617
13 0.002623
13 0.002634
13 0.002636
13 0.002640
13 0.002671
12 0.002689
13 0.002699
15 0.002753
15 0.002756
15 0.002757
12 0.002789
12 0.002789
12 0.002789
12 0.002818
12 0.002822
12 0.002827
12 0.002833
12 0.002833
15 0.002841
15 0.002843
15 0.002845
15 0.002853
13 0.002876
15 0.002891
13 0.002893
15 0.002894
12 0.002897
15 0.002905
12 0.002920
12 0.002924
12 0.002924
12 0.002926
12 0.002926
15 0.002932
15 0.002954
12 0.003001
14 0.003043
14 0.003047
13 0.003091
11 0.003095
12 0.003105
12 0.003105
11 0.003105
13 0.003132
13 0.003142
11 0.003148
13 0.003155
13 0.003158
13 0.003162
13 0.003165
13 0.003168
13 0.003172
13 0.003172
13 0.003182
12 0.003188
12 0.003190
12 0.003190
13 0.003194
13 0.003205
13 0.003209
13 0.003219
13 0.003224
14 0.003241
14 0.003256
14 0.003258
12 0.003267
13 0.003280
12 0.003281
12 0.003281
12 0.003288
13 0.003326
14 0.003338
13 0.003345
13 0.003352
14 0.003355
13 0.003360
13 0.003371
13 0.003381
12 0.003383
13 0.003385
13 0.003386
13 0.003395
13 0.003396
13 0.003397
13 0.003408
12 0.003413
13 0.003415
12 0.003429
10 0.003431
12 0.003453
13 0.003454
12 0.003459
13 0.003463
12 0.003469
13 0.003469
13 0.003475
13 0.003479
13 0.003487
12 0.003505
12 0.003505
12 0.003505
12 0.003505
12 0.003511
12 0.003520
13 0.003527
12 0.003527
12 0.003537
13 0.003540
13 0.003544
13 0.003556
13 0.003561
13 0.003567
13 0.003574
12 0.003579
12 0.003579
12 0.003595
12 0.003596
12 0.003596
12 0.003606
12 0.003611
12 0.003612
13 0.003613
13 0.003613
12 0.003613
12 0.003613
12 0.003616
12 0.003621
12 0.003625
12 0.003625
12 0.003632
12 0.003634
12 0.003634
12 0.003640
12 0.003640
12 0.003642
13 0.003656
12 0.003656
12 0.003657
11 0.003666
11 0.003673
11 0.003706
11 0.003707
11 0.003707
12 0.003746
12 0.003747
12 0.003753
12 0.003753
12 0.003760
12 0.003771
12 0.003772
11 0.003777
11 0.003793
11 0.003794
13 0.003814
12 0.003832
12 0.003832
11 0.003862
11 0.003870
13 0.003871
13 0.003879
13 0.003879
11 0.003881
12 0.003882
12 0.003882
13 0.003887
12 0.003888
9 0.003888
13 0.003892
12 0.003892
9 0.003897
11 0.003897
11 0.003897
13 0.003899
9 0.003900
11 0.003905
11 0.003911
11 0.003913
12 0.003921
11 0.003922
11 0.003924
11 0.003924
12 0.003927
11 0.003930
12 0.003931
11 0.003932
11 0.003932
12 0.003937
11 0.003941
11 0.003943
11 0.003957
11 0.003957
11 0.003965
11 0.003965
11 0.003969
11 0.003972
13 0.003973
13 0.003981
11 0.004008
11 0.004010
9 0.004017
11 0.004019
12 0.004024
11 0.004028
11 0.004030
11 0.004057
11 0.004071
11 0.004090
11 0.004091
11 0.004117
11 0.004131
10 0.004136
11 0.004139
