Symbol: Cl
Atomic Number: 17
Atomic Mass: 35.452700
Start Spectral Index: 10
1 221
2 292
3 192
4 73
5 27
6 1
7 28
8 5
9 3
10 11
End Spectral Index:
Order of Magnitude: 0.000001
Start Spectral Lines:
8 0.004949
8 0.005007
8 0.005070
8 0.005867
8 0.005919
9 0.018071
9 0.018527
7 0.019612
7 0.019639
10 0.020538
7 0.020783
7 0.020786
7 0.020786
10 0.021006
7 0.024083
7 0.024087
7 0.024088
5 0.028733
7 0.029326
7 0.029490
4 0.031962
4 0.033184
7 0.034024
7 0.034031
7 0.034033
5 0.037378
5 0.039015
5 0.039243
3 0.040627
3 0.041137
3 0.041181
4 0.043783
7 0.045514
7 0.045530
7 0.045657
4 0.046486
4 0.048617
4 0.053473
4 0.053567
4 0.053615
5 0.053653
5 0.053701
5 0.053746
4 0.053761
5 0.053803
4 0.053812
5 0.053868
5 0.054223
5 0.054230
5 0.054287
5 0.054511
5 0.054633
5 0.054763
4 0.054922
4 0.055002
4 0.055202
4 0.055330
4 0.055462
3 0.055623
3 0.055661
3 0.055712
2 0.055930
3 0.056153
3 0.056168
3 0.056174
2 0.057190
2 0.057441
2 0.058624
7 0.059821
4 0.060150
4 0.060459
7 0.060478
7 0.060506
3 0.060635
4 0.060890
4 0.061207
2 0.061806
2 0.061998
2 0.062030
3 0.062128
2 0.062674
5 0.063319
5 0.063532
2 0.063588
2 0.063663
2 0.065089
4 0.065370
2 0.065981
2 0.066184
2 0.066307
3 0.067038
6 0.067138
3 0.067313
5 0.068192
2 0.068205
5 0.068317
2 0.068766
5 0.068893
2 0.069359
5 0.071555
5 0.071619
7 0.072213
2 0.072527
7 0.072573
2 0.072895
10 0.073961
4 0.074521
2 0.077756
2 0.078758
2 0.078874
2 0.079334
7 0.080064
10 0.080412
7 0.081296
4 0.083143
4 0.083484
4 0.083497
2 0.083930
2 0.083960
4 0.084081
4 0.084093
2 0.084141
2 0.085169
4 0.086530
5 0.088313
2 0.088803
2 0.089355
5 0.089434
5 0.089491
5 0.091450
3 0.093628
2 0.096150
1 0.096992
4 0.097322
4 0.097756
4 0.097790
1 0.097828
4 0.098495
4 0.098575
4 0.098610
1 0.099837
1 0.099843
1 0.100235
3 0.100528
3 0.100877
1 0.101366
3 0.101502
1 0.102555
2 0.106383
2 0.106794
2 0.107104
2 0.107177
2 0.107523
2 0.107908
1 0.108467
1 0.108517
1 0.108530
1 0.108806
1 0.109027
1 0.109098
1 0.109244
1 0.109477
1 0.109515
1 0.109566
1 0.109580
1 0.109681
1 0.109737
1 0.109807
1 0.109952
1 0.110753
2 0.113921
1 0.116715
1 0.117929
1 0.118875
1 0.118877
1 0.120135
1 0.133573
1 0.134724
1 0.135166
1 0.136345
1 0.137312
1 0.137953
1 0.138969
1 0.138996
1 0.139653
10 0.141997
2 0.144147
4 0.150038
4 0.151060
2 0.152857
4 0.152869
4 0.153224
4 0.153441
4 0.153721
4 0.153930
2 0.154294
10 0.154364
10 0.154364
4 0.154519
4 0.154913
2 0.155814
2 0.156505
4 0.160002
4 0.161738
4 0.162293
4 0.162550
4 0.163225
4 0.163877
4 0.165032
7 0.166820
7 0.168643
7 0.168756
3 0.179793
3 0.180842
3 0.181021
3 0.181762
3 0.182246
3 0.182451
3 0.182837
3 0.183204
3 0.183316
10 0.185410
10 0.185410
2 0.185749
3 0.189773
3 0.189887
3 0.190157
3 0.191286
3 0.191402
3 0.191646
3 0.191780
3 0.192024
3 0.198361
2 0.199737
3 0.200749
2 0.203277
2 0.208925
2 0.209212
7 0.217950
7 0.221270
3 0.223183
3 0.225369
3 0.225632
3 0.226960
3 0.227902
3 0.228463
3 0.229208
3 0.229245
3 0.229250
3 0.229925
3 0.232421
3 0.233717
3 0.234132
3 0.234838
3 0.236038
3 0.236065
3 0.237107
3 0.237333
3 0.238011
3 0.238021
3 0.238799
3 0.239485
3 0.240406
3 0.240984
3 0.241715
3 0.241994
3 0.242317
2 0.242852
2 0.243088
2 0.243091
2 0.243481
2 0.243486
3 0.243525
