Symbol: Ar
Atomic Number: 18
Atomic Mass: 39.948000
Start Spectral Index: 14
1 461
2 350
3 133
4 69
5 47
6 6
7 21
8 27
9 2
10 1
11 2
13 6
14 1
End Spectral Index:
Order of Magnitude: 0.000001
Start Spectral Lines:
9 0.004874
9 0.004919
8 0.012009
8 0.012016
8 0.015893
8 0.015918
8 0.018426
8 0.018430
8 0.018431
8 0.022943
8 0.023087
7 0.024939
7 0.024989
7 0.025095
8 0.026025
8 0.026033
8 0.026035
6 0.029214
6 0.029404
5 0.033656
8 0.033711
8 0.033728
5 0.033756
5 0.033800
8 0.033826
5 0.033843
5 0.033901
5 0.033989
5 0.035088
4 0.039687
4 0.039855
5 0.043667
5 0.044600
5 0.044695
5 0.044753
5 0.044906
5 0.044949
5 0.045812
5 0.045898
5 0.046123
5 0.046242
5 0.046394
7 0.047393
7 0.047565
7 0.047574
7 0.047938
7 0.047949
7 0.047957
2 0.048723
2 0.049065
2 0.049070
2 0.051933
8 0.051943
5 0.052209
5 0.052419
8 0.052646
8 0.052687
5 0.052769
2 0.054291
2 0.054320
2 0.054746
5 0.055450
2 0.055682
8 0.055846
5 0.055848
8 0.056162
2 0.057336
2 0.057674
2 0.058026
2 0.058344
7 0.058575
2 0.059770
2 0.060286
2 0.061237
7 0.063030
7 0.063423
5 0.063512
7 0.063705
7 0.063747
7 0.064032
7 0.064437
13 0.065669
2 0.066187
2 0.066456
2 0.066601
2 0.067095
2 0.067185
2 0.067624
2 0.067795
2 0.067922
2 0.067940
4 0.068328
4 0.068839
4 0.068901
4 0.069941
4 0.070028
8 0.070034
5 0.070535
5 0.070920
8 0.071393
5 0.071560
5 0.071565
2 0.071809
2 0.072336
5 0.072511
2 0.072555
2 0.073093
2 0.073745
2 0.074027
2 0.074492
2 0.074532
2 0.074820
4 0.075420
6 0.075494
4 0.076147
6 0.076706
6 0.076773
3 0.076915
4 0.080057
4 0.080109
4 0.080141
4 0.080191
1 0.080286
1 0.080647
1 0.080687
1 0.080722
1 0.080765
1 0.080993
1 0.081623
1 0.081646
1 0.082012
