Symbol: K
Atomic Number: 19
Atomic Mass: 39.098300
Start Spectral Index: 14
1 218
2 85
3 73
4 64
5 62
6 18
7 6
8 22
9 25
10 5
11 1
14 12
End Spectral Index:
Order of Magnitude: 0.000001
Start Spectral Lines:
10 0.003531
10 0.003578
10 0.003623
10 0.004115
10 0.004154
9 0.013163
9 0.013188
9 0.014566
9 0.014571
9 0.014571
9 0.018459
9 0.018588
8 0.019854
8 0.019898
8 0.019992
9 0.020577
9 0.020586
9 0.020588
5 0.021435
7 0.022762
7 0.022926
9 0.025986
9 0.026004
9 0.026083
2 0.026120
4 0.027182
4 0.027306
4 0.027988
5 0.028235
5 0.029333
5 0.029484
5 0.029617
5 0.029706
5 0.030025
5 0.030050
5 0.031124
5 0.031277
5 0.031518
3 0.032528
5 0.032738
3 0.032760
3 0.033068
4 0.034046
4 0.034074
3 0.034192
3 0.034800
5 0.034950
4 0.035493
4 0.035626
4 0.035973
4 0.035991
4 0.036208
4 0.036215
4 0.036302
5 0.037215
5 0.037246
5 0.037277
5 0.037596
4 0.037596
5 0.037776
3 0.037912
5 0.037912
4 0.037988
4 0.038048
3 0.038048
4 0.038170
4 0.038223
3 0.038223
4 0.038249
4 0.038265
4 0.038291
4 0.038410
4 0.038661
5 0.038780
4 0.038892
4 0.038907
5 0.038907
5 0.039011
4 0.039042
4 0.039057
4 0.039146
4 0.039247
4 0.039314
5 0.039540
5 0.039836
3 0.039863
5 0.039888
5 0.039975
4 0.040021
3 0.040210
4 0.040291
4 0.040397
4 0.040441
3 0.040648
4 0.040808
3 0.040896
3 0.041379
3 0.041487
5 0.041505
5 0.041579
3 0.041600
8 0.041665
4 0.041728
3 0.041754
8 0.041845
8 0.041859
3 0.041862
5 0.042218
8 0.042241
8 0.042265
8 0.042279
5 0.042516
5 0.042559
3 0.043472
3 0.043568
5 0.043802
8 0.044138
2 0.044181
4 0.044230
4 0.044357
3 0.044434
9 0.044501
4 0.044561
4 0.044683
9 0.044784
3 0.044860
4 0.044860
5 0.044971
5 0.045290
5 0.045567
4 0.045633
5 0.045633
9 0.045932
2 0.046508
3 0.046679
9 0.046683
9 0.046739
2 0.046950
3 0.047009
3 0.047157
3 0.047492
2 0.047603
3 0.047918
3 0.048211
3 0.048241
5 0.048271
5 0.048375
2 0.049514
3 0.049710
3 0.051494
8 0.051938
3 0.052061
4 0.052300
3 0.052379
4 0.052645
4 0.052762
3 0.052980
3 0.053971
3 0.054612
8 0.055702
8 0.056160
8 0.056448
8 0.056513
8 0.056951
8 0.057281
5 0.058032
5 0.058551
5 0.058632
2 0.060077
5 0.060227
5 0.060343
14 0.060358
2 0.060793
2 0.061262
9 0.062145
9 0.063633
5 0.063867
4 0.064619
7 0.065840
14 0.066362
7 0.067151
7 0.067227
5 0.068750
3 0.070884
6 0.071052
6 0.071601
6 0.071629
5 0.072044
6 0.072428
5 0.072443
6 0.072533
6 0.072562
5 0.073186
4 0.073714
4 0.074195
4 0.074526
4 0.074635
4 0.074998
4 0.075419
4 0.075466
3 0.076531
3 0.076564
5 0.077029
5 0.077146
3 0.077853
3 0.087231
3 0.087386
3 0.087404
5 0.103560
14 0.104261
14 0.120480
14 0.120951
14 0.120951
9 0.127215
9 0.129336
9 0.129561
14 0.147737
14 0.147737
8 0.155400
8 0.158133
8 0.164298
9 0.164495
9 0.168438
2 0.172500
2 0.219068
2 0.221122
2 0.226574
6 0.236824
6 0.247332
5 0.251521
5 0.251521
2 0.255079
3 0.255078
4 0.259429
3 0.263590
3 0.269073
4 0.271187
3 0.273777
2 0.274436
3 0.287824
3 0.289975
1 0.292839
1 0.292843
3 0.293931
1 0.294353
1 0.294358
3 0.294980
3 0.295518
1 0.296408
1 0.296415
3 0.298707
1 0.299299
1 0.299309
3 0.299329
3 0.302431
1 0.303564
1 0.303580
3 0.305294
3 0.305773
3 0.306214
2 0.306307
1 0.310269
1 0.310294
2 0.310590
2 0.319099
3 0.320287
3 0.321028
1 0.321809
1 0.321855
2 0.322153
3 0.325491
3 0.327973
3 0.329001
2 0.329160
3 0.332336
2 0.334628
3 0.335940
3 0.336524
2 0.337457
2 0.338159
2 0.338583
2 0.340522
3 0.342180
3 0.342280
2 0.344104
1 0.344736
1 0.344837
3 0.344902
3 0.346931
3 0.348211
2 0.348211
3 0.351485
2 0.353176
14 0.354290
2 0.360991
2 0.361952
2 0.362745
1 0.364988
1 0.365002
2 0.368259
2 0.371766
2 0.372240
2 0.374019
2 0.374548
2 0.376843
2 0.378426
2 0.380122
2 0.381764
2 0.381858
2 0.387484
2 0.387972
3 0.388660
2 0.389902
2 0.392411
2 0.392747
2 0.394365
2 0.395633
2 0.396784
2 0.397370
2 0.399623
2 0.400237
2 0.401323
2 0.404373
1 0.404528
1 0.404835
2 0.409485
6 0.410156
2 0.411615
5 0.412378
5 0.412378
2 0.413589
2 0.415036
5 0.416449
5 0.416449
2 0.418742
2 0.422416
2 0.422686
11 0.424990
2 0.426460
2 0.430621
2 0.431031
2 0.434125
2 0.438939
2 0.446790
2 0.450659
4 0.451219
2 0.459694
2 0.460974
1 0.464318
1 0.464367
2 0.466068
1 0.474224
1 0.474567
1 0.475526
1 0.475870
1 0.475871
1 0.478783
1 0.479238
1 0.480109
1 0.480567
1 0.480568
2 0.483058
1 0.485121
1 0.485745
1 0.486484
1 0.487110
1 0.487112
1 0.494339
2 0.494467
1 0.495220
1 0.495753
1 0.496639
1 0.496642
2 0.500700
2 0.505768
1 0.508565
1 0.509859
1 0.510062
1 0.511363
1 0.511367
6 0.526932
2 0.531172
1 0.532476
1 0.534117
1 0.534446
1 0.536098
1 0.536106
2 0.547165
6 0.560400
6 0.560400
2 0.564430
2 0.577392
1 0.578399
1 0.580336
1 0.581376
1 0.583333
1 0.583351
2 0.597129
4 0.610352
4 0.610352
2 0.612196
6 0.623030
6 0.623030
2 0.624832
2 0.630903
5 0.635100
5 0.635100
2 0.642974
5 0.644810
2 0.659682
14 0.667100
14 0.667100
4 0.679690
4 0.679690
1 0.691299
1 0.693819
1 0.694067
1 0.696609
1 0.696660
4 0.711090
1 0.754349
1 0.754369
14 0.755600
1 0.762083
1 0.762109
1 0.766702
1 0.770109
1 0.772424
1 0.772460
1 0.786734
1 0.786785
1 0.795756
1 0.795902
1 0.803979
1 0.804128
1 0.804168
1 0.807438
1 0.807514
1 0.808033
1 0.808184
1 0.819494
1 0.819649
1 0.819705
1 0.825244
1 0.825244
1 0.825401
1 0.839252
1 0.839374
1 0.841984
1 0.842147
1 0.842230
1 0.850579
1 0.850579
1 0.850745
1 0.876636
1 0.876813
1 0.876946
1 0.890463
1 0.890463
1 0.890646
1 0.892575
1 0.892788
1 0.934979
1 0.935181
1 0.935416
1 0.959833
1 0.959833
1 0.960045
1 0.995239
1 0.995686
1 1.048249
1 1.048502
1 1.048998
1 1.067138
1 1.068872
1 1.069279
1 1.071019
1 1.071023
1 1.090501
1 1.092736
1 1.092865
1 1.095110
1 1.095116
1 1.102288
1 1.102288
1 1.102568
1 1.123952
1 1.126326
1 1.127301
1 1.129690
1 1.129698
1 1.169342
1 1.174695
1 1.177285
1 1.177289
1 1.177606
1 1.179683
1 1.182299
1 1.182313
1 1.243566
1 1.252555
1 1.252951
1 1.254277
1 1.258341
1 1.261318
1 1.266294
1 1.269309
1 1.269334
1 1.338149
1 1.338559
1 1.340074
1 1.415630
1 1.419399
1 1.429637
1 1.433481
1 1.433535
1 1.481172
1 1.481407
1 1.481508
1 1.516721
1 1.516721
1 1.517254
1 1.520742
1 1.520989
1 1.521130
1 1.577224
1 1.577491
1 1.577697
1 1.598659
1 1.598659
1 1.598933
