Symbol: He
Atomic Number: 2
Atomic Mass: 4.002600
Start Spectral Index: 2
1 351
2 30
End Spectral Index:
Order of Magnitude: 0.000001
Start Spectral Lines:
2 0.023145
2 0.023258
2 0.023435
2 0.023733
2 0.024303
2 0.025632
2 0.030378
2 0.030379
1 0.032029
1 0.050550
1 0.050568
1 0.050591
1 0.050706
1 0.050772
1 0.050864
1 0.051000
1 0.051210
1 0.051562
1 0.052221
1 0.053703
1 0.058433
1 0.059141
2 0.095870
2 0.097211
2 0.099236
2 0.102527
2 0.108494
2 0.121509
2 0.121517
2 0.164034
2 0.164047
2 0.238613
2 0.251196
1 0.257840
1 0.267792
1 0.267792
1 0.267792
1 0.269692
1 0.269692
1 0.269692
1 0.272400
1 0.272400
1 0.272400
2 0.273411
1 0.276462
1 0.276462
1 0.276462
1 0.281900
1 0.282991
1 0.282991
1 0.282991
1 0.294596
1 0.294597
1 0.294597
1 0.301460
1 0.318866
1 0.318866
1 0.318866
2 0.320389
2 0.320403
1 0.323220
1 0.325921
1 0.329772
1 0.335551
1 0.344858
1 0.355542
1 0.355542
1 0.355542
1 0.355543
1 0.355543
1 0.355556
1 0.356399
1 0.356400
1 0.356412
1 0.358829
1 0.358829
1 0.358829
1 0.358829
1 0.358829
1 0.358842
1 0.361467
1 0.363527
1 0.363527
1 0.363527
1 0.363528
1 0.363528
1 0.363541
1 0.365302
1 0.365303
1 0.365316
1 0.370605
1 0.370605
1 0.370605
1 0.370606
1 0.370606
1 0.370620
1 0.373392
1 0.382069
1 0.382069
1 0.382069
1 0.382070
1 0.382070
1 0.382084
1 0.383464
1 0.386857
1 0.386858
1 0.386873
1 0.387288
1 0.388971
1 0.388975
1 0.388975
1 0.392766
1 0.393706
1 0.396585
1 0.401039
1 0.402512
1 0.402733
1 0.402733
1 0.402733
1 0.402733
1 0.402734
1 0.402750
1 0.412197
1 0.412198
1 0.412215
1 0.414493
1 0.417015
1 0.438916
1 0.443880
1 0.447273
1 0.447273
1 0.447273
1 0.447274
1 0.447274
1 0.447293
2 0.468670
2 0.468700
1 0.471446
1 0.471447
1 0.471470
1 0.492330
1 0.501708
1 0.504915
2 0.541302
1 0.587723
1 0.587724
1 0.587724
1 0.587725
1 0.587727
1 0.587760
2 0.656191
1 0.667999
1 0.686937
1 0.706713
1 0.706716
1 0.706766
1 0.728336
1 0.781830
1 0.836400
1 0.836403
1 0.836404
1 0.906576
1 0.921287
1 0.946613
1 0.946620
1 0.946620
1 0.951921
1 0.952878
1 0.953188
1 0.960606
1 0.970527
1 0.970529
1 0.970555
1 1.003048
1 1.003391
2 1.012640
1 1.014128
1 1.031405
1 1.031406
1 1.031406
1 1.031407
1 1.031408
1 1.031436
1 1.067058
1 1.067061
1 1.067092
1 1.083206
1 1.083322
1 1.083331
1 1.090519
1 1.091598
1 1.091598
1 1.091598
1 1.091598
1 1.091599
1 1.091604
1 1.092007
1 1.099965
1 1.099965
1 1.099965
1 1.099967
1 1.099970
1 1.099971
1 1.101609
1 1.104801
1 1.122901
2 1.162960
1 1.197232
1 1.197233
1 1.197234
1 1.197235
1 1.197238
1 1.197274
1 1.253075
1 1.253092
1 1.253094
1 1.275918
1 1.278841
1 1.278841
1 1.278842
1 1.278842
1 1.278843
1 1.278849
1 1.279403
1 1.284946
1 1.284949
1 1.284994
1 1.297199
1 1.298840
1 1.298843
1 1.298843
1 1.298844
1 1.298850
1 1.298851
1 1.341535
1 1.508777
1 1.700698
1 1.700703
1 1.700704
1 1.700704
1 1.700710
1 1.700783
1 1.856063
2 1.864190
1 1.869039
1 1.869040
1 1.869042
1 1.869044
1 1.869045
1 1.869055
1 1.870233
1 1.906825
1 1.906828
1 1.906868
1 1.909458
1 1.954817
1 1.954842
1 1.954845
1 1.954846
1 1.954859
1 1.954863
1 2.043041
1 2.043054
1 2.043056
1 2.058691
1 2.112581
1 2.112588
1 2.112715
1 2.113780
1 2.149985
1 2.149989
1 2.150040
1 2.161369
1 2.161369
1 2.161370
1 2.161370
1 2.161371
1 2.161378
1 2.162291
1 2.184639
1 2.229066
1 2.306975
1 2.473389
1 2.473392
1 2.473392
1 2.473394
1 2.473397
1 2.473462
1 2.612021
1 2.619208
1 2.619209
1 2.619210
1 2.619211
1 2.619212
1 2.619222
1 2.620562
1 2.625448
1 2.625914
1 2.625914
1 2.625919
1 2.625921
1 2.625925
1 2.625925
1 2.653887
1 2.667893
1 2.667902
1 2.667903
1 2.667904
1 2.667915
1 2.667917
1 2.688838
1 2.688844
1 2.688924
1 2.760786
1 2.854978
1 2.855023
1 2.855027
2 3.091690
1 3.330852
1 3.703538
1 3.703551
1 3.703552
1 3.703552
1 3.703564
1 3.703702
1 4.006400
1 4.037721
1 4.037723
1 4.037728
1 4.037733
1 4.037735
1 4.037753
1 4.040935
1 4.048994
1 4.054505
1 4.056338
1 4.056339
1 4.056348
1 4.056351
1 4.056364
1 4.056365
1 4.122728
1 4.244001
1 4.244068
1 4.244074
1 4.244076
1 4.244101
1 4.244110
1 4.295418
1 4.295918
1 4.295958
1 4.606596
1 4.694945
1 4.694964
1 4.695208
1 7.437515
1 10.880836
1 10.882142
1 10.882249
1 18.100040
1 18.620913
1 18.621658
1 18.622446
1 18.622536
1 18.623192
1 18.631063
1 43.963833
1 43.965572
1 43.967407
1 43.967640
1 43.969147
1 43.986900
1 95.786728
1 216.187698
1 1349.746216
1 1349.964844
1 1351.314819
1 1352.630859
1 1352.850464
1 1353.344849
1 1837.661011
End Spectral Lines:
