Symbol: Ca
Atomic Number: 20
Atomic Mass: 40.078000
Start Spectral Index: 15
1 206
2 152
3 155
4 40
5 53
6 18
7 18
8 6
9 26
10 25
11 5
12 1
13 12
15 12
End Spectral Index:
Order of Magnitude: 0.000001
Start Spectral Lines:
11 0.003045
11 0.003087
11 0.003126
11 0.003521
11 0.003558
9 0.010021
10 0.011096
10 0.011120
10 0.011812
10 0.011818
10 0.011818
9 0.012919
9 0.012943
9 0.012945
9 0.012993
9 0.012997
9 0.012999
10 0.015184
10 0.015302
9 0.016198
9 0.016237
9 0.016323
10 0.016695
10 0.016705
10 0.016706
8 0.018271
8 0.018416
5 0.019036
5 0.019046
5 0.019697
5 0.019955
5 0.020051
10 0.020657
10 0.020675
10 0.020739
4 0.024941
4 0.025015
4 0.025135
5 0.025798
5 0.026045
5 0.026777
5 0.027031
5 0.027114
5 0.027227
5 0.027298
5 0.028099
5 0.028498
5 0.028696
4 0.029655
3 0.029696
4 0.029932
4 0.031809
4 0.031839
4 0.032159
5 0.032217
5 0.032276
5 0.032322
5 0.032448
5 0.032528
4 0.032912
4 0.032939
5 0.033094
4 0.033144
4 0.033199
4 0.033253
4 0.033281
5 0.033344
5 0.033357
5 0.033455
5 0.033534
5 0.033655
5 0.033754
5 0.033806
4 0.033883
4 0.033979
4 0.034029
4 0.034129
4 0.034146
4 0.034245
4 0.034319
4 0.034344
5 0.034364
4 0.034393
4 0.034496
4 0.034513
5 0.035292
5 0.035625
10 0.036308
10 0.036562
9 0.037188
9 0.037381
9 0.037397
4 0.037474
5 0.037718
9 0.037808
9 0.037839
9 0.037855
5 0.038708
9 0.039502
3 0.040372
3 0.040995
10 0.041169
10 0.041975
10 0.042048
5 0.042500
4 0.043457
4 0.043727
4 0.043777
4 0.043893
3 0.043969
4 0.044382
4 0.044502
4 0.045057
4 0.045455
4 0.045698
4 0.046109
9 0.046624
9 0.049801
9 0.050328
9 0.050618
9 0.050711
9 0.051206
9 0.051557
15 0.055521
10 0.055776
5 0.055860
13 0.055987
4 0.056546
10 0.057401
8 0.058284
8 0.059694
8 0.059786
15 0.061820
7 0.062438
6 0.062960
7 0.063054
7 0.063079
3 0.063359
6 0.063384
5 0.063792
7 0.063915
7 0.064041
7 0.064067
6 0.064190
5 0.064311
5 0.064655
5 0.064787
13 0.064871
5 0.065154
4 0.065600
5 0.065675
4 0.066970
3 0.068541
3 0.069755
3 0.069909
3 0.069989
3 0.070139
3 0.072766
3 0.074055
3 0.074625
3 0.074798
3 0.077961
3 0.080030
3 0.080993
3 0.081706
3 0.082157
3 0.084056
15 0.092080
3 0.102007
3 0.103465
15 0.109840
15 0.109840
13 0.110613
15 0.112270
13 0.113368
13 0.113368
10 0.113620
10 0.115890
10 0.116140
3 0.118730
3 0.118861
3 0.119086
3 0.126265
3 0.127839
3 0.128155
3 0.128652
2 0.128720
2 0.128821
2 0.128821
3 0.129804
2 0.130463
2 0.130567
2 0.130567
3 0.131770
3 0.132895
2 0.132984
2 0.133091
2 0.133091
3 0.133513
2 0.134189
2 0.134254
3 0.136001
2 0.136842
2 0.136956
2 0.136956
15 0.137600
15 0.137600
3 0.138543
3 0.139769
2 0.143250
2 0.143375
2 0.143375
3 0.145316
2 0.145554
3 0.145979
2 0.146028
2 0.146028
2 0.146123
10 0.146180
3 0.146188
3 0.146334
2 0.146601
2 0.146601
2 0.146830
2 0.147312
2 0.147312
2 0.147729
2 0.148217
2 0.148217
3 0.148487
2 0.148881
2 0.149377
2 0.149377
3 0.149688
10 0.150380
2 0.150420
3 0.150688
2 0.150926
2 0.150926
2 0.152526
2 0.153045
2 0.153047
3 0.154529
2 0.155318
2 0.155464
2 0.155464
2 0.155530
3 0.155553
2 0.156068
2 0.156071
3 0.156247
13 0.156868
13 0.156868
3 0.157127
3 0.158613
2 0.160050
2 0.160618
2 0.160623
2 0.164280
2 0.164378
2 0.164444
2 0.164986
2 0.165199
2 0.167386
2 0.168005
2 0.168013
13 0.168577
2 0.169178
2 0.169818
3 0.176226
3 0.178393
3 0.179422
3 0.180021
2 0.180734
3 0.180789
3 0.181215
3 0.181359
2 0.181450
2 0.181465
3 0.183006
2 0.183801
2 0.184006
2 0.184006
2 0.184309
2 0.185069
3 0.186043
3 0.187026
3 0.187237
3 0.189412
3 0.191010
3 0.193572
3 0.193968
3 0.194301
3 0.194826
3 0.195355
3 0.195897
3 0.196461
3 0.196794
3 0.197282
3 0.197701
3 0.197855
3 0.198119
3 0.203401
3 0.204219
3 0.207958
3 0.209916
2 0.210391
7 0.211164
2 0.211343
2 0.211382
3 0.211508
3 0.212370
2 0.212942
3 0.212986
2 0.213218
2 0.213297
3 0.213463
3 0.214103
1 0.215148
3 0.215311
3 0.217225
2 0.219848
1 0.220142
2 0.220930
6 0.221520
6 0.221520
7 0.222667
6 0.224283
6 0.224283
1 0.227616
3 0.227722
5 0.228120
3 0.231279
1 0.239929
5 0.241360
3 0.249849
1 0.254224
3 0.254226
3 0.258792
3 0.259118
1 0.261832
3 0.262160
3 0.263493
3 0.268752
3 0.268856
3 0.270566
1 0.272245
3 0.277210
15 0.278370
3 0.279241
3 0.281471
3 0.286738
3 0.287079
3 0.288263
3 0.290064
3 0.292519
3 0.298950
3 0.299014
1 0.299583
1 0.299819
1 0.300052
1 0.300173
1 0.300774
1 0.301009
1 0.302582
3 0.302947
1 0.303542
1 0.304663
1 0.305621
1 0.307246
1 0.307784
1 0.308168
1 0.310020
1 0.310326
1 0.310829
1 0.311856
3 0.312057
2 0.312609
1 0.313693
1 0.314170
1 0.314207
1 0.315166
1 0.315218
1 0.315256
2 0.315978
1 0.316552
1 0.317076
2 0.318025
1 0.318144
2 0.318220
1 0.321089
1 0.321610
1 0.321627
1 0.322683
1 0.322708
1 0.322726
1 0.327003
1 0.327561
1 0.328702
2 0.330897
2 0.331746
12 0.332880
1 0.334547
2 0.334800
1 0.335117
1 0.335132
1 0.336288
1 0.336310
1 0.336325
3 0.336876
3 0.337364
2 0.345365
13 0.346170
2 0.346286
1 0.346947
1 0.347575
2 0.348661
1 0.348860
2 0.349616
3 0.353878
1 0.362514
1 0.363179
1 0.363201
1 0.364545
1 0.364581
1 0.364603
1 0.367446
1 0.367634
1 0.367634
1 0.367926
1 0.367927
1 0.367928
2 0.368475
7 0.368767
2 0.369516
2 0.369541
2 0.370708
2 0.373796
2 0.374044
1 0.374942
1 0.375136
1 0.375137
1 0.375441
1 0.375442
1 0.375443
2 0.375674
2 0.375946
1 0.387158
1 0.387364
1 0.387366
1 0.387688
1 0.387690
1 0.387693
1 0.389020
1 0.392459
2 0.393477
1 0.393640
1 0.394716
1 0.395002
1 0.395817
2 0.396959
1 0.397369
1 0.397483
5 0.399901
3 0.408292
13 0.408840
13 0.408840
1 0.409379
1 0.409608
1 0.409612
2 0.409826
1 0.409969
1 0.409973
1 0.409977
1 0.410969
2 0.411098
2 0.411144
3 0.415474
3 0.416548
3 0.418538
2 0.420736
3 0.420843
2 0.422126
1 0.422792
3 0.423493
1 0.424165
3 0.424193
1 0.428422
3 0.428560
1 0.429057
1 0.430020
1 0.430374
3 0.430402
1 0.430895
1 0.431986
3 0.433041
3 0.433479
1 0.435630
3 0.435961
3 0.440083
3 0.440753
1 0.442668
3 0.443254
1 0.443621
1 0.443693
1 0.445603
1 0.445714
1 0.445786
2 0.447329
2 0.448049
2 0.449044
3 0.450114
3 0.451786
1 0.452820
3 0.457340
7 0.457373
1 0.457983
1 0.458268
1 0.458275
1 0.458715
1 0.458725
1 0.458732
1 0.468658
3 0.471015
3 0.471759
2 0.471806
2 0.472235
2 0.480131
3 0.486053
1 0.487949
7 0.494093
7 0.494093
2 0.500288
3 0.501035
2 0.502137
2 0.502254
1 0.504303
3 0.505148
1 0.519029
3 0.523328
3 0.524883
1 0.526185
1 0.526317
1 0.526370
1 0.526571
1 0.526703
1 0.527174
3 0.527345
2 0.528674
3 0.530280
2 0.530870
5 0.531059
5 0.531059
3 0.532277
3 0.532954
2 0.534068
1 0.535096
15 0.544795
15 0.544795
6 0.546221
6 0.546221
1 0.551451
3 0.557213
3 0.558061
1 0.558352
6 0.558781
6 0.558781
1 0.559031
1 0.559167
1 0.559602
1 0.560004
1 0.560284
1 0.560440
7 0.562031
7 0.562031
6 0.563330
6 0.563330
15 0.569602
6 0.576700
1 0.585907
2 0.592436
2 0.592533
3 0.607166
5 0.608861
5 0.608861
1 0.610441
1 0.612391
1 0.615773
1 0.616300
1 0.616388
1 0.616547
1 0.616815
1 0.617076
1 0.617127
3 0.617493
3 0.621570
3 0.629663
3 0.637187
3 0.638932
3 0.642629
5 0.642890
1 0.644085
1 0.645159
1 0.645738
2 0.645865
1 0.646436
1 0.647345
3 0.648714
1 0.649557
1 0.650145
1 0.651065
3 0.654059
3 0.654405
1 0.657460
1 0.671954
1 0.715012
1 0.720418
2 0.729348
3 0.731070
2 0.732591
1 0.732817
2 0.757790
2 0.758320
2 0.760339
2 0.760441
2 0.782293
3 0.784522
2 0.784554
3 0.790063
2 0.801970
2 0.802271
2 0.813529
2 0.820397
3 0.821946
2 0.825107
2 0.825699
1 0.825894
1 0.834033
1 0.834141
1 0.835469
1 0.835947
2 0.850035
2 0.850035
2 0.854444
2 0.854444
1 0.863632
2 0.866452
2 0.866452
1 0.884504
1 0.891163
2 0.891452
2 0.892981
1 0.896993
1 0.910160
1 0.910812
1 0.911132
1 0.917366
2 0.921643
2 0.931456
2 0.932212
2 0.932321
1 0.941955
1 0.945939
1 0.953750
1 0.955100
2 0.957059
2 0.960187
2 0.960445
1 0.960691
1 0.966630
1 0.966706
1 0.967895
1 0.969133
1 0.970460
2 0.985745
2 0.989334
2 0.993410
2 1.022584
1 1.034664
1 1.084194
1 1.086456
1 1.086685
1 1.087248
1 1.088285
2 1.184224
2 1.195300
1 1.281955
1 1.282737
1 1.291263
1 1.303713
1 1.309002
1 1.313854
1 1.615518
1 1.616177
1 1.620146
1 1.893064
1 1.897532
1 1.905134
1 1.931447
1 1.945830
1 1.951105
1 1.978219
1 1.985852
1 1.986764
1 1.992263
1 1.993914
2 2.139484
2 2.143475
13 2.258400
1 2.261410
1 2.263110
1 2.265741
8 2.321100
7 2.456200
5 3.052900
9 3.089300
4 3.207000
7 4.087500
7 4.087500
5 4.158500
5 4.158500
7 6.154200
9 6.671000
5 11.482400
6 17.985001
6 17.985001
6 24.301001
6 24.301001
2 164.770996
End Spectral Lines:
