Symbol: Sc
Atomic Number: 21
Atomic Mass: 44.955900
Start Spectral Index: 21
1 2194
2 829
3 133
4 408
5 456
6 79
7 70
8 75
9 42
10 99
11 132
12 68
13 41
14 72
15 74
16 91
17 54
18 35
19 89
20 39
21 8
End Spectral Index:
Order of Magnitude: 0.000001
Start Spectral Lines:
21 0.000214
21 0.000214
21 0.000219
21 0.000219
20 0.000227
20 0.000227
21 0.000231
21 0.000231
20 0.000232
20 0.000233
20 0.000245
20 0.000245
21 0.000274
21 0.000274
20 0.000287
19 0.000288
20 0.000288
19 0.000288
19 0.000288
20 0.000289
19 0.000290
19 0.000290
19 0.000290
19 0.000290
19 0.000290
19 0.000290
20 0.000290
19 0.001044
19 0.001044
20 0.001047
19 0.001058
19 0.001063
19 0.001063
20 0.001067
20 0.001069
19 0.001078
19 0.001078
19 0.001079
19 0.001084
19 0.001085
20 0.001087
19 0.001114
19 0.001120
19 0.001120
19 0.001138
19 0.001138
20 0.001169
19 0.001178
19 0.001185
19 0.001185
20 0.001194
20 0.001198
20 0.001220
19 0.001267
19 0.001316
19 0.001324
19 0.001324
20 0.001564
20 0.001601
20 0.001626
20 0.001656
19 0.001682
19 0.001686
18 0.001744
18 0.001757
19 0.001763
19 0.001778
19 0.001779
19 0.001802
19 0.001818
18 0.001821
18 0.001833
18 0.001834
17 0.001841
17 0.001848
18 0.001858
18 0.001865
17 0.001878
17 0.001883
17 0.001907
17 0.001916
17 0.001922
17 0.001922
17 0.001931
17 0.001933
17 0.001960
17 0.001965
17 0.001973
17 0.001997
16 0.002015
16 0.002022
16 0.002024
16 0.002025
16 0.002025
16 0.002028
12 0.002030
16 0.002032
16 0.002034
16 0.002039
16 0.002039
12 0.002044
16 0.002046
16 0.002060
18 0.002068
16 0.002079
16 0.002111
15 0.002126
15 0.002137
15 0.002137
15 0.002140
15 0.002143
15 0.002143
18 0.002147
15 0.002148
15 0.002152
15 0.002152
15 0.002157
16 0.002163
16 0.002166
15 0.002170
16 0.002173
15 0.002179
16 0.002182
16 0.002182
15 0.002193
16 0.002193
12 0.002194
16 0.002202
15 0.002205
15 0.002206
12 0.002212
16 0.002251
15 0.002254
14 0.002256
14 0.002256
14 0.002266
14 0.002269
14 0.002272
14 0.002275
14 0.002275
14 0.002275
14 0.002275
14 0.002281
14 0.002281
12 0.002284
14 0.002284
14 0.002289
14 0.002293
14 0.002296
14 0.002297
14 0.002300
12 0.002304
14 0.002306
14 0.002308
14 0.002315
14 0.002316
14 0.002327
14 0.002327
14 0.002327
14 0.002336
14 0.002342
14 0.002350
14 0.002354
14 0.002356
14 0.002361
14 0.002370
12 0.002373
14 0.002373
12 0.002382
13 0.002406
13 0.002410
13 0.002428
13 0.002448
13 0.002456
13 0.002456
13 0.002465
13 0.002467
13 0.002471
13 0.002479
13 0.002490
13 0.002497
14 0.002497
13 0.002500
13 0.002508
13 0.002510
13 0.002513
13 0.002516
14 0.002517
13 0.002520
13 0.002522
13 0.002524
14 0.002528
13 0.002534
14 0.002539
13 0.002540
14 0.002540
14 0.002544
13 0.002544
14 0.002548
14 0.002560
14 0.002564
14 0.002565
14 0.002568
14 0.002592
14 0.002598
14 0.002606
19 0.002610
19 0.002617
14 0.002620
19 0.002620
14 0.002622
12 0.002654
19 0.002682
19 0.002682
13 0.002689
12 0.002692
13 0.002717
12 0.002726
19 0.002741
19 0.002752
19 0.002753
13 0.002763
19 0.002779
19 0.002779
19 0.002783
13 0.002791
13 0.002798
13 0.002813
13 0.002828
13 0.002832
13 0.002843
13 0.002846
13 0.002850
13 0.002857
13 0.002863
13 0.002875
19 0.002919
19 0.002919
19 0.002984
19 0.002997
19 0.002997
19 0.003035
19 0.003035
19 0.003039
12 0.003048
12 0.003082
20 0.003113
20 0.003154
20 0.003176
20 0.003212
19 0.003398
19 0.003398
19 0.003488
19 0.003504
19 0.003506
19 0.003556
19 0.003556
19 0.003562
20 0.004516
20 0.004583
20 0.004672
20 0.004729
19 0.004894
19 0.005055
19 0.005091
19 0.005094
19 0.005176
19 0.005186
19 0.005186
19 0.005228
11 0.005333
19 0.005342
11 0.005435
11 0.005579
11 0.005808
11 0.005808
19 0.005922
19 0.005999
19 0.005999
19 0.006002
11 0.006064
11 0.006213
11 0.006232
11 0.006470
11 0.006498
11 0.006498
11 0.006925
11 0.006957
11 0.006957
11 0.007045
11 0.007051
11 0.007152
11 0.007154
19 0.007182
11 0.007189
19 0.007336
19 0.007336
19 0.007341
11 0.007422
11 0.007502
10 0.007634
11 0.007787
11 0.007792
11 0.007793
11 0.007851
11 0.007892
11 0.007892
11 0.007922
11 0.007922
11 0.007926
10 0.008376
10 0.008390
11 0.008396
10 0.008420
11 0.008435
11 0.008437
11 0.008439
11 0.008443
12 0.008516
12 0.008546
10 0.008974
12 0.009073
12 0.009101
12 0.009260
12 0.009279
12 0.009290
12 0.009290
12 0.009307
12 0.009339
9 0.009339
12 0.009351
12 0.009361
12 0.009361
9 0.009389
12 0.009392
12 0.009447
11 0.009487
10 0.009502
10 0.009505
10 0.009509
11 0.009510
11 0.009779
11 0.009784
11 0.009784
10 0.009801
20 0.009805
10 0.009819
10 0.009821
10 0.009832
10 0.009836
10 0.009889
10 0.009891
20 0.009914
20 0.010131
10 0.010198
9 0.010205
20 0.010221
9 0.010265
11 0.010419
11 0.010425
11 0.010433
11 0.010444
15 0.010508
11 0.010514
11 0.010517
10 0.010907
15 0.010908
10 0.010920
10 0.010923
10 0.010928
10 0.010929
10 0.010931
14 0.010953
10 0.010977
10 0.010980
12 0.010988
10 0.010991
12 0.011003
19 0.011020
10 0.011031
9 0.011071
10 0.011092
15 0.011188
12 0.011208
10 0.011221
15 0.011239
10 0.011254
16 0.011281
15 0.011339
14 0.011340
19 0.011350
19 0.011350
19 0.011360
12 0.011393
14 0.011393
12 0.011490
12 0.011543
15 0.011568
12 0.011583
12 0.011584
12 0.011607
12 0.011644
12 0.011653
14 0.011666
12 0.011676
12 0.011704
16 0.011709
12 0.011717
15 0.011719
12 0.011721
12 0.011773
12 0.011790
10 0.011830
10 0.011862
17 0.011894
15 0.011898
9 0.011944
17 0.011965
9 0.012024
12 0.012024
16 0.012179
14 0.012267
15 0.012414
15 0.012582
11 0.012715
16 0.012782
9 0.012799
9 0.012803
11 0.012825
15 0.012975
15 0.013041
10 0.013054
13 0.013095
16 0.013110
15 0.013136
16 0.013168
10 0.013232
16 0.013269
15 0.013312
16 0.013353
11 0.013441
11 0.013441
16 0.013451
10 0.013477
16 0.013500
10 0.013513
16 0.013563
10 0.013592
15 0.013664
10 0.013742
13 0.013780
10 0.013787
11 0.013828
11 0.013838
10 0.013837
11 0.013840
10 0.013866
15 0.013871
10 0.013932
14 0.013947
15 0.013961
17 0.014259
9 0.014332
9 0.014339
15 0.014346
17 0.014389
16 0.014492
14 0.014505
17 0.014581
16 0.014605
16 0.014629
17 0.014658
9 0.014663
15 0.014675
10 0.014682
9 0.014695
10 0.014696
15 0.014696
9 0.014731
10 0.014735
15 0.014756
9 0.014783
9 0.014810
6 0.014817
10 0.014826
14 0.014850
16 0.014948
9 0.015009
14 0.015049
10 0.015090
10 0.015094
16 0.015097
10 0.015099
9 0.015140
16 0.015191
14 0.015191
6 0.015260
16 0.015262
10 0.015270
14 0.015288
15 0.015319
4 0.015321
16 0.015356
16 0.015360
16 0.015382
15 0.015384
17 0.015401
6 0.015429
6 0.015452
16 0.015485
10 0.015490
6 0.015510
6 0.015536
15 0.015576
15 0.015643
17 0.015709
14 0.015782
14 0.015790
17 0.015814
16 0.015867
17 0.015977
17 0.016079
10 0.016304
17 0.016329
10 0.016342
16 0.016354
17 0.016429
16 0.016467
8 0.016477
16 0.016511
8 0.016540
8 0.016565
8 0.016602
8 0.016632
6 0.016635
5 0.016650
15 0.016658
8 0.016692
6 0.016717
16 0.016736
5 0.016771
11 0.016814
11 0.016822
11 0.016822
11 0.016822
11 0.016836
16 0.016872
11 0.016890
16 0.016919
6 0.016926
6 0.016926
6 0.016926
17 0.016945
16 0.016966
8 0.016976
15 0.016996
6 0.017024
6 0.017024
16 0.017040
17 0.017043
6 0.017054
16 0.017087
11 0.017134
11 0.017208
11 0.017208
15 0.017324
15 0.017348
9 0.017377
9 0.017386
16 0.017411
5 0.017444
11 0.017454
11 0.017454
11 0.017462
18 0.017565
5 0.017577
17 0.017618
14 0.017646
15 0.017684
16 0.017742
15 0.017744
15 0.017832
15 0.017863
8 0.017882
5 0.017931
16 0.017934
5 0.018004
11 0.018050
11 0.018050
11 0.018050
18 0.018069
16 0.018069
5 0.018072
5 0.018086
15 0.018117
5 0.018145
5 0.018157
5 0.018229
7 0.018274
7 0.018299
7 0.018396
4 0.018448
7 0.018461
5 0.018516
7 0.018553
7 0.018557
7 0.018581
4 0.018593
16 0.018597
5 0.018599
11 0.018608
5 0.018637
5 0.018659
18 0.018694
11 0.018696
5 0.018716
5 0.018749
5 0.018811
15 0.018848
15 0.019048
7 0.019065
5 0.019104
7 0.019160
5 0.019160
5 0.019187
5 0.019252
7 0.019261
7 0.019300
5 0.019320
17 0.019356
4 0.019390
16 0.019426
16 0.019468
4 0.019545
16 0.019567
17 0.019601
16 0.019728
7 0.019787
7 0.019823
7 0.019916
7 0.019953
16 0.020011
17 0.020056
16 0.020121
17 0.020134
11 0.020152
11 0.020164
11 0.020164
17 0.020217
14 0.020265
6 0.020292
16 0.020297
6 0.020322
16 0.020344
18 0.020344
17 0.020347
15 0.020405
6 0.020431
6 0.020461
6 0.020472
6 0.020507
17 0.020515
18 0.020761
18 0.020798
6 0.020982
6 0.021052
17 0.021053
6 0.021142
6 0.021161
17 0.021231
6 0.021312
6 0.021319
18 0.021367
6 0.021370
4 0.021530
4 0.021719
11 0.021723
17 0.021724
11 0.021752
18 0.021874
6 0.021884
4 0.022028
11 0.022104
11 0.022104
11 0.022109
6 0.022120
6 0.022284
6 0.022285
