Symbol: Cr
Atomic Number: 24
Atomic Mass: 51.996100
Start Spectral Index: 24
1 831
2 222
3 136
4 188
5 193
6 102
7 143
8 36
9 58
10 75
11 86
12 127
13 115
14 186
15 106
16 40
17 49
18 61
19 75
20 72
21 66
22 69
23 108
24 21
End Spectral Index:
Order of Magnitude: 0.000001
Start Spectral Lines:
24 0.000164
24 0.000167
23 0.000172
23 0.000172
23 0.000176
23 0.000176
24 0.000177
24 0.000177
23 0.000186
23 0.000186
23 0.000209
24 0.000209
23 0.000209
24 0.000210
23 0.000210
23 0.000210
23 0.000210
23 0.000210
23 0.000210
23 0.000210
23 0.000211
23 0.000211
23 0.000211
23 0.000211
23 0.000211
23 0.000211
23 0.000211
23 0.000211
23 0.000211
23 0.000212
23 0.000212
23 0.000212
23 0.000212
23 0.000213
23 0.000218
22 0.000218
22 0.000218
22 0.000218
22 0.000218
22 0.000218
22 0.000218
22 0.000218
22 0.000218
22 0.000219
22 0.000219
23 0.000219
22 0.000219
22 0.000219
22 0.000219
23 0.000219
22 0.000219
22 0.000220
22 0.000220
22 0.000220
22 0.000220
22 0.000220
22 0.000220
22 0.000220
22 0.000220
23 0.000220
22 0.000221
21 0.000221
22 0.000221
22 0.000221
21 0.000221
22 0.000221
21 0.000221
22 0.000221
22 0.000221
22 0.000221
21 0.000221
21 0.000222
20 0.000222
20 0.000222
20 0.000222
20 0.000211
22 0.000223
19 0.000223
19 0.000224
19 0.000224
22 0.000224
19 0.000224
24 0.000745
24 0.000752
23 0.000792
23 0.000792
23 0.000806
23 0.000808
23 0.000813
23 0.000821
24 0.000834
24 0.000842
22 0.000851
22 0.000852
22 0.000878
22 0.000880
23 0.000884
22 0.000884
22 0.000885
23 0.000885
22 0.000887
23 0.000900
23 0.000901
23 0.000901
23 0.000901
23 0.000905
23 0.000907
23 0.000908
23 0.000912
23 0.000919
23 0.000921
22 0.000949
22 0.000949
22 0.000981
22 0.000986
22 0.000987
22 0.000990
22 0.000996
20 0.001071
20 0.001084
20 0.001094
20 0.001104
24 0.001122
24 0.001136
23 0.001185
23 0.001207
23 0.001209
23 0.001209
23 0.001209
23 0.001220
23 0.001221
23 0.001227
23 0.001239
23 0.001241
23 0.001251
22 0.001262
22 0.001266
17 0.001279
21 0.001287
17 0.001291
21 0.001298
21 0.001298
21 0.001298
21 0.001298
21 0.001302
21 0.001302
21 0.001302
21 0.001306
21 0.001311
22 0.001315
21 0.001320
22 0.001329
15 0.001329
22 0.001331
22 0.001339
15 0.001342
21 0.001344
21 0.001355
22 0.001355
21 0.001360
21 0.001360
21 0.001365
21 0.001367
21 0.001368
21 0.001368
21 0.001368
21 0.001376
21 0.001375
21 0.001375
21 0.001378
21 0.001384
21 0.001384
21 0.001384
15 0.001386
21 0.001387
21 0.001391
21 0.001394
21 0.001395
15 0.001399
21 0.001400
20 0.001404
21 0.001404
20 0.001407
20 0.001407
20 0.001407
20 0.001412
20 0.001412
20 0.001412
20 0.001415
20 0.001415
21 0.001417
20 0.001417
20 0.001421
20 0.001421
21 0.001425
20 0.001432
20 0.001437
20 0.001440
20 0.001444
20 0.001446
20 0.001447
20 0.001451
20 0.001453
20 0.001463
20 0.001466
20 0.001466
20 0.001469
15 0.001506
15 0.001521
18 0.001552
18 0.001552
18 0.001561
17 0.001622
17 0.001625
17 0.001631
17 0.001631
17 0.001633
17 0.001646
17 0.001662
17 0.001670
17 0.001681
17 0.001684
15 0.001689
15 0.001696
16 0.001703
16 0.001707
17 0.001720
16 0.001724
16 0.001730
16 0.001737
16 0.001737
16 0.001744
16 0.001751
16 0.001759
16 0.001760
16 0.001763
16 0.001766
16 0.001767
16 0.001770
16 0.001773
16 0.001779
16 0.001779
16 0.001783
16 0.001786
17 0.001789
16 0.001793
17 0.001796
17 0.001797
16 0.001799
16 0.001802
17 0.001802
17 0.001809
17 0.001822
17 0.001822
17 0.001823
17 0.001834
17 0.001832
17 0.001839
15 0.001850
17 0.001852
17 0.001852
16 0.001878
15 0.001878
15 0.001901
16 0.001904
16 0.001925
16 0.001944
16 0.001951
16 0.001954
16 0.001971
16 0.001971
16 0.001981
16 0.001981
16 0.001981
16 0.001985
16 0.001995
16 0.001999
15 0.002086
15 0.002115
15 0.002121
14 0.002147
14 0.002177
24 0.002201
24 0.002217
24 0.002223
23 0.002352
23 0.002355
23 0.002382
23 0.002398
23 0.002412
23 0.002426
22 0.002596
22 0.002613
22 0.002615
22 0.002620
22 0.002639
24 0.003208
24 0.003240
24 0.003250
23 0.003407
23 0.003419
23 0.003460
23 0.003461
23 0.003465
23 0.003465
