Symbol: Mn
Atomic Number: 25
Atomic Mass: 54.938100
Start Spectral Index: 25
1 631
2 148
3 86
4 50
5 136
6 288
7 57
8 49
9 43
10 57
11 83
12 70
13 107
14 105
15 184
16 73
17 33
18 50
19 81
20 105
21 52
22 80
23 61
24 108
25 21
End Spectral Index:
Order of Magnitude: 0.000001
Start Spectral Lines:
25 0.000151
25 0.000154
24 0.000158
24 0.000158
24 0.000162
24 0.000162
25 0.000163
25 0.000163
24 0.000171
24 0.000171
24 0.000192
25 0.000192
24 0.000193
24 0.000193
25 0.000193
24 0.000193
24 0.000193
24 0.000194
24 0.000194
24 0.000194
24 0.000194
24 0.000194
24 0.000194
24 0.000194
24 0.000194
24 0.000194
24 0.000194
24 0.000194
24 0.000195
24 0.000195
24 0.000195
24 0.000195
24 0.000195
24 0.000196
24 0.000201
23 0.000201
24 0.000201
23 0.000201
23 0.000201
23 0.000201
23 0.000202
24 0.000202
23 0.000202
23 0.000202
23 0.000202
23 0.000202
23 0.000202
23 0.000202
23 0.000202
23 0.000202
24 0.000203
23 0.000203
23 0.000203
23 0.000203
23 0.000203
23 0.000203
23 0.000203
23 0.000203
23 0.000205
23 0.000206
25 0.000686
25 0.000693
24 0.000727
24 0.000728
24 0.000740
24 0.000741
24 0.000747
24 0.000754
25 0.000768
25 0.000776
23 0.000780
23 0.000780
23 0.000803
23 0.000805
23 0.000809
23 0.000810
24 0.000812
23 0.000812
24 0.000813
24 0.000826
24 0.000827
24 0.000827
24 0.000827
24 0.000831
24 0.000834
24 0.000834
24 0.000838
24 0.000843
24 0.000846
23 0.000868
23 0.000869
23 0.000897
23 0.000902
23 0.000902
23 0.000903
23 0.000912
25 0.001033
25 0.001047
24 0.001089
24 0.001108
24 0.001110
24 0.001110
24 0.001110
24 0.001121
24 0.001122
24 0.001126
24 0.001139
24 0.001139
24 0.001149
23 0.001156
23 0.001160
22 0.001178
22 0.001179
16 0.001185
22 0.001188
22 0.001187
22 0.001188
22 0.001188
22 0.001191
22 0.001191
22 0.001191
22 0.001196
16 0.001197
22 0.001197
22 0.001200
22 0.001200
22 0.001202
23 0.001202
22 0.001208
23 0.001216
22 0.001217
23 0.001218
22 0.001227
23 0.001228
22 0.001234
22 0.001237
16 0.001237
22 0.001239
22 0.001240
22 0.001243
23 0.001245
22 0.001246
22 0.001249
22 0.001249
22 0.001249
22 0.001249
22 0.001249
22 0.001251
16 0.001251
22 0.001252
22 0.001255
22 0.001255
22 0.001255
22 0.001256
22 0.001258
22 0.001263
22 0.001265
22 0.001266
22 0.001266
22 0.001268
22 0.001271
22 0.001272
22 0.001274
22 0.001276
22 0.001281
22 0.001282
22 0.001282
22 0.001294
22 0.001300
22 0.001320
22 0.001320
16 0.001346
20 0.001346
22 0.001358
16 0.001361
16 0.001410
19 0.001410
19 0.001410
18 0.001470
18 0.001475
18 0.001488
16 0.001524
18 0.001524
16 0.001531
17 0.001537
18 0.001540
17 0.001540
17 0.001557
17 0.001562
17 0.001567
17 0.001568
17 0.001573
17 0.001583
17 0.001587
17 0.001589
17 0.001593
17 0.001595
17 0.001596
17 0.001599
17 0.001604
17 0.001605
17 0.001609
18 0.001614
18 0.001618
18 0.001620
18 0.001626
17 0.001628
18 0.001633
18 0.001643
18 0.001644
18 0.001645
18 0.001652
18 0.001654
18 0.001658
18 0.001659
16 0.001662
18 0.001666
18 0.001671
18 0.001672
17 0.001688
16 0.001688
16 0.001709
17 0.001713
17 0.001730
17 0.001747
17 0.001754
17 0.001755
17 0.001772
17 0.001773
17 0.001779
17 0.001781
17 0.001799
16 0.001865
16 0.001894
25 0.002027
25 0.002043
25 0.002048
24 0.002160
24 0.002163
24 0.002187
24 0.002201
24 0.002215
24 0.002228
23 0.002374
23 0.002391
23 0.002393
23 0.002396
23 0.002414
25 0.002953
25 0.002985
25 0.002995
15 0.003080
24 0.003129
15 0.003138
24 0.003141
24 0.003176
24 0.003177
24 0.003180
24 0.003180
24 0.003206
24 0.003210
15 0.003223
15 0.003223
24 0.003236
24 0.003244
24 0.003257
24 0.003260
24 0.003267
24 0.003272
24 0.003273
24 0.003273
24 0.003275
24 0.003280
23 0.003340
23 0.003340
15 0.003353
15 0.003363
15 0.003363
15 0.003401
15 0.003421
23 0.003430
23 0.003470
23 0.003470
15 0.003502
15 0.003523
15 0.003525
23 0.003536
23 0.003577
15 0.003610
15 0.003612
15 0.003658
15 0.003680
15 0.003681
15 0.003711
15 0.003740
15 0.003741
15 0.003801
14 0.003854
15 0.003890
15 0.003929
15 0.003955
15 0.003955
15 0.004015
15 0.004029
15 0.004047
15 0.004047
15 0.004050
15 0.004059
15 0.004118
15 0.004124
14 0.004151
14 0.004172
15 0.004215
15 0.004219
15 0.004219
15 0.004271
15 0.004271
15 0.004275
14 0.004300
14 0.004374
15 0.004482
15 0.004515
15 0.004517
15 0.004566
15 0.004570
15 0.004570
15 0.004676
15 0.004679
15 0.004681
15 0.004727
14 0.004738
15 0.004766
14 0.004767
14 0.004793
14 0.004942
14 0.004963
14 0.005003
16 0.005185
16 0.005200
16 0.005215
16 0.005215
16 0.005235
15 0.005299
15 0.005303
15 0.005304
16 0.005483
16 0.005499
16 0.005509
16 0.005547
16 0.005552
16 0.005556
16 0.005566
15 0.005566
15 0.005572
16 0.005573
15 0.005577
16 0.005596
16 0.005603
16 0.005611
16 0.005621
16 0.005621
15 0.005629
16 0.005643
15 0.005649
16 0.005670
14 0.005711
14 0.005770
14 0.005780
14 0.005799
14 0.005819
14 0.005931
15 0.006071
15 0.006131
15 0.006138
14 0.006276
14 0.006270
14 0.006286
14 0.006310
14 0.006312
14 0.006322
14 0.006347
14 0.006348
14 0.006401
16 0.006422
14 0.006421
16 0.006515
16 0.006522
16 0.006547
16 0.006551
16 0.006593
16 0.006593
16 0.006604
16 0.006613
16 0.006621
16 0.006639
16 0.006650
13 0.006657
16 0.006671
16 0.006677
14 0.006701
16 0.006710
16 0.006715
13 0.006721
16 0.006731
24 0.006818
16 0.006868
24 0.006873
16 0.006906
15 0.006968
15 0.006968
24 0.007016
12 0.007086
24 0.007078
12 0.007090
24 0.007091
15 0.007102
12 0.007102
12 0.007131
12 0.007184
15 0.007191
14 0.007248
14 0.007408
14 0.007431
15 0.007443
23 0.007462
15 0.007471
15 0.007480
14 0.007498
11 0.007506
15 0.007519
11 0.007523
23 0.007526
15 0.007514
15 0.007531
23 0.007538
11 0.007548
11 0.007582
11 0.007588
14 0.007592
11 0.007638
15 0.007660
15 0.007660
11 0.007676
11 0.007686
11 0.007727
11 0.007740
11 0.007756
11 0.007806
14 0.007838
14 0.007841
14 0.007852
14 0.007905
13 0.007916
14 0.007971
14 0.007978
14 0.007981
14 0.008003
14 0.008008
14 0.008028
14 0.008048
14 0.008102
14 0.008102
15 0.008173
15 0.008216
15 0.008218
10 0.008283
10 0.008307
13 0.008311
13 0.008341
10 0.008352
13 0.008352
15 0.008362
15 0.008362
15 0.008369
14 0.008379
18 0.008405
14 0.008410
10 0.008429
20 0.008470
15 0.008477
12 0.008520
15 0.008526
19 0.008541
19 0.008557
12 0.008571
15 0.008666
15 0.008669
12 0.008670
15 0.008678
19 0.008705
9 0.008729
15 0.008729
13 0.008730
13 0.008740
15 0.008748
9 0.008758
9 0.008790
15 0.008780
9 0.008798
19 0.008808
9 0.008823
9 0.008841
19 0.008875
9 0.008889
9 0.008896
18 0.008903
19 0.008926
9 0.008942
18 0.008959
9 0.008979
20 0.008985
9 0.008991
9 0.009002
9 0.009012
12 0.009037
9 0.009060
20 0.009068
15 0.009069
12 0.009070
15 0.009083
9 0.009108
15 0.009115
15 0.009121
15 0.009123
21 0.009149
21 0.009154
11 0.009165
18 0.009190
11 0.009224
19 0.009271
11 0.009272
11 0.009275
20 0.009312
15 0.009378
15 0.009378
15 0.009387
11 0.009433
19 0.009446
20 0.009469
11 0.009539
21 0.009554
18 0.009623
19 0.009624
8 0.009632
15 0.009663
15 0.009684
15 0.009687
15 0.009688
15 0.009723
15 0.009726
8 0.009741
20 0.009751
11 0.009802
11 0.009806
19 0.009901
11 0.009902
11 0.009902
19 0.009917
22 0.009919
11 0.009936
17 0.010000
10 0.010017
19 0.010050
10 0.010059
10 0.010078
20 0.010108
10 0.010181
10 0.010185
19 0.010192
10 0.010203
20 0.010250
15 0.010292
10 0.010327
22 0.010331
10 0.010352
20 0.010353
15 0.010364
19 0.010413
20 0.010413
10 0.010432
10 0.010461
20 0.010467
10 0.010480
19 0.010490
20 0.010524
9 0.010526
10 0.010734
10 0.010734
10 0.010736
10 0.010739
10 0.010747
19 0.010768
20 0.010789
21 0.010814
18 0.010876
10 0.010893
10 0.010893
10 0.010897
10 0.010897
15 0.010930
17 0.010917
15 0.010940
15 0.010942
21 0.010978
9 0.010978
20 0.011100
20 0.011101
20 0.011104
9 0.011126
18 0.011139
9 0.011150
7 0.011189
7 0.011206
9 0.011242
20 0.011268
21 0.011288
19 0.011304
9 0.011308
18 0.011330
9 0.011363
19 0.011375
9 0.011402
7 0.011420
7 0.011438
9 0.011447
18 0.011538
21 0.011569
15 0.011582
19 0.011584
15 0.011596
15 0.011604
19 0.011617
20 0.011670
18 0.011725
19 0.011741
19 0.011773
7 0.011779
7 0.011798
18 0.011822
15 0.011847
9 0.011851
15 0.011853
15 0.011853
20 0.011885
21 0.011902
20 0.011912
20 0.011954
19 0.011976
19 0.012048
21 0.012050
20 0.012082
9 0.012112
21 0.012116
9 0.012135
9 0.012144
20 0.012149
20 0.012153
9 0.012163
19 0.012214
8 0.012218
18 0.012230
20 0.012296
21 0.012297
21 0.012323
20 0.012330
7 0.012379
19 0.012382
9 0.012385
7 0.012399
8 0.012408
21 0.012408
20 0.012458
21 0.012535
20 0.012541
18 0.012609
20 0.012646
19 0.012728
21 0.012736
20 0.012931
20 0.012955
20 0.013039
20 0.013042
19 0.013059
22 0.013060
19 0.013097
15 0.013148
20 0.013188
15 0.013208
20 0.013279
21 0.013290
7 0.013342
7 0.013364
7 0.013365
7 0.013388
7 0.013419
7 0.013463
8 0.013470
8 0.013480
7 0.013497
8 0.013508
20 0.013506
7 0.013515
8 0.013517
19 0.013532
7 0.013536
7 0.013539
7 0.013547
8 0.013554
7 0.013553
7 0.013561
7 0.013590
7 0.013618
15 0.013746
15 0.013746
8 0.013750
8 0.013781
8 0.013791
20 0.013830
7 0.013844
7 0.013870
15 0.013875
19 0.013935
7 0.013960
18 0.013965
7 0.013986
8 0.013991
15 0.013994
15 0.014006
7 0.014032
21 0.014055
8 0.014071
19 0.014103
7 0.014104
22 0.014109
6 0.014112
6 0.014119
6 0.014129
8 0.014129
21 0.014149
7 0.014176
8 0.014178
7 0.014203
7 0.014261
19 0.014269
20 0.014442
15 0.014500
