Symbol: Fe
Atomic Number: 26
Atomic Mass: 55.847000
Start Spectral Index: 26
1 2383
2 1207
3 319
4 258
5 200
6 159
7 484
8 92
9 56
10 98
11 78
12 115
13 92
14 151
15 154
16 358
17 99
18 83
19 92
20 127
21 127
22 104
23 119
24 96
25 108
26 21
End Spectral Index:
Order of Magnitude: 0.000001
Start Spectral Lines:
26 0.000139
26 0.000142
25 0.000146
25 0.000146
25 0.000149
25 0.000150
26 0.000150
26 0.000150
25 0.000157
25 0.000158
25 0.000177
26 0.000178
25 0.000178
25 0.000178
26 0.000178
25 0.000178
25 0.000179
25 0.000179
25 0.000179
25 0.000179
25 0.000179
25 0.000179
25 0.000179
25 0.000179
25 0.000179
25 0.000179
25 0.000179
25 0.000179
25 0.000180
25 0.000180
25 0.000180
25 0.000180
25 0.000180
25 0.000181
24 0.000185
24 0.000185
25 0.000185
24 0.000185
24 0.000185
24 0.000185
24 0.000185
24 0.000186
25 0.000186
24 0.000186
24 0.000186
24 0.000186
24 0.000186
24 0.000186
23 0.000186
25 0.000186
24 0.000186
24 0.000186
24 0.000186
24 0.000186
24 0.000186
24 0.000187
24 0.000187
24 0.000187
25 0.000187
23 0.000187
24 0.000187
23 0.000187
23 0.000187
23 0.000187
24 0.000187
24 0.000187
23 0.000189
24 0.000187
23 0.000187
24 0.000187
24 0.000187
23 0.000188
23 0.000189
23 0.000188
24 0.000188
23 0.000188
22 0.000188
23 0.000188
22 0.000188
22 0.000188
22 0.000188
22 0.000189
22 0.000189
23 0.000189
21 0.000189
24 0.000189
21 0.000189
21 0.000189
21 0.000189
21 0.000189
21 0.000190
21 0.000190
24 0.000190
20 0.000191
20 0.000191
20 0.000191
20 0.000191
20 0.000191
20 0.000191
20 0.000191
19 0.000192
18 0.000192
26 0.000634
26 0.000640
25 0.000670
25 0.000671
24 0.000675
24 0.000679
24 0.000679
24 0.000681
24 0.000681
25 0.000682
25 0.000683
25 0.000688
25 0.000695
24 0.000697
24 0.000703
24 0.000703
26 0.000709
24 0.000717
24 0.000717
26 0.000717
24 0.000737
24 0.000739
24 0.000744
24 0.000744
23 0.000744
24 0.000746
23 0.000747
25 0.000748
25 0.000749
25 0.000761
25 0.000762
25 0.000762
25 0.000762
25 0.000765
23 0.000784
23 0.000768
25 0.000768
25 0.000769
25 0.000772
23 0.000773
23 0.000776
25 0.000777
23 0.000778
25 0.000779
23 0.000783
23 0.000785
23 0.000785
23 0.000788
24 0.000799
24 0.000799
22 0.000809
24 0.000823
23 0.000829
24 0.000828
23 0.000829
23 0.000830
24 0.000832
23 0.000832
24 0.000832
24 0.000837
21 0.000851
21 0.000851
23 0.000853
23 0.000855
23 0.000855
21 0.000855
21 0.000855
23 0.000855
21 0.000856
21 0.000857
23 0.000861
23 0.000862
21 0.000863
23 0.000863
21 0.000864
23 0.000864
21 0.000865
21 0.000865
23 0.000866
23 0.000867
23 0.000867
22 0.000872
22 0.000872
23 0.000872
23 0.000875
23 0.000876
23 0.000881
21 0.000885
23 0.000891
22 0.000896
22 0.000899
22 0.000899
22 0.000899
22 0.000901
22 0.000901
22 0.000903
20 0.000907
22 0.000906
20 0.000909
22 0.000909
22 0.000909
20 0.000911
20 0.000911
20 0.000911
22 0.000912
20 0.000916
22 0.000916
22 0.000918
20 0.000920
20 0.000921
20 0.000921
19 0.000921
22 0.000922
20 0.000922
20 0.000922
22 0.000924
19 0.000932
19 0.000938
21 0.000942
21 0.000943
19 0.000942
21 0.000946
21 0.000947
21 0.000948
21 0.000948
21 0.000951
19 0.000976
26 0.000954
21 0.000954
21 0.000955
21 0.000958
21 0.000958
21 0.000958
21 0.000959
21 0.000959
19 0.000981
21 0.000962
19 0.000962
26 0.000967
19 0.000969
19 0.000969
19 0.000984
21 0.000969
21 0.000970
21 0.000974
19 0.000979
21 0.000980
19 0.000981
19 0.000981
19 0.000981
19 0.000981
18 0.000999
18 0.000999
20 0.000999
20 0.000999
20 0.000999
20 0.001000
20 0.001001
18 0.001002
20 0.001003
20 0.001003
20 0.001003
25 0.001004
20 0.001006
20 0.001012
20 0.001011
17 0.001012
17 0.001012
20 0.001016
20 0.001016
20 0.001018
20 0.001018
20 0.001018
25 0.001020
17 0.001022
25 0.001022
25 0.001022
20 0.001022
25 0.001022
17 0.001031
18 0.001032
18 0.001032
25 0.001033
25 0.001035
25 0.001037
17 0.001039
18 0.001041
18 0.001042
18 0.001042
18 0.001049
25 0.001049
25 0.001050
17 0.001050
18 0.001050
17 0.001055
19 0.001056
25 0.001058
19 0.001062
24 0.001062
19 0.001063
19 0.001064
19 0.001064
17 0.001066
19 0.001066
19 0.001066
24 0.001066
19 0.001068
19 0.001074
17 0.001077
19 0.001077
23 0.001079
19 0.001082
19 0.001081
19 0.001081
19 0.001081
19 0.001081
17 0.001085
23 0.001090
19 0.001091
23 0.001093
19 0.001093
23 0.001094
23 0.001098
23 0.001098
23 0.001102
23 0.001102
17 0.001102
