Symbol: Co
Atomic Number: 27
Atomic Mass: 58.933200
Start Spectral Index: 27
1 420
2 223
3 204
4 9
5 55
8 165
9 48
10 22
11 34
12 37
13 70
14 59
15 78
16 110
17 239
18 32
19 61
20 76
21 59
22 71
23 66
24 77
25 61
26 108
27 21
End Spectral Index:
Order of Magnitude: 0.000001
Start Spectral Lines:
27 0.000129
27 0.000132
26 0.000135
26 0.000135
26 0.000138
26 0.000138
27 0.000139
27 0.000139
26 0.000146
26 0.000146
26 0.000164
27 0.000165
26 0.000165
26 0.000165
26 0.000165
27 0.000165
26 0.000166
26 0.000166
26 0.000166
26 0.000166
26 0.000166
26 0.000166
26 0.000166
26 0.000166
26 0.000166
26 0.000166
26 0.000166
26 0.000166
26 0.000166
26 0.000167
26 0.000167
26 0.000167
26 0.000167
26 0.000168
26 0.000171
25 0.000171
26 0.000172
25 0.000172
25 0.000172
25 0.000172
25 0.000172
26 0.000172
25 0.000172
25 0.000172
25 0.000172
25 0.000172
25 0.000172
25 0.000173
25 0.000173
25 0.000173
26 0.000173
25 0.000173
25 0.000173
25 0.000173
25 0.000173
25 0.000173
25 0.000173
25 0.000174
25 0.000175
25 0.000175
27 0.000587
27 0.000594
26 0.000620
26 0.000620
26 0.000630
26 0.000631
26 0.000637
26 0.000642
27 0.000657
25 0.000661
25 0.000661
27 0.000665
25 0.000679
25 0.000681
25 0.000685
25 0.000686
25 0.000688
26 0.000692
26 0.000693
26 0.000703
26 0.000704
26 0.000704
26 0.000704
26 0.000707
26 0.000711
26 0.000711
26 0.000714
26 0.000718
26 0.000720
25 0.000736
25 0.000737
25 0.000758
25 0.000763
25 0.000767
25 0.000767
25 0.000772
27 0.000883
27 0.000897
18 0.000908
18 0.000920
18 0.000921
26 0.000928
18 0.000935
18 0.000937
26 0.000943
26 0.000944
26 0.000944
26 0.000944
18 0.000950
26 0.000956
26 0.000957
26 0.000958
20 0.000960
18 0.000963
20 0.000963
20 0.000966
20 0.000969
20 0.000969
26 0.000969
20 0.000969
20 0.000969
20 0.000969
20 0.000970
26 0.000971
18 0.000974
20 0.000974
18 0.000972
26 0.000978
20 0.000979
25 0.000980
20 0.000982
25 0.000984
20 0.000986
20 0.000986
20 0.000986
20 0.000986
20 0.000986
20 0.000991
