Symbol: Ni
Atomic Number: 28
Atomic Mass: 58.693000
Start Spectral Index: 28
1 576
2 249
3 128
4 216
5 63
7 24
9 38
10 41
11 27
12 26
13 34
14 58
15 54
16 125
17 117
18 261
19 59
20 73
21 60
22 59
23 71
24 48
25 60
26 63
27 108
28 21
End Spectral Index:
Order of Magnitude: 0.000001
Start Spectral Lines:
28 0.000120
28 0.000123
27 0.000125
27 0.000125
27 0.000128
27 0.000128
28 0.000129
28 0.000129
26 0.000130
27 0.000135
27 0.000135
26 0.000137
27 0.000153
28 0.000153
27 0.000153
27 0.000153
27 0.000153
28 0.000154
27 0.000154
27 0.000154
27 0.000154
27 0.000154
27 0.000154
27 0.000154
27 0.000154
27 0.000154
27 0.000154
27 0.000154
27 0.000154
27 0.000154
27 0.000155
27 0.000155
27 0.000155
27 0.000155
27 0.000155
27 0.000156
27 0.000159
26 0.000159
27 0.000159
26 0.000159
26 0.000159
26 0.000159
26 0.000159
27 0.000160
26 0.000160
26 0.000160
26 0.000160
26 0.000160
26 0.000160
26 0.000160
26 0.000160
26 0.000160
27 0.000160
26 0.000160
26 0.000161
26 0.000161
26 0.000161
26 0.000161
26 0.000161
26 0.000161
26 0.000162
26 0.000163
28 0.000545
28 0.000552
27 0.000574
27 0.000575
27 0.000583
27 0.000585
27 0.000590
27 0.000595
28 0.000610
26 0.000611
26 0.000611
28 0.000618
26 0.000627
26 0.000629
26 0.000634
26 0.000634
26 0.000636
27 0.000641
27 0.000642
27 0.000651
27 0.000652
27 0.000652
27 0.000652
27 0.000655
27 0.000659
27 0.000659
27 0.000662
27 0.000666
27 0.000668
26 0.000681
26 0.000682
26 0.000701
26 0.000705
26 0.000709
26 0.000709
26 0.000714
28 0.000820
28 0.000834
19 0.000849
19 0.000851
27 0.000861
19 0.000861
27 0.000873
19 0.000874
27 0.000875
27 0.000875
27 0.000875
19 0.000885
27 0.000886
27 0.000888
27 0.000888
27 0.000898
27 0.000901
26 0.000906
27 0.000907
26 0.000911
21 0.000913
19 0.000914
19 0.000914
19 0.000915
25 0.000919
21 0.000920
19 0.000925
19 0.000926
25 0.000930
25 0.000930
25 0.000931
25 0.000932
20 0.000934
25 0.000934
20 0.000937
20 0.000939
20 0.000939
20 0.000939
25 0.000939
26 0.000939
25 0.000943
20 0.000946
20 0.000950
20 0.000950
20 0.000950
20 0.000950
26 0.000953
26 0.000955
20 0.000956
20 0.000956
25 0.000956
26 0.000957
20 0.000958
25 0.000960
25 0.000964
25 0.000982
25 0.000969
20 0.000969
25 0.000971
25 0.000971
25 0.000971
26 0.000973
25 0.000974
25 0.000987
25 0.000975
25 0.000976
25 0.000976
25 0.000976
25 0.000976
25 0.000978
25 0.000980
20 0.000982
25 0.000986
25 0.000986
25 0.000987
25 0.000991
25 0.000992
25 0.000992
25 0.000994
25 0.000999
25 0.000997
19 0.000998
19 0.001011
19 0.001016
19 0.001028
19 0.001043
20 0.001077
20 0.001092
20 0.001094
20 0.001099
20 0.001114
20 0.001116
20 0.001118
20 0.001123
20 0.001123
20 0.001123
21 0.001123
21 0.001124
21 0.001114
20 0.001128
21 0.001130
21 0.001132
21 0.001132
21 0.001132
21 0.001148
21 0.001152
21 0.001151
21 0.001149
21 0.001152
19 0.001154
21 0.001154
21 0.001160
19 0.001160
20 0.001178
20 0.001179
20 0.001183
20 0.001184
20 0.001187
20 0.001198
20 0.001197
20 0.001197
20 0.001199
20 0.001201
20 0.001204
20 0.001205
20 0.001208
21 0.001208
20 0.001211
20 0.001213
20 0.001216
21 0.001216
21 0.001218
20 0.001218
21 0.001218
21 0.001221
21 0.001221
21 0.001224
21 0.001228
21 0.001228
21 0.001234
21 0.001237
19 0.001244
21 0.001244
21 0.001247
21 0.001247
21 0.001250
21 0.001249
21 0.001253
20 0.001258
21 0.001259
21 0.001260
19 0.001266
21 0.001265
19 0.001281
20 0.001281
20 0.001292
20 0.001293
20 0.001303
20 0.001307
20 0.001313
20 0.001316
20 0.001326
20 0.001328
20 0.001331
19 0.001378
19 0.001404
19 0.001408
18 0.001410
18 0.001437
28 0.001611
28 0.001627
28 0.001632
