Symbol: Cu
Atomic Number: 29
Atomic Mass: 63.546000
Start Spectral Index: 29
1 76
2 450
3 100
4 60
5 50
10 28
11 37
12 19
13 8
14 15
15 15
16 45
17 35
18 87
19 44
20 42
21 56
22 14
23 21
24 24
25 4
26 15
27 66
28 110
29 21
End Spectral Index:
Order of Magnitude: 0.000001
Start Spectral Lines:
29 0.000112
29 0.000114
28 0.000117
28 0.000117
28 0.000119
28 0.000119
29 0.000120
29 0.000121
27 0.000121
28 0.000126
28 0.000126
27 0.000127
28 0.000142
29 0.000143
28 0.000143
28 0.000143
28 0.000143
29 0.000143
28 0.000143
28 0.000143
28 0.000143
28 0.000143
28 0.000143
28 0.000143
28 0.000144
28 0.000144
28 0.000144
28 0.000144
28 0.000144
28 0.000144
28 0.000144
28 0.000144
28 0.000144
28 0.000144
28 0.000144
28 0.000145
28 0.000148
27 0.000148
28 0.000148
27 0.000148
27 0.000148
27 0.000148
27 0.000148
27 0.000148
27 0.000149
28 0.000149
27 0.000149
27 0.000149
27 0.000149
27 0.000149
27 0.000149
27 0.000149
27 0.000149
28 0.000149
27 0.000149
27 0.000149
27 0.000150
27 0.000150
27 0.000150
27 0.000150
27 0.000151
27 0.000151
29 0.000508
29 0.000514
28 0.000534
28 0.000534
28 0.000542
28 0.000543
28 0.000549
28 0.000553
27 0.000567
27 0.000567
29 0.000568
29 0.000576
27 0.000581
27 0.000583
27 0.000588
27 0.000588
27 0.000590
28 0.000596
28 0.000597
28 0.000605
28 0.000606
28 0.000606
28 0.000606
28 0.000609
28 0.000613
28 0.000613
28 0.000616
28 0.000619
28 0.000621
27 0.000632
27 0.000633
27 0.000649
27 0.000653
27 0.000658
27 0.000658
27 0.000662
29 0.000763
29 0.000777
28 0.000796
20 0.000797
28 0.000800
20 0.000807
28 0.000811
28 0.000812
28 0.000812
28 0.000813
28 0.000824
28 0.000824
28 0.000826
20 0.000833
28 0.000835
28 0.000838
20 0.000839
20 0.000840
27 0.000840
28 0.000844
20 0.000842
27 0.000845
27 0.000870
27 0.000884
27 0.000885
27 0.000887
27 0.000904
20 0.000910
20 0.000924
20 0.000927
20 0.000937
20 0.000952
21 0.000991
21 0.001006
21 0.001007
21 0.001012
21 0.001020
21 0.001023
21 0.001026
21 0.001028
21 0.001029
21 0.001031
21 0.001032
21 0.001035
21 0.001039
20 0.001060
20 0.001065
21 0.001080
21 0.001080
21 0.001081
21 0.001086
21 0.001086
21 0.001090
21 0.001097
21 0.001100
21 0.001101
21 0.001107
21 0.001110
21 0.001111
21 0.001114
21 0.001116
21 0.001119
21 0.001135
20 0.001138
20 0.001159
20 0.001174
21 0.001172
18 0.001177
21 0.001183
21 0.001192
21 0.001196
21 0.001203
21 0.001206
21 0.001214
21 0.001217
21 0.001219
20 0.001257
20 0.001283
19 0.001311
29 0.001500
29 0.001516
29 0.001522
28 0.001585
28 0.001588
28 0.001602
28 0.001613
28 0.001628
28 0.001635
27 0.001719
27 0.001734
27 0.001736
27 0.001737
27 0.001752
29 0.002183
29 0.002215
29 0.002225
19 0.002248
19 0.002266
28 0.002294
28 0.002307
28 0.002324
28 0.002325
28 0.002327
28 0.002328
19 0.002350
28 0.002355
19 0.002360
28 0.002360
19 0.002362
28 0.002369
19 0.002370
28 0.002378
28 0.002391
28 0.002394
28 0.002402
28 0.002403
28 0.002405
28 0.002406
28 0.002407
28 0.002408
27 0.002430
27 0.002446
27 0.002493
19 0.002514
19 0.002517
27 0.002526
19 0.002530
27 0.002532
19 0.002553
27 0.002554
27 0.002555
27 0.002562
27 0.002588
27 0.002595
19 0.002642
19 0.002648
26 0.002701
19 0.002703
19 0.002708
26 0.002719
26 0.002740
19 0.002863
19 0.002869
19 0.002899
19 0.002928
18 0.003001
18 0.003010
18 0.003032
19 0.003326
19 0.003332
18 0.003524
18 0.003526
18 0.003529
19 0.003729
19 0.003749
18 0.003888
19 0.003971
19 0.004026
19 0.004030
18 0.004061
18 0.004075
18 0.004077
18 0.004113
18 0.004117
17 0.004281
17 0.004331
16 0.004448
16 0.004461
16 0.004468
16 0.004499
16 0.004521
16 0.004522
19 0.004533
16 0.004590
19 0.004609
18 0.004679
18 0.004701
19 0.004733
19 0.004744
18 0.004758
18 0.004889
18 0.004888
17 0.004890
18 0.004901
18 0.004940
18 0.004945
18 0.004949
18 0.004956
18 0.004964
18 0.004963
18 0.004977
18 0.004986
17 0.004990
18 0.005007
28 0.005008
18 0.005012
17 0.005018
28 0.005033
17 0.005081
17 0.005098
17 0.005116
17 0.005118
18 0.005129
28 0.005137
18 0.005150
28 0.005203
16 0.005209
28 0.005208
16 0.005209
16 0.005240
