Symbol: Li
Atomic Number: 3
Atomic Mass: 6.941000
Start Spectral Index: 3
1 177
2 206
3 16
End Spectral Index:
Order of Magnitude: 0.000001
Start Spectral Lines:
3 0.010290
3 0.010340
3 0.010410
3 0.010550
3 0.010800
3 0.011390
2 0.012550
3 0.013500
2 0.013650
2 0.014050
2 0.016721
2 0.016874
2 0.017158
2 0.017802
2 0.019928
2 0.020750
3 0.045600
3 0.048300
3 0.054000
3 0.054000
3 0.072900
3 0.072910
2 0.080000
2 0.082000
2 0.086116
2 0.086117
2 0.086117
2 0.090550
2 0.091750
2 0.093600
2 0.094486
2 0.094486
2 0.094486
2 0.096500
2 0.097209
2 0.097210
2 0.097212
2 0.098800
2 0.101794
2 0.101794
2 0.101795
2 0.101795
2 0.101796
2 0.101797
2 0.103187
2 0.103189
2 0.103190
2 0.103600
2 0.104415
2 0.109321
2 0.110273
2 0.110894
3 0.111600
2 0.113183
2 0.113184
2 0.113185
2 0.113186
2 0.113187
2 0.113200
2 0.114100
2 0.116649
2 0.116662
2 0.116666
2 0.119807
2 0.119809
2 0.119810
3 0.121500
2 0.123764
2 0.125356
2 0.142089
3 0.142400
2 0.149291
2 0.149293
2 0.149296
2 0.149297
2 0.149299
2 0.149304
2 0.155500
2 0.165308
2 0.165313
2 0.165322
2 0.168166
2 0.175533
2 0.201000
1 0.204000
2 0.206900
2 0.213200
2 0.216500
1 0.217410
2 0.218400
2 0.221500
2 0.222300
2 0.223800
2 0.224991
2 0.228753
2 0.230328
2 0.230404
1 0.230530
1 0.230563
1 0.230607
1 0.230654
1 0.230700
1 0.230753
1 0.230815
1 0.230968
1 0.231059
1 0.231165
1 0.231282
1 0.231420
1 0.231579
1 0.231766
1 0.231989
1 0.232259
1 0.232582
1 0.232973
2 0.233055
1 0.233466
1 0.233466
2 0.233760
2 0.233763
2 0.233772
1 0.234087
1 0.234087
1 0.234903
1 0.234903
1 0.235965
1 0.235965
1 0.237426
1 0.237426
2 0.238227
2 0.238393
1 0.239512
1 0.239512
2 0.240306
2 0.241157
1 0.242617
1 0.242617
2 0.243055
1 0.246090
1 0.247581
1 0.247581
2 0.250770
2 0.250954
1 0.251900
2 0.254025
2 0.255250
2 0.256000
1 0.256308
1 0.256308
2 0.260582
2 0.260585
2 0.260586
2 0.260590
2 0.260592
2 0.260598
2 0.265806
2 0.265811
2 0.265819
2 0.267521
2 0.267525
2 0.267529
2 0.272907
2 0.272907
2 0.272912
2 0.272912
2 0.272912
2 0.272915
2 0.273128
2 0.273136
1 0.274201
1 0.274201
2 0.276781
2 0.279113
1 0.280200
1 0.284700
1 0.286900
1 0.289600
2 0.293488
2 0.293493
2 0.293498
2 0.293511
2 0.295360
1 0.296900
2 0.302996
2 0.303000
2 0.303000
2 0.303004
2 0.303009
2 0.303018
1 0.314500
2 0.315620
2 0.315626
2 0.315637
2 0.319721
2 0.319721
2 0.319728
2 0.319728
2 0.319728
2 0.319732
2 0.320025
2 0.320035
1 0.323359
1 0.323359
2 0.323713
2 0.323720
2 0.323720
2 0.323725
2 0.323732
2 0.323736
2 0.325081
2 0.330723
1 0.348900
1 0.358080
1 0.361900
1 0.366300
2 0.368537
2 0.368565
2 0.368575
2 0.368580
2 0.371506
2 0.371522
2 0.371533
2 0.371535
2 0.371546
2 0.371547
2 0.371557
2 0.371564
1 0.371980
1 0.379580
1 0.391641
1 0.391646
1 0.398661
1 0.398667
1 0.413373
1 0.413378
1 0.413379
2 0.415762
1 0.419700
1 0.427427
1 0.427433
2 0.432656
2 0.432664
2 0.432664
2 0.432672
2 0.432680
2 0.432700
2 0.451772
1 0.460411
1 0.460418
1 0.460418
2 0.460863
2 0.463897
2 0.467288
2 0.467288
2 0.467302
2 0.467302
2 0.467302
2 0.467310
2 0.467937
2 0.467960
1 0.476100
2 0.476400
2 0.478970
2 0.484413
2 0.484427
2 0.484430
2 0.484440
2 0.484457
2 0.484466
2 0.488263
2 0.488279
2 0.488285
2 0.488305
1 0.497305
1 0.497313
2 0.503932
1 0.527200
1 0.531600
1 0.539600
1 0.544200
2 0.548503
2 0.548593
2 0.548661
2 0.548717
1 0.610523
1 0.610533
1 0.610535
1 0.670961
1 0.670976
1 0.812845
1 0.812868
2 0.851971
2 0.958403
2 1.012300
1 1.051310
1 1.051311
1 1.051311
1 1.079514
1 1.079514
1 1.103477
1 1.103477
1 1.223778
1 1.223779
1 1.223779
1 1.278520
1 1.278525
1 1.278525
1 1.293247
1 1.293247
1 1.293253
1 1.356547
1 1.356547
1 1.755347
1 1.755351
1 1.755351
1 1.859160
1 1.859160
1 1.870200
1 1.870200
1 1.870200
1 1.928100
1 1.928100
1 1.928110
1 1.929500
2 2.106210
2 2.106610
2 2.107080
1 2.447170
1 2.447170
1 2.497810
1 2.497810
1 2.520310
1 2.520310
1 2.520310
1 2.626700
1 2.626700
1 2.626700
1 2.654310
1 2.654310
1 2.654320
1 2.688710
1 2.688710
1 2.842450
1 2.842450
2 3.361410
1 3.808960
1 3.808970
1 3.808970
1 4.030400
1 4.030500
1 4.030500
1 4.048600
1 4.057200
1 4.057200
1 4.057200
1 4.180290
1 4.180290
1 4.180320
1 4.781620
1 4.781620
1 5.464630
1 5.464630
2 5.734100
2 5.737600
2 5.737900
2 5.739400
2 5.740600
2 5.741400
1 6.861100
1 6.861100
1 7.033500
1 7.033600
1 7.033600
1 7.502900
1 7.502900
1 7.502900
1 7.716600
1 7.716600
1 7.716600
1 10.287200
1 10.287200
1 13.965300
1 13.965300
2 20.868099
1 27.953300
1 27.956400
1 27.956400
1 64.998001
1 65.005997
1 65.005997
1 125.975998
1 125.991997
1 125.991997
1 1044.000000
1 1046.000000
1 1046.000000
1 1466.000000
1 1470.000000
1 1470.000000
End Spectral Lines:
