Symbol: Ge
Atomic Number: 32
Atomic Mass: 72.610000
Start Spectral Index: 5
1 221
2 80
3 55
4 27
5 37
End Spectral Index:
Order of Magnitude: 0.000001
Start Spectral Lines:
5 0.029451
5 0.029564
5 0.030498
4 0.044011
4 0.044195
3 0.054290
5 0.062152
3 0.066377
3 0.067088
3 0.068028
5 0.071626
5 0.072421
5 0.073354
5 0.073535
5 0.074152
5 0.074688
5 0.075026
5 0.075584
5 0.076005
2 0.082297
2 0.083508
4 0.084780
2 0.085050
2 0.086223
4 0.086830
2 0.087549
2 0.090598
4 0.091500
2 0.092055
4 0.093670
4 0.093890
3 0.095276
5 0.095851
5 0.097135
5 0.098492
5 0.098813
3 0.098896
5 0.099066
3 0.099572
3 0.099650
2 0.099910
5 0.100438
3 0.101121
3 0.101231
2 0.101664
5 0.101666
2 0.101710
3 0.103262
5 0.103840
3 0.104099
5 0.104571
5 0.105005
5 0.105459
2 0.105500
3 0.105891
5 0.106843
5 0.106913
5 0.107266
4 0.107344
2 0.107507
2 0.108551
5 0.108665
5 0.108785
3 0.108845
5 0.108949
5 0.109209
2 0.109871
2 0.110674
5 0.111694
2 0.112046
5 0.112201
3 0.113792
3 0.115055
3 0.115915
3 0.115962
3 0.116079
5 0.116339
2 0.116427
5 0.116526
3 0.117378
5 0.117669
2 0.118119
2 0.118165
2 0.118873
4 0.118899
2 0.118962
2 0.119126
2 0.119172
3 0.121247
5 0.122230
4 0.122981
2 0.123706
2 0.126190
2 0.126471
3 0.132324
2 0.138042
2 0.139226
2 0.140124
4 0.149489
4 0.150061
3 0.152532
3 0.152715
2 0.153809
2 0.157686
2 0.158107
3 0.160009
2 0.160249
1 0.161557
1 0.162413
1 0.163017
1 0.163631
1 0.163896
1 0.163973
1 0.164753
4 0.164814
2 0.164919
1 0.165153
1 0.165195
1 0.166135
1 0.166354
1 0.166527
1 0.166780
1 0.167061
1 0.169109
1 0.171678
1 0.173910
1 0.174220
1 0.174607
1 0.175004
1 0.175828
1 0.176418
1 0.176528
1 0.176643
1 0.177418
1 0.178505
1 0.179307
1 0.180143
1 0.184133
1 0.184241
1 0.184441
1 0.184587
1 0.184696
1 0.185313
1 0.186009
1 0.186505
1 0.187426
3 0.188326
1 0.189520
1 0.190470
1 0.190843
1 0.191241
1 0.191759
1 0.192347
1 0.192983
1 0.193405
1 0.193748
2 0.193801
1 0.193830
2 0.193889
1 0.194412
1 0.194473
1 0.195512
1 0.196201
1 0.196337
1 0.196538
1 0.197088
3 0.197822
2 0.197927
1 0.198785
1 0.198827
1 0.199889
2 0.200769
1 0.201194
1 0.201972
3 0.201987
3 0.202290
1 0.204237
1 0.204443
1 0.205512
1 0.205790
3 0.206280
1 0.206587
1 0.206932
1 0.208669
1 0.209492
3 0.210072
3 0.210309
3 0.210512
1 0.210649
1 0.212542
1 0.218714
2 0.219831
1 0.219940
2 0.220654
1 0.222107
1 0.225670
4 0.229370
1 0.231491
1 0.232863
4 0.234409
1 0.235996
1 0.237987
1 0.239020
1 0.239862
1 0.241810
1 0.243715
4 0.244612
4 0.244645
2 0.247941
4 0.248900
1 0.249872
2 0.250129
1 0.253399
4 0.254320
1 0.255706
1 0.258996
1 0.259331
4 0.263256
1 0.264497
1 0.265196
1 0.265236
1 0.269214
4 0.269888
2 0.270483
1 0.271043
4 0.271825
2 0.273059
4 0.273690
1 0.274124
1 0.275540
2 0.277141
2 0.277317
4 0.278943
1 0.279475
1 0.282984
2 0.283268
2 0.283511
2 0.284052
2 0.284636
2 0.285481
3 0.292372
1 0.303995
1 0.306791
4 0.307273
1 0.312572
2 0.318764
3 0.319848
3 0.321279
3 0.321588
2 0.322257
3 0.325599
3 0.326084
1 0.327043
2 0.331351
2 0.332460
3 0.337054
3 0.341525
3 0.343501
2 0.345671
3 0.346558
3 0.349008
2 0.350021
4 0.355521
4 0.367770
3 0.372557
2 0.384620
3 0.388588
3 0.418014
1 0.422775
3 0.424661
3 0.426205
3 0.429292
3 0.467567
1 0.468714
2 0.469118
2 0.469133
2 0.474313
2 0.481595
2 0.482545
3 0.501828
2 0.513318
3 0.513618
2 0.517990
2 0.518009
1 0.519603
3 0.523083
3 0.525807
1 0.526736
1 0.551480
1 0.556629
1 0.560857
1 0.561769
1 0.562299
1 0.565753
1 0.566580
1 0.566641
1 0.569353
1 0.570336
1 0.571946
1 0.580264
1 0.580370
2 0.589502
2 0.602271
2 0.608007
2 0.626887
2 0.626980
2 0.627007
2 0.628519
2 0.633813
2 0.648597
1 0.655930
2 0.678238
2 0.705131
1 0.713209
2 0.714736
1 0.733240
1 0.735536
1 0.738624
