Symbol: As
Atomic Number: 33
Atomic Mass: 74.921600
Start Spectral Index: 5
1 51
2 86
3 14
4 8
5 9
End Spectral Index:
Order of Magnitude: 0.000001
Start Spectral Lines:
5 0.060070
5 0.061600
5 0.071550
5 0.073480
5 0.073720
2 0.076124
2 0.080283
3 0.084990
3 0.086630
3 0.087170
3 0.088900
3 0.092750
3 0.093720
3 0.095360
3 0.096380
5 0.098770
2 0.102196
5 0.102950
5 0.105160
5 0.105660
2 0.108235
2 0.113940
2 0.114931
3 0.117220
2 0.118151
2 0.118987
2 0.119638
2 0.119656
2 0.120744
3 0.120930
2 0.121117
2 0.121810
2 0.122315
2 0.124131
2 0.124308
2 0.124567
2 0.125858
2 0.126377
2 0.126634
2 0.126759
2 0.128099
2 0.128754
2 0.130570
2 0.130774
2 0.133315
2 0.134155
2 0.135593
2 0.136977
2 0.137365
2 0.137507
2 0.137578
2 0.139464
2 0.140031
2 0.144859
2 0.155888
2 0.157099
1 0.159360
2 0.166055
1 0.175860
1 0.180615
2 0.186034
1 0.189042
2 0.191294
1 0.193759
1 0.197262
1 0.199035
1 0.199113
1 0.199543
1 0.200399
1 0.200984
1 0.201397
1 0.211366
1 0.214476
1 0.216620
4 0.225380
4 0.226390
1 0.228883
4 0.230170
1 0.234470
1 0.235056
1 0.237040
1 0.237149
1 0.238191
4 0.241820
4 0.244680
4 0.245470
1 0.245727
4 0.246210
1 0.249370
2 0.260278
1 0.274580
1 0.278104
2 0.283119
2 0.283200
1 0.286128
2 0.288525
1 0.289950
3 0.292720
2 0.296044
3 0.298290
2 0.300469
4 0.310970
2 0.311742
2 0.384369
3 0.392370
3 0.403830
2 0.419126
2 0.419858
2 0.424418
2 0.431687
2 0.432508
2 0.433786
2 0.435337
2 0.435409
2 0.437240
2 0.442835
2 0.443281
2 0.445972
2 0.446233
2 0.446760
2 0.447572
2 0.449549
2 0.450892
2 0.454101
2 0.454476
2 0.460372
2 0.463108
2 0.470890
2 0.473199
2 0.488992
1 0.507039
2 0.510700
2 0.510897
1 0.512277
1 0.514306
2 0.523284
2 0.533271
1 0.540963
1 0.545284
2 0.549925
2 0.555963
2 0.565289
2 0.611176
2 0.617198
2 0.651354
2 0.709423
2 0.710468
2 0.799273
2 0.817676
1 0.843123
1 0.856706
1 0.865652
1 0.882415
1 0.887210
1 0.926982
1 0.930316
1 0.960058
1 0.962934
1 0.983646
1 0.988876
1 0.990326
1 0.991843
1 0.992577
1 1.001337
1 1.002679
1 1.045595
1 1.057792
1 1.061698
End Spectral Lines:
