Symbol: Se
Atomic Number: 34
Atomic Mass: 78.960000
Start Spectral Index: 5
1 138
2 39
3 39
4 22
5 17
End Spectral Index:
Order of Magnitude: 0.000001
Start Spectral Lines:
5 0.059600
5 0.060100
5 0.060870
5 0.061300
5 0.061430
4 0.063600
4 0.065270
4 0.065420
4 0.067010
4 0.067190
3 0.070920
3 0.070940
3 0.072060
4 0.072280
3 0.072430
3 0.072640
4 0.073460
3 0.073720
3 0.074190
4 0.074640
4 0.075900
5 0.075910
4 0.077650
3 0.077730
5 0.078580
3 0.079080
4 0.080380
5 0.080430
5 0.080870
5 0.081480
5 0.082070
2 0.082850
5 0.083030
2 0.083270
5 0.083950
3 0.084300
5 0.084580
3 0.087920
2 0.090660
2 0.091290
3 0.095370
3 0.095440
3 0.095470
4 0.095960
3 0.097410
3 0.097480
4 0.099670
2 0.101340
2 0.101400
2 0.103360
2 0.104960
2 0.105740
3 0.107980
5 0.109470
2 0.109780
3 0.109910
3 0.111920
2 0.114190
5 0.115100
2 0.115600
2 0.115690
2 0.116850
2 0.119230
2 0.120570
5 0.122760
2 0.123490
2 0.129100
4 0.130720
2 0.130890
4 0.131440
1 0.140540
1 0.140640
1 0.140660
1 0.143530
1 0.143580
1 0.144480
1 0.144680
1 0.144700
1 0.144920
1 0.145630
1 0.150090
1 0.153040
1 0.153130
1 0.153180
1 0.154710
1 0.156030
1 0.157530
1 0.157760
1 0.157790
1 0.157950
1 0.158000
1 0.158750
1 0.159320
1 0.160650
1 0.161070
1 0.161130
1 0.161740
1 0.162120
1 0.162270
1 0.162620
1 0.164340
1 0.167120
1 0.167530
1 0.169070
1 0.179330
1 0.179530
1 0.185520
1 0.185880
1 0.189860
1 0.191380
1 0.191920
1 0.196090
1 0.199510
1 0.204050
3 0.205820
1 0.207550
4 0.209070
4 0.213730
1 0.216490
4 0.216590
4 0.216730
1 0.233350
1 0.241420
1 0.254880
4 0.266630
4 0.272510
3 0.276800
3 0.277460
4 0.295250
2 0.303960
2 0.304220
3 0.338080
3 0.338820
3 0.341490
3 0.342940
3 0.345880
3 0.354460
3 0.357120
3 0.363860
3 0.371280
3 0.373980
3 0.374410
3 0.380200
3 0.404780
2 0.407130
3 0.408440
3 0.417030
2 0.417650
2 0.418210
1 0.432990
1 0.433150
2 0.438410
2 0.444720
2 0.445040
2 0.446890
3 0.463920
1 0.473210
1 0.474030
1 0.474350
2 0.484200
2 0.484640
2 0.522900
2 0.530690
1 0.536700
1 0.537140
1 0.537560
2 0.552390
2 0.556840
2 0.586790
2 0.605770
3 0.630550
1 0.632730
2 0.644600
2 0.649230
2 0.653680
1 0.683320
1 0.699262
1 0.699372
1 0.701274
1 0.701581
1 0.706401
1 0.757720
1 0.758550
1 0.759430
1 0.760890
1 0.800320
1 0.803860
1 0.806310
1 0.806750
1 0.808330
1 0.809540
1 0.809690
1 0.815150
1 0.815420
1 0.815990
1 0.816530
1 0.818510
1 0.818730
1 0.819690
1 0.844279
1 0.845270
1 0.874473
1 0.892131
1 0.897215
1 0.900444
1 0.904109
1 0.908563
1 0.909128
1 0.914334
1 0.918440
1 0.927366
1 0.943509
1 0.982827
1 1.022005
1 1.031027
1 1.033009
1 1.038921
1 1.065322
1 1.193783
1 1.195014
1 1.195119
1 1.195554
1 1.195591
1 1.196931
1 1.197621
1 1.197635
1 1.482198
1 1.492155
1 1.515558
1 1.547329
1 1.547523
1 1.552521
1 1.562267
1 1.562465
1 1.666399
1 1.681837
1 1.682235
1 1.687115
1 1.697735
1 2.138007
1 2.144841
1 2.147934
1 2.172229
1 2.173653
1 2.313997
1 2.339523
1 2.363462
1 2.415477
1 2.416582
1 2.421104
1 2.439264
1 2.442033
1 2.447785
1 2.502434
1 2.513429
End Spectral Lines:
