Symbol: Br
Atomic Number: 35
Atomic Mass: 79.904000
Start Spectral Index: 5
1 165
2 118
3 75
4 136
5 22
End Spectral Index:
Order of Magnitude: 0.000001
Start Spectral Lines:
4 0.036663
4 0.037070
4 0.037974
4 0.038410
4 0.040037
5 0.046837
5 0.048211
5 0.053197
4 0.053446
4 0.054206
4 0.054543
5 0.054790
5 0.054977
4 0.054994
4 0.055448
4 0.055572
4 0.055593
4 0.055798
4 0.055976
4 0.056379
4 0.056393
4 0.056532
4 0.056745
4 0.056920
4 0.056929
4 0.057360
4 0.057659
4 0.057995
4 0.058510
4 0.058671
4 0.058904
4 0.059752
4 0.059959
4 0.060009
4 0.060127
4 0.060368
4 0.060577
4 0.060704
4 0.061053
4 0.061065
3 0.061110
4 0.061785
4 0.061826
4 0.061988
3 0.062040
5 0.062103
4 0.062322
4 0.062572
4 0.063013
5 0.063222
4 0.063504
4 0.063744
4 0.064223
5 0.064544
4 0.064977
5 0.065264
4 0.065268
5 0.065754
4 0.066152
3 0.066554
3 0.067719
3 0.067780
5 0.067962
4 0.068078
4 0.068352
3 0.068768
4 0.068904
3 0.069020
3 0.069699
4 0.069773
4 0.070387
2 0.071168
4 0.071538
4 0.071710
4 0.072295
3 0.072700
4 0.072953
4 0.073101
4 0.073283
3 0.073640
4 0.075762
3 0.076963
4 0.078281
4 0.078430
4 0.079227
4 0.080013
4 0.080114
5 0.081295
4 0.081366
2 0.081548
3 0.081779
4 0.081974
4 0.082080
5 0.085081
5 0.085527
2 0.085619
2 0.088923
2 0.089664
4 0.089757
4 0.089886
2 0.090599
2 0.092256
2 0.094897
3 0.094900
3 0.096040
3 0.098490
2 0.098493
2 0.101210
2 0.101554
4 0.101612
2 0.103702
5 0.104160
2 0.104900
4 0.106433
2 0.106476
5 0.106915
2 0.107187
4 0.107659
5 0.108054
4 0.108896
1 0.110150
5 0.111213
4 0.112372
4 0.112858
1 0.113459
1 0.113629
5 0.114356
1 0.117723
1 0.117890
1 0.118928
1 0.118938
1 0.118950
1 0.119837
4 0.119874
1 0.120976
1 0.121073
1 0.121601
1 0.122113
1 0.122187
1 0.122324
1 0.122441
1 0.122690
4 0.122803
1 0.122805
1 0.123243
1 0.124390
1 0.124959
1 0.125166
1 0.125580
1 0.125920
1 0.126166
4 0.126370
4 0.126566
1 0.126620
4 0.126630
4 0.127483
1 0.127948
4 0.128315
1 0.128626
4 0.130269
4 0.130851
4 0.130987
1 0.130991
3 0.131350
1 0.131674
1 0.131737
1 0.131770
4 0.134473
4 0.135173
4 0.135796
4 0.137927
1 0.138460
3 0.140290
5 0.142975
5 0.144260
1 0.144990
5 0.147035
4 0.147356
1 0.148845
4 0.150797
1 0.153174
1 0.154065
1 0.157484
1 0.157639
1 0.158231
4 0.159378
4 0.161587
1 0.163340
4 0.164396
4 0.170348
4 0.174646
4 0.177233
4 0.180028
4 0.186655
4 0.192320
4 0.194266
4 0.200899
4 0.202286
4 0.202462
4 0.202914
4 0.203487
4 0.203755
4 0.204060
4 0.204933
4 0.206726
4 0.207963
4 0.208400
4 0.209294
4 0.212638
4 0.213448
4 0.214379
4 0.214570
4 0.217950
4 0.219383
4 0.220523
4 0.224226
4 0.224414
4 0.225796
4 0.226359
4 0.226880
4 0.227075
4 0.227336
2 0.228588
2 0.228831
3 0.229415
4 0.230810
3 0.231400
2 0.231801
4 0.232463
4 0.232796
4 0.233044
4 0.233762
2 0.233765
4 0.235102
4 0.236396
2 0.238718
2 0.238743
2 0.238942
2 0.238969
2 0.239042
2 0.239294
2 0.239315
4 0.240885
4 0.241241
3 0.246313
3 0.248335
2 0.248925
2 0.249597
3 0.250000
2 0.252246
3 0.253025
2 0.254224
3 0.255186
2 0.255769
3 0.257160
3 0.257394
3 0.258576
3 0.258991
3 0.259526
3 0.259676
3 0.260698
3 0.260893
3 0.261391
3 0.261704
3 0.262730
3 0.263001
3 0.264039
3 0.267232
2 0.269097
2 0.271457
3 0.273664
2 0.274733
3 0.277132
3 0.278610
3 0.280499
2 0.280838
2 0.289425
2 0.291803
3 0.292782
3 0.293708
2 0.296808
3 0.296987
2 0.297313
2 0.298273
2 0.298674
2 0.298740
3 0.299491
2 0.301736
3 0.302164
3 0.303451
3 0.303733
3 0.307531
3 0.309284
3 0.311819
3 0.314872
3 0.317500
3 0.332204
3 0.333403
3 0.335060
3 0.338622
2 0.342480
3 0.344835
3 0.348858
3 0.350747
3 0.351837
3 0.354117
3 0.355209
3 0.356345
3 0.360174
2 0.360783
3 0.369458
2 0.371536
1 0.381673
3 0.382134
2 0.383578
2 0.387231
2 0.389273
2 0.390235
3 0.390506
2 0.391531
2 0.391549
2 0.392062
2 0.392520
2 0.393066
2 0.394081
2 0.395173
2 0.398151
1 0.399349
2 0.402518
2 0.413683
2 0.414137
2 0.418081
2 0.419463
2 0.422508
2 0.423808
2 0.429260
1 0.436637
2 0.436683
1 0.442638
1 0.444299
1 0.447387
1 0.447898
1 0.449168
3 0.450781
1 0.451471
3 0.452101
1 0.452686
2 0.453087
2 0.454419
1 0.457702
2 0.460265
1 0.461587
2 0.462399
2 0.464332
2 0.465328
2 0.468001
2 0.469448
2 0.470617
2 0.472108
2 0.472168
2 0.472952
2 0.473673
2 0.474397
1 0.475361
2 0.476733
2 0.478074
1 0.478165
1 0.478653
2 0.478684
2 0.480367
2 0.481805
2 0.481981
2 0.484616
2 0.485010
2 0.492249
2 0.493017
2 0.493204
2 0.494689
1 0.498115
2 0.504015
2 0.505605
2 0.516582
3 0.517731
2 0.518145
2 0.518379
2 0.519535
2 0.523969
1 0.524660
2 0.527415
2 0.530558
2 0.533205
2 0.533353
1 0.534690
1 0.539698
2 0.542429
2 0.542650
2 0.543658
3 0.544831
1 0.546774
2 0.547999
2 0.549032
2 0.549659
2 0.550822
2 0.559149
2 0.572030
2 0.583240
1 0.585370
1 0.594213
1 0.612383
1 0.615030
2 0.616345
1 0.617910
1 0.633723
1 0.635249
2 0.635470
1 0.641209
1 0.648535
1 0.651642
1 0.654638
1 0.654990
1 0.656161
1 0.657313
1 0.658096
1 0.658399
1 0.662230
1 0.663345
1 0.668413
1 0.669398
1 0.673014
1 0.676193
1 0.678135
1 0.678861
1 0.679191
1 0.679335
1 0.686304
1 0.700712
3 0.719480
1 0.726245
1 0.735053
1 0.751503
1 0.759370
1 0.759716
1 0.761851
3 0.767520
1 0.780517
1 0.782938
1 0.788362
1 0.788374
1 0.792799
1 0.794086
1 0.795013
1 0.795237
1 0.798063
1 0.798076
1 0.799214
1 0.802856
1 0.802875
1 0.813376
1 0.815489
1 0.815599
1 0.815624
1 0.824913
1 0.826723
1 0.827471
1 0.833699
1 0.834599
1 0.838634
1 0.844887
1 0.847978
1 0.851572
1 0.856008
1 0.856863
1 0.864103
1 0.870092
1 0.879588
1 0.882238
1 0.882764
1 0.889142
1 0.890006
1 0.893485
1 0.895185
1 0.896646
2 0.902690
1 0.916858
1 0.917615
1 0.918068
1 0.926796
1 0.932342
2 0.943663
1 0.979617
1 0.989911
1 1.014286
1 1.024055
1 1.030244
1 1.038049
1 1.046083
1 1.074508
1 1.075887
1 1.322078
1 1.435849
1 1.489277
1 1.673576
1 1.857338
1 1.973901
1 2.028727
1 2.063030
