Symbol: Rb
Atomic Number: 37
Atomic Mass: 85.467800
Start Spectral Index: 37
1 213
2 699
3 232
4 573
5 34
6 34
7 26
8 34
9 40
10 64
11 44
12 130
13 109
19 7
20 2
21 6
22 9
23 16
24 13
25 11
26 106
27 9
28 11
29 16
30 7
31 49
33 49
34 14
35 4
36 7
37 110
End Spectral Index:
Order of Magnitude: 0.000001
Start Spectral Lines:
37 0.000067
37 0.000067
37 0.000068
37 0.000068
37 0.000070
37 0.000070
37 0.000073
37 0.000074
37 0.000087
37 0.000087
36 0.000089
36 0.000090
37 0.000283
37 0.000283
37 0.000289
37 0.000292
37 0.000292
37 0.000298
37 0.000309
37 0.000309
37 0.000309
37 0.000309
37 0.000315
37 0.000316
37 0.000316
37 0.000345
37 0.000345
37 0.000346
37 0.000346
37 0.000353
37 0.000354
37 0.000355
37 0.000462
37 0.000462
37 0.000466
37 0.000467
37 0.000476
37 0.000478
37 0.000482
28 0.000494
28 0.000505
28 0.000506
28 0.000518
35 0.000523
35 0.000539
28 0.000594
28 0.000599
29 0.000594
29 0.000604
29 0.000606
29 0.000606
29 0.000606
29 0.000611
29 0.000612
29 0.000622
29 0.000624
29 0.000623
29 0.000625
28 0.000628
28 0.000645
29 0.000650
28 0.000651
29 0.000674
28 0.000679
28 0.000702
37 0.000719
37 0.000719
37 0.000730
37 0.000730
37 0.000782
37 0.000782
37 0.000795
37 0.000795
37 0.000912
37 0.000912
37 0.000916
37 0.000916
37 0.000929
37 0.000929
37 0.000930
37 0.000930
37 0.000934
37 0.000934
37 0.000934
37 0.000935
37 0.000936
37 0.001322
37 0.001323
37 0.001338
37 0.001339
37 0.001355
37 0.001355
37 0.001360
37 0.001360
37 0.001365
37 0.001368
37 0.001373
37 0.001377
37 0.001377
37 0.001553
37 0.001554
37 0.001575
37 0.001575
37 0.001881
37 0.001882
37 0.001914
37 0.001914
27 0.002300
27 0.002364
27 0.002379
27 0.002390
37 0.002863
37 0.002865
37 0.002900
37 0.002903
37 0.002926
37 0.002926
37 0.002938
37 0.002939
37 0.002944
37 0.002944
37 0.002951
37 0.002951
37 0.002953
37 0.002957
37 0.002963
37 0.002964
37 0.002964
37 0.002978
37 0.002978
37 0.003343
37 0.003345
31 0.003370
37 0.003395
37 0.003396
33 0.003522
31 0.003953
31 0.004012
33 0.004039
31 0.004120
31 0.004130
33 0.004151
31 0.004169
33 0.004303
31 0.004376
31 0.004475
33 0.004529
33 0.004564
31 0.004567
31 0.004753
33 0.004780
31 0.004788
31 0.004867
33 0.004888
33 0.004919
29 0.004973
30 0.005052
33 0.005098
31 0.005100
34 0.005105
30 0.005120
31 0.005139
31 0.005242
31 0.005260
37 0.005354
37 0.005359
31 0.005391
33 0.005445
37 0.005489
37 0.005490
30 0.005512
31 0.005524
31 0.005565
31 0.005574
30 0.005630
31 0.005645
31 0.005665
33 0.005710
33 0.005784
31 0.005827
31 0.005883
31 0.005924
33 0.005937
31 0.006002
33 0.006014
33 0.006049
33 0.006111
33 0.006233
33 0.006239
33 0.006342
31 0.006375
31 0.006422
33 0.006524
33 0.006530
29 0.006638
31 0.006742
34 0.006766
34 0.006774
31 0.006955
31 0.007034
34 0.007059
34 0.007071
33 0.007175
34 0.007206
31 0.007246
33 0.007274
12 0.007275
12 0.007332
12 0.007340
12 0.007352
33 0.007363
12 0.007430
12 0.007451
12 0.007474
12 0.007483
12 0.007486
12 0.007491
12 0.007498
31 0.007499
12 0.007500
12 0.007504
12 0.007508
12 0.007508
12 0.007511
12 0.007517
12 0.007521
12 0.007525
12 0.007531
31 0.007534
12 0.007540
34 0.007543
12 0.007544
12 0.007549
12 0.007553
12 0.007477
12 0.007553
12 0.007554
12 0.007556
12 0.007565
12 0.007565
12 0.007567
12 0.007575
12 0.007579
12 0.007579
12 0.007589
12 0.007592
12 0.007594
12 0.007602
12 0.007609
12 0.007610
12 0.007613
12 0.007613
12 0.007613
12 0.007617
12 0.007620
12 0.007621
12 0.007622
12 0.007628
12 0.007634
12 0.007640
12 0.007644
12 0.007649
12 0.007652
12 0.007654
12 0.007660
12 0.007662
12 0.007662
12 0.007680
12 0.007680
33 0.007694
12 0.007694
12 0.007699
12 0.007704
12 0.007707
12 0.007718
12 0.007729
12 0.007731
12 0.007743
12 0.007746
12 0.007749
12 0.007754
12 0.007754
12 0.007756
12 0.007761
12 0.007764
12 0.007772
12 0.007773
31 0.007777
33 0.007777
12 0.007782
12 0.007794
12 0.007800
12 0.007802
12 0.007808
12 0.007809
12 0.007820
12 0.007830
12 0.007834
12 0.007838
31 0.007848
12 0.007857
12 0.007859
11 0.007909
12 0.007915
33 0.007937
12 0.007952
11 0.007988
12 0.007993
11 0.008079
31 0.008162
31 0.008207
33 0.008234
11 0.008321
11 0.008413
11 0.008426
11 0.008438
35 0.008451
11 0.008477
31 0.008475
11 0.008486
11 0.008489
13 0.008492
12 0.008492
11 0.008494
11 0.008499
36 0.008500
11 0.008502
11 0.008503
11 0.008524
11 0.008530
11 0.008521
11 0.008545
11 0.008562
11 0.008566
13 0.008579
13 0.008609
11 0.008621
11 0.008636
11 0.008643
11 0.008647
11 0.008649
11 0.008657
11 0.008669
11 0.008683
13 0.008699
11 0.008700
11 0.008705
19 0.008708
13 0.008710
33 0.008715
11 0.008720
11 0.008741
11 0.008743
21 0.008746
13 0.008754
13 0.008756
12 0.008759
11 0.008768
13 0.008771
11 0.008779
13 0.008779
13 0.008788
19 0.008800
11 0.008815
13 0.008819
11 0.008836
12 0.008843
19 0.008849
13 0.008850
11 0.008865
19 0.008867
11 0.008889
37 0.008898
13 0.008905
37 0.008906
31 0.008910
13 0.008916
19 0.008918
11 0.008926
11 0.008934
13 0.008947
13 0.008982
33 0.008994
13 0.009017
13 0.009033
12 0.009039
12 0.009077
13 0.009118
34 0.009120
13 0.009130
13 0.009153
13 0.009170
33 0.009175
31 0.009182
11 0.009182
13 0.009191
13 0.009192
20 0.009193
13 0.009215
13 0.009229
12 0.009231
13 0.009234
31 0.009235
13 0.009238
13 0.009252
12 0.009275
13 0.009289
13 0.009300
13 0.009307
12 0.009315
12 0.009339
12 0.009340
13 0.009348
12 0.009352
13 0.009356
13 0.009370
12 0.009372
13 0.009373
13 0.009378
13 0.009386
12 0.009412
13 0.009420
13 0.009420
13 0.009429
13 0.009447
13 0.009450
21 0.009454
19 0.009459
12 0.009470
13 0.009470
12 0.009477
13 0.009478
13 0.009494
13 0.009495
21 0.009507
13 0.009515
33 0.009526
13 0.009539
13 0.009540
13 0.009542
13 0.009546
13 0.009563
13 0.009566
31 0.009567
13 0.009577
21 0.009585
13 0.009593
13 0.009596
12 0.009604
12 0.009605
13 0.009605
12 0.009624
13 0.009626
13 0.009638
12 0.009644
13 0.009647
13 0.009672
13 0.009672
12 0.009681
10 0.009698
13 0.009706
11 0.009721
13 0.009732
19 0.009739
13 0.009740
13 0.009763
10 0.009770
13 0.009776
12 0.009776
13 0.009783
12 0.009783
13 0.009786
13 0.009802
22 0.009808
13 0.009809
12 0.009814
13 0.009817
21 0.009817
11 0.009839
13 0.009843
22 0.009851
12 0.009863
13 0.009876
12 0.009882
12 0.009890
12 0.009899
13 0.009899
9 0.009901
13 0.009661
12 0.009904
12 0.009908
12 0.009913
10 0.009918
13 0.009933
12 0.009935
13 0.009938
9 0.009943
22 0.009951
13 0.009952
33 0.009959
13 0.009979
13 0.009994
12 0.010002
13 0.010017
13 0.010017
13 0.010025
13 0.010028
13 0.010047
9 0.010051
13 0.010058
13 0.010059
12 0.010063
12 0.010067
9 0.010071
13 0.010076
31 0.010087
13 0.010091
13 0.010106
12 0.010110
13 0.010120
9 0.010152
9 0.010153
9 0.010170
13 0.009927
36 0.010191
9 0.010197
9 0.010201
9 0.010202
13 0.010204
9 0.010217
13 0.010222
24 0.010222
33 0.010223
13 0.010232
9 0.010236
13 0.010247
12 0.010266
13 0.010272
13 0.010298
12 0.010302
23 0.010356
9 0.010357
9 0.010359
13 0.010368
12 0.010368
9 0.010375
13 0.010375
9 0.010377
23 0.010398
13 0.010420
13 0.010426
13 0.010436
23 0.010447
9 0.010447
12 0.010453
22 0.010454
9 0.010455
23 0.010478
13 0.010481
26 0.010495
9 0.010508
13 0.010525
33 0.010588
9 0.010589
23 0.010636
26 0.010644
13 0.010659
31 0.010679
9 0.010681
34 0.010713
13 0.010719
23 0.010755
8 0.010776
33 0.010778
8 0.010848
26 0.010918
24 0.010941
23 0.010951
24 0.011130
26 0.011214
26 0.011215
25 0.011271
20 0.011322
34 0.011326
24 0.011429
26 0.011595
33 0.011673
9 0.011711
9 0.011744
34 0.011836
26 0.011850
26 0.011870
24 0.011917
26 0.011950
26 0.012069
26 0.012096
26 0.012178
26 0.012224
24 0.012228
26 0.012257
26 0.012282
25 0.012307
26 0.012316
24 0.012323
26 0.012362
26 0.012370
26 0.012376
26 0.012389
26 0.012444
25 0.012446
26 0.012448
26 0.012518
26 0.012600
25 0.012648
26 0.012697
9 0.012714
33 0.012736
36 0.012808
25 0.012884
9 0.012917
26 0.012939
26 0.012956
26 0.013007
26 0.013028
26 0.013279
27 0.013385
26 0.013476
26 0.013602
26 0.013724
33 0.013757
24 0.013779
26 0.013779
26 0.013834
26 0.013859
26 0.013864
26 0.013871
33 0.013914
26 0.013943
26 0.013966
26 0.014021
26 0.014034
26 0.014037
26 0.014138
26 0.014142
26 0.014153
26 0.014175
31 0.014178
37 0.014241
25 0.014259
26 0.014271
26 0.014294
26 0.014349
26 0.014414
26 0.014434
25 0.014437
25 0.014444
26 0.014459
33 0.014548
26 0.014746
26 0.014769
26 0.014857
26 0.015008
26 0.015058
31 0.015179
26 0.015213
31 0.015323
27 0.015354
9 0.015432
26 0.015451
9 0.015494
26 0.015515
9 0.015611
26 0.015729
26 0.015740
26 0.015760
26 0.015904
27 0.015916
33 0.015934
26 0.015935
26 0.015957
26 0.015970
26 0.016045
26 0.016070
26 0.016137
26 0.016149
26 0.016208
25 0.016263
34 0.016289
26 0.016303
26 0.016325
33 0.016369
26 0.016442
26 0.016568
26 0.016673
35 0.016831
27 0.016906
8 0.016936
26 0.017058
8 0.017063
30 0.017120
26 0.017241
26 0.017305
26 0.017377
33 0.017394
26 0.017722
34 0.018116
26 0.018181
25 0.018415
26 0.018538
33 0.018685
26 0.018704
26 0.018802
26 0.018991
26 0.019000
26 0.019598
29 0.019829
26 0.019924
26 0.020405
26 0.020479
26 0.020698
30 0.020770
27 0.021155
