Symbol: Sr
Atomic Number: 38
Atomic Mass: 87.620000
Start Spectral Index: 5
1 109
2 43
3 95
4 78
5 13
End Spectral Index:
Order of Magnitude: 0.000001
Start Spectral Lines:
4 0.028431
4 0.029109
4 0.029119
4 0.029322
4 0.029812
4 0.030012
4 0.030027
4 0.030167
3 0.030718
3 0.031611
3 0.032161
3 0.033067
3 0.035162
3 0.035880
3 0.036349
3 0.037121
4 0.037853
4 0.039244
4 0.039300
4 0.039490
4 0.039622
4 0.039992
4 0.040385
4 0.040694
4 0.041293
4 0.041307
4 0.041532
4 0.041978
4 0.043021
4 0.043065
3 0.043724
4 0.044273
4 0.047176
4 0.048420
3 0.049179
3 0.050704
4 0.050814
3 0.051438
5 0.051728
4 0.053419
5 0.054051
3 0.056275
5 0.057801
5 0.062493
5 0.064223
5 0.064921
5 0.065915
5 0.066094
4 0.066443
5 0.066993
5 0.068623
4 0.071035
5 0.071579
5 0.074782
5 0.086232
3 0.096837
3 0.097578
3 0.099298
3 0.102523
3 0.104491
3 0.105774
3 0.106020
3 0.109877
3 0.112549
3 0.114024
3 0.116827
3 0.118209
4 0.118921
3 0.123623
4 0.124414
4 0.124475
4 0.124487
4 0.125778
4 0.126862
4 0.133113
4 0.134790
4 0.136115
4 0.140867
4 0.159274
4 0.167703
4 0.170516
4 0.172423
4 0.172953
4 0.173212
4 0.177725
3 0.194058
3 0.195844
3 0.196692
4 0.199461
2 0.201940
2 0.205260
3 0.206929
3 0.210026
4 0.210505
3 0.211498
4 0.211857
3 0.211915
3 0.212019
3 0.213379
3 0.214348
3 0.214642
2 0.215352
2 0.216664
3 0.217959
3 0.218082
3 0.219157
3 0.220455
1 0.220690
1 0.221200
1 0.221850
4 0.221868
3 0.222019
3 0.222074
1 0.222700
4 0.223110
1 0.223840
4 0.224119
1 0.225400
4 0.225408
3 0.226773
3 0.227441
1 0.227600
3 0.227857
2 0.228270
1 0.230800
3 0.231104
3 0.231566
2 0.232310
2 0.232520
3 0.233551
3 0.234085
4 0.234769
1 0.235500
4 0.235806
3 0.240490
3 0.241125
2 0.242420
1 0.242884
4 0.243967
4 0.244215
3 0.245477
2 0.247230
4 0.248354
4 0.248432
3 0.248727
4 0.250132
3 0.250434
4 0.250878
4 0.253479
4 0.254878
4 0.255637
1 0.257024
4 0.257181
4 0.257235
4 0.259011
3 0.259988
4 0.262113
4 0.262194
3 0.262347
4 0.264295
3 0.264375
3 0.264930
3 0.265545
3 0.272328
3 0.278682
3 0.282225
4 0.283136
3 0.287570
3 0.293020
1 0.293269
4 0.293546
3 0.298387
3 0.300349
3 0.301320
4 0.302017
3 0.302261
3 0.306072
3 0.306232
3 0.310515
3 0.318353
3 0.323632
4 0.326746
1 0.330268
3 0.330367
1 0.333095
1 0.335221
1 0.336730
2 0.338168
3 0.343174
2 0.346545
2 0.347588
4 0.356745
4 0.374211
3 0.387536
3 0.393751
3 0.393783
1 0.394192
3 0.395987
1 0.397038
1 0.397116
1 0.403152
1 0.403352
2 0.407886
3 0.409519
3 0.409818
3 0.410679
2 0.416297
2 0.421671
4 0.429978
2 0.430666
3 0.433702
2 0.441600
2 0.441870
1 0.443929
2 0.452737
2 0.458720
1 0.460862
4 0.468639
1 0.472360
1 0.474325
1 0.478566
1 0.481322
1 0.483343
1 0.485640
1 0.487006
1 0.487385
1 0.487742
1 0.487768
1 0.489335
1 0.496364
1 0.496933
3 0.507250
3 0.513177
1 0.515751
3 0.515970
1 0.522365
1 0.522656
1 0.523073
1 0.524001
1 0.525836
3 0.525917
3 0.526367
3 0.528979
2 0.530461
1 0.533130
2 0.538063
2 0.538695
3 0.539253
3 0.544499
1 0.545235
3 0.546542
1 0.548236
1 0.548764
1 0.550570
1 0.552336
1 0.553635
1 0.554159
1 0.554490
2 0.562450
2 0.565211
3 0.566623
3 0.569130
2 0.572529
2 0.582061
1 0.597175
1 0.634750
1 0.636570
1 0.637172
1 0.638251
1 0.638827
1 0.639001
1 0.641024
1 0.644846
1 0.646758
2 0.648496
1 0.650580
2 0.651100
1 0.654860
1 0.655207
1 0.661909
1 0.664537
1 0.679292
1 0.688028
1 0.689449
1 0.707205
1 0.715506
1 0.716922
1 0.723426
1 0.731142
1 0.762360
1 0.767517
1 0.785216
1 0.786906
1 0.787617
1 0.842511
2 0.850803
2 0.869130
2 0.872195
1 0.917252
1 0.920703
1 0.928645
1 0.929665
1 0.930915
1 0.932176
1 0.938302
1 0.941383
1 0.945154
1 0.959863
1 0.962734
1 0.964074
2 0.965035
2 1.003941
2 1.033014
2 1.087568
2 1.091787
1 1.098701
2 1.122764
1 1.124433
2 1.201805
1 1.223955
2 1.244931
1 1.248301
1 1.249842
1 1.265566
2 1.297825
2 1.312739
1 1.352650
1 1.714558
1 1.717519
1 1.745217
2 1.763081
1 1.774785
1 1.976499
1 2.026693
1 2.070635
1 2.077017
1 2.078437
1 2.603070
End Spectral Lines:
