Symbol: Y
Atomic Number: 39
Atomic Mass: 88.905900
Start Spectral Index: 5
1 327
2 114
3 113
4 25
5 45
End Spectral Index:
Order of Magnitude: 0.000001
Start Spectral Lines:
4 0.021180
4 0.021451
4 0.021597
4 0.021739
4 0.022171
4 0.022218
4 0.022298
4 0.022884
4 0.022894
4 0.022978
4 0.023517
4 0.023577
4 0.024212
4 0.024230
4 0.024414
4 0.026372
4 0.026464
4 0.027240
4 0.027303
4 0.027860
5 0.028918
5 0.029999
5 0.031289
5 0.031335
5 0.032047
5 0.032169
5 0.032558
5 0.032657
5 0.032834
5 0.033040
5 0.033309
5 0.033380
5 0.033512
5 0.033514
5 0.033662
5 0.033902
5 0.034002
5 0.034042
5 0.034459
5 0.034965
5 0.034975
5 0.035136
5 0.035398
5 0.035556
4 0.035586
4 0.037042
5 0.037205
5 0.037996
4 0.038682
5 0.039777
5 0.040345
5 0.040881
5 0.040931
5 0.041503
5 0.041818
5 0.041859
5 0.041979
5 0.042074
4 0.042503
5 0.042787
5 0.043075
5 0.043766
5 0.044162
5 0.044296
5 0.045197
5 0.045584
5 0.045784
4 0.047310
5 0.058498
5 0.063097
3 0.064368
3 0.064669
3 0.065387
3 0.065698
3 0.066874
3 0.067198
3 0.069172
3 0.069385
3 0.069520
3 0.072791
3 0.072847
3 0.072883
3 0.072973
3 0.073049
3 0.073270
3 0.073436
3 0.077078
3 0.077179
3 0.080426
3 0.080520
3 0.080618
3 0.080897
3 0.080992
3 0.085564
3 0.085782
3 0.098423
3 0.098796
3 0.098921
3 0.099637
3 0.099919
3 0.100056
3 0.100335
3 0.100658
3 0.100786
3 0.107752
3 0.108135
3 0.108463
3 0.108839
3 0.109525
3 0.109587
3 0.110321
3 0.128974
3 0.130696
3 0.131451
3 0.131610
3 0.133404
3 0.154908
3 0.155381
3 0.163514
3 0.164043
3 0.177980
3 0.178605
3 0.204259
3 0.204273
3 0.206124
3 0.206964
3 0.212865
3 0.219185
3 0.220145
3 0.220672
2 0.224376
3 0.226211
3 0.226227
3 0.228504
3 0.232063
3 0.232802
1 0.235492
3 0.236795
2 0.241466
3 0.241537
2 0.242294
2 0.246135
1 0.249117
1 0.268245
1 0.269501
1 0.269619
3 0.271110
3 0.271134
1 0.272381
1 0.273089
2 0.273566
1 0.274334
1 0.276092
3 0.278093
2 0.278603
2 0.278641
1 0.279202
3 0.279226
2 0.280094
3 0.280410
3 0.280783
1 0.281447
3 0.281787
1 0.281969
1 0.282339
2 0.282620
2 0.282721
2 0.285527
2 0.285714
2 0.285871
3 0.286851
1 0.288733
2 0.289854
2 0.289967
3 0.291426
3 0.291859
3 0.291941
1 0.291990
2 0.293089
3 0.294139
3 0.294687
1 0.294926
3 0.294934
1 0.296583
3 0.297129
2 0.297478
1 0.297546
2 0.298142
1 0.298513
1 0.299613
1 0.299781
1 0.300614
3 0.301481
3 0.301973
1 0.301983
1 0.302261
1 0.302316
2 0.302737
2 0.303747
1 0.304573
1 0.304626
1 0.304800
1 0.305484
2 0.305611
2 0.308775
1 0.309260
2 0.309466
2 0.309678
1 0.311271
2 0.311294
1 0.311518
2 0.312968
2 0.313084
2 0.313608
1 0.315656
1 0.317376
2 0.317398
2 0.318033
1 0.318688
1 0.319223
2 0.319654
2 0.320119
2 0.320425
1 0.321031
2 0.321762
1 0.322809
2 0.324322
3 0.326804
3 0.327774
2 0.328186
2 0.330942
2 0.332885
1 0.334134
2 0.336297
1 0.338956
1 0.339801
1 0.341345
2 0.344981
1 0.345194
2 0.346887
1 0.348505
1 0.348673
2 0.349709
1 0.352254
2 0.354702
2 0.355002
1 0.355067
1 0.355281
1 0.355370
1 0.355978
1 0.357245
1 0.357707
2 0.358554
1 0.358877
1 0.359071
1 0.359395
2 0.360176
2 0.360295
2 0.361208
1 0.362197
2 0.362974
2 0.363416
2 0.366565
2 0.366953
1 0.369358
2 0.371136
1 0.371918
1 0.373967
2 0.374862
1 0.375096
2 0.377540
2 0.377763
2 0.378337
2 0.378978
2 0.381943
2 0.383397
2 0.384896
3 0.386806
1 0.387792
2 0.387938
1 0.388887
3 0.390185
1 0.390570
3 0.391569
1 0.391936
1 0.393122
2 0.393177
2 0.395148
2 0.395272
1 0.395621
2 0.398373
1 0.398863
3 0.404074
1 0.404097
3 0.404125
1 0.404878
1 0.407853
1 0.408237
1 0.408486
1 0.410354
1 0.410755
1 0.411197
3 0.412277
2 0.412608
1 0.412947
1 0.414402
1 0.415880
1 0.416869
1 0.417532
2 0.417872
2 0.420046
2 0.420588
1 0.421421
1 0.421473
1 0.421899
1 0.422182
1 0.422544
2 0.423692
1 0.423713
1 0.425240
1 0.430351
2 0.431084
1 0.431751
1 0.433200
1 0.433851
1 0.434587
1 0.435001
1 0.435355
1 0.435392
1 0.435895
2 0.435996
1 0.436726
2 0.437617
1 0.437684
1 0.438056
1 0.438671
1 0.438897
1 0.439524
1 0.439590
2 0.439926
1 0.441094
