Symbol: Zr
Atomic Number: 40
Atomic Mass: 91.224000
Start Spectral Index: 5
1 459
2 207
3 490
4 76
5 104
End Spectral Index:
Order of Magnitude: 0.000001
Start Spectral Lines:
5 0.029219
5 0.030401
5 0.030524
5 0.036818
4 0.044560
4 0.044796
4 0.047897
4 0.048066
4 0.049723
4 0.050022
4 0.050034
5 0.051925
5 0.053650
4 0.058466
4 0.058543
4 0.058642
4 0.058889
4 0.058975
4 0.062867
3 0.063157
4 0.063357
4 0.063365
3 0.063421
3 0.067149
5 0.067413
5 0.067553
5 0.067939
3 0.068305
3 0.068624
3 0.068640
3 0.068757
3 0.068792
5 0.068827
3 0.068907
3 0.068963
3 0.069005
3 0.069036
3 0.069116
3 0.069117
3 0.069138
3 0.069139
3 0.069200
3 0.069465
3 0.069503
3 0.069524
3 0.069685
3 0.069767
5 0.070303
3 0.070836
3 0.071094
4 0.071249
3 0.071548
3 0.071622
5 0.071724
3 0.072008
3 0.072043
3 0.072310
3 0.072355
3 0.072425
3 0.072429
3 0.072436
3 0.072694
3 0.072896
3 0.073107
3 0.073152
3 0.073299
3 0.073324
3 0.073638
3 0.073662
3 0.073693
5 0.074033
5 0.074061
5 0.074274
3 0.074453
3 0.074756
3 0.075113
5 0.075248
4 0.075439
4 0.076016
3 0.076286
5 0.076458
5 0.076620
5 0.077380
5 0.077558
5 0.077921
5 0.078450
5 0.079723
5 0.080000
3 0.080599
5 0.080689
5 0.080975
3 0.081076
3 0.081097
5 0.081205
3 0.081484
3 0.081547
3 0.081646
3 0.081908
3 0.081953
3 0.082016
3 0.082086
5 0.082206
5 0.082346
3 0.082365
5 0.082378
3 0.082414
5 0.082513
3 0.082561
3 0.082578
3 0.082786
3 0.082919
3 0.082945
5 0.083059
3 0.083255
3 0.083345
3 0.083416
3 0.083477
3 0.083581
5 0.083657
3 0.083657
3 0.083817
3 0.083826
3 0.083908
3 0.083953
3 0.084074
5 0.084140
3 0.084191
3 0.084395
3 0.084524
3 0.084586
4 0.084640
3 0.084651
3 0.084745
3 0.084889
3 0.084990
3 0.085000
3 0.085058
3 0.085079
3 0.085206
5 0.085287
5 0.085368
3 0.085521
3 0.085746
3 0.085831
3 0.085940
3 0.085952
3 0.086002
3 0.086321
4 0.086364
4 0.086459
3 0.086484
3 0.086747
3 0.086861
3 0.086898
3 0.086918
3 0.086946
3 0.087094
3 0.087274
5 0.087311
3 0.087359
3 0.087422
3 0.087904
4 0.088130
4 0.088258
3 0.088276
3 0.088354
3 0.088413
3 0.088562
5 0.088568
3 0.089080
3 0.089099
3 0.089251
3 0.089322
3 0.089698
5 0.090048
3 0.090115
3 0.090509
5 0.090666
3 0.090720
3 0.090757
3 0.090908
3 0.090933
3 0.091122
3 0.091127
3 0.091229
3 0.091346
3 0.091512
5 0.091530
3 0.091806
3 0.091957
5 0.092310
3 0.092766
5 0.094041
5 0.094970
3 0.097217
5 0.097806
5 0.098070
3 0.098258
3 0.098285
5 0.098418
5 0.099559
3 0.099589
3 0.099781
3 0.099956
3 0.099992
3 0.100072
5 0.100248
3 0.100459
3 0.100514
3 0.100604
3 0.100728
3 0.100796
3 0.101115
3 0.101208
3 0.101790
3 0.103064
3 0.103072
4 0.103377
4 0.103397
5 0.103869
5 0.104441
5 0.104777
3 0.104979
3 0.106632
5 0.106855
5 0.107225
3 0.107504
3 0.108057
5 0.108345
5 0.108705
5 0.109354
4 0.109976
4 0.110001
5 0.110879
3 0.111206
4 0.118398
3 0.118800
5 0.119424
5 0.120076
4 0.120177
4 0.121272
4 0.121301
4 0.121987
5 0.123391
5 0.123893
3 0.124604
5 0.125361
5 0.125970
5 0.126091
5 0.126538
3 0.127658
3 0.128559
4 0.128589
4 0.129056
4 0.129170
5 0.129581
5 0.130280
5 0.130393
5 0.130676
5 0.131514
5 0.132074
5 0.132381
5 0.133206
3 0.133420
3 0.133718
5 0.133734
5 0.135521
5 0.135598
3 0.135695
5 0.136139
3 0.136906
3 0.137152
5 0.137654
3 0.137887
3 0.138576
5 0.139679
3 0.140348
3 0.140374
3 0.140839
5 0.141003
5 0.141340
4 0.141771
3 0.141877
3 0.142013
3 0.142087
3 0.142606
4 0.144065
4 0.144107
3 0.144484
3 0.145136
5 0.146005
3 0.146538
4 0.146947
5 0.148690
3 0.148911
5 0.149133
3 0.149463
3 0.149563
3 0.150386
3 0.150839
3 0.151052
3 0.151493
5 0.152047
4 0.154617
5 0.155012
3 0.156323
3 0.156548
3 0.158336
3 0.159356
4 0.159629
4 0.159895
4 0.160526
4 0.160795
4 0.160950
3 0.160985
3 0.161233
3 0.161527
3 0.162059
3 0.163128
5 0.163303
3 0.163655
3 0.163830
3 0.165390
5 0.165446
3 0.165677
3 0.167093
3 0.167235
3 0.167506
3 0.167569
3 0.170314
3 0.170327
3 0.171244
3 0.172271
5 0.172502
3 0.175431
3 0.175910
3 0.176469
3 0.176687
3 0.177022
3 0.177023
3 0.177186
3 0.177386
3 0.177943
3 0.178325
5 0.178620
3 0.179011
5 0.179081
3 0.179352
3 0.179779
3 0.179805
3 0.179993
3 0.180519
5 0.180609
4 0.181806
3 0.182229
3 0.183181
3 0.183213
3 0.183305
4 0.183615
4 0.184637
4 0.184803
4 0.185191
3 0.185231
3 0.185336
3 0.185697
3 0.185907
5 0.186048
5 0.186086
3 0.186167
3 0.186397
3 0.186538
3 0.186581
3 0.187696
5 0.187833
3 0.187986
3 0.188094
3 0.189194
3 0.189429
3 0.191327
3 0.191417
3 0.192192
3 0.192590
5 0.192624
3 0.192657
5 0.192743
3 0.193249
3 0.193425
5 0.193488
3 0.193510
3 0.193643
3 0.193664
3 0.193721
3 0.193778
3 0.194023
3 0.194105
3 0.194427
3 0.194605
3 0.194657
3 0.194691
3 0.195183
3 0.195389
3 0.196124
3 0.196192
3 0.196283
3 0.196508
3 0.196620
3 0.196775
3 0.197260
3 0.197491
3 0.198117
