Symbol: Nb
Atomic Number: 41
Atomic Mass: 92.906400
Start Spectral Index: 5
1 509
2 150
3 108
4 36
5 12
End Spectral Index:
Order of Magnitude: 0.000001
Start Spectral Lines:
5 0.046455
5 0.046832
4 0.054238
4 0.054309
4 0.054521
4 0.055994
4 0.056622
5 0.075301
5 0.076377
5 0.077402
4 0.098127
4 0.099354
4 0.099616
4 0.100276
4 0.100572
5 0.100702
4 0.100705
4 0.101019
4 0.103027
5 0.104490
4 0.111608
4 0.112002
5 0.121221
5 0.125887
5 0.126760
3 0.131456
3 0.131915
3 0.143192
3 0.143339
3 0.143526
3 0.144543
3 0.144598
3 0.144709
4 0.144748
3 0.144850
3 0.145163
3 0.145668
4 0.147343
3 0.148473
3 0.148679
4 0.148723
3 0.149594
3 0.149802
3 0.149945
3 0.150153
3 0.150199
4 0.150230
3 0.150503
3 0.150971
3 0.151234
3 0.151325
3 0.151381
3 0.151738
4 0.152436
3 0.152491
3 0.153298
4 0.153406
3 0.153750
3 0.156692
3 0.157019
3 0.158682
3 0.159021
3 0.159886
3 0.160472
4 0.163568
3 0.163951
3 0.168277
3 0.168440
3 0.170544
3 0.170714
3 0.173930
5 0.175833
3 0.175863
3 0.176372
3 0.180870
3 0.186313
5 0.187734
3 0.189292
4 0.191070
4 0.192241
3 0.193884
4 0.197822
3 0.197907
3 0.198515
3 0.199711
3 0.200793
4 0.202815
2 0.202997
3 0.203312
4 0.203318
2 0.203364
4 0.203532
3 0.206095
4 0.206928
4 0.208473
4 0.209379
4 0.209397
2 0.211009
4 0.212335
2 0.212588
2 0.212721
4 0.213090
3 0.213091
2 0.213185
4 0.214704
3 0.220670
3 0.224101
3 0.224489
4 0.225068
3 0.226633
3 0.227462
3 0.227593
3 0.228006
3 0.228221
3 0.228510
3 0.229107
2 0.229639
2 0.230279
3 0.230549
3 0.231063
3 0.231401
3 0.233094
3 0.233881
3 0.234484
3 0.234993
3 0.235626
3 0.236278
3 0.236322
3 0.236642
3 0.237345
2 0.237713
2 0.238782
3 0.238814
2 0.238825
3 0.238896
2 0.238900
2 0.239921
3 0.240496
3 0.240562
2 0.240607
2 0.240658
2 0.241319
3 0.241467
3 0.241523
2 0.241772
2 0.241942
3 0.242265
2 0.243454
2 0.243669
1 0.243707
2 0.243816
3 0.243848
2 0.244288
2 0.244342
3 0.244719
2 0.245261
2 0.245469
3 0.245773
2 0.245883
3 0.246108
3 0.246119
1 0.246364
3 0.246447
1 0.246748
3 0.246947
1 0.246983
3 0.247014
3 0.247662
2 0.247813
2 0.247904
2 0.248069
2 0.248463
3 0.248677
3 0.248949
3 0.249377
3 0.250048
1 0.250540
3 0.250929
2 0.251176
3 0.251271
2 0.252216
2 0.254556
3 0.254640
2 0.255215
2 0.255771
3 0.255871
2 0.256318
1 0.256618
3 0.256821
1 0.256980
2 0.257210
1 0.257951
2 0.258476
2 0.259171
1 0.259298
3 0.259453
3 0.259964
1 0.261726
1 0.262429
1 0.262822
1 0.262927
3 0.262945
3 0.263396
2 0.264303
2 0.264705
1 0.264829
1 0.265031
1 0.265524
2 0.265687
1 0.265841
3 0.265878
2 0.266604
2 0.266738
2 0.266809
1 0.266908
2 0.267272
2 0.267436
2 0.267674
1 0.268795
2 0.269257
2 0.269786
2 0.269966
2 0.270300
2 0.270332
2 0.271743
2 0.272279
2 0.273407
2 0.273790
1 0.274772
1 0.274966
1 0.275382
1 0.275943
2 0.276895
1 0.277402
2 0.278106
1 0.278318
2 0.279387
2 0.282791
1 0.283707
1 0.284178
2 0.284199
2 0.284349
2 0.284712
1 0.285229
2 0.286193
1 0.286516
2 0.286645
2 0.286936
2 0.287623
2 0.287779
2 0.287787
2 0.288157
2 0.288403
2 0.288968
2 0.289866
2 0.290009
2 0.290909
2 0.291144
2 0.291259
2 0.292867
2 0.293233
3 0.293857
2 0.294240
2 0.294674
2 0.294698
2 0.294776
2 0.295174
2 0.297344
2 0.297497
2 0.297855
2 0.298298
2 0.299113
2 0.299560
3 0.300272
2 0.302562
2 0.302932
2 0.303365
2 0.304565
1 0.304899
1 0.305398
2 0.305641
2 0.306542
2 0.307057
2 0.307179
2 0.307245
2 0.307413
2 0.307776
2 0.308124
2 0.309508
2 0.310009
1 0.311235
2 0.312844
2 0.313170
3 0.314317
2 0.314631
1 0.315278
2 0.316432
2 0.317670
2 0.318121
1 0.318841
2 0.319202
2 0.319235
2 0.319590
2 0.320428
2 0.320727
2 0.321653
2 0.322641
2 0.323049
2 0.323733
2 0.324841
2 0.324988
1 0.325046
2 0.325501
2 0.326150
2 0.326431
1 0.326553
3 0.326705
1 0.327141
1 0.327170
1 0.327301
1 0.327861
2 0.328441
1 0.328661
1 0.328854
1 0.328887
2 0.329297
1 0.329696
1 0.330056
1 0.330578
1 0.330900
1 0.331142
1 0.331355
1 0.331617
1 0.331994
1 0.332022
2 0.332054
1 0.332758
1 0.333032
1 0.333312
2 0.334256
1 0.334293
1 0.334467
1 0.334789
1 0.335002
1 0.335048
1 0.335570
1 0.335800
1 0.335939
2 0.336655
1 0.336793
2 0.337013
1 0.337230
1 0.337589
1 0.338138
1 0.338183
2 0.338721
1 0.339331
1 0.339690
1 0.340038
1 0.340639
1 0.340711
1 0.340936
2 0.340966
2 0.341017
2 0.341392
1 0.341695
1 0.342474
2 0.342640
1 0.342683
2 0.342755
1 0.342843
1 0.343002
2 0.343368
2 0.344158
1 0.346480
1 0.346685
1 0.347043
1 0.347218
1 0.347401
1 0.347969
2 0.348056
2 0.348505
1 0.349203
1 0.349881
1 0.349963
1 0.350896
2 0.351126
2 0.351643
2 0.351868
1 0.352107
1 0.353631
1 0.353849
2 0.354197
1 0.354503
1 0.354566
1 0.355146
1 0.355554
1 0.355568
1 0.356452
1 0.356464
1 0.357687
1 0.357874
1 0.358129
1 0.358599
1 0.359013
1 0.359038
1 0.359500
1 0.360359
2 0.362054
1 0.362206
1 0.364037
1 0.365089
1 0.365185
2 0.365223
2 0.366065
1 0.366141
1 0.366574
1 0.367005
1 0.367583
1 0.369890
1 0.371240
1 0.371407
1 0.371805
1 0.372730
1 0.373948
1 0.374086
2 0.374179
1 0.374284
1 0.374345
1 0.375425
1 0.375684
1 0.376456
1 0.376615
1 0.376720
1 0.377292
1 0.378208
1 0.378814
1 0.379123
1 0.379229
1 0.379920
1 0.380238
1 0.380400
1 0.380496
1 0.380582
1 0.381157
1 0.381211
1 0.381659
2 0.381994
1 0.382023
1 0.382597
1 0.383627
1 0.383754
1 0.384699
1 0.386004
1 0.386448
1 0.386902
1 0.387866
1 0.387992
1 0.388424
1 0.388654
1 0.388678
1 0.388717
1 0.389240
1 0.391008
1 0.391581
1 0.392131
1 0.393855
1 0.394479
1 0.396681
1 0.396721
1 0.397297
1 0.403366
1 0.404067
1 0.406009
1 0.406066
1 0.406194
1 0.406941
1 0.408088
1 0.408601
1 0.410156
1 0.410208
1 0.411806
1 0.412497
1 0.413059
1 0.413109
1 0.413827
1 0.414061
1 0.414088
1 0.414438
1 0.415129
1 0.415375
1 0.416464
1 0.416483
1 0.416583
1 0.416931
1 0.418562
1 0.419206
1 0.419325
1 0.419627
1 0.419684
1 0.419969
1 0.420270
1 0.420649
1 0.421592
1 0.421913
1 0.423034
1 0.425664
1 0.426325
1 0.426722
1 0.427189
1 0.428820
1 0.430081
1 0.430220
1 0.431077
1 0.431248
1 0.431366
1 0.432755
1 0.432860
1 0.433259
1 0.434404
1 0.434987
1 0.435025
1 0.435279
1 0.436966
1 0.437919
1 0.438959
