Symbol: Mo
Atomic Number: 42
Atomic Mass: 95.940000
Start Spectral Index: 42
1 765
2 209
3 62
4 29
6 217
7 413
8 109
9 231
10 120
11 58
12 26
13 53
14 71
15 29
16 84
17 91
18 53
23 1
24 9
25 4
26 5
27 7
28 11
29 10
30 18
31 41
32 32
33 17
34 13
35 13
39 2
40 62
41 106
42 21
End Spectral Index:
Order of Magnitude: 0.000001
Start Spectral Lines:
42 0.000053
42 0.000054
41 0.000054
41 0.000054
41 0.000055
41 0.000055
42 0.000057
42 0.000057
41 0.000058
41 0.000058
41 0.000067
41 0.000067
42 0.000067
41 0.000067
41 0.000067
41 0.000067
41 0.000067
41 0.000067
41 0.000067
41 0.000067
41 0.000067
41 0.000067
42 0.000067
41 0.000068
41 0.000068
41 0.000068
41 0.000068
41 0.000068
41 0.000068
41 0.000068
41 0.000068
41 0.000068
41 0.000068
40 0.000068
40 0.000068
41 0.000068
40 0.000069
41 0.000069
41 0.000069
40 0.000069
40 0.000069
40 0.000069
40 0.000069
40 0.000069
40 0.000069
40 0.000069
40 0.000069
40 0.000069
41 0.000069
40 0.000069
40 0.000069
40 0.000069
40 0.000069
41 0.000069
40 0.000069
40 0.000070
40 0.000070
40 0.000070
40 0.000070
40 0.000070
40 0.000071
42 0.000238
42 0.000244
41 0.000246
41 0.000246
41 0.000249
41 0.000249
41 0.000256
40 0.000256
40 0.000257
41 0.000257
40 0.000261
40 0.000262
42 0.000265
40 0.000268
40 0.000268
40 0.000269
42 0.000274
41 0.000274
41 0.000275
41 0.000278
41 0.000278
41 0.000278
41 0.000278
41 0.000279
41 0.000286
40 0.000286
41 0.000286
40 0.000287
41 0.000288
41 0.000289
40 0.000291
40 0.000293
40 0.000300
40 0.000300
40 0.000302
33 0.000309
33 0.000319
33 0.000319
33 0.000328
33 0.000331
33 0.000341
42 0.000355
33 0.000362
41 0.000365
33 0.000368
42 0.000369
41 0.000370
41 0.000371
41 0.000371
41 0.000371
41 0.000371
33 0.000376
41 0.000378
40 0.000379
33 0.000381
40 0.000384
41 0.000384
41 0.000386
40 0.000389
41 0.000393
41 0.000395
40 0.000397
40 0.000403
40 0.000405
40 0.000414
33 0.000442
33 0.000447
34 0.000447
34 0.000448
34 0.000449
34 0.000450
34 0.000451
34 0.000451
34 0.000451
34 0.000452
34 0.000454
34 0.000455
33 0.000463
33 0.000480
33 0.000485
33 0.000498
33 0.000521
42 0.000702
42 0.000719
42 0.000724
41 0.000730
41 0.000733
41 0.000736
41 0.000741
41 0.000759
41 0.000761
40 0.000772
40 0.000779
40 0.000789
40 0.000790
40 0.000798
42 0.001016
32 0.001020
32 0.001024
32 0.001027
32 0.001032
42 0.001048
41 0.001052
42 0.001058
41 0.001063
41 0.001063
41 0.001063
41 0.001063
41 0.001066
32 0.001077
41 0.001087
41 0.001094
40 0.001095
41 0.001099
32 0.001101
41 0.001109
40 0.001110
40 0.001115
41 0.001122
41 0.001124
41 0.001125
41 0.001126
41 0.001126
41 0.001126
40 0.001145
40 0.001148
40 0.001153
40 0.001185
32 0.001190
32 0.001195
32 0.001227
32 0.001438
32 0.001457
31 0.001474
31 0.001493
32 0.001500
32 0.001546
32 0.001551
32 0.001649
32 0.001704
32 0.001710
32 0.001715
32 0.001717
30 0.001738
31 0.001745
31 0.001750
31 0.001756
31 0.001758
31 0.001787
30 0.001798
25 0.001799
30 0.001800
30 0.001808
32 0.001843
25 0.001850
32 0.001858
32 0.001872
24 0.002168
24 0.002188
41 0.002303
41 0.002319
41 0.002361
40 0.002417
41 0.002436
41 0.002436
40 0.002480
40 0.002493
15 0.002946
15 0.002977
16 0.003205
16 0.003208
16 0.003232
16 0.003269
16 0.003286
16 0.003291
16 0.003298
16 0.003307
16 0.003310
16 0.003312
16 0.003316
16 0.003319
16 0.003321
16 0.003323
16 0.003326
16 0.003329
16 0.003335
16 0.003343
16 0.003348
16 0.003354
16 0.003360
16 0.003368
16 0.003374
16 0.003376
16 0.003380
16 0.003381
16 0.003385
16 0.003398
16 0.003399
15 0.003537
15 0.003606
15 0.003638
32 0.003701
32 0.003722
32 0.003730
35 0.003749
34 0.003766
35 0.003767
35 0.003819
35 0.003916
32 0.003918
32 0.003927
35 0.004087
17 0.004104
35 0.004122
17 0.004145
17 0.004148
17 0.004157
17 0.004178
17 0.004184
17 0.004191
17 0.004195
35 0.004201
17 0.004206
17 0.004209
17 0.004211
17 0.004216
17 0.004219
17 0.004224
17 0.004229
17 0.004239
17 0.004240
17 0.004247
17 0.004249
17 0.004254
17 0.004256
17 0.004260
17 0.004265
17 0.004270
17 0.004277
17 0.004280
17 0.004282
17 0.004284
17 0.004289
17 0.004294
17 0.004298
17 0.004303
17 0.004311
17 0.004314
17 0.004320
17 0.004322
17 0.004326
17 0.004328
16 0.004332
17 0.004334
17 0.004336
17 0.004345
17 0.004351
17 0.004353
17 0.004355
17 0.004380
16 0.004384
17 0.004400
17 0.004405
16 0.004451
16 0.004500
16 0.004525
16 0.004529
16 0.004548
16 0.004555
16 0.004555
16 0.004566
16 0.004576
16 0.004581
16 0.004585
16 0.004587
16 0.004589
16 0.004594
16 0.004602
16 0.004604
16 0.004605
16 0.004611
16 0.004613
16 0.004620
16 0.004623
16 0.004629
16 0.004635
16 0.004638
16 0.004646
16 0.004648
16 0.004648
16 0.004657
16 0.004657
16 0.004659
16 0.004662
16 0.004671
16 0.004678
16 0.004684
16 0.004686
16 0.004688
16 0.004707
16 0.004717
16 0.004719
16 0.004726
16 0.004730
16 0.004738
16 0.004787
16 0.004796
