Symbol: Tc
Atomic Number: 43
Atomic Mass: 98.000000
Start Spectral Index: 2
1 572
2 40
End Spectral Index:
Order of Magnitude: 0.000001
Start Spectral Lines:
2 0.210690
2 0.211711
1 0.212008
1 0.215695
1 0.218607
1 0.218974
1 0.219404
2 0.226692
1 0.228282
1 0.228341
1 0.228616
1 0.229879
1 0.241695
1 0.242397
1 0.242528
1 0.243657
1 0.243773
1 0.246444
1 0.246584
1 0.246762
1 0.247586
1 0.248145
1 0.248397
1 0.248725
1 0.249347
1 0.249418
2 0.249752
1 0.251093
2 0.253010
2 0.254399
2 0.254557
2 0.254868
2 0.255938
2 0.256778
2 0.257583
2 0.257705
2 0.257863
1 0.257956
1 0.259063
1 0.259096
1 0.259360
2 0.259797
1 0.260964
2 0.261077
1 0.261501
1 0.261665
1 0.261906
2 0.263570
1 0.263715
1 0.264205
1 0.264316
2 0.264529
2 0.264780
1 0.265000
2 0.265314
1 0.265436
1 0.265510
1 0.266167
1 0.266309
2 0.268199
1 0.268394
1 0.268469
1 0.269391
1 0.269744
1 0.270307
2 0.270376
2 0.270870
1 0.270958
1 0.271600
1 0.272436
1 0.272750
1 0.272928
1 0.273134
1 0.273368
1 0.273704
2 0.273764
1 0.273878
2 0.273964
1 0.275657
1 0.276295
1 0.276316
1 0.276677
1 0.276771
2 0.277813
1 0.277973
1 0.278204
1 0.278287
1 0.278641
1 0.278971
1 0.279007
1 0.279535
1 0.279647
2 0.279660
1 0.280364
1 0.280385
1 0.280919
2 0.281048
2 0.281244
1 0.281569
1 0.282029
2 0.282218
1 0.282887
2 0.283201
2 0.284122
1 0.284588
2 0.284723
1 0.285004
1 0.285180
1 0.285797
1 0.285995
1 0.286533
1 0.286893
1 0.288858
1 0.288931
2 0.289005
1 0.289401
1 0.289430
1 0.289517
1 0.289719
1 0.290466
1 0.291400
1 0.292277
2 0.292420
1 0.292906
1 0.293475
1 0.295679
1 0.297452
1 0.298021
1 0.298623
1 0.301171
1 0.301811
1 0.302244
1 0.302354
1 0.302456
1 0.302614
1 0.302777
1 0.303404
1 0.303545
1 0.303776
2 0.303878
1 0.303911
1 0.304353
1 0.305244
1 0.305336
1 0.306300
1 0.306325
1 0.306556
1 0.306749
1 0.306923
1 0.307713
1 0.309024
1 0.310000
1 0.310042
1 0.310915
1 0.311005
1 0.311688
1 0.312007
1 0.312056
1 0.312355
1 0.313214
1 0.315117
1 0.316259
1 0.317422
1 0.318122
1 0.318329
1 0.318403
2 0.319612
1 0.319845
1 0.320376
2 0.321295
1 0.322167
1 0.323095
2 0.323795
1 0.324278
1 0.324513
1 0.325299
1 0.325704
1 0.326288
1 0.328809
2 0.329979
1 0.330172
1 0.330684
1 0.331160
1 0.331460
1 0.332651
1 0.332806
1 0.333173
1 0.333343
1 0.335152
1 0.335179
1 0.336772
1 0.338764
1 0.339320
1 0.339515
1 0.339787
1 0.339881
1 0.339931
1 0.340308
1 0.340491
1 0.340631
1 0.340826
1 0.340931
1 0.341278
1 0.341918
1 0.342008
1 0.342883
1 0.343273
1 0.343568
1 0.343666
1 0.343843
1 0.343972
1 0.344446
1 0.345204
1 0.345784
1 0.345823
1 0.345859
1 0.346727
1 0.347150
1 0.347618
1 0.347659
1 0.348562
1 0.348723
1 0.349130
1 0.349439
1 0.349562
1 0.350014
1 0.350170
1 0.350224
1 0.350370
1 0.350819
1 0.350927
1 0.351191
1 0.352684
1 0.352719
1 0.353084
1 0.353589
1 0.353652
1 0.353913
1 0.353969
1 0.354278
1 0.355073
1 0.355165
1 0.356077
1 0.356134
1 0.356624
1 0.356987
1 0.357167
1 0.357644
1 0.358108
1 0.358228
1 0.358310
1 0.358365
1 0.358896
1 0.359450
1 0.359560
1 0.359669
1 0.360835
1 0.360865
1 0.360930
1 0.361997
1 0.362839
1 0.363142
1 0.363619
1 0.363711
1 0.363926
1 0.363989
1 0.364042
1 0.364127
1 0.364908
1 0.365251
1 0.365963
1 0.366249
1 0.366596
1 0.368020
1 0.368137
1 0.368579
1 0.369381
1 0.370488
1 0.370585
1 0.370775
1 0.370868
1 0.370932
1 0.371332
1 0.371388
1 0.371700
1 0.371992
1 0.372473
1 0.372546
1 0.372741
1 0.372842
1 0.373024
1 0.373280
1 0.373848
1 0.374607
1 0.374721
1 0.374791
1 0.375320
1 0.375544
1 0.375961
1 0.376288
1 0.376984
1 0.377210
1 0.377834
1 0.378044
1 0.378175
1 0.378513
1 0.378714
1 0.379236
1 0.379281
1 0.379852
1 0.379885
1 0.381575
1 0.381797
1 0.382556
1 0.382963
1 0.383144
1 0.383354
1 0.383391
1 0.383865
1 0.384240
1 0.384706
1 0.384869
1 0.385231
1 0.385782
1 0.386417
1 0.386521
1 0.386934
1 0.387676
1 0.388026
1 0.388182
1 0.389322
1 0.389432
1 0.390093
1 0.392049
1 0.392477
1 0.392868
1 0.393481
1 0.394769
1 0.394821
1 0.395685
1 0.398077
1 0.398148
1 0.398610
1 0.398891
1 0.399517
1 0.399564
1 0.399810
1 0.400582
1 0.400827
1 0.401313
1 0.401782
1 0.401836
1 0.402190
1 0.403277
1 0.404039
1 0.404292
1 0.405025
1 0.405309
1 0.405432
1 0.405723
1 0.408469
1 0.408986
1 0.409485
1 0.409683
1 0.411138
1 0.411624
1 0.412043
1 0.412538
1 0.412943
1 0.413598
1 0.414029
1 0.414102
1 0.414244
1 0.414612
1 0.414625
1 0.414879
1 0.416678
1 0.416859
1 0.417086
1 0.417145
1 0.417371
1 0.417746
1 0.418769
1 0.421980
1 0.423938
1 0.426347
1 0.426389
2 0.427617
1 0.428010
1 0.429827
1 0.433808
1 0.435972
1 0.436049
1 0.443083
1 0.448279
1 0.448832
1 0.449629
1 0.451725
1 0.452411
1 0.454080
1 0.454336
1 0.455348
1 0.455413
1 0.455833
1 0.456582
1 0.457973
1 0.459464
1 0.461045
1 0.461815
1 0.462398
1 0.462626
1 0.463187
1 0.463445
1 0.463880
1 0.464458
1 0.464963
1 0.466151
1 0.467061
1 0.467348
1 0.468021
1 0.469067
1 0.469559
1 0.470824
1 0.471554
1 0.471909
1 0.472034
1 0.472060
1 0.473783
1 0.474194
1 0.475094
1 0.475405
1 0.476369
1 0.477287
1 0.477522
1 0.478526
1 0.478694
1 0.479182
1 0.479296
1 0.480132
1 0.480703
1 0.481076
1 0.481814
1 0.482209
1 0.483270
1 0.483572
1 0.483674
1 0.484271
1 0.485495
1 0.485857
1 0.486355
1 0.486809
1 0.487213
1 0.489007
1 0.489225
1 0.489329
1 0.489386
1 0.490988
1 0.491094
1 0.491439
1 0.491607
1 0.492204
1 0.492497
1 0.494944
1 0.497773
1 0.499639
1 0.500407
1 0.500714
1 0.501592
1 0.502764
1 0.502819
1 0.502929
1 0.503385
1 0.505668
1 0.505974
1 0.506210
1 0.509216
1 0.509770
1 0.510466
1 0.510574
1 0.511123
1 0.512203
1 0.514069
1 0.515206
1 0.516325
1 0.517625
1 0.520801
1 0.522700
1 0.526168
1 0.526290
1 0.527698
1 0.528654
1 0.530679
1 0.531644
1 0.532168
1 0.533627
1 0.535497
1 0.535812
1 0.536014
1 0.536163
1 0.537669
1 0.542456
1 0.544891
1 0.545342
1 0.545747
1 0.547348
1 0.548453
1 0.548689
1 0.550842
1 0.552564
1 0.552977
1 0.554348
1 0.554517
1 0.555207
1 0.559057
1 0.560379
1 0.562201
1 0.563150
1 0.564370
1 0.564651
