Symbol: Ru
Atomic Number: 44
Atomic Mass: 101.070000
Start Spectral Index: 3
1 540
2 53
3 93
End Spectral Index:
Order of Magnitude: 0.000001
Start Spectral Lines:
3 0.085009
3 0.085030
3 0.085122
3 0.085249
3 0.085632
3 0.086748
3 0.091974
3 0.092178
3 0.092808
3 0.093716
3 0.094009
3 0.094068
3 0.094185
3 0.094263
3 0.094306
3 0.094568
3 0.094605
3 0.094714
3 0.094983
3 0.095035
3 0.095045
3 0.095259
3 0.095706
3 0.095718
3 0.096158
3 0.096168
3 0.096256
3 0.096654
3 0.096709
3 0.096785
3 0.096792
3 0.097183
3 0.097240
3 0.097354
3 0.097378
3 0.097414
3 0.097446
3 0.097751
3 0.097818
3 0.097943
3 0.098135
3 0.098381
3 0.098391
3 0.098555
3 0.098684
3 0.098787
3 0.099167
3 0.099275
3 0.099456
3 0.099530
3 0.100078
3 0.100165
3 0.100429
3 0.100913
3 0.100987
3 0.101468
3 0.101872
3 0.101933
3 0.102077
3 0.108000
3 0.118437
3 0.119051
3 0.120007
3 0.120457
3 0.120488
3 0.120717
3 0.120977
3 0.121131
3 0.123257
3 0.165377
3 0.169984
3 0.171597
3 0.175949
3 0.188095
3 0.188356
3 0.189904
3 0.189942
3 0.190831
3 0.194135
3 0.198182
3 0.198210
3 0.198922
3 0.199332
3 0.199755
3 0.200636
3 0.200711
3 0.200993
3 0.201182
3 0.201221
3 0.201231
3 0.201585
3 0.201923
3 0.204525
1 0.207709
1 0.208443
1 0.209155
1 0.225622
1 0.226023
1 0.227279
1 0.227889
1 0.228027
1 0.228609
1 0.230325
1 0.231851
1 0.232272
2 0.233568
1 0.234141
2 0.234357
1 0.235006
1 0.235205
2 0.235863
1 0.236128
1 0.237089
1 0.237600
2 0.237636
1 0.239315
2 0.239744
2 0.240345
2 0.240865
1 0.241162
2 0.241555
1 0.242156
1 0.242366
1 0.243034
1 0.243367
1 0.244819
1 0.245132
1 0.245566
2 0.245627
2 0.245718
2 0.245731
1 0.245936
1 0.246369
1 0.246545
1 0.247479
1 0.247616
1 0.247763
2 0.247968
2 0.248186
1 0.249066
1 0.249253
2 0.249444
1 0.249477
2 0.249523
2 0.249644
1 0.249731
2 0.249917
2 0.249932
1 0.250053
2 0.250777
1 0.250903
1 0.250983
1 0.251357
2 0.251408
2 0.251808
2 0.253635
2 0.254401
1 0.254498
1 0.254743
1 0.255025
1 0.255035
1 0.256103
1 0.256160
1 0.256392
1 0.256954
1 0.257174
1 0.257934
1 0.258030
1 0.259034
1 0.259190
1 0.259280
1 0.259448
1 0.259563
1 0.260984
1 0.261285
1 0.261587
1 0.263208
1 0.263665
1 0.263746
1 0.264112
1 0.264375
1 0.264811
1 0.265208
1 0.265263
2 0.265704
1 0.266041
2 0.266196
2 0.266240
1 0.266555
2 0.266819
2 0.267956
1 0.268709
2 0.268830
2 0.268896
2 0.269286
1 0.270214
1 0.270363
1 0.271000
2 0.271321
1 0.272033
1 0.272346
2 0.272628
2 0.273516
1 0.273653
1 0.274003
1 0.274526
2 0.274878
2 0.275326
2 0.275358
1 0.276424
2 0.276626
2 0.276975
2 0.277920
2 0.278865
1 0.280364
2 0.280757
1 0.281086
1 0.281138
1 0.281919
1 0.282286
1 0.282870
1 0.282999
1 0.283483
1 0.284138
2 0.284252
1 0.285491
1 0.286086
1 0.286225
1 0.286748
1 0.286915
1 0.287582
1 0.288060
2 0.288297
1 0.288445
1 0.288739
1 0.289341
1 0.290279
1 0.290650
1 0.290973
1 0.291711
1 0.292046
2 0.292840
2 0.294653
1 0.294785
1 0.295036
1 0.295535
2 0.296427
1 0.296603
2 0.296642
2 0.297746
1 0.297779
2 0.297810
2 0.298083
1 0.298982
2 0.299249
1 0.299414
1 0.299583
1 0.300747
1 0.301812
1 0.302176
1 0.303433
1 0.304119
1 0.304337
1 0.304660
1 0.304967
1 0.305583
1 0.306573
1 0.309004
1 0.309070
1 0.309747
1 0.309850
1 0.310018
1 0.310174
1 0.312687
1 0.315473
1 0.316083
1 0.316944
2 0.317797
1 0.318696
1 0.318926
1 0.319090
1 0.319751
1 0.322420
1 0.322730
1 0.322881
1 0.322946
1 0.323946
1 0.324218
1 0.324444
1 0.326129
1 0.326549
1 0.326738
1 0.326915
1 0.327402
1 0.327565
1 0.327851
1 0.329506
1 0.330254
1 0.330712
1 0.331618
1 0.331734
1 0.332596
1 0.333665
1 0.334051
1 0.334262
1 0.336212
1 0.336942
1 0.337283
1 0.337562
1 0.337899
1 0.338057
1 0.338115
1 0.338611
1 0.338968
1 0.339047
1 0.339351
1 0.340272
1 0.341026
1 0.341833
1 0.342929
1 0.343175
1 0.343372
1 0.343773
1 0.343936
1 0.344119
1 0.347474
1 0.348230
1 0.349994
1 0.351550
1 0.352065
1 0.352969
1 0.353382
1 0.353896
1 0.354038
1 0.354264
1 0.357161
1 0.357560
1 0.358822
1 0.359024
1 0.359405
1 0.359721
1 0.360079
1 0.362623
1 0.362777
1 0.363597
1 0.363851
1 0.364168
1 0.365136
1 0.365544
1 0.366239
1 0.366441
1 0.367054
1 0.367937
1 0.369764
1 0.371806
1 0.372039
1 0.372716
1 0.372799
1 0.372909
1 0.373149
1 0.373846
1 0.374052
1 0.374334
1 0.374384
1 0.374528
1 0.374546
1 0.374665
1 0.375461
1 0.375616
1 0.375700
1 0.376091
1 0.376110
1 0.376258
1 0.376842
1 0.377866
1 0.378225
1 0.378381
1 0.378714
1 0.379159
1 0.379600
1 0.379913
1 0.379998
1 0.380043
1 0.380134
1 0.380976
1 0.381380
1 0.381835
1 0.382011
1 0.382317
1 0.382602
1 0.383289
1 0.383614
1 0.383916
1 0.384079
1 0.384777
1 0.385152
1 0.385755
1 0.385864
1 0.386181
1 0.386379
1 0.386894
1 0.387462
1 0.389331
1 0.391019
1 0.392203
1 0.392458
1 0.392703
1 0.393287
1 0.393466
1 0.394669
1 0.395133
1 0.395380
1 0.396602
1 0.397957
1 0.398055
1 0.398599
1 0.399711
1 0.402330
1 0.402497
1 0.404035
1 0.405254
1 0.405520
1 0.406561
1 0.406876
1 0.406952
1 0.407415
1 0.407788
1 0.408175
1 0.408658
1 0.409895
1 0.410290
1 0.411390
1 0.414533
1 0.414691
1 0.414794
1 0.416868
1 0.419876
1 0.420006
1 0.420108
1 0.420720
1 0.421325
1 0.421563
1 0.421846
1 0.422187
1 0.423150
1 0.424224
1 0.424425
1 0.424793
1 0.426019
1 0.428554
1 0.429449
1 0.429600
1 0.429714
1 0.429892
1 0.430881
1 0.431964
1 0.432108
1 0.434329
1 0.435092
1 0.435535
1 0.436244
1 0.437344
1 0.438662
1 0.438688
1 0.439167
1 0.441127
1 0.442270
1 0.442970
1 0.444101
1 0.445059
1 0.446129
1 0.447519
1 0.448171
1 0.449940
1 0.451137
1 0.451816
1 0.451909
1 0.452222
1 0.454860
1 0.454912
1 0.455579
1 0.456126
1 0.458572
1 0.459239
1 0.459381
1 0.460037
1 0.463699
1 0.464639
1 0.464891
1 0.465562
1 0.468310
1 0.468533
1 0.469142
1 0.471080
1 0.473265
1 0.473484
1 0.475917
1 0.481687
1 0.484591
1 0.487051
1 0.489697
1 0.490442
1 0.490926
1 0.492244
1 0.493981
1 0.497029
1 0.498174
1 0.499413
1 0.501263
1 0.501635
1 0.502758
1 0.502956
1 0.504176
1 0.504215
1 0.504872
1 0.505874
1 0.506405
1 0.507438
1 0.507774
1 0.509525
1 0.510849
1 0.512516
1 0.512869
1 0.513532
1 0.513798
1 0.514419
1 0.514867
1 0.515250
1 0.515464
1 0.515658
1 0.516144
1 0.517247
1 0.519647
1 0.520132
1 0.520357
1 0.521488
1 0.522500
1 0.524384
1 0.525313
1 0.525853
1 0.526794
1 0.526830
1 0.528229
1 0.528555
1 0.529263
1 0.530634
1 0.531075
1 0.531681
1 0.533441
1 0.533618
1 0.533741
1 0.536326
1 0.537934
1 0.538738
1 0.540254
1 0.540289
1 0.542037
1 0.542910
1 0.544072
1 0.545423
1 0.545634
1 0.545765
1 0.547670
1 0.548092
1 0.548182
1 0.548584
1 0.548616
