Symbol: Pd
Atomic Number: 46
Atomic Mass: 106.420000
Start Spectral Index: 3
1 76
2 49
3 75
End Spectral Index:
Order of Magnitude: 0.000001
Start Spectral Lines:
3 0.068874
3 0.068946
3 0.068954
3 0.069591
3 0.070549
3 0.070780
3 0.070989
3 0.071790
3 0.071947
3 0.072772
3 0.073879
3 0.075685
3 0.075741
3 0.076306
3 0.076642
3 0.077211
3 0.077651
3 0.078102
3 0.078499
3 0.078731
3 0.078795
3 0.078958
3 0.079408
3 0.079752
3 0.080003
3 0.080010
3 0.080367
3 0.082535
3 0.084058
3 0.085647
3 0.086404
3 0.088059
3 0.088884
3 0.088929
3 0.094778
3 0.096552
3 0.150540
3 0.151718
3 0.152688
3 0.154263
3 0.154595
3 0.159689
3 0.160610
3 0.163084
3 0.167973
3 0.170433
3 0.170640
3 0.171986
3 0.174162
3 0.175819
3 0.178255
3 0.180491
3 0.184349
3 0.185159
3 0.185227
3 0.185921
3 0.187463
3 0.188583
3 0.188740
3 0.189134
3 0.191462
3 0.193033
3 0.194164
3 0.195156
3 0.197229
3 0.197753
3 0.200281
3 0.200512
3 0.205577
3 0.215050
2 0.216295
3 0.217823
3 0.217831
2 0.218303
2 0.221284
2 0.223228
3 0.229216
2 0.229724
2 0.235204
2 0.236303
2 0.236864
2 0.237288
2 0.238902
2 0.241546
2 0.241945
2 0.242523
2 0.242761
2 0.243168
2 0.243385
2 0.243606
2 0.244691
2 0.244746
1 0.244865
2 0.244889
3 0.245316
2 0.245803
2 0.245850
2 0.247004
2 0.247081
2 0.247193
2 0.247330
1 0.247717
2 0.248727
2 0.248967
2 0.249036
2 0.249956
2 0.250648
2 0.251523
2 0.253533
2 0.254020
2 0.255261
2 0.256628
2 0.257033
2 0.259402
2 0.262902
3 0.263401
2 0.263671
2 0.265954
1 0.276391
2 0.277767
2 0.278874
2 0.280147
2 0.280842
2 0.285543
2 0.287221
2 0.287885
1 0.292335
2 0.298150
1 0.300353
1 0.301066
1 0.302879
1 0.306620
1 0.311494
1 0.314372
1 0.324364
1 0.325258
1 0.325972
1 0.328820
1 0.330308
1 0.337397
1 0.340556
1 0.342222
1 0.343443
1 0.344239
1 0.346176
1 0.348215
1 0.349077
1 0.351795
1 0.355410
1 0.357218
1 0.361058
1 0.363574
1 0.369139
1 0.371997
1 0.380027
1 0.383338
1 0.389530
1 0.395976
1 0.408849
1 0.417102
1 0.421414
1 0.447485
1 0.478952
1 0.481886
1 0.487679
1 0.511223
1 0.511845
1 0.516528
1 0.523632
1 0.529710
1 0.531405
1 0.534659
1 0.539674
1 0.554434
1 0.554856
1 0.562100
1 0.564426
1 0.565699
1 0.567164
1 0.569172
1 0.569667
1 0.573820
1 0.677641
1 0.678639
1 0.683531
1 0.701837
1 0.731207
1 0.737015
1 0.739396
1 0.748896
1 0.776617
1 0.778881
1 0.791798
1 0.796327
1 0.813506
1 0.830311
1 0.835588
1 0.853508
1 0.860146
1 0.876376
End Spectral Lines:
