Symbol: Ag
Atomic Number: 47
Atomic Mass: 107.868000
Start Spectral Index: 3
1 96
2 84
3 140
End Spectral Index:
Order of Magnitude: 0.000001
Start Spectral Lines:
3 0.070980
3 0.071385
3 0.071773
3 0.071853
3 0.072696
3 0.073004
3 0.073028
2 0.073083
3 0.073094
3 0.073657
3 0.073813
3 0.074098
3 0.074229
3 0.074830
2 0.075280
3 0.075573
3 0.075827
3 0.076719
3 0.076833
3 0.076961
3 0.077638
3 0.078291
3 0.078576
3 0.078908
3 0.079235
3 0.079654
3 0.079791
3 0.079941
3 0.080888
3 0.081612
3 0.082239
3 0.083811
2 0.100532
2 0.106549
2 0.107223
2 0.107422
2 0.110703
2 0.111246
2 0.119583
2 0.122333
2 0.124080
2 0.124687
2 0.125681
2 0.125755
2 0.126663
2 0.127367
2 0.129751
2 0.131120
2 0.131381
2 0.131461
2 0.132384
2 0.134209
2 0.134257
2 0.134662
2 0.135354
2 0.136450
3 0.137322
3 0.137476
2 0.139600
3 0.140493
2 0.141093
3 0.141390
3 0.141429
2 0.141972
3 0.142861
2 0.143260
3 0.145274
3 0.145641
2 0.146472
2 0.146623
3 0.147144
3 0.148901
1 0.150737
3 0.151508
1 0.151563
3 0.152423
3 0.152704
3 0.154114
1 0.154858
3 0.155089
3 0.155304
2 0.155516
3 0.158741
3 0.158928
3 0.161379
3 0.161914
3 0.163446
2 0.164450
1 0.165152
1 0.165210
3 0.165224
3 0.165360
3 0.165443
3 0.165618
3 0.165710
3 0.166154
3 0.167075
3 0.167614
3 0.168107
2 0.168282
3 0.169351
3 0.170506
1 0.170811
3 0.170886
1 0.170927
3 0.171768
3 0.172227
3 0.172676
3 0.172814
2 0.173644
3 0.174734
3 0.174964
3 0.175089
3 0.175103
3 0.176057
3 0.176262
1 0.176614
3 0.176870
3 0.177181
3 0.178385
2 0.179037
3 0.179170
3 0.179269
3 0.179390
3 0.180224
3 0.180226
3 0.180277
3 0.180823
3 0.181683
3 0.182245
3 0.182883
3 0.183233
3 0.183250
3 0.183431
3 0.183610
3 0.183864
3 0.184014
3 0.184696
1 0.184771
3 0.184993
3 0.185633
3 0.185891
3 0.186039
3 0.186064
3 0.186712
3 0.186810
3 0.187255
3 0.187345
3 0.188036
3 0.188957
3 0.191692
3 0.191708
3 0.192530
3 0.194632
3 0.194844
3 0.195762
3 0.195927
3 0.196086
3 0.196689
2 0.196738
3 0.197592
3 0.197703
3 0.198187
3 0.198702
3 0.199516
3 0.200089
3 0.200795
3 0.201214
3 0.201430
2 0.201661
2 0.203463
3 0.204199
3 0.205383
3 0.205449
3 0.205765
1 0.206183
1 0.207051
3 0.208170
2 0.211449
2 0.214628
3 0.214715
3 0.214987
3 0.216257
3 0.216689
1 0.217068
2 0.218744
3 0.221192
2 0.223022
3 0.223910
2 0.224713
3 0.224721
2 0.224944
2 0.228073
3 0.228721
1 0.231027
3 0.231075
1 0.231331
2 0.231776
2 0.232100
2 0.232539
2 0.233212
2 0.235864
1 0.237575
3 0.238758
3 0.239642
2 0.241214
2 0.241396
2 0.243855
2 0.244867
3 0.247037
2 0.247459
2 0.250739
3 0.256364
1 0.257640
2 0.266128
1 0.272258
2 0.276836
1 0.282522
1 0.292763
1 0.293928
1 0.310000
1 0.313093
1 0.317150
2 0.318162
1 0.321660
1 0.322608
1 0.323411
2 0.326829
1 0.328163
1 0.330662
1 0.338386
1 0.340476
1 0.347015
2 0.347682
2 0.349628
1 0.350292
1 0.350903
1 0.351438
1 0.352213
1 0.354362
1 0.354817
1 0.355803
1 0.358769
1 0.362452
1 0.362571
2 0.368351
1 0.368355
2 0.368439
1 0.371026
1 0.372848
1 0.375421
1 0.381202
1 0.381286
1 0.384183
1 0.384894
1 0.390852
2 0.391042
1 0.391551
2 0.392121
1 0.392912
1 0.394155
1 0.394409
2 0.395055
1 0.398271
2 0.398632
1 0.399328
1 0.405663
1 0.408458
2 0.408706
2 0.418666
1 0.421215
1 0.421401
1 0.431228
1 0.439746
1 0.447730
1 0.455730
1 0.461698
2 0.462133
2 0.462175
1 0.466979
1 0.467891
2 0.478974
1 0.479750
1 0.484917
1 0.487546
1 0.488958
1 0.491890
1 0.493713
1 0.499428
2 0.502875
1 0.512493
1 0.521053
1 0.533510
1 0.546702
1 0.547307
1 0.547690
1 0.554721
1 0.556112
1 0.566891
1 0.608546
1 0.627023
1 0.662291
1 0.736199
1 0.768990
2 0.800760
2 0.825700
1 0.827579
2 0.832670
2 0.838180
2 0.840610
2 0.849480
1 0.864807
1 0.870724
2 0.875000
2 0.900340
1 1.255440
1 1.682410
1 1.742150
1 1.831290
1 1.838730
End Spectral Lines:
