Symbol: Cd
Atomic Number: 48
Atomic Mass: 112.411000
Start Spectral Index: 4
1 67
2 87
3 95
4 102
End Spectral Index:
Order of Magnitude: 0.000001
Start Spectral Lines:
4 0.042701
4 0.043788
4 0.044785
4 0.048090
4 0.048949
4 0.049300
4 0.049513
4 0.049814
4 0.049853
4 0.050409
4 0.050420
4 0.050450
4 0.050631
4 0.050801
4 0.050895
4 0.050955
4 0.050981
4 0.051140
4 0.051300
4 0.051450
4 0.051942
4 0.052097
4 0.052441
4 0.052447
4 0.052477
4 0.052510
4 0.052519
4 0.052707
4 0.053079
4 0.053109
4 0.053151
4 0.053429
4 0.053677
4 0.053724
4 0.054090
4 0.054174
4 0.054260
4 0.054655
4 0.054801
4 0.054833
4 0.054890
4 0.055127
4 0.055290
4 0.055306
4 0.055405
4 0.056026
4 0.056416
4 0.056701
3 0.067739
3 0.068458
3 0.072070
4 0.106223
4 0.111816
4 0.112600
4 0.113408
4 0.113904
4 0.115464
4 0.115573
4 0.116465
4 0.116578
4 0.116730
4 0.117973
4 0.118307
4 0.118340
4 0.119413
4 0.119563
4 0.119647
4 0.119893
4 0.121538
4 0.122352
4 0.124606
4 0.124656
4 0.124994
2 0.125600
4 0.126647
4 0.127441
4 0.128563
4 0.128758
2 0.129643
4 0.129946
4 0.130436
4 0.130607
4 0.131689
4 0.132185
4 0.132555
2 0.132650
4 0.134097
4 0.134615
4 0.135478
4 0.135811
4 0.136255
4 0.137048
2 0.137091
4 0.138098
3 0.138360
3 0.139210
3 0.139678
4 0.139765
4 0.140368
4 0.140658
3 0.141628
4 0.141889
3 0.142029
3 0.142054
4 0.142983
3 0.143286
3 0.144608
4 0.144754
3 0.144755
4 0.145263
3 0.145574
4 0.146597
3 0.146614
4 0.146667
3 0.147197
4 0.148295
4 0.149179
3 0.149181
3 0.151101
3 0.151165
3 0.151313
2 0.151426
3 0.152355
3 0.152840
3 0.152930
3 0.153210
3 0.154517
3 0.154757
3 0.155007
3 0.155045
3 0.155089
3 0.155218
3 0.155648
3 0.156066
3 0.156603
3 0.156898
4 0.157020
2 0.157158
3 0.158239
4 0.159873
4 0.160042
3 0.160159
3 0.160487
3 0.160664
3 0.160728
3 0.160891
3 0.160961
3 0.161251
4 0.162287
3 0.162527
3 0.162854
3 0.165187
3 0.165563
2 0.166860
3 0.167815
3 0.169970
2 0.170247
3 0.170716
3 0.172193
3 0.172295
2 0.172441
3 0.172566
3 0.173900
3 0.174569
3 0.174767
3 0.174815
3 0.176882
3 0.177306
2 0.178584
3 0.178919
3 0.179340
3 0.179610
3 0.180057
3 0.182341
2 0.182770
3 0.184466
3 0.185113
3 0.185137
3 0.185585
3 0.185667
3 0.187408
3 0.188649
3 0.190348
3 0.190998
3 0.191057
2 0.192223
3 0.193959
2 0.194354
2 0.196554
2 0.198689
3 0.198881
2 0.199543
3 0.200125
3 0.200472
2 0.200814
3 0.201677
2 0.203310
2 0.203688
3 0.204049
3 0.204627
3 0.206191
3 0.208857
2 0.209667
3 0.209812
3 0.210114
3 0.211227
2 0.214509
2 0.215574
2 0.218847
3 0.218881
2 0.219525
3 0.221912
3 0.222512
2 0.226572
1 0.228873
2 0.231348
2 0.232178
2 0.237755
3 0.241897
2 0.241942
3 0.242710
2 0.247048
2 0.248868
1 0.249175
2 0.249633
3 0.250056
1 0.250967
2 0.250987
2 0.251698
1 0.251935
1 0.252596
1 0.254538
2 0.255275
1 0.255423
1 0.256656
2 0.257370
1 0.258088
1 0.258564
1 0.259280
1 0.260283
3 0.261959
1 0.262976
3 0.263134
1 0.263297
1 0.264021
2 0.266002
1 0.266112
2 0.266899
2 0.267341
1 0.267834
1 0.267854
2 0.270780
1 0.271331
1 0.273463
2 0.274935
1 0.276471
1 0.276505
3 0.276781
1 0.277578
3 0.280642
2 0.282402
1 0.283773
2 0.285730
1 0.286902
1 0.288161
1 0.288207
2 0.291552
2 0.292873
2 0.293013
1 0.298149
1 0.298223
1 0.298272
2 0.303148
3 0.303660
1 0.308172
2 0.308238
1 0.308349
2 0.309324
1 0.313408
2 0.314770
2 0.325127
1 0.325346
1 0.326200
2 0.334417
2 0.338646
2 0.338985
1 0.340463
2 0.341847
2 0.344341
2 0.346542
1 0.346719
1 0.346865
2 0.348408
2 0.349644
1 0.350095
2 0.352512
2 0.353670
1 0.361154
1 0.361390
1 0.361548
1 0.365060
1 0.398305
2 0.403026
2 0.413594
1 0.414170
2 0.414266
2 0.428629
1 0.430788
2 0.441365
1 0.441423
2 0.441687
2 0.444170
1 0.466366
1 0.467946
2 0.474602
1 0.480125
2 0.488308
2 0.502690
1 0.508724
1 0.515610
2 0.526948
2 0.527307
2 0.533896
2 0.537963
2 0.538339
2 0.584492
2 0.588185
1 0.610083
1 0.611318
1 0.632692
1 0.633176
2 0.635648
2 0.636174
1 0.644025
2 0.646673
2 0.656946
2 0.672764
2 0.676106
1 0.677999
2 0.723900
2 0.728639
1 0.734769
2 0.806921
1 0.820256
1 0.929200
1 1.165500
1 1.449100
1 1.571200
1 1.912500
1 2.437800
1 2.545500
End Spectral Lines:
