Symbol: In
Atomic Number: 49
Atomic Mass: 114.818000
Start Spectral Index: 5
1 91
2 175
3 55
4 42
5 38
End Spectral Index:
Order of Magnitude: 0.000001
Start Spectral Lines:
5 0.036867
5 0.037010
5 0.037282
5 0.037294
5 0.037495
5 0.037584
5 0.037607
5 0.037679
5 0.037861
5 0.037924
5 0.038027
5 0.038156
5 0.038214
5 0.038276
5 0.038305
5 0.038621
5 0.038670
5 0.038866
5 0.038891
5 0.039003
5 0.039092
5 0.039229
5 0.039246
5 0.039360
5 0.039389
5 0.039574
5 0.039773
5 0.039979
5 0.040005
5 0.040057
5 0.040239
5 0.040533
5 0.040728
5 0.040736
5 0.040795
5 0.041743
5 0.041845
5 0.042316
4 0.047271
4 0.047939
4 0.049862
3 0.068531
3 0.069162
3 0.078217
3 0.088224
3 0.089084
3 0.091587
3 0.091745
3 0.092683
4 0.094574
4 0.095467
4 0.097350
4 0.099160
4 0.102468
4 0.102479
4 0.103145
4 0.103198
4 0.105443
4 0.106303
4 0.106825
4 0.106982
4 0.107764
4 0.108210
4 0.108633
4 0.109681
4 0.109718
4 0.111610
4 0.112406
4 0.113146
4 0.114443
4 0.114541
4 0.114662
4 0.115411
4 0.115460
4 0.115771
4 0.115782
4 0.115978
4 0.117650
4 0.119158
4 0.120487
4 0.120655
4 0.122150
4 0.122190
4 0.123358
4 0.123584
4 0.137320
4 0.139877
3 0.140308
4 0.141209
3 0.143485
3 0.148770
3 0.149414
3 0.152478
3 0.153021
3 0.153295
3 0.162542
3 0.164228
1 0.164800
1 0.167616
3 0.170253
1 0.171154
1 0.174123
3 0.174883
1 0.175849
3 0.176788
3 0.181071
3 0.184241
3 0.185030
3 0.186298
2 0.210456
3 0.215476
3 0.215510
2 0.216756
1 0.218058
1 0.218308
1 0.218808
1 0.219153
2 0.219636
1 0.219810
3 0.220021
1 0.220293
2 0.220597
1 0.221183
1 0.223139
3 0.223287
1 0.224236
2 0.225649
1 0.226069
3 0.226196
3 0.226696
3 0.227311
3 0.227354
1 0.227890
2 0.228234
1 0.228445
1 0.229904
1 0.229941
3 0.230161
1 0.230320
2 0.230676
1 0.230757
1 0.231003
1 0.231046
2 0.231392
1 0.231580
2 0.232411
1 0.232512
1 0.232563
2 0.232866
1 0.233348
2 0.233529
1 0.234091
1 0.234662
1 0.234728
2 0.235147
1 0.235942
1 0.237887
1 0.237973
2 0.238336
1 0.239027
2 0.239391
1 0.239991
2 0.240720
2 0.240949
2 0.241980
2 0.241994
2 0.242794
1 0.243060
1 0.243173
2 0.243347
2 0.244337
2 0.244864
2 0.245397
1 0.246082
1 0.246877
2 0.248690
2 0.248937
2 0.248970
2 0.249934
2 0.250035
2 0.250174
2 0.250892
2 0.251307
1 0.252213
1 0.252374
3 0.252817
2 0.255433
2 0.255521
1 0.256092
2 0.256590
2 0.259953
1 0.260254
2 0.260482
2 0.265549
2 0.266342
2 0.266944
2 0.267535
2 0.268392
1 0.271106
1 0.271474
3 0.272633
3 0.272696
2 0.275056
1 0.275469
1 0.277619
2 0.279959
2 0.281980
1 0.283775
1 0.285898
2 0.286652
2 0.289103
1 0.293349
2 0.294191
1 0.295787
2 0.296704
3 0.298367
2 0.300027
3 0.300896
3 0.300970
1 0.304024
1 0.305204
2 0.310070
2 0.310270
2 0.313951
2 0.314366
2 0.314761
2 0.315668
2 0.315931
2 0.317722
2 0.319903
1 0.325703
1 0.325950
3 0.329450
2 0.333946
3 0.335187
2 0.337756
2 0.340526
2 0.343939
3 0.356334
2 0.369496
2 0.370919
2 0.371720
2 0.371936
2 0.371978
2 0.372446
2 0.379629
2 0.380029
2 0.383574
2 0.384327
3 0.385391
2 0.389088
2 0.390318
2 0.392323
2 0.393551
2 0.396347
2 0.400579
2 0.401505
3 0.402491
3 0.403346
2 0.405809
3 0.406345
3 0.407272
3 0.407408
1 0.410292
2 0.420632
2 0.421423
2 0.422085
3 0.425388
2 0.437410
2 0.450204
3 0.451084
1 0.451258
2 0.455029
2 0.457213
2 0.457930
2 0.457968
2 0.461737
2 0.461846
2 0.462143
2 0.462199
2 0.462860
2 0.463834
2 0.463946
2 0.464588
2 0.465692
2 0.465804
2 0.468242
2 0.468610
1 0.487973
2 0.490843
2 0.492630
2 0.497516
2 0.511078
2 0.511657
2 0.511883
2 0.512223
2 0.512318
2 0.513128
2 0.517686
2 0.518588
3 0.525023
1 0.525578
1 0.526420
2 0.531093
2 0.541291
2 0.541996
2 0.543821
2 0.549903
2 0.550861
2 0.551453
2 0.552481
2 0.553804
2 0.555699
2 0.557845
2 0.563826
3 0.564672
2 0.571008
1 0.571149
2 0.572339
3 0.572476
1 0.572927
3 0.582111
2 0.585477
2 0.590500
2 0.591700
2 0.592042
2 0.606460
2 0.609764
2 0.611035
2 0.611760
2 0.613040
2 0.613110
2 0.613380
2 0.614170
2 0.614493
2 0.614980
2 0.615120
2 0.616286
2 0.616416
3 0.619943
2 0.622600
2 0.623000
2 0.623280
2 0.630650
2 0.636410
2 0.647080
2 0.654301
2 0.675374
2 0.676780
2 0.678559
1 0.684933
2 0.689340
1 0.690203
2 0.718490
2 0.725700
2 0.727850
2 0.730540
2 0.735260
2 0.763480
2 0.768500
2 0.774280
2 0.777910
2 0.779110
2 0.780890
2 0.781670
2 0.784310
1 0.805299
2 0.822930
1 0.824092
1 0.831721
2 0.843687
1 0.868133
1 0.868501
1 0.870264
2 0.881590
2 0.883500
1 0.889691
1 0.917260
2 0.920020
2 0.920450
2 0.921550
2 0.924360
1 0.935240
1 0.937284
1 0.943058
1 0.998060
1 1.025984
1 1.072036
1 1.074725
1 1.133782
1 1.173469
1 1.291612
1 1.343363
1 1.382826
1 1.432016
1 1.442314
1 1.467267
1 1.472310
1 1.650882
1 2.229714
1 2.388565
End Spectral Lines:
