Symbol: B
Atomic Number: 5
Atomic Mass: 10.811000
Start Spectral Index: 5
1 35
2 309
3 28
4 29
5 6
End Spectral Index:
Order of Magnitude: 0.000001
Start Spectral Lines:
5 0.004100
5 0.004859
4 0.005268
2 0.005738
2 0.005759
2 0.005801
2 0.005901
4 0.006031
2 0.006379
5 0.019437
5 0.026237
4 0.034401
4 0.034403
4 0.034404
4 0.038118
4 0.038494
4 0.038497
4 0.038498
4 0.038500
4 0.038502
4 0.038505
2 0.040509
2 0.040573
2 0.040670
2 0.040778
2 0.040898
2 0.041054
3 0.041180
2 0.041247
2 0.041481
2 0.041789
4 0.041868
2 0.042153
2 0.042706
2 0.043397
2 0.044477
2 0.046079
2 0.047350
2 0.047351
2 0.047353
2 0.047455
2 0.047456
2 0.047458
2 0.047602
2 0.047603
2 0.047605
2 0.047788
2 0.047789
2 0.047791
2 0.048033
2 0.048034
2 0.048036
2 0.048398
2 0.048399
2 0.048401
2 0.048749
2 0.048944
2 0.048945
2 0.048946
2 0.049778
2 0.049779
2 0.049781
2 0.049879
2 0.049880
2 0.049882
2 0.050730
3 0.051077
3 0.051085
2 0.051130
5 0.051253
2 0.051297
2 0.051298
2 0.051300
2 0.051494
2 0.051495
2 0.051497
2 0.051687
3 0.051824
3 0.051827
2 0.052560
2 0.053606
2 0.054426
2 0.054427
2 0.054429
2 0.054916
2 0.054917
2 0.054919
2 0.055016
2 0.058620
2 0.062095
2 0.062100
2 0.062100
2 0.062495
2 0.062500
2 0.062500
2 0.063095
2 0.063100
2 0.063100
2 0.063186
2 0.063186
2 0.063187
2 0.063435
2 0.063440
2 0.063440
2 0.063957
2 0.063958
2 0.063962
2 0.064153
2 0.064154
2 0.064157
2 0.064560
2 0.064560
2 0.064565
2 0.065062
2 0.065062
2 0.065063
2 0.065398
2 0.065399
2 0.065403
2 0.066302
2 0.066303
2 0.066307
3 0.067700
3 0.067714
3 0.067716
2 0.067894
2 0.067895
2 0.067899
2 0.068720
2 0.069395
2 0.069661
2 0.069663
2 0.069667
2 0.073136
2 0.073138
2 0.073146
2 0.074460
2 0.074460
2 0.074465
5 0.074974
3 0.075848
3 0.075867
2 0.077080
2 0.077519
2 0.077528
2 0.080565
2 0.080568
2 0.080572
2 0.080916
2 0.083661
2 0.085282
2 0.085770
2 0.086407
2 0.086840
2 0.088252
2 0.088254
2 0.088268
2 0.089344
2 0.097329
2 0.097895
2 0.098461
2 0.098463
2 0.098470
2 0.104868
2 0.105778
2 0.108180
2 0.108187
2 0.108206
4 0.111220
4 0.116890
4 0.117090
2 0.118670
2 0.120836
2 0.120855
2 0.120856
2 0.120867
2 0.120883
2 0.120886
2 0.121071
2 0.123016
2 0.125939
2 0.129122
2 0.132392
2 0.136246
2 0.137819
1 0.137865
1 0.137887
1 0.137894
1 0.137917
2 0.155701
1 0.157330
1 0.157368
1 0.160046
1 0.160073
2 0.162360
2 0.162379
2 0.162395
2 0.162402
2 0.162418
2 0.162438
1 0.166304
1 0.166687
1 0.166729
2 0.169581
2 0.178659
1 0.181786
1 0.181837
1 0.182591
1 0.182641
2 0.184282
2 0.184828
2 0.189120
2 0.192667
2 0.192746
2 0.192782
2 0.193692
2 0.193705
2 0.193730
2 0.193746
2 0.193757
3 0.195383
2 0.199693
2 0.199693
2 0.199693
2 0.200652
2 0.200673
2 0.200688
2 0.201880
2 0.201880
2 0.201880
2 0.204050
2 0.204216
2 0.204216
2 0.204216
2 0.204365
3 0.206644
1 0.206704
1 0.206731
1 0.206759
1 0.206785
3 0.206789
3 0.207775
1 0.208957
2 0.208990
2 0.208990
2 0.208990
1 0.209021
1 0.209023
2 0.212453
2 0.212453
2 0.212522
2 0.212522
2 0.212563
2 0.212563
2 0.216152
2 0.216154
2 0.216161
2 0.222099
3 0.223478
3 0.223528
2 0.226351
2 0.226352
2 0.226361
2 0.226536
2 0.232374
2 0.232937
2 0.239394
2 0.239578
2 0.242600
2 0.246042
2 0.246044
2 0.246065
1 0.249752
1 0.249848
2 0.252002
2 0.252002
2 0.252002
4 0.252550
4 0.253110
2 0.267029
2 0.269161
2 0.270952
2 0.270954
2 0.270980
2 0.277308
2 0.277355
2 0.277479
2 0.279756
4 0.282246
4 0.282540
4 0.282669
2 0.291893
2 0.291893
2 0.291893
2 0.303314
2 0.303314
2 0.303314
2 0.303314
2 0.303314
2 0.305358
2 0.309713
2 0.318025
2 0.322300
2 0.322519
2 0.322620
2 0.330338
2 0.332411
2 0.332415
2 0.332455
2 0.345229
2 0.369311
2 0.369640
2 0.378953
2 0.394650
2 0.394719
2 0.394836
2 0.395149
2 0.399137
2 0.412309
2 0.412309
2 0.412309
2 0.412309
2 0.412309
2 0.412309
2 0.419597
3 0.424417
3 0.424479
3 0.424490
2 0.427393
2 0.429692
2 0.443252
2 0.443290
2 0.443343
2 0.447332
2 0.447338
2 0.447411
3 0.448819
3 0.448834
3 0.448844
4 0.449200
3 0.449899
2 0.461242
2 0.461242
2 0.471743
2 0.478554
2 0.478554
2 0.478554
2 0.478554
2 0.494175
2 0.512722
2 0.512722
2 0.512722
2 0.526458
2 0.526458
2 0.526458
2 0.534914
2 0.539469
2 0.601515
2 0.601515
2 0.608210
2 0.615062
2 0.615062
2 0.615062
2 0.628723
2 0.635097
2 0.635097
2 0.635097
2 0.635854
2 0.657302
2 0.671950
2 0.678800
2 0.703218
2 0.703390
2 0.703437
3 0.783741
3 0.784356
1 0.866957
1 0.867092
2 0.922897
2 0.922897
2 0.922897
2 0.944896
2 0.965392
2 0.965392
2 0.965392
2 0.965392
1 1.166323
1 1.166566
1 1.562899
1 1.563335
1 1.624481
1 1.624908
1 1.624951
1 1.899952
4 2.220000
4 2.229000
4 2.235000
4 2.236000
4 2.239000
4 2.245000
3 3.207710
3 3.215030
3 3.218050
4 8.150000
2 619.200012
1 655.559998
2 1637.000000
End Spectral Lines:
