Symbol: Sn
Atomic Number: 50
Atomic Mass: 118.710000
Start Spectral Index: 5
1 190
2 87
3 37
4 18
5 13
End Spectral Index:
Order of Magnitude: 0.000001
Start Spectral Lines:
5 0.035514
5 0.036101
5 0.037255
4 0.060523
4 0.061904
4 0.062873
3 0.075301
3 0.076062
3 0.077579
3 0.078468
2 0.089992
4 0.090822
3 0.091092
2 0.091740
2 0.093563
2 0.094583
2 0.095450
4 0.095625
2 0.098513
2 0.099721
3 0.101092
2 0.101626
4 0.101972
2 0.104078
2 0.104132
4 0.104449
3 0.104884
4 0.105837
4 0.105859
2 0.106210
4 0.107341
4 0.108750
5 0.108935
4 0.109692
4 0.110324
2 0.110819
4 0.111934
4 0.112068
5 0.113279
3 0.113929
3 0.115833
2 0.115905
5 0.116074
3 0.116109
2 0.116143
3 0.116158
2 0.116294
5 0.117626
2 0.118051
3 0.118062
3 0.118425
5 0.118992
3 0.118999
3 0.120406
5 0.120572
3 0.121052
3 0.121510
3 0.121814
2 0.121907
2 0.122370
3 0.123017
3 0.123138
2 0.124300
3 0.124363
5 0.125138
3 0.125992
3 0.127631
5 0.128381
2 0.129086
5 0.129436
5 0.130220
3 0.130597
4 0.131455
2 0.131659
3 0.132734
3 0.133470
3 0.134605
3 0.134765
3 0.136971
3 0.138674
2 0.140052
3 0.141061
4 0.143752
3 0.144977
2 0.147515
2 0.148922
4 0.153290
3 0.157036
3 0.167429
2 0.169947
1 0.173721
1 0.175146
1 0.175330
2 0.175800
1 0.176498
1 0.177340
1 0.179075
1 0.180460
2 0.181134
3 0.181171
1 0.181304
1 0.181574
1 0.181931
1 0.182300
2 0.183189
1 0.184875
1 0.185200
1 0.186032
1 0.186142
1 0.186552
1 0.186596
1 0.187329
1 0.188264
1 0.188605
1 0.189140
1 0.189729
2 0.189991
1 0.190930
1 0.191161
1 0.191352
1 0.192531
1 0.192677
1 0.192795
1 0.192890
1 0.193317
3 0.194186
1 0.194269
1 0.195215
3 0.195552
1 0.196021
1 0.197146
1 0.197760
1 0.198420
1 0.199188
1 0.199498
1 0.200870
1 0.201641
1 0.202763
1 0.204132
1 0.204156
1 0.205469
1 0.205897
1 0.206466
1 0.206924
1 0.207355
1 0.207374
1 0.208128
1 0.209225
1 0.209502
1 0.209706
1 0.210160
1 0.211460
1 0.212193
1 0.214140
1 0.214210
1 0.214914
2 0.214931
1 0.214941
1 0.215211
2 0.215222
1 0.217200
1 0.219518
1 0.220003
1 0.221034
2 0.221036
1 0.221174
1 0.223241
1 0.224675
2 0.224677
1 0.225187
1 0.226789
1 0.226961
1 0.228296
1 0.228739
1 0.231794
1 0.233552
1 0.235556
1 0.235862
2 0.236106
2 0.236905
1 0.238145
2 0.238527
1 0.240888
1 0.242244
1 0.243023
1 0.243420
2 0.243426
2 0.244972
1 0.245598
1 0.247715
1 0.248414
2 0.248423
2 0.248774
1 0.249260
1 0.249645
2 0.252337
1 0.252468
1 0.253193
1 0.254731
1 0.255878
1 0.257235
1 0.259520
1 0.263773
1 0.266203
2 0.266572
1 0.270731
2 0.272863
1 0.276260
1 0.278063
1 0.278585
1 0.278878
1 0.281342
1 0.281441
2 0.282635
1 0.284083
2 0.284726
1 0.285146
1 0.286416
2 0.291365
1 0.291439
2 0.292067
2 0.299187
2 0.299531
1 0.301002
2 0.301306
2 0.302482
1 0.303368
1 0.303500
2 0.304839
2 0.309559
1 0.314275
1 0.317597
1 0.321964
1 0.322450
1 0.326328
2 0.328416
1 0.333158
2 0.335293
2 0.340846
2 0.347345
2 0.353858
2 0.357647
2 0.358341
2 0.362111
2 0.362157
1 0.365682
2 0.371629
1 0.380210
2 0.384253
2 0.429586
1 0.452601
2 0.458041
2 0.458157
2 0.487858
2 0.494569
1 0.498112
2 0.507255
2 0.507408
1 0.517598
2 0.533384
2 0.556349
2 0.559047
2 0.559775
1 0.563327
1 0.575519
2 0.579881
2 0.580079
1 0.592708
1 0.597195
1 0.603937
1 0.607068
1 0.607514
2 0.607916
2 0.608138
1 0.615141
1 0.615630
1 0.617321
1 0.631253
1 0.635611
2 0.645528
2 0.676332
2 0.684594
2 0.719338
2 0.738983
1 0.740060
2 0.741066
1 0.768742
2 0.774393
1 0.775710
2 0.790617
1 0.803270
1 0.804150
1 0.811632
1 0.812320
1 0.835164
1 0.835934
1 0.842503
1 0.855495
1 0.868410
1 0.902143
1 0.941344
1 0.941795
1 0.961904
1 0.974380
1 0.974550
1 0.980807
1 0.985322
1 1.045934
1 1.081054
1 1.089698
1 1.119491
1 1.128075
1 1.134007
1 1.145773
1 1.161944
1 1.167396
1 1.169765
1 1.174299
1 1.182842
1 1.183906
1 1.193626
1 1.201279
1 1.231661
1 1.233900
1 1.253430
1 1.253990
1 1.279170
1 1.289200
1 1.298530
1 1.300390
1 1.302210
1 1.308510
1 1.346390
1 1.361190
1 1.502230
1 1.546840
1 1.700510
1 1.781240
1 2.062780
1 2.086740
1 2.169210
1 2.213770
1 2.300350
1 2.433380
1 2.474500
End Spectral Lines:
