Symbol: Sb
Atomic Number: 51
Atomic Mass: 121.757000
Start Spectral Index: 5
1 133
2 92
3 61
4 14
5 8
End Spectral Index:
Order of Magnitude: 0.000001
Start Spectral Lines:
3 0.069118
2 0.069120
3 0.069869
5 0.069922
3 0.072286
3 0.072481
3 0.073233
5 0.074606
2 0.076443
2 0.081485
5 0.083100
2 0.084939
2 0.085508
4 0.086150
4 0.087350
2 0.087684
4 0.088830
4 0.089120
5 0.089802
2 0.092107
2 0.098357
3 0.099962
2 0.100113
2 0.100943
3 0.101194
2 0.105221
2 0.105627
3 0.105658
2 0.105732
3 0.106590
3 0.106993
3 0.107043
3 0.107376
2 0.107381
3 0.107582
3 0.107810
3 0.108406
4 0.108760
3 0.109834
4 0.109930
5 0.110432
4 0.111510
4 0.112040
3 0.113543
4 0.114590
3 0.115149
4 0.115150
3 0.115774
3 0.116696
4 0.117140
4 0.119290
4 0.119910
3 0.120520
3 0.121064
5 0.122600
2 0.123030
2 0.127498
3 0.130669
2 0.132740
2 0.135804
3 0.137958
2 0.138470
3 0.140418
2 0.140783
3 0.142957
1 0.143076
2 0.143649
1 0.146419
1 0.148657
1 0.149136
4 0.149920
5 0.150570
1 0.151257
5 0.152447
1 0.153274
1 0.153506
2 0.156551
2 0.157611
2 0.158136
1 0.159996
2 0.160698
1 0.161280
1 0.162330
1 0.165120
2 0.165704
1 0.166260
3 0.167389
1 0.169885
3 0.171023
3 0.171184
1 0.171693
1 0.171745
1 0.172343
3 0.172533
1 0.173619
2 0.173643
1 0.175779
3 0.176230
1 0.176576
1 0.178087
1 0.178824
1 0.180018
1 0.181050
1 0.181420
1 0.182950
3 0.183932
1 0.185889
1 0.186817
1 0.187115
1 0.188256
1 0.189128
1 0.189939
1 0.192708
3 0.194613
1 0.195039
1 0.196430
1 0.198605
2 0.199060
1 0.202465
1 0.203014
1 0.204043
1 0.205023
3 0.205476
1 0.206409
1 0.206899
1 0.208022
3 0.209252
1 0.209908
1 0.211915
3 0.212767
1 0.212806
1 0.213772
1 0.214036
2 0.214247
1 0.214250
1 0.214554
1 0.215959
1 0.217649
1 0.217987
2 0.217993
1 0.220201
1 0.220914
2 0.220919
1 0.222142
1 0.222267
1 0.222562
2 0.222584
1 0.226321
1 0.228969
1 0.229415
1 0.230717
1 0.231218
1 0.231660
1 0.237439
1 0.238437
1 0.239595
1 0.242287
1 0.242709
1 0.244625
1 0.247907
1 0.248119
2 0.248121
3 0.250847
1 0.251130
1 0.252928
2 0.252930
2 0.256852
1 0.257483
3 0.259090
1 0.259883
1 0.259887
1 0.261309
3 0.261498
3 0.261795
3 0.261841
1 0.265339
2 0.265734
3 0.267018
1 0.267143
1 0.268356
1 0.269305
1 0.271971
1 0.277077
3 0.278669
3 0.279109
2 0.285193
1 0.285195
1 0.287876
2 0.296697
2 0.298183
1 0.303071
2 0.303489
2 0.304155
1 0.323345
2 0.324222
1 0.326845
3 0.333757
2 0.338406
1 0.338412
2 0.349946
3 0.350507
3 0.352007
2 0.352148
3 0.353446
3 0.356020
3 0.356727
2 0.363884
1 0.363887
2 0.372384
1 0.372385
3 0.373996
2 0.385131
1 0.403469
2 0.403470
2 0.413480
2 0.414171
2 0.419635
2 0.422026
3 0.426629
2 0.431553
2 0.434605
3 0.435338
2 0.441266
2 0.444773
2 0.450818
2 0.451577
3 0.459318
2 0.459819
2 0.460038
2 0.460606
2 0.464862
2 0.467705
3 0.469422
2 0.471258
2 0.473676
2 0.475914
2 0.476669
2 0.476824
2 0.478537
2 0.480335
2 0.483417
2 0.487860
2 0.494878
2 0.504597
2 0.516776
2 0.517799
2 0.524040
3 0.524917
2 0.535573
2 0.546560
1 0.549185
1 0.555764
2 0.556968
1 0.560375
1 0.563358
2 0.564132
3 0.569240
3 0.571890
1 0.583196
3 0.584710
2 0.589672
2 0.600687
2 0.605509
2 0.608148
2 0.613174
2 0.615664
3 0.624840
3 0.628930
2 0.630450
1 0.661332
2 0.664928
2 0.668986
2 0.680855
1 0.765039
1 0.784660
1 0.792683
1 0.797174
1 0.841400
1 0.857500
1 0.862192
1 0.868510
1 0.913472
1 0.952129
1 0.986949
1 0.995187
1 1.008125
1 1.026382
1 1.036717
1 1.049120
1 1.058850
1 1.068034
1 1.074488
1 1.079707
1 1.084270
1 1.087156
1 1.088253
1 1.101581
1 1.108298
1 1.108802
1 1.110788
1 1.111156
1 1.119267
1 1.126931
1 1.186662
1 1.196100
1 1.211938
1 1.228000
1 1.247016
End Spectral Lines:
