Symbol: Te
Atomic Number: 52
Atomic Mass: 127.600000
Start Spectral Index: 2
1 133
2 205
End Spectral Index:
Order of Magnitude: 0.000001
Start Spectral Lines:
2 0.079960
2 0.080228
2 0.094262
2 0.100373
2 0.100780
2 0.101427
2 0.102279
2 0.105700
2 0.105951
2 0.106886
2 0.107766
2 0.109011
2 0.114404
2 0.115310
2 0.116142
2 0.117434
2 0.117579
2 0.120854
2 0.121300
2 0.122098
2 0.125362
2 0.127052
2 0.127476
2 0.130653
2 0.132492
2 0.133642
2 0.134520
2 0.136324
2 0.136673
2 0.137480
2 0.139522
2 0.143952
2 0.146525
2 0.148956
2 0.160799
2 0.160841
2 0.161315
2 0.163891
1 0.165540
1 0.168850
1 0.170000
2 0.170158
1 0.170800
1 0.175100
1 0.175940
1 0.177500
1 0.179570
1 0.179630
1 0.182240
1 0.182550
1 0.185060
1 0.185210
1 0.185380
1 0.185720
1 0.186040
2 0.196288
1 0.199483
1 0.200080
1 0.200267
1 0.207160
1 0.208182
1 0.214349
1 0.214793
1 0.216053
1 0.220943
1 0.225619
1 0.225972
1 0.226622
2 0.237378
1 0.238399
1 0.238651
2 0.238855
2 0.240236
2 0.243721
2 0.243943
1 0.253148
2 0.256859
2 0.257573
2 0.257687
2 0.258001
2 0.259190
2 0.259363
2 0.260650
2 0.262270
2 0.262564
2 0.262874
2 0.264268
2 0.264927
2 0.265045
2 0.265849
2 0.266189
1 0.267793
2 0.271238
1 0.277047
2 0.284201
2 0.284699
2 0.285913
2 0.286184
2 0.286966
2 0.289626
2 0.292074
2 0.294297
2 0.294754
2 0.296816
2 0.297454
2 0.297677
2 0.299791
2 0.301290
2 0.301846
2 0.302419
2 0.304789
2 0.305335
2 0.306405
2 0.307445
2 0.310534
2 0.313349
2 0.316157
1 0.317606
2 0.319075
2 0.321214
2 0.325774
2 0.326971
2 0.328358
2 0.332288
2 0.332407
2 0.333018
2 0.335306
2 0.336376
2 0.337507
2 0.340777
2 0.342061
2 0.344324
2 0.345611
2 0.345787
2 0.348132
2 0.348467
2 0.348711
2 0.352212
2 0.355320
2 0.361281
2 0.361860
2 0.364550
2 0.368031
2 0.372672
2 0.379830
2 0.380200
2 0.390678
2 0.391965
2 0.393260
2 0.394910
2 0.397034
2 0.397706
2 0.398290
2 0.400765
2 0.401282
2 0.403087
2 0.404831
2 0.405002
2 0.407463
2 0.410220
2 0.412848
2 0.416472
2 0.417095
2 0.418047
2 0.421250
2 0.422692
2 0.424767
2 0.425235
2 0.426231
2 0.426556
2 0.427463
2 0.428706
2 0.432212
2 0.436251
2 0.436523
2 0.437835
2 0.438633
2 0.439723
2 0.447989
2 0.453834
2 0.455906
2 0.463192
2 0.464242
2 0.465567
2 0.468822
2 0.469769
2 0.470785
2 0.476738
2 0.477289
2 0.478621
2 0.482849
2 0.483263
2 0.484425
2 0.486648
2 0.486760
2 0.488658
2 0.490581
2 0.496326
2 0.500222
1 0.508440
1 0.515010
2 0.545135
2 0.548947
2 0.557790
2 0.565083
2 0.566777
2 0.570970
1 0.573510
2 0.575745
1 0.579070
2 0.593779
2 0.597634
1 0.627520
1 0.635150
2 0.636889
1 0.640770
1 0.645850
1 0.661520
2 0.665042
1 0.666200
1 0.669180
1 0.679190
1 0.683950
1 0.685660
2 0.701799
2 0.704107
1 0.719310
2 0.723861
1 0.726550
1 0.728290
2 0.729127
2 0.744744
2 0.746303
2 0.747081
2 0.748332
1 0.755890
2 0.769073
1 0.776120
2 0.782094
2 0.786377
2 0.792387
2 0.794532
2 0.795253
1 0.797510
2 0.805837
1 0.806360
1 0.808470
2 0.812467
2 0.813263
2 0.815671
2 0.818869
2 0.819319
1 0.825380
2 0.827580
1 0.827890
1 0.829340
1 0.835810
2 0.837442
1 0.847210
1 0.849450
1 0.850310
1 0.852370
2 0.853803
2 0.857814
2 0.860699
2 0.862405
1 0.863450
2 0.867533
1 0.870348
2 0.873621
1 0.876059
1 0.883395
1 0.885358
2 0.890036
1 0.900684
1 0.904587
1 0.919932
1 0.920931
1 0.921017
1 0.947160
1 0.972541
1 0.978822
1 0.984500
1 0.987163
1 0.990533
1 0.995903
1 0.996266
1 0.997987
1 0.998205
1 0.998859
1 1.005417
1 1.009378
1 1.010234
1 1.010882
1 1.012085
1 1.015384
1 1.030338
1 1.032588
1 1.049645
1 1.051274
1 1.092133
1 1.101081
1 1.109260
1 1.116680
1 1.149037
1 1.198224
1 1.256968
1 1.259263
1 1.280900
1 1.310776
1 1.325137
1 1.332027
1 1.404093
1 1.407638
1 1.433966
1 1.442140
1 1.451748
1 1.455866
1 1.545667
1 1.555048
1 1.640838
1 1.730827
1 1.829658
1 1.878243
1 1.962888
1 2.015304
1 2.104947
1 2.160840
1 2.180559
1 2.256145
1 2.276187
1 2.330130
1 2.398524
1 2.406561
1 2.643583
1 2.654641
1 2.656098
1 2.718667
End Spectral Lines:
