Symbol: I
Atomic Number: 53
Atomic Mass: 126.904000
Start Spectral Index: 5
1 172
2 125
3 76
4 47
5 4
End Spectral Index:
Order of Magnitude: 0.000001
Start Spectral Lines:
5 0.036378
5 0.038074
5 0.056553
4 0.060186
5 0.060757
4 0.061246
4 0.061517
4 0.065422
4 0.065456
2 0.065580
2 0.065900
2 0.066398
2 0.066452
2 0.066506
2 0.066570
3 0.066681
3 0.070511
2 0.071955
2 0.072298
3 0.078464
3 0.078480
3 0.079552
2 0.079816
2 0.083410
2 0.084780
3 0.086597
2 0.087349
2 0.087594
2 0.087984
2 0.088188
2 0.089100
2 0.089317
4 0.091928
3 0.092038
3 0.096117
2 0.100057
2 0.100335
2 0.101858
2 0.103466
2 0.105474
2 0.106634
2 0.107521
3 0.107858
3 0.109420
2 0.110500
2 0.111116
2 0.111722
2 0.112525
2 0.113150
2 0.113975
2 0.113980
2 0.115467
2 0.115987
2 0.116056
2 0.116648
2 0.116705
2 0.117584
2 0.117865
2 0.118734
2 0.119085
1 0.119529
2 0.119888
2 0.120022
1 0.121841
2 0.122089
1 0.122405
1 0.122408
1 0.122889
2 0.123406
3 0.124466
1 0.125134
3 0.125235
1 0.125915
1 0.125951
1 0.126127
1 0.126757
1 0.126760
1 0.127526
1 0.128940
1 0.130034
1 0.130298
3 0.130693
1 0.131395
1 0.131754
1 0.133019
2 0.133652
1 0.135510
1 0.135797
1 0.136097
1 0.136111
1 0.136771
1 0.136822
1 0.138323
1 0.139075
1 0.139290
1 0.140001
1 0.142549
1 0.144626
1 0.145318
1 0.145739
1 0.145747
1 0.145798
1 0.145879
1 0.145915
1 0.146583
1 0.148592
1 0.149289
1 0.150704
1 0.151468
1 0.151805
1 0.152645
1 0.159358
1 0.161760
1 0.164078
1 0.170207
1 0.178276
1 0.179909
1 0.183038
1 0.184445
1 0.206229
3 0.222512
3 0.223881
4 0.225000
3 0.225001
3 0.231009
4 0.234156
3 0.234157
3 0.235115
3 0.235418
4 0.236185
3 0.236846
4 0.236847
3 0.237217
4 0.237317
3 0.237317
4 0.237719
3 0.237720
4 0.238601
4 0.238784
3 0.238785
4 0.239273
3 0.239274
4 0.240378
3 0.240379
3 0.240436
2 0.240874
3 0.241558
4 0.241918
3 0.241922
3 0.241958
2 0.241992
4 0.242463
3 0.242465
4 0.242684
3 0.242686
4 0.243559
3 0.243562
3 0.246324
4 0.246743
3 0.246744
4 0.246771
3 0.246774
4 0.247610
3 0.247611
4 0.248626
4 0.248999
3 0.249002
4 0.249395
3 0.249396
3 0.249502
2 0.249549
3 0.249591
3 0.249682
4 0.250213
3 0.250216
4 0.251450
3 0.251758
4 0.252050
3 0.252051
3 0.252248
4 0.252248
4 0.253274
3 0.253275
2 0.253436
2 0.253503
4 0.253830
3 0.253832
4 0.254643
3 0.254647
2 0.256701
2 0.258356
2 0.259424
4 0.264156
3 0.264156
4 0.264290
3 0.264290
4 0.265302
3 0.265304
2 0.268978
2 0.273093
2 0.276597
2 0.280942
4 0.281928
3 0.281931
3 0.284027
3 0.286551
4 0.286552
2 0.287947
3 0.288600
4 0.291182
3 0.291183
4 0.291818
3 0.291820
3 0.293197
2 0.299474
3 0.300656
4 0.307006
3 0.307012
2 0.307964
3 0.315479
2 0.316195
4 0.317103
3 0.317106
2 0.317599
4 0.318256
3 0.318258
4 0.321105
3 0.321107
4 0.321441
3 0.321442
4 0.322583
3 0.322586
3 0.330142
2 0.335649
2 0.342597
3 0.348053
2 0.349841
2 0.352791
4 0.354791
3 0.354793
3 0.361484
2 0.374320
3 0.375547
3 0.375562
3 0.396428
3 0.407829
1 0.410339
1 0.413037
1 0.413532
1 0.432306
2 0.445411
2 0.460106
2 0.463375
2 0.466779
2 0.467684
1 0.476464
1 0.486368
1 0.491831
2 0.498831
2 0.506678
1 0.512072
2 0.515116
2 0.516264
2 0.517763
2 0.521772
2 0.523043
1 0.523603
2 0.524717
2 0.527083
2 0.530125
2 0.532428
2 0.533970
2 0.534664
2 0.537135
2 0.540692
2 0.540886
1 0.542857
2 0.543734
2 0.543951
2 0.546614
2 0.549303
2 0.549847
2 0.550625
2 0.552359
2 0.560007
2 0.560187
2 0.561445
2 0.562725
2 0.567966
2 0.569249
2 0.570363
2 0.571211
2 0.573986
2 0.576232
1 0.576593
2 0.577643
2 0.578862
1 0.589566
2 0.595190
1 0.598652
1 0.602575
2 0.607061
2 0.607666
1 0.608411
2 0.612919
1 0.619359
2 0.620658
1 0.621482
1 0.624621
2 0.625922
1 0.629572
1 0.631488
1 0.633212
1 0.633525
1 0.633960
1 0.634119
1 0.636092
1 0.656830
1 0.658557
1 0.658709
1 0.662149
1 0.666295
2 0.666780
1 0.669914
2 0.672068
1 0.673389
2 0.681445
2 0.696070
1 0.699171
2 0.708716
1 0.712201
1 0.712401
1 0.714403
1 0.716676
1 0.719364
1 0.722929
1 0.723877
1 0.723983
2 0.735338
1 0.740410
1 0.741254
1 0.741852
1 0.747105
1 0.749258
1 0.755626
1 0.755873
1 0.770232
2 0.780113
1 0.790015
1 0.797167
1 0.800583
1 0.804595
1 0.806792
1 0.809298
1 0.817163
1 0.822483
1 0.824232
1 0.839561
2 0.841691
1 0.848844
1 0.866733
1 0.870319
1 0.875062
1 0.885567
1 0.885623
1 0.885993
1 0.890094
1 0.896715
1 0.899560
1 0.902488
1 0.906082
1 0.910136
1 0.911641
1 0.913054
2 0.919782
1 0.923027
1 0.933761
1 0.942930
1 0.942974
2 0.948293
1 0.960085
1 0.965226
1 0.965571
1 0.973440
1 1.000579
1 1.013394
1 1.024163
1 1.037804
1 1.039459
2 1.040834
1 1.046941
2 1.108772
1 1.123964
1 1.156162
1 1.178156
1 1.200014
1 1.203698
1 1.230795
1 1.315276
1 1.396209
1 1.429093
1 1.446395
1 1.503668
1 1.553289
1 1.604171
1 1.828070
1 1.835353
1 1.898759
1 1.907538
1 1.911034
1 1.937531
1 2.065433
1 2.218908
1 2.223260
1 2.231530
1 2.442748
1 2.737289
1 2.758057
1 3.037021
1 3.039217
1 3.430508
1 3.452252
1 4.023951
1 4.164515
End Spectral Lines:
