Symbol: Xe
Atomic Number: 54
Atomic Mass: 131.290000
Start Spectral Index: 54
1 1134
2 1115
3 1512
4 769
5 273
6 126
7 131
8 135
9 144
10 83
11 208
19 2
25 12
26 18
27 11
28 3
29 17
43 3
44 11
45 25
51 11
52 8
53 5
54 2
End Spectral Index:
Order of Magnitude: 0.000001
Start Spectral Lines:
54 0.000040
54 0.000040
53 0.000040
53 0.000041
53 0.000041
45 0.000210
52 0.000219
51 0.000220
52 0.000223
51 0.000226
51 0.000227
51 0.000228
51 0.000228
51 0.000228
53 0.000229
52 0.000230
51 0.000235
52 0.000238
52 0.000239
45 0.000239
51 0.000241
45 0.000241
45 0.000241
51 0.000243
45 0.000246
45 0.000246
52 0.000247
45 0.000251
45 0.000255
45 0.000256
44 0.000256
44 0.000257
44 0.000258
45 0.000262
45 0.000263
45 0.000268
45 0.000272
45 0.000273
44 0.000273
44 0.000274
44 0.000274
45 0.000274
45 0.000275
44 0.000275
45 0.000275
45 0.000282
45 0.000283
45 0.000288
45 0.000288
45 0.000294
45 0.000294
27 0.001356
27 0.001425
27 0.001462
27 0.001480
27 0.001833
27 0.001867
27 0.001883
26 0.001914
27 0.002050
27 0.002098
52 0.002519
53 0.002666
26 0.003439
26 0.003561
26 0.003566
26 0.003941
29 0.003941
29 0.004033
28 0.004049
26 0.004072
29 0.004073
29 0.004154
29 0.004231
26 0.004331
29 0.004573
29 0.004661
29 0.004797
29 0.004812
29 0.004852
28 0.004864
29 0.004887
29 0.004912
29 0.004994
29 0.005108
29 0.005129
28 0.005136
29 0.005222
26 0.005262
26 0.005271
29 0.005389
26 0.005401
26 0.005512
44 0.005867
43 0.006289
43 0.006289
44 0.006660
45 0.007095
51 0.007105
44 0.008484
9 0.008542
9 0.008752
9 0.008844
45 0.009300
27 0.009561
9 0.009645
51 0.009720
9 0.009955
27 0.009998
25 0.010185
9 0.010282
52 0.010347
9 0.010381
11 0.010569
11 0.010612
7 0.010688
19 0.010842
11 0.010903
11 0.010909
11 0.010934
25 0.010941
11 0.010988
11 0.011002
10 0.011013
11 0.011053
11 0.011053
11 0.011089
11 0.011100
11 0.011119
11 0.011127
11 0.011129
11 0.011139
11 0.011138
11 0.011142
11 0.011143
11 0.011151
11 0.011155
11 0.011162
11 0.011165
11 0.011170
11 0.011174
11 0.011179
11 0.011183
11 0.011196
11 0.011201
11 0.011204
11 0.011205
11 0.011209
11 0.011239
11 0.011243
11 0.011271
