Symbol: Ba
Atomic Number: 56
Atomic Mass: 137.327000
Start Spectral Index: 5
1 312
2 112
3 98
4 2
5 13
End Spectral Index:
Order of Magnitude: 0.000001
Start Spectral Lines:
3 0.040382
3 0.040712
3 0.042012
3 0.042384
3 0.044895
3 0.045696
3 0.055548
3 0.058757
5 0.061255
3 0.064727
3 0.065336
5 0.065811
5 0.068109
5 0.071986
5 0.072185
3 0.074312
5 0.076045
5 0.076687
5 0.078361
4 0.079489
5 0.081641
5 0.087569
5 0.087741
5 0.089228
4 0.092374
5 0.094626
3 0.109741
3 0.111367
3 0.111601
3 0.113305
3 0.115176
3 0.117062
3 0.120729
3 0.121892
3 0.122455
3 0.128853
3 0.129918
3 0.130740
3 0.130887
3 0.131572
3 0.133401
3 0.135471
3 0.136953
3 0.141661
2 0.143319
2 0.144479
3 0.147885
2 0.150394
3 0.151068
3 0.151422
2 0.155434
3 0.156561
3 0.156612
2 0.157271
2 0.157390
3 0.157455
3 0.159680
3 0.161095
3 0.161578
2 0.163033
2 0.167446
2 0.169432
2 0.169717
3 0.171153
2 0.176165
2 0.177101
2 0.178686
3 0.186174
3 0.188392
2 0.189258
2 0.192467
2 0.195424
2 0.197026
3 0.197476
2 0.198575
2 0.199954
3 0.200195
3 0.200905
2 0.200989
3 0.202310
2 0.202470
3 0.203950
2 0.205341
2 0.205466
3 0.207109
3 0.207234
3 0.207666
2 0.208064
3 0.208201
3 0.213554
2 0.215461
3 0.215705
3 0.216144
2 0.220157
2 0.221545
3 0.223102
2 0.223348
2 0.223607
2 0.224638
2 0.225548
3 0.228138
2 0.228669
2 0.230496
3 0.232422
3 0.233182
2 0.233598
2 0.234831
1 0.240994
1 0.241481
1 0.242082
1 0.242812
1 0.243324
1 0.243953
1 0.244532
1 0.245309
1 0.247368
3 0.247748
1 0.250107
3 0.250582
3 0.251304
3 0.252459
2 0.252917
3 0.253168
1 0.254387
3 0.256031
3 0.257125
1 0.259741
2 0.263557
2 0.264216
1 0.264728
2 0.264805
3 0.268269
1 0.270343
1 0.274004
3 0.274659
2 0.277217
1 0.278612
3 0.293981
3 0.296091
3 0.296335
3 0.301510
3 0.304431
1 0.307248
3 0.308003
3 0.310482
3 0.312012
1 0.313662
1 0.313861
3 0.315361
1 0.315659
1 0.316655
1 0.318488
3 0.319609
3 0.323597
1 0.326326
1 0.328243
3 0.328260
1 0.328271
3 0.328774
1 0.332374
1 0.335776
3 0.336915
3 0.337065
1 0.337794
1 0.337836
1 0.342129
1 0.342198
1 0.350212
1 0.352598
1 0.353049
1 0.353235
1 0.354567
1 0.354870
2 0.355346
1 0.356295
1 0.356767
2 0.356874
1 0.357705
2 0.357730
1 0.357863
1 0.358069
1 0.358753
1 0.358912
1 0.359093
1 0.359423
2 0.359760
2 0.359760
1 0.360043
1 0.361199
1 0.363168
1 0.363788
1 0.364074
1 0.364143
3 0.365022
1 0.366358
1 0.368942
2 0.373681
2 0.373681
1 0.379588
2 0.381777
2 0.384389
2 0.385585
1 0.386298
1 0.388243
1 0.389044
1 0.389167
2 0.389288
1 0.389376
1 0.389545
1 0.389589
1 0.390707
1 0.391102
2 0.391585
1 0.391836
3 0.392796
1 0.393683
1 0.393898
2 0.394078
1 0.394671
1 0.394862
2 0.395062
2 0.395062
3 0.399419
1 0.399453
1 0.399678
1 0.399900
2 0.403740
3 0.405486
1 0.408211
2 0.408492
1 0.408602
1 0.408840
1 0.408850
2 0.413181
1 0.413360
2 0.416718
1 0.418053
2 0.421728
1 0.422515
1 0.424075
1 0.424380
1 0.426562
2 0.426912
1 0.428430
2 0.428900
1 0.429236
2 0.429880
1 0.430639
2 0.431048
2 0.431048
1 0.432422
1 0.432633
2 0.432694
2 0.432795
2 0.433084
1 0.433413
1 0.435155
1 0.436075
1 0.440378
2 0.440646
1 0.440807
1 0.441490
1 0.443314
1 0.446835
1 0.449024
1 0.449490
1 0.450561
1 0.450719
2 0.451089
1 0.452444
2 0.452619
2 0.455535
1 0.457513
1 0.458092
1 0.459104
1 0.459311
1 0.460101
1 0.460627
1 0.462121
1 0.462963
1 0.467493
1 0.469293
3 0.469875
1 0.470041
1 0.470174
2 0.471024
1 0.472603
1 0.472776
2 0.484482
2 0.484852
2 0.485224
1 0.487901
2 0.490130
1 0.490422
2 0.493540
1 0.494869
2 0.495848
1 0.499704
2 0.499919
2 0.501435
2 0.501435
3 0.505096
1 0.505637
3 0.509896
3 0.510367
3 0.513597
1 0.516131
1 0.525527
1 0.530718
2 0.536283
2 0.539310
2 0.542256
1 0.542606
2 0.543032
1 0.543883
2 0.548180
1 0.552058
1 0.553706
1 0.553741
1 0.559486
1 0.568157
1 0.568175
1 0.577922
1 0.578565
2 0.578577
1 0.580183
1 0.580729
1 0.582043
1 0.582789
2 0.585530
1 0.590927
1 0.597335
1 0.598012
2 0.598292
1 0.599875
3 0.599966
2 0.600154
1 0.602114
1 0.606479
1 0.608508
3 0.610368
1 0.611247
1 0.613093
2 0.613741
2 0.614341
1 0.634343
3 0.637887
2 0.638069
3 0.638552
1 0.641288
1 0.645263
1 0.648470
2 0.649869
1 0.650056
3 0.652797
1 0.652911
1 0.659715
1 0.665595
1 0.667711
1 0.669569
2 0.677135
1 0.677373
