Symbol: La
Atomic Number: 57
Atomic Mass: 138.906000
Start Spectral Index: 5
1 101
2 152
3 122
4 87
5 42
End Spectral Index:
Order of Magnitude: 0.000001
Start Spectral Lines:
4 0.034412
5 0.038903
5 0.039072
5 0.039853
5 0.039934
5 0.040510
5 0.041613
5 0.042155
5 0.042307
5 0.042478
5 0.043211
5 0.043528
5 0.043614
5 0.043684
5 0.043711
5 0.043755
5 0.044401
5 0.044407
5 0.045040
4 0.045350
5 0.045730
4 0.046314
5 0.046385
5 0.047667
5 0.048216
5 0.048243
5 0.048330
5 0.049808
5 0.049903
4 0.049954
5 0.050358
5 0.050815
5 0.052571
5 0.052676
5 0.053107
5 0.053323
5 0.054020
5 0.054480
5 0.054744
4 0.055202
5 0.057090
5 0.059318
5 0.059770
5 0.060001
5 0.060024
5 0.061170
5 0.061760
4 0.063126
4 0.072492
4 0.073329
3 0.074419
3 0.075303
3 0.078664
3 0.078714
3 0.079603
3 0.079699
4 0.079703
3 0.079720
3 0.083503
3 0.084562
3 0.085073
3 0.086039
3 0.086088
3 0.086504
3 0.087040
3 0.087243
3 0.088234
3 0.088272
3 0.092971
3 0.094286
3 0.096769
3 0.097433
3 0.097999
4 0.098003
3 0.098029
4 0.103930
3 0.105863
4 0.106209
3 0.107259
3 0.107691
3 0.108161
3 0.109973
3 0.110070
4 0.115835
4 0.116429
3 0.120880
3 0.121229
4 0.123090
3 0.123654
3 0.125399
3 0.125563
3 0.125955
4 0.126079
4 0.126112
4 0.128319
4 0.130231
3 0.132242
3 0.133004
4 0.133353
4 0.133496
3 0.134918
4 0.135276
4 0.136804
4 0.137749
4 0.139432
4 0.141458
4 0.143255
4 0.144163
3 0.145949
4 0.146215
4 0.146347
3 0.146644
4 0.146754
4 0.150787
3 0.152379
4 0.152719
3 0.152855
3 0.153617
4 0.157592
4 0.158361
4 0.158511
4 0.163742
4 0.164521
4 0.166484
4 0.168417
4 0.176765
4 0.180866
4 0.185181
4 0.185277
4 0.187979
4 0.188157
4 0.188922
4 0.189147
4 0.190297
4 0.190744
3 0.192334
3 0.193857
4 0.195080
4 0.195757
4 0.201307
4 0.203808
4 0.206716
4 0.207384
4 0.214391
2 0.218855
4 0.219814
3 0.221676
4 0.222181
4 0.222803
3 0.223906
4 0.224565
2 0.225746
3 0.225931
3 0.226100
4 0.226661
3 0.229845
4 0.231660
2 0.232015
4 0.234908
4 0.235603
3 0.238010
3 0.238872
3 0.239322
4 0.240783
4 0.241831
4 0.244466
3 0.247735
3 0.247940
4 0.250356
3 0.251419
4 0.251578
4 0.253351
4 0.253652
4 0.258282
3 0.258964
4 0.259208
4 0.259828
3 0.260561
4 0.260879
2 0.261112
3 0.265229
4 0.266354
3 0.268314
3 0.268556
2 0.280922
4 0.284914
4 0.286414
2 0.288599
2 0.289392
3 0.289873
3 0.290543
2 0.295136
3 0.295170
3 0.295463
4 0.296345
3 0.299297
3 0.300707
3 0.301010
4 0.301039
4 0.305757
3 0.307606
3 0.308628
3 0.309393
3 0.309716
2 0.310549
3 0.311287
3 0.311764
2 0.314367
3 0.317255
3 0.317266
3 0.317361
3 0.319776
2 0.324607
2 0.325029
2 0.326661
3 0.329006
3 0.330243
2 0.330406
3 0.332862
2 0.333845
2 0.334552
2 0.337730
2 0.338188
2 0.345317
2 0.345416
3 0.351810
3 0.351823
4 0.352329
1 0.357545
2 0.362986
2 0.363819
1 0.364257
2 0.364270
2 0.364646
2 0.365122
4 0.365144
2 0.366312
1 0.370559
2 0.370687
2 0.371460
2 0.371593
2 0.371659
2 0.376015
2 0.378174
2 0.379191
2 0.379586
2 0.383617
2 0.384181
2 0.384709
2 0.385011
2 0.385600
2 0.387274
2 0.388747
2 0.391716
2 0.392265
1 0.392867
2 0.393033
2 0.393733
2 0.395022
2 0.398965
2 0.399688
1 0.401653
2 0.402702
2 0.403283
1 0.403835
2 0.404405
2 0.405122
1 0.406148
1 0.406594
2 0.406854
2 0.407786
2 0.407850
1 0.408033
2 0.408787
1 0.409076
2 0.410070
1 0.410603
2 0.412439
3 0.413040
1 0.413821
3 0.413860
2 0.414291
2 0.415314
2 0.415395
1 0.416143
1 0.418850
2 0.419354
2 0.419773
2 0.420522
2 0.421875
2 0.423214
2 0.423957
2 0.425119
2 0.426479
2 0.427070
4 0.427196
2 0.427684
1 0.428147
2 0.428818
2 0.429726
2 0.430165
2 0.432373
2 0.433496
2 0.435562
2 0.436590
2 0.437933
2 0.438467
2 0.438643
1 0.442514
2 0.442879
2 0.443114
1 0.445340
2 0.445705
3 0.448423
3 0.450031
2 0.452364
2 0.452658
2 0.452739
4 0.455108
2 0.455974
2 0.456057
1 0.456919
1 0.457130
2 0.457616
2 0.458134
2 0.460707
2 0.461468
2 0.462117
2 0.464658
2 0.465680
2 0.466382
2 0.466507
2 0.467022
2 0.467314
2 0.469381
2 0.470460
2 0.471776
2 0.472126
2 0.472974
2 0.474161
2 0.474442
2 0.475006
1 0.476822
2 0.480538
2 0.481035
2 0.482541
4 0.483824
2 0.486227
2 0.490129
2 0.492235
2 0.492316
2 0.493621
2 0.494785
1 0.495115
2 0.497178
2 0.498822
2 0.499267
2 0.500086
1 0.504829
1 0.505198
1 0.505787
1 0.510765
2 0.511599
2 0.512442
1 0.514685
3 0.514716
2 0.515818
2 0.515887
3 0.515985
1 0.516013
2 0.516506
1 0.517875
2 0.518486
2 0.518966
2 0.520560
1 0.521331
1 0.523573
1 0.525492
2 0.526085
1 0.527266
2 0.529231
2 0.530346
2 0.530410
2 0.530503
2 0.534216
1 0.535935
2 0.537859
2 0.538249
1 0.545667
3 0.546933
3 0.549343
1 0.550287
3 0.551325
3 0.551972
3 0.553108
1 0.563278
1 0.564982
1 0.565929
1 0.574225
3 0.574568
1 0.574600
1 0.576344
2 0.577067
1 0.577094
3 0.577974
1 0.579085
1 0.579295
2 0.579919
2 0.580739
3 0.581506
1 0.582360
3 0.587726
3 0.589025
1 0.593226
3 0.593435
3 0.601878
3 0.605752
3 0.612094
3 0.614369
3 0.622172
1 0.625166
2 0.626403
2 0.629783
2 0.632214
1 0.632766
3 0.634997
2 0.639225
1 0.639600
1 0.641276
1 0.645777
2 0.652879
1 0.654497
1 0.658033
1 0.671135
2 0.677613
1 0.702561
1 0.703399
1 0.704790
2 0.706818
1 0.707032
1 0.707833
2 0.711880
1 0.715174
1 0.716005
1 0.716322
1 0.722190
1 0.727209
1 0.727230
2 0.728435
1 0.732293
1 0.733620
1 0.734736
1 0.738476
1 0.746514
2 0.748556
1 0.750089
1 0.753566
1 0.754131
2 0.761504
1 0.766645
1 0.784396
1 0.796702
1 0.800409
1 0.805360
1 0.808827
3 0.811665
3 0.813820
1 0.820564
1 0.824971
3 0.825487
3 0.827766
3 0.829003
1 0.831833
3 0.832340
1 0.832698
1 0.834882
1 0.838210
1 0.846995
1 0.847881
1 0.850971
1 0.851591
2 0.851699
1 0.854581
1 0.854779
3 0.858581
1 0.859330
1 0.862659
1 0.864084
1 0.867449
1 0.867681
1 0.872281
1 0.875078
1 0.882135
1 0.882824
1 0.884206
3 0.918690
3 0.921516
3 0.992671
3 1.028761
3 1.037318
3 1.094090
3 1.389827
3 1.410003
3 1.788297
End Spectral Lines:
