Symbol: Ce
Atomic Number: 58
Atomic Mass: 140.115000
Start Spectral Index: 5
1 198
2 548
3 262
4 27
5 5
End Spectral Index:
Order of Magnitude: 0.000001
Start Spectral Lines:
5 0.036566
5 0.039936
5 0.040421
4 0.044311
4 0.044758
5 0.048296
5 0.055213
4 0.055892
4 0.057159
4 0.074179
4 0.075460
4 0.075575
3 0.084024
3 0.084411
3 0.084502
3 0.084788
3 0.085118
3 0.085263
3 0.085347
3 0.085378
3 0.085516
3 0.085830
3 0.086015
3 0.086225
3 0.086874
3 0.086951
3 0.086984
3 0.087115
3 0.087127
3 0.088068
3 0.088175
3 0.088404
3 0.088522
3 0.088839
3 0.089275
3 0.089932
3 0.091277
3 0.093704
4 0.097520
3 0.099926
4 0.100931
4 0.102212
3 0.102525
3 0.102529
3 0.102628
3 0.102937
3 0.103455
3 0.104114
3 0.104274
3 0.105161
3 0.105740
3 0.105766
4 0.105767
3 0.105846
4 0.105964
3 0.106299
3 0.106326
3 0.106351
3 0.106776
3 0.106869
3 0.107054
3 0.107279
3 0.107369
3 0.107935
3 0.108082
3 0.108870
3 0.109003
3 0.109248
3 0.109925
3 0.110071
3 0.110709
3 0.111119
3 0.111630
3 0.112558
3 0.112973
3 0.113274
3 0.114255
3 0.119241
3 0.120187
3 0.120405
4 0.128941
4 0.133216
4 0.137272
4 0.157262
4 0.157760
4 0.164158
3 0.171943
4 0.177530
4 0.177903
3 0.179689
3 0.183666
3 0.183699
3 0.186232
4 0.191475
4 0.193721
3 0.195036
3 0.199054
4 0.200107
4 0.200376
4 0.201059
3 0.203399
3 0.205831
3 0.207853
3 0.208398
3 0.209062
3 0.210974
3 0.212322
3 0.213762
3 0.215212
3 0.216756
3 0.217016
3 0.218132
3 0.218439
3 0.220384
3 0.221880
3 0.222270
3 0.222577
3 0.222853
3 0.222874
3 0.224299
3 0.224995
3 0.226555
3 0.226890
3 0.228853
3 0.229941
3 0.230136
3 0.230280
3 0.231805
3 0.231935
3 0.232502
3 0.233838
3 0.235082
3 0.236326
3 0.236849
3 0.237306
3 0.237780
3 0.237821
3 0.238085
3 0.238301
3 0.238579
3 0.239577
3 0.240688
3 0.240881
3 0.241099
3 0.241633
3 0.241774
3 0.242376
3 0.242938
3 0.243098
3 0.243219
4 0.243424
3 0.244054
3 0.244229
3 0.244552
4 0.244624
3 0.245506
2 0.246372
3 0.247070
3 0.247241
3 0.247800
3 0.248019
3 0.248026
3 0.248457
3 0.249825
3 0.250431
3 0.250518
2 0.251927
3 0.253275
3 0.254003
2 0.254945
3 0.255826
3 0.257844
3 0.257907
3 0.258548
3 0.260437
3 0.260874
3 0.261657
3 0.265017
2 0.265180
3 0.266360
2 0.269687
2 0.270768
3 0.272011
2 0.272419
3 0.273085
2 0.274277
3 0.274452
3 0.274971
2 0.275170
3 0.275568
2 0.276224
3 0.276910
2 0.278509
2 0.278617
2 0.279135
2 0.279224
2 0.283173
2 0.283414
3 0.285024
3 0.286223
2 0.287498
3 0.290790
2 0.290927
2 0.291952
3 0.292467
3 0.292612
3 0.293240
3 0.294939
2 0.295680
2 0.296567
2 0.297345
3 0.297459
2 0.297778
2 0.297833
2 0.298128
2 0.299174
2 0.299529
2 0.299651
2 0.300967
2 0.301808
3 0.302363
3 0.303246
2 0.303861
2 0.305287
2 0.305613
3 0.305648
3 0.305745
2 0.305767
3 0.305812
3 0.305847
2 0.306390
2 0.308457
2 0.308534
3 0.308600
2 0.309127
2 0.310428
3 0.310788
2 0.310837
2 0.311118
3 0.311143
2 0.311207
3 0.312247
2 0.312844
2 0.313124
2 0.313178
3 0.314220
3 0.314487
2 0.314551
2 0.314619
2 0.314732
3 0.314797
2 0.316507
2 0.317010
2 0.317253
2 0.318444
2 0.318705
2 0.319126
2 0.319575
2 0.320020
2 0.320264
2 0.321931
2 0.321987
2 0.322210
2 0.322660
2 0.322804
3 0.322950
