Symbol: Pr
Atomic Number: 59
Atomic Mass: 140.908000
Start Spectral Index: 5
1 182
2 519
3 372
4 135
5 12
End Spectral Index:
Order of Magnitude: 0.000001
Start Spectral Lines:
4 0.071823
4 0.072134
4 0.072241
4 0.072258
4 0.072604
4 0.073037
4 0.073177
4 0.073486
4 0.073504
4 0.073619
4 0.073632
4 0.073717
4 0.074145
4 0.074315
4 0.074389
4 0.074614
4 0.076316
4 0.076400
5 0.084378
5 0.086590
5 0.086917
5 0.086966
5 0.089665
5 0.092229
3 0.100861
3 0.102135
3 0.102618
3 0.102903
3 0.103829
3 0.104296
3 0.104380
3 0.104403
3 0.104620
3 0.104724
3 0.104909
3 0.105263
3 0.106160
3 0.106603
3 0.106885
3 0.106988
3 0.108442
3 0.108866
3 0.110484
3 0.110882
4 0.122640
4 0.122859
4 0.123069
5 0.123407
4 0.123819
4 0.124935
4 0.125564
4 0.126127
4 0.126832
4 0.127058
4 0.127510
4 0.127540
4 0.127865
4 0.127934
4 0.128744
4 0.129093
4 0.129230
4 0.129322
4 0.129528
4 0.129650
4 0.129826
4 0.129854
4 0.130471
4 0.130686
4 0.130808
4 0.131071
4 0.131496
4 0.131528
4 0.131696
4 0.132010
4 0.132070
4 0.132136
4 0.132251
4 0.132638
4 0.133357
4 0.133596
4 0.133929
4 0.134074
4 0.134132
5 0.134278
4 0.134423
4 0.134707
3 0.135270
4 0.135281
4 0.135435
4 0.135466
4 0.136064
4 0.136481
4 0.136577
4 0.136890
4 0.137441
4 0.138262
4 0.138423
4 0.138591
4 0.139411
4 0.139711
4 0.139931
4 0.140096
4 0.141090
4 0.142436
4 0.142659
4 0.143556
4 0.145995
4 0.146176
4 0.147491
4 0.147732
4 0.148588
4 0.150335
4 0.151686
4 0.152071
4 0.152098
4 0.152346
4 0.155362
4 0.155949
4 0.157013
4 0.157280
4 0.157455
4 0.157510
4 0.157838
4 0.158510
4 0.161300
4 0.161365
4 0.161803
4 0.162230
4 0.163477
4 0.167608
4 0.168849
4 0.171353
4 0.173286
4 0.176286
4 0.176688
4 0.177114
4 0.184108
3 0.188122
4 0.188487
4 0.195123
4 0.195461
5 0.195809
5 0.195820
4 0.202571
3 0.203211
3 0.203395
4 0.203981
3 0.204378
4 0.204771
4 0.205139
3 0.205296
3 0.205353
3 0.205451
4 0.205914
3 0.205925
3 0.206474
3 0.207574
4 0.208389
3 0.209141
3 0.209416
3 0.209752
3 0.209761
4 0.210109
3 0.214882
4 0.215499
4 0.219406
3 0.219493
3 0.219794
4 0.220582
3 0.220617
3 0.220695
3 0.221514
3 0.221594
3 0.221781
3 0.222392
3 0.223104
3 0.223795
3 0.223976
3 0.224012
3 0.224285
5 0.224676
5 0.224690
4 0.226640
3 0.228533
3 0.230830
3 0.230848
3 0.230912
3 0.231200
3 0.231215
3 0.231489
3 0.231617
3 0.231886
3 0.231907
3 0.231935
3 0.231953
3 0.231968
3 0.232011
3 0.232112
3 0.232927
4 0.233518
3 0.233685
4 0.233980
3 0.236624
3 0.236950
3 0.236980
4 0.237682
3 0.237879
3 0.237970
4 0.237971
4 0.238039
3 0.239617
3 0.240043
3 0.240629
3 0.240892
3 0.241053
3 0.241313
3 0.241842
3 0.241968
3 0.242688
3 0.242759
4 0.242781
4 0.242887
3 0.243106
3 0.243492
3 0.243513
3 0.243665
3 0.243763
4 0.243931
3 0.243937
3 0.244567
3 0.244623
3 0.244751
3 0.244890
3 0.245276
3 0.245355
3 0.245359
3 0.245534
3 0.245556
4 0.245638
3 0.246051
3 0.246146
3 0.246292
3 0.246365
3 0.246895
3 0.246972
3 0.247417
3 0.247907
3 0.248073
3 0.248177
3 0.248405
3 0.248474
3 0.248535
3 0.248591
3 0.248947
3 0.249272
3 0.249495
3 0.249612
3 0.249626
3 0.250072
2 0.255935
1 0.257904
1 0.258008
3 0.258848
2 0.259882
2 0.260970
2 0.261653
3 0.262569
3 0.264541
2 0.264927
2 0.265554
3 0.265767
2 0.266749
3 0.266830
2 0.267331
3 0.268027
2 0.268599
2 0.268650
2 0.269972
2 0.270118
2 0.270305
4 0.270599
2 0.270817
4 0.270881
3 0.271110
2 0.271496
3 0.271946
2 0.272098
2 0.272271
3 0.272484
2 0.272731
2 0.273259
2 0.273393
2 0.273511
2 0.273871
2 0.274293
2 0.274547
2 0.274709
4 0.275428
2 0.276117
4 0.276842
2 0.277042
2 0.277676
2 0.277685
2 0.277962
2 0.278413
2 0.278987
2 0.279333
2 0.280288
2 0.282400
2 0.282497
2 0.282912
3 0.284278
1 0.284382
2 0.284485
1 0.285146
2 0.285483
2 0.286648
1 0.288245
2 0.288316
2 0.288574
3 0.291146
3 0.291262
3 0.291534
3 0.293105
3 0.294329
2 0.294483
3 0.295444
3 0.295526
3 0.296572
2 0.296845
3 0.296970
3 0.297028
2 0.297200
2 0.297227
2 0.297233
3 0.297773
3 0.297793
3 0.298141
3 0.298252
3 0.298329
2 0.298585
3 0.298669
2 0.298705
2 0.299109
3 0.299799
3 0.299966
3 0.300133
3 0.300408
3 0.300735
3 0.300892
3 0.301149
3 0.301548
3 0.301601
3 0.301714
3 0.302265
3 0.302614
3 0.303026
3 0.303419
3 0.303513
3 0.304090
3 0.304182
3 0.304267
3 0.304324
3 0.304670
3 0.304787
3 0.305119
3 0.305619
3 0.305979
3 0.306760
3 0.307957
3 0.308109
2 0.308301
2 0.311224
2 0.312249
2 0.316465
2 0.316916
2 0.317323
2 0.319234
2 0.319691
2 0.319996
2 0.320882
2 0.322041
2 0.323520
2 0.324642
3 0.324933
3 0.328187
3 0.329353
3 0.329705
3 0.330709
3 0.333422
3 0.334154
3 0.334239
3 0.334264
3 0.334634
3 0.334640
3 0.335203
3 0.335483
3 0.335587
2 0.335663
3 0.335852
3 0.336038
3 0.336549
3 0.336585
3 0.336677
3 0.336832
3 0.336855
3 0.337289
3 0.337811
3 0.338010
3 0.338118
3 0.338223
3 0.338281
3 0.339205
3 0.339519
2 0.339559
3 0.339704
3 0.339759
3 0.339844
3 0.340395
3 0.341419
3 0.341613
3 0.342105
3 0.342320
3 0.342725
3 0.342800
3 0.343735
3 0.344161
3 0.344628
3 0.345504
2 0.346673
2 0.358523
2 0.361297
2 0.363200
2 0.364659
2 0.364670
2 0.364734
2 0.364934
3 0.365462
2 0.366140
2 0.366266
2 0.366987
2 0.368808
2 0.368824
2 0.369076
2 0.369911
2 0.370780
2 0.371216
2 0.371511
2 0.373409
2 0.373547
2 0.373682
2 0.373755
2 0.374024
2 0.374205
2 0.374504
2 0.375205
2 0.376067
2 0.376115
2 0.376294
2 0.376584
2 0.377001
2 0.377389
2 0.377513
2 0.377869
2 0.378173
2 0.378654
2 0.378794
2 0.379359
2 0.379601
2 0.380138
2 0.380592
2 0.381026
2 0.381292
2 0.381710
3 0.381833
2 0.381874
2 0.381936
2 0.382022
2 0.382288
2 0.382426
2 0.382776
2 0.383181
2 0.383602
2 0.384208
2 0.384343
2 0.384563
2 0.384768
2 0.385188
2 0.385264
2 0.385389
2 0.385934
2 0.386023
3 0.386289
2 0.386655
2 0.386862
2 0.387182
2 0.387729
2 0.387828
2 0.388030
2 0.388157
2 0.388629
2 0.389044
2 0.389281
2 0.389835
2 0.389994
2 0.390356
2 0.390916
2 0.391401
2 0.391466
2 0.391587
2 0.391996
2 0.392074
2 0.392164
2 0.392658
2 0.392857
2 0.393040
2 0.393693
2 0.393941
2 0.394875
2 0.395055
2 0.395463
2 0.395787
1 0.396056
2 0.396357
2 0.396538
2 0.396593
2 0.396769
2 0.397228
2 0.397279
2 0.397326
2 0.397597
3 0.398164
2 0.399081
2 0.399304
2 0.399329
2 0.399592
2 0.399696
2 0.399817
2 0.399909
2 0.400025
2 0.400130
3 0.400133
2 0.400583
2 0.400982
2 0.401173
2 0.401653
3 0.401950
2 0.402210
2 0.402385
2 0.402668
2 0.402797
