Symbol: C
Atomic Number: 6
Atomic Mass: 12.011000
Start Spectral Index: 6
1 1298
2 644
3 882
4 228
5 148
6 137
End Spectral Index:
Order of Magnitude: 0.000001
Start Spectral Lines:
6 0.002603
6 0.002603
6 0.002636
6 0.002636
6 0.002699
6 0.002699
6 0.002847
6 0.002847
5 0.003343
6 0.003373
6 0.003374
5 0.003497
5 0.003500
5 0.004027
5 0.004073
5 0.004147
6 0.011384
6 0.011384
6 0.011384
6 0.011384
6 0.011390
6 0.011390
6 0.011390
6 0.012046
6 0.012046
6 0.012046
6 0.012047
6 0.012053
6 0.012053
6 0.012053
6 0.013491
6 0.013491
6 0.013492
6 0.013492
6 0.013499
6 0.013499
6 0.013500
5 0.015052
5 0.015052
5 0.015052
5 0.015055
5 0.015055
5 0.015055
5 0.015349
5 0.015359
5 0.015719
5 0.015837
5 0.015848
5 0.015848
5 0.015851
5 0.016051
5 0.016722
5 0.016738
5 0.016738
5 0.016739
5 0.016742
5 0.016742
5 0.016742
5 0.016841
5 0.016842
5 0.016845
5 0.017565
6 0.018209
6 0.018210
6 0.018213
6 0.018214
6 0.018223
6 0.018225
6 0.018229
5 0.018635
5 0.018674
5 0.018925
5 0.018926
5 0.018930
5 0.019702
4 0.020068
4 0.020068
4 0.020305
4 0.020305
4 0.020663
4 0.020663
4 0.021241
4 0.021242
4 0.022279
4 0.022279
5 0.022719
5 0.022720
5 0.022720
4 0.023081
4 0.023087
4 0.023410
4 0.023416
4 0.023911
4 0.023917
4 0.024490
4 0.024491
4 0.024577
4 0.024583
4 0.024583
5 0.024732
4 0.024734
4 0.024741
5 0.024844
5 0.024866
5 0.024866
5 0.024867
5 0.024874
5 0.024875
5 0.024875
4 0.025947
4 0.025954
4 0.025954
5 0.026013
5 0.026014
5 0.026023
4 0.026255
4 0.026262
5 0.026727
3 0.027032
5 0.027188
3 0.027405
3 0.028003
3 0.028842
4 0.028914
4 0.028923
4 0.028923
3 0.029133
4 0.029686
4 0.029695
6 0.030359
6 0.030359
6 0.030360
6 0.030361
6 0.030371
6 0.030371
6 0.030372
6 0.030372
6 0.030373
6 0.030373
6 0.030375
6 0.030375
6 0.030376
3 0.031017
4 0.031242
4 0.031246
3 0.031434
3 0.031436
3 0.031436
3 0.031441
3 0.031441
3 0.031441
3 0.031921
3 0.031924
3 0.031924
3 0.031929
3 0.031929
3 0.031929
3 0.032129
3 0.032131
3 0.032137
3 0.032257
3 0.032778
3 0.033059
3 0.033061
3 0.033068
3 0.034115
3 0.034117
3 0.034117
3 0.034124
3 0.034124
3 0.034124
3 0.034774
3 0.034777
3 0.034784
6 0.035574
6 0.035575
6 0.035578
6 0.035579
6 0.035591
6 0.035591
6 0.035592
6 0.035592
6 0.035595
6 0.035596
6 0.035596
6 0.035596
6 0.035598
3 0.035874
3 0.036055
3 0.036057
3 0.036060
3 0.036063
3 0.036063
3 0.036067
3 0.036375
3 0.036378
3 0.036386
3 0.036940
3 0.036940
3 0.036942
3 0.036943
3 0.036947
3 0.036951
3 0.037169
3 0.037170
3 0.037172
3 0.037175
3 0.037178
3 0.037180
5 0.037252
5 0.037297
5 0.037297
5 0.037298
5 0.037303
5 0.037303
5 0.037303
5 0.037421
5 0.037421
5 0.037427
3 0.037907
3 0.037925
5 0.038180
5 0.038180
5 0.038180
5 0.038180
5 0.038180
5 0.038181
4 0.038403
4 0.038418
4 0.038419
5 0.038438
3 0.038504
3 0.038620
3 0.038897
3 0.038900
3 0.038909
3 0.039005
5 0.039160
5 0.039224
5 0.039423
5 0.039423
5 0.039429
5 0.040218
5 0.040218
5 0.040220
5 0.040479
3 0.040932
3 0.041196
3 0.041677
4 0.041952
4 0.041971
3 0.042344
5 0.042506
5 0.042599
5 0.042599
5 0.042606
5 0.042982
5 0.042983
5 0.042990
3 0.043334
5 0.043685
5 0.043832
5 0.043832
5 0.043834
2 0.043877
2 0.043883
2 0.043890
2 0.043895
3 0.044633
3 0.045073
3 0.045532
3 0.045538
3 0.045538
3 0.045538
3 0.045548
3 0.045548
3 0.045658
3 0.045946
3 0.045952
3 0.045952
3 0.045963
3 0.045963
3 0.045963
3 0.046005
2 0.046635
2 0.046641
2 0.046649
2 0.046655
3 0.046894
3 0.047341
3 0.047762
3 0.048353
3 0.048360
3 0.048360
3 0.048361
3 0.048371
3 0.048372
3 0.049265
3 0.049334
3 0.049337
3 0.049341
3 0.049347
3 0.049352
3 0.049358
5 0.049538
5 0.049706
5 0.049706
5 0.049706
5 0.049715
5 0.049716
5 0.049716
3 0.049792
3 0.049943
3 0.049946
3 0.049950
3 0.049954
3 0.049958
3 0.049961
5 0.050626
5 0.050627
5 0.050636
3 0.050663
5 0.051147
3 0.051152
4 0.051160
4 0.051160
5 0.051531
5 0.051531
5 0.051534
5 0.051733
6 0.052028
6 0.052030
6 0.052043
6 0.052046
6 0.052060
6 0.052060
6 0.052066
6 0.052066
6 0.052070
6 0.052073
6 0.052078
6 0.052081
6 0.052082
2 0.052434
2 0.052441
2 0.052442
2 0.052447
2 0.052447
2 0.052453
2 0.052455
4 0.052734
4 0.052735
2 0.053027
2 0.053036
2 0.053045
2 0.053168
2 0.053172
2 0.053174
2 0.053178
2 0.053184
2 0.053186
2 0.053192
3 0.053360
3 0.053529
3 0.053808
3 0.053815
3 0.053831
2 0.054326
2 0.054344
2 0.054345
2 0.054707
2 0.054714
2 0.054715
2 0.054721
2 0.054721
2 0.054728
2 0.054729
3 0.054832
2 0.054932
2 0.054938
2 0.054951
2 0.054957
2 0.055168
2 0.055187
4 0.055218
4 0.055218
3 0.055441
3 0.055449
3 0.055450
3 0.055451
3 0.055463
3 0.055465
2 0.056024
2 0.056044
2 0.056044
2 0.056230
2 0.056234
2 0.056237
2 0.056241
2 0.056247
2 0.056250
2 0.056256
4 0.056279
4 0.056289
2 0.056456
2 0.056458
2 0.056461
2 0.056463
2 0.056465
2 0.056466
2 0.056470
2 0.056472
3 0.056553
3 0.056648
3 0.057277
3 0.057428
4 0.057658
4 0.057659
4 0.057662
2 0.057687
2 0.057709
4 0.058275
4 0.058286
3 0.058527
3 0.058540
3 0.058543
3 0.058550
3 0.058561
3 0.058566
2 0.059480
2 0.059502
2 0.059502
4 0.059549
4 0.059550
4 0.059666
4 0.059667
4 0.059670
2 0.060025
2 0.060034
2 0.060035
2 0.060042
2 0.060042
2 0.060050
2 0.060052
3 0.060904
3 0.060927
4 0.061480
4 0.061491
3 0.062213
4 0.062865
4 0.062866
4 0.062869
2 0.063599
2 0.063625
2 0.064154
2 0.064159
2 0.064163
2 0.064168
2 0.064177
2 0.064180
2 0.064189
2 0.065121
2 0.065123
2 0.065127
2 0.065130
2 0.065133
2 0.065135
2 0.065139
2 0.065142
4 0.066085
4 0.066098
4 0.066099
4 0.067234
4 0.067249
4 0.068487
4 0.068490
4 0.068540
4 0.068542
4 0.068545
3 0.068551
2 0.068641
2 0.068643
2 0.068648
2 0.068649
2 0.068705
2 0.068734
2 0.068735
3 0.069052
5 0.071183
3 0.071488
5 0.071758
3 0.072726
3 0.072751
6 0.072861
6 0.072862
6 0.072869
6 0.072872
6 0.072889
6 0.072892
6 0.072892
6 0.072898
6 0.072899
6 0.072901
6 0.072901
6 0.072902
6 0.072903
6 0.072903
6 0.072903
6 0.072905
5 0.074553
3 0.075075
5 0.075678
5 0.075679
5 0.075701
5 0.076010
5 0.076296
5 0.076296
5 0.076303
3 0.076847
3 0.076880
4 0.077019
4 0.077037
4 0.077038
5 0.077706
5 0.078206
3 0.078440
4 0.079797
4 0.079817
2 0.080638
2 0.080653
4 0.080656
2 0.080657
4 0.080661
4 0.080663
2 0.080668
