Symbol: Nd
Atomic Number: 60
Atomic Mass: 144.240000
Start Spectral Index: 2
1 118
2 565
End Spectral Index:
Order of Magnitude: 0.000001
Start Spectral Lines:
1 0.276580
1 0.278661
2 0.296375
2 0.296445
2 0.299407
2 0.300885
2 0.301507
2 0.301923
2 0.302735
2 0.303986
2 0.305200
2 0.305304
2 0.305760
2 0.307062
2 0.307232
2 0.307239
2 0.307627
2 0.308027
2 0.308183
2 0.309382
2 0.309938
2 0.310042
2 0.310633
2 0.310708
2 0.310891
2 0.311608
2 0.311705
2 0.312065
2 0.312397
2 0.312549
2 0.313451
2 0.313581
2 0.313815
2 0.314237
2 0.314335
2 0.314546
2 0.314573
2 0.314942
2 0.315020
2 0.315042
2 0.316354
2 0.317691
2 0.318246
2 0.318965
2 0.320155
2 0.320440
2 0.321193
2 0.321805
1 0.322355
2 0.322897
2 0.323884
2 0.325502
2 0.325785
2 0.326018
2 0.326160
2 0.326606
2 0.326632
2 0.326819
2 0.327412
2 0.327616
2 0.328244
2 0.328373
2 0.328605
2 0.328757
2 0.329160
2 0.329479
2 0.329563
2 0.330111
2 0.331370
2 0.332686
2 0.332924
2 0.333253
2 0.333544
2 0.334003
2 0.335455
2 0.335689
2 0.336593
2 0.339460
1 0.348588
2 0.352854
2 0.354436
2 0.355679
2 0.356177
2 0.356989
2 0.358853
2 0.359362
2 0.359905
2 0.360194
2 0.361082
2 0.361685
2 0.361999
2 0.363206
2 0.363534
2 0.363804
2 0.363827
2 0.364128
2 0.364682
2 0.364924
2 0.365146
2 0.365419
2 0.366330
2 0.366622
2 0.367341
2 0.367459
2 0.367923
2 0.368685
2 0.368835
2 0.369074
2 0.369586
2 0.369861
2 0.370600
2 0.371476
2 0.371526
2 0.371579
2 0.371610
2 0.371645
2 0.371674
2 0.371960
2 0.372241
2 0.372348
2 0.372456
2 0.372593
2 0.372796
2 0.372919
2 0.373164
2 0.373384
2 0.373660
2 0.373666
2 0.373816
2 0.373912
2 0.374248
2 0.375092
2 0.375138
2 0.375356
2 0.375374
2 0.375590
2 0.375667
2 0.375889
2 0.376002
2 0.376086
2 0.376454
2 0.376766
2 0.377072
2 0.377657
2 0.377741
2 0.378054
2 0.378147
2 0.378239
