Symbol: Sm
Atomic Number: 62
Atomic Mass: 150.360000
Start Spectral Index: 2
1 162
2 635
End Spectral Index:
Order of Magnitude: 0.000001
Start Spectral Lines:
2 0.269170
2 0.276867
2 0.278005
2 0.279020
2 0.281169
2 0.281803
2 0.282179
2 0.284833
2 0.286693
2 0.286924
2 0.290884
2 0.291113
2 0.293834
2 0.294435
2 0.295405
2 0.296361
2 0.296989
2 0.298430
2 0.299244
2 0.303572
2 0.304001
2 0.304782
2 0.307218
2 0.308735
2 0.309778
2 0.310320
2 0.310742
2 0.311110
2 0.311862
2 0.313721
2 0.314088
2 0.314810
2 0.315301
2 0.315343
2 0.316322
2 0.317080
2 0.317904
2 0.318484
2 0.318793
2 0.318814
2 0.318871
2 0.319393
2 0.319710
2 0.320273
2 0.320583
2 0.320811
2 0.320910
2 0.321266
2 0.321505
2 0.321619
2 0.321778
2 0.321954
2 0.322036
2 0.322777
2 0.322943
2 0.322971
2 0.323149
2 0.323246
2 0.323288
2 0.323461
2 0.323757
2 0.323882
2 0.324059
2 0.324210
2 0.324253
2 0.324298
2 0.324563
2 0.325069
2 0.325131
2 0.325434
2 0.325488
2 0.325532
2 0.325657
2 0.326322
2 0.326588
2 0.327143
2 0.327162
2 0.327342
2 0.327354
2 0.327375
2 0.327442
2 0.327769
2 0.328179
2 0.328661
2 0.328718
2 0.329123
2 0.329134
2 0.329160
2 0.329432
2 0.329639
2 0.329676
2 0.329905
2 0.330193
2 0.330263
2 0.330547
2 0.330613
2 0.330734
2 0.330756
2 0.330797
2 0.331047
2 0.331161
2 0.331337
2 0.331753
2 0.332112
2 0.332155
2 0.332214
2 0.332473
2 0.332622
2 0.332644
2 0.332884
2 0.333460
2 0.333708
2 0.334154
2 0.334445
2 0.334460
2 0.334531
2 0.334826
2 0.334964
2 0.335184
2 0.335514
2 0.335526
2 0.335568
2 0.336683
2 0.336824
2 0.336954
2 0.337043
2 0.337156
2 0.337218
2 0.337745
2 0.338337
2 0.338563
2 0.338863
2 0.339029
2 0.339208
2 0.339716
2 0.339874
2 0.340082
2 0.340344
2 0.340407
2 0.340966
2 0.341913
2 0.341949
2 0.342075
2 0.342576
2 0.342718
2 0.343466
2 0.343809
2 0.343905
2 0.344149
2 0.345455
2 0.346019
2 0.346041
2 0.346212
2 0.346506
2 0.346886
2 0.347495
2 0.348053
2 0.348126
2 0.348156
2 0.348841
2 0.349461
2 0.350084
2 0.351223
2 0.353161
2 0.353358
2 0.353666
2 0.355517
2 0.356012
2 0.356786
2 0.356929
2 0.357881
2 0.358196
2 0.358441
2 0.359363
2 0.360272
2 0.360531
2 0.361052
2 0.362161
2 0.362226
2 0.362435
2 0.362804
2 0.363217
2 0.363533
2 0.363597
2 0.363981
2 0.364633
2 0.364643
2 0.365057
2 0.365123
2 0.365726
2 0.366240
2 0.366373
2 0.366897
2 0.367171
2 0.367189
2 0.367884
2 0.368278
2 0.368947
2 0.369327
2 0.369504
2 0.370780
2 0.370803
2 0.370947
2 0.370971
2 0.371260
2 0.371382
2 0.371994
2 0.372291
