Symbol: Eu
Atomic Number: 63
Atomic Mass: 151.965000
Start Spectral Index: 3
1 317
2 218
3 229
End Spectral Index:
Order of Magnitude: 0.000001
Start Spectral Lines:
3 0.207406
3 0.209417
3 0.212536
3 0.216780
3 0.217427
3 0.218536
3 0.219127
3 0.219550
3 0.221254
3 0.221332
3 0.221535
3 0.221603
3 0.221792
3 0.222002
3 0.222011
3 0.222382
3 0.223586
3 0.224084
3 0.226258
3 0.226644
3 0.227009
3 0.227755
3 0.229233
3 0.230508
3 0.231263
3 0.232840
3 0.233528
3 0.233768
3 0.234056
3 0.234382
3 0.234755
3 0.234836
3 0.235110
3 0.235123
3 0.235300
3 0.235859
3 0.235980
3 0.236137
3 0.236448
3 0.236876
1 0.237360
3 0.237480
3 0.237593
1 0.237600
3 0.237619
3 0.237715
3 0.237796
1 0.238040
3 0.238254
3 0.238435
3 0.238802
3 0.238984
3 0.239071
3 0.239184
3 0.239263
3 0.239332
3 0.239539
3 0.239635
3 0.239952
3 0.240173
3 0.240307
3 0.240481
3 0.240687
3 0.240803
3 0.240905
3 0.241036
3 0.241081
3 0.241275
3 0.241369
3 0.241399
3 0.241414
3 0.241985
3 0.241999
3 0.242032
3 0.242274
3 0.242364
3 0.242607
3 0.242642
3 0.242841
3 0.243006
3 0.243040
3 0.243078
3 0.243223
3 0.243250
3 0.243329
3 0.243439
3 0.243493
3 0.243588
3 0.243713
3 0.243751
3 0.243957
3 0.244100
3 0.244141
3 0.244512
3 0.244673
3 0.244717
3 0.244931
3 0.245198
3 0.245247
3 0.245596
3 0.246253
3 0.246405
3 0.246522
3 0.247126
3 0.247569
3 0.247699
3 0.247720
3 0.247853
3 0.248077
3 0.248404
3 0.248767
3 0.248966
3 0.249125
3 0.249183
3 0.249323
3 0.249767
3 0.249992
2 0.250014
3 0.251452
3 0.251870
3 0.252290
3 0.253990
3 0.254906
3 0.254936
3 0.255527
2 0.255555
3 0.255884
2 0.255995
3 0.256113
2 0.256494
2 0.256894
2 0.257553
2 0.257791
2 0.258263
3 0.259549
3 0.259554
3 0.259712
3 0.260522
1 0.260539
3 0.260912
3 0.261087
3 0.261689
3 0.261704
3 0.261711
3 0.261713
1 0.262010
3 0.262157
3 0.262411
3 0.262776
3 0.262924
3 0.262960
3 0.263276
2 0.263629
2 0.263956
2 0.264206
3 0.264306
1 0.264460
3 0.264601
3 0.265172
3 0.265398
2 0.265440
3 0.265588
1 0.266020
3 0.266303
3 0.266765
3 0.266900
2 0.266913
2 0.267421
3 0.267689
2 0.267909
1 0.268340
3 0.268401
2 0.268646
3 0.268693
3 0.268854
2 0.269283
3 0.269431
3 0.269560
3 0.270067
3 0.270158
2 0.270194
2 0.270270
2 0.270608
3 0.270905
3 0.270964
1 0.271079
3 0.271288
2 0.271779
3 0.272148
1 0.272477
3 0.272635
2 0.272859
2 0.273014
2 0.273025
1 0.273218
1 0.273342
1 0.273606
1 0.273940
2 0.274143
1 0.274409
3 0.274475
2 0.274507
1 0.274642
2 0.274810
1 0.274864
2 0.275298
3 0.275349
3 0.275593
3 0.275857
3 0.276103
3 0.276254
3 0.276708
3 0.276920
3 0.276936
3 0.277053
1 0.277370
3 0.278130
2 0.278271
3 0.279333
2 0.280367
3 0.280892
2 0.281258
2 0.281391
2 0.281477
2 0.281701
3 0.281841
2 0.282161
2 0.282955
2 0.283013
2 0.283409
3 0.284039
2 0.284480
3 0.284583
3 0.284928
3 0.285123
2 0.285289
2 0.286051
2 0.286341
2 0.286526
2 0.287690
1 0.287971
2 0.288870
1 0.289339
3 0.289345
1 0.289388
1 0.289468
2 0.290753
1 0.290984
3 0.291308
3 0.291349
3 0.291389
2 0.291829
2 0.292590
3 0.292977
3 0.293186
